databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	faction	subtitle	cost	requires	provides	fighting	power	body	rarity	designators	text
10kbullets_bird_sanctuary_10kb	Bird Sanctuary	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BirdSanctuary.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	6	Fixed	bird sanctuary	Limited. Cannot be healed except when seized. Once each turn, you may inflict 1 damage on this card when an opponent smokes a Character you control that is not a 1-cost foundation :: Gain 1 Power.
10kbullets_birdhouse_cafe_10kb	Birdhouse Cafe	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BirdhouseCafe.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	7	Fixed	birdhouse cafe	At the end of your turn, if any opponent is at least as close to victory as you are, unturn all Characters that attacked during the turn.
10kbullets_blade_of_darkness_10kb	Blade of Darkness	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BladeOfDarkness.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Four Monarchs	Netherworld Killer	4	{mon}{mon}	{mon}	6			Fixed	blade darkness netherworld killer	When Blade of Darkness smokes an interceptor by inflicting combat damage, gain Power equal to the number of resources that interceptor provides.
10kbullets_blade_palm_10kb	Blade Palm	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BladePalm.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Chi	Event	2	{chi}{chi}					Fixed	blade palm	Return target card to its owner's hand.
10kbullets_bleys_fontaine_10kb	Bleys Fontaine	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BleysFontaine.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Ascended	Lodge Enforcer	4	{asc}{asc}{asc}	{asc}	6			Fixed	bleys fontaine lodge enforcer	Unique. Cannot be declared as a single attacker. Once during your Main Shot, you may target a location :: All cards at that location become turned.
10kbullets_blood_reaver_10kb	Blood Reaver	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BloodReaver.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	Killer Abomination	2	{arc}{arc}{arc}	{arc}	3			Fixed	blood reaver killer abomination	Takes no damage from the target of its attack.
10kbullets_blue_monk_10kb	Blue Monk	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BlueMonk.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Guiding Hand	Kung Fu Infiltrator	3	{han}	{han}{chi}	4			Fixed	blue monk kung fu infiltrator	Choose a designator when Blue Monk enters play. Blue Monk cannot be intercepted by Characters with the chosen designator.
10kbullets_bomb_factory_10kb	Bomb Factory	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BombFactory.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Jammers	Site	2		{jam}{tek}		1	5	Fixed	bomb factory	Turn and maintain to give target Character +1 damage to Sites.
10kbullets_both_guns_blazing_10kb	Both Guns Blazing	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BothGunsBlazing.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Dragons	State	0	{dra}					Fixed	both gun blazing	Subject Character gains +1 Fighting for each Weapon on it. Draw a card when you play a Weapon on subject. No Character may be the subject of more than one "Both Guns Blazing".
10kbullets_brain_fire_10kb	Brain Fire	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BrainFire.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Four Monarchs	Event	0	{mon}{mon}					Fixed	brain fire	Play in response to an Event. Choose an equal number of new and different legal targets for that Event :: These targets replace the original targets of that Event.
10kbullets_bull_market_10kb	Bull Market	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BullMarket.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Ascended	Event	0	{asc}{asc}{asc}					Fixed	bull market	Limited. Every player gains 5 Power.
10kbullets_bulletproof_monk_10kb	Bulletproof Monk	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BulletproofMonk.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Guiding Hand	Martial Artist	3	{han}{han}	{han}{chi}	4			Fixed	bulletproof monk martial artist	Toughness: 1 while attacking.
10kbullets_buro_godhammer_10kb	Buro Godhammer	shadowfist/10-000-bullets/Shadowfist-10000Bullets-BuroGodhammer.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	State	1	{arc}					Fixed	buro godhammer	Weapon. Subject Character inflicts +3 damage.
10kbullets_butterfly_knight_10kb	Butterfly Knight	shadowfist/10-000-bullets/Shadowfist-10000Bullets-ButterflyKnight.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Four Monarchs	Thunder Warrior	3	{mon}	{mon}	3			Fixed	butterfly knight thunder warrior	If unturned, Butterfly Knight may attack without turning once during your Main Shot.
10kbullets_captain_liu_10kb	Captain Liu	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CaptainLiu.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Ascended	Pledged Cop Mastermind	5	{asc}{asc}{asc}	{asc}	8			Fixed	captain liu pledged cop mastermind	Unique. Tactics. All <Cop> Characters you control gain Toughness: 1.
10kbullets_cave_network_10kb	Cave Network	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CaveNetwork.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	6	Fixed	cave network	In response to an attack declared against Cave Network, if you controlled no characters at the time the attack was declared, turn :: play a Character with a cost of 3 or less at no cost.
10kbullets_cdca_scientist_10kb	CDCA Scientist	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CDCAScientist.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	Overzealous Researcher	2		{arc}{tek}	2			Fixed	cdca scientist overzealous researcher	When CDCA Scientist is smoked, you may draw up to X cards, then discard up to X cards. You need not discard the same number that you draw. X= the number of "CDCA Scientist" cards you control plus the number in your smoked pile.
10kbullets_char_10kb	CHAR	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CHAR.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	BuroMil Cyborg	4	{arc}{tek}	{arc}{tek}	6			Fixed	char buro mil cyborg	CHAR's combat damage cannot be reduced or redirected. CHAR takes no damage from <Fire> cards.
10kbullets_city_hospital_10kb	City Hospital	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CityHospital.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	8	Fixed	city hospital	Turn to remove 1 damage from a Character. Unturn this card when a Character you control is smoked.
10kbullets_city_park_10kb	City Park	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CityPark.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	8	Fixed	city park	Heal City Park at the end of the turn it is revealed. When a Site you control is burned, you may play City Park face up at no cost if you have not played a Site this turn.
10kbullets_city_square_10kb	City Square	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CitySquare.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	6	Fixed	city square	Unique. Turn to redirect the damage inflicted by a single source on target Site to any Site you control.
10kbullets_claw_of_fury_10kb	Claw of Fury	shadowfist/10-000-bullets/Shadowfist-10000Bullets-ClawOfFury.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Eaters of the Lotus	Shadowy Assassin	2		{lot}	2			Fixed	claw fury shadowy assassin	Assassinate. When an opponent targets you (not a card or location you control) with an Event, you may play Claw of Fury from your hand at no cost.
10kbullets_claws_of_darkness_10kb	Claws of Darkness	shadowfist/10-000-bullets/Shadowfist-10000Bullets-ClawsOfDarkness.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Four Monarchs	Triumvirate State	1	{mon}					Fixed	claw darkness triumvirate	Weapon. Subject Character gains +1 Fighting. If subject is still in play at the end of any turn in which it smoked one or more Characters by inflicting combat damage, you gain 1 Power.
10kbullets_close_call_10kb	Close Call	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CloseCall.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Jammers	Event	1	{jam}{jam}					Fixed	close call	Redirect up to 3 damage from a single source that would damage a Character to a Site controlled by that source's controller.
10kbullets_cognitive_spirit_10kb	Cognitive Spirit	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CognitiveSpirit.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Purists	Self-Aware Construct	3	{pur}{pur}	{pur}{mag}	4			Fixed	cognitive spirit self aware construct	Select a Character when this card attacks :: That Character may not intercept until the end of the attack.
10kbullets_confucian_stability_10kb	Confucian Stability	shadowfist/10-000-bullets/Shadowfist-10000Bullets-ConfucianStability.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Guiding Hand	Event	1	{han}					Fixed	confucian stability	Play in response to an Event or State :: Cancel and smoke that card.
10kbullets_curio_shop_10kb	Curio Shop	shadowfist/10-000-bullets/Shadowfist-10000Bullets-CurioShop.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	7	Fixed	curio shop	Takes no damage from opponents' cards that have a cost of 1.
10kbullets_dallas_rocket_10kb	Dallas Rocket	shadowfist/10-000-bullets/Shadowfist-10000Bullets-DallasRocket.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Jammers	Fanatic Guerrilla	3	{jam}	{jam}	3			Fixed	dallas rocket fanatic guerrilla	Ambush against <PubOrd> or <Buro> Characters. Dallas Rocket inflicts +3 damage on the target of her attack.
10kbullets_dangerous_experiment_10kb	Dangerous Experiment	shadowfist/10-000-bullets/Shadowfist-10000Bullets-DangerousExperiment.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	Event	0	{arc}{arc}{arc}{arc}					Fixed	dangerous experiment	Limited. Toast It. You gain 5 Power, and the opponent to your left may toast a card you control, a card in your smoked pile, or a card in your burned-for-victory pile.
10kbullets_darkness_warriors_10kb	Darkness Warriors	shadowfist/10-000-bullets/Shadowfist-10000Bullets-DarknessWarriors.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Four Monarchs	Netherworld Soldiers	2		{mon}	2			Fixed	darkness warrior netherworld soldier	Sacrifice to gain 1 Power.
10kbullets_deathorama_10kb	Death-O-Rama	shadowfist/10-000-bullets/Shadowfist-10000Bullets-DeathORama.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Jammers	Event	0	{jam}{jam}					Fixed	death o rama	Play during an attack. All Characters inflict +2 damage on Characters during the attack.
10kbullets_derek_han_10kb	Derek Han	shadowfist/10-000-bullets/Shadowfist-10000Bullets-DerekHan.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Guiding Hand	Martial Artist	6	{han}{han}{han}	{han}{chi}	11			Fixed	derek han martial artist	Unique. Pay 1 Power to give him Superleap until the end of the turn. Pay 2 Power :: He is not affected by Events until the end of the turn.
10kbullets_die_10kb	Die!!!	shadowfist/10-000-bullets/Shadowfist-10000Bullets-Die.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Eaters of the Lotus	Event	0	{lot}{lot}{lot}					Fixed	die	Turn X {lot} Characters you control to smoke any number of opponents' Characters whose total cost is less than X+2. (X may be zero.)
10kbullets_dirk_wiselys_gambit_10kb	Dirk Wisely's Gambit	shadowfist/10-000-bullets/Shadowfist-10000Bullets-DirkWiselysGambit.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Dragons	Event	0	{dra}	{dra}{tek}				Fixed	dirk wisely gambit	Limited. Play when you declare an attack with only one attacker against a target controlled by an opponent who controls at least four cards. When your attacker inflicts combat damage on its target during this attack, gain 2 Power.
10kbullets_discerning_fire_10kb	Discerning Fire	shadowfist/10-000-bullets/Shadowfist-10000Bullets-DiscerningFire.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Magic	Event	X	{mag}{mag}					Fixed	discerning fire	Smoke X target cards that share a designator other than <Netherworld>. X must be greater than one. Power-generating Sites are not legal targets.
10kbullets_drug_lab_10kb	Drug Lab	shadowfist/10-000-bullets/Shadowfist-10000Bullets-DrugLab.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Unaligned	Hood Site	1				1	6	Fixed	drug lab hood	Limited. Smoke Drug Lab when it is damaged by a <Cop> card.
10kbullets_edge_warrior_10kb	Edge Warrior	shadowfist/10-000-bullets/Shadowfist-10000Bullets-EdgeWarrior.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Jammers	Subversive Op	1		{jam}	1			Fixed	warrior subversive op	Cannot be intercepted by <Buro>, <PubOrd>, or <Cop> characters.
10kbullets_entropy_sphere_10kb	Entropy Sphere	shadowfist/10-000-bullets/Shadowfist-10000Bullets-EntropySphere.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Purists	Event	1	{pur}{pur}					Fixed	entropy sphere	Smoke target Character and inflict X damage on a front-row Feng Shui Site you control. X= the target's cost.
10kbullets_entropy_tap_10kb	Entropy Tap	shadowfist/10-000-bullets/Shadowfist-10000Bullets-EntropyTap.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Purists	Event	0	{pur}{mag}					Fixed	entropy tap	Limited. Play when a Site you control takes combat damage but its Body is not reduced to 0 :: Gain X Power. X= half (round down) the damage inflicted.
10kbullets_everyday_hero_10kb	Everyday Hero	shadowfist/10-000-bullets/Shadowfist-10000Bullets-EverydayHero.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Dragons	Brave Scrapper	2		{dra}	2			Fixed	everyday hero brave scrapper	Guts.
10kbullets_excommando_10kb	Ex-Commando	shadowfist/10-000-bullets/Shadowfist-10000Bullets-ExCommando.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Dragons	Dangerous Vet	3	{dra}{dra}	{dra}	3			Fixed	ex commando dangerous vet	Ex-Commando unturns when a Weapon or <Gun> State is played on him.
10kbullets_explosives_10kb	Explosives	shadowfist/10-000-bullets/Shadowfist-10000Bullets-Explosives.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Unaligned	State	1						Fixed	explosives	Play on an unturned Character. Subject's controller may sacrifice Explosives during an attack :: Subject inflicts +5 damage against the next Site it inflicts combat damage on during this attack.
10kbullets_faked_death_10kb	Faked Death	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FakedDeath.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Ascended	Event	0	{asc}					Fixed	faked death	Return a Character from your smoked pile to your hand.
10kbullets_family_estate_10kb	Family Estate	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FamilyEstate.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Ascended	Site	2		{asc}		1	5	Fixed	family estate	Turn to play a <Pledged> Character at -1 cost. When a <Lodge> Character is smoked, inflict 2 damage on Family Estate.
10kbullets_family_home_10kb	Family Home	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FamilyHome.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	5	Fixed	family home	Generates an additional Power if the player to your left has more Power than you.
10kbullets_father_of_chaos_10kb	Father of Chaos	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FatherOfChaos.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Purists	Spirit of Destruction	6	{pur}{pur}{pur}{mag}	{pur}{mag}	11			Fixed	father chaos spirit destruction	Unique. Father of Chaos takes no combat damage from Characters whose Fighting is less than the number of cards in their controller's hand.
10kbullets_festival_circle_10kb	Festival Circle	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FestivalCircle.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	6	Fixed	festival circle	Cannot be healed except when seized. If Festival Circle is in your front row, turn and inflict 2 damage on it in response to an Event that targets one or more Characters you control :: Cancel that Event.
10kbullets_field_of_tentacles_10kb	Field of Tentacles	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FieldOfTentacles.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Netherworld Feng Shui Site					1	8	Fixed	field tentacle netherworld	Turn and maintain and target a non-Feng Shui Site :: Cancel target Site.
10kbullets_final_brawl_10kb	Final Brawl	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FinalBrawl.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Dragons	Event	0	{dra}					Fixed	final brawl	Inflict 2 damage on all Characters.
10kbullets_fire_acolytes_10kb	Fire Acolytes	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FireAcolytes.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Four Monarchs	Netherworld Disciples	1		{mon}{mag}	1			Fixed	fire acolyte netherworld disciple	When Fire Acolytes are smoked while you control another <Fire> Character, you may target a Character at their last location :: Inflict 1 non-combat damage on target Character.
10kbullets_fire_mystic_10kb	Fire Mystic	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FireMystic.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Four Monarchs	Netherworld Sorcerer	3	{mon}{mon}	{mon}{mag}	4			Fixed	fire mystic netherworld sorcerer	When an opponent plays an Event, you may inflict 1 damage on a card that player controls.
10kbullets_fireworks_factory_10kb	Fireworks Factory	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FireworksFactory.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	7	Fixed	firework factory	When an opponent reduces Fireworks Factory's Body to 0, you may smoke a Character that opponent controls if he or she is now closer to victory than you.
10kbullets_floating_restaurant_10kb	Floating Restaurant	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FloatingRestaurant.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	8	Fixed	floating restaurant	When an opponent plays an Event, you may remove 1 damage from any card you control.
10kbullets_flying_sleeves_10kb	Flying Sleeves	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FlyingSleeves.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Eaters of the Lotus	Event	0	{lot}{lot}					Fixed	flying sleeve	Toast It. Change one attacker's target to any Character you control.
10kbullets_flying_sword_stance_10kb	Flying Sword Stance	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FlyingSwordStance.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Chi	State	0	{chi}{chi}					Fixed	flying sword stance	Not cumulative. Subject Character gains +1 Fighting. Subject gains Superleap against Characters that lack resource conditions.
10kbullets_four_burning_fists_10kb	Four Burning Fists	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FourBurningFists.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Eaters of the Lotus	Demon Martial Artist	3	{lot}{lot}{lot}{mag}	{lot}	5			Fixed	four burning fist demon martial artist	Unique. You must toast a Feng Shui Site you control when Four Burning Fists enters play, otherwise toast this card. Gains +2 Fighting and Regenerate while any opponent is closer to victory than you.
10kbullets_fox_pass_10kb	Fox Pass	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FoxPass.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	5	Fixed	fox pass	Unique. Turn to change one attacker's target to any Character or front-row Site you control.
10kbullets_furious_george_10kb	Furious George	shadowfist/10-000-bullets/Shadowfist-10000Bullets-FuriousGeorge.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Jammers	Flying Monkey	6	{jam}{jam}{jam}{tek}	{jam}{tek}	10			Fixed	furious george flying monkey	Unique. Guts. When Furious George enters combat, inflict 1 damage on each Character he is in combat with. (Before combat damage is dealt.)
10kbullets_gambling_house_10kb	Gambling House	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GamblingHouse.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	6	Fixed	gambling house	Limited. If any opponent controls at least two cards that share a designator, you may turn this card during your Main Shot to gain 1 Power.
10kbullets_garden_of_bronze_10kb	Garden of Bronze	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GardenOfBronze.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Netherworld Feng Shui Site					1	8	Fixed	garden bronze netherworld	When an opponent burns one of your other Feng Shui Sites for Power, gain 3 Power.
10kbullets_genghis_x_10kb	Genghis X	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GenghisX.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Architects of the Flesh	BuroMil Supersoldier	5	{arc}{arc}{tek}	{arc}	8			Fixed	genghis x buro mil super soldier	Unique. Genghis X has Guts while there is at least three damage on him.
10kbullets_glimpse_of_the_abyss_10kb	Glimpse of the Abyss	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GlimpseOfTheAbyss.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Eaters of the Lotus	Event	0	{lot}{lot}{lot}					Fixed	glimpse abyss	Toast It. Gain X Power. X= the number of Feng Shui Sites controlled by target opponent plus the number of cards in his or her burned-for-victory pile. The number of Feng Shui Sites you need for victory is increased by one.
10kbullets_golden_candle_society_10kb	Golden Candle Society	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GoldenCandleSociety.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Guiding Hand	Secret Society	1		{han}{chi}	1			Fixed	golden candle society secret	
10kbullets_golden_comeback_10kb	Golden Comeback	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GoldenComeback.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Dragons	Event	2	{dra}					Fixed	golden comeback	Choose a Character in your smoked pile :: Return that Character to play.
10kbullets_golden_mile_10kb	Golden Mile	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GoldenMile.jpg	default	Site	10,000 Bullets	10kbullets	playerNDeck	Feng Shui Site	Feng Shui Site					1	8	Fixed	golden mile	Limited. Turn when an opponent spends 3 or more Power at one time :: Gain 1 power.
10kbullets_gorilla_fighter_10kb	Gorilla Fighter	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GorillaFighter.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Jammers	Flying Monkey	4	{jam}{jam}{tek}	{jam}{tek}	6			Fixed	gorilla fighter flying monkey	Independent. Gorilla Fighter's cost is reduced by the total number of Feng Shui Sites and Characters you own that are controlled by opponents or in burned-for-victory piles.
10kbullets_gruff_lieutenant_10kb	Gruff Lieutenant	shadowfist/10-000-bullets/Shadowfist-10000Bullets-GruffLieutenant.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Ascended	Pledged Cop	1	{asc}	{asc}	1			Fixed	gruff lieutenant pledged cop	Stealth.
10kbullets_hacker_10kb	Hacker	shadowfist/10-000-bullets/Shadowfist-10000Bullets-Hacker.jpg	default	Character	10,000 Bullets	10kbullets	playerNDeck	Dragons	Gun-Totin' Techie	2		{dra}{tek}	2			Fixed	hacker gun totin techie	When an opponent plays an Event that steals Power from you or that toasts any card other than itself, you may play Hacker from your hand at no cost in response :: Cancel that Event.
10kbullets_hands_without_shadow_10kb	Hands Without Shadow	shadowfist/10-000-bullets/Shadowfist-10000Bullets-HandsWithoutShadow.jpg	default	State	10,000 Bullets	10kbullets	playerNDeck	Chi	State	0	{chi}					Fixed	hand shadow	Schtick. When subject Character is in combat with a Character, you may choose to have subject inflict X-1 combat damage instead of its normal damage. X= damage required to smoke the opposing Character, calculated just prior to inflicting damage, but after all other effects have resolved.
10kbullets_healing_earth_10kb	Healing Earth	shadowfist/10-000-bullets/Shadowfist-10000Bullets-HealingEarth.jpg	default	Event	10,000 Bullets	10kbullets	playerNDeck	Chi	Event	0	{chi}					Fixed	healing earth	Remove up to X damage from cards you control. X= the number of {chi} resources in your pool.
