databaseId	name	imageUrl	cardBack	type	action	clues	cluesFixed	code	concealed	concealedId	cost	deckbuilderQuantity	doom	encounterNumber	encounterSet	enemyDamage	enemyEvade	enemyFight	enemyHorror	exceptional	faction	free	hasBonded	health	healthPerInvestigator	myriad	numberInPack	packName	parallelContent	permanent	reaction	sanity	setUuid	shroud	side	skillAgility	skillCombat	skillIntellect	skillWild	skillWillpower	stage	starting	subtype	tabooId	tabooName	tabooXp	text	traits	unique	uses	vengeance	victoryPoints	xp
01004	Agnes Baker: The Waitress	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-AgnesBakerTheWaitress-2.webp	multi_sided	Investigator	0		0	01004	0			1								0	Mystic.	0	0		0	0	4	Core Set	1	0	0		core		B							0		0	None	0	<b>Deck Size</b>: 30.  <b>Deckbuilding Options</b>: Mystic cards ([mystic]) level 0-5, Survivor cards ([survivor]) level 0-2, Neutral cards level 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): Heirloom of Hyperborea, Dark Memory, 1 random basic weakness.		1				
0100490017	Agnes Baker: The Waitress	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-AgnesBakerTheWaitress.webp	multi_sided	Investigator	0		0	0100490017	0			1								0	Mystic.	0	0	6	0	0	4	Core Set / Bad Blood	1	0	1	8	bad		A	3	2	2		5		0		0	None	0	[reaction] After 1 or more horror is placed on Agnes Baker: Deal 1 damage to an enemy at your location. (Limit once per phase.)  [elder_sign] effect: +1 for each horror on Agnes Baker.	Sorcerer.	1				
0100490017	Agnes Baker: The Waitress	arkham-horror-living-card-game/core-set-bad-blood/ArkhamHorrorLivingCardGame-CoreSetBadBlood-AgnesBakerTheWaitress.webp	multi_sided	Investigator	0		0	0100490017	0			1								0	Mystic.	0	0		0	0	17	Core Set / Bad Blood	1	0	0		bad		B							0		0	None	0	<b>Deck size</b>: 25.  <b>Deckbuilding Options</b>: Mystic cards ([mystic]) level 0-5, [[Spell]] cards level 0-3, [[Occult]] cards level 0-3, Neutral cards level 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): Heirloom of Hyperborea, Dark Memory, 1 random basic weakness.  <b>Additional Options</b>: When you upgrade a [[Spell]] card, you may instead pay the full experience cost of the higher level version and leave the lower level version in your deck (it does not count towards your deck size or the number of copies of that card in your deck).		1				
01005	Wendy Adams: The Urchin	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-WendyAdamsTheUrchin.webp	multi_sided	Investigator	0		0	01005	0			1								0	Survivor.	0	0	7	0	0	5	Core Set	1	0	1	7	core		A	4	1	3		4		0		0	None	0	[reaction] When you reveal a chaos token, choose and discard 1 card from your hand: Cancel that chaos token and return it to the bag. Reveal a new chaos token. (Limit once per test/ability.)  [elder_sign] effect: +0. If Wendy's Amulet is in play, you automatically succeed instead.	Drifter.	1				
01005	Wendy Adams: The Urchin	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-WendyAdamsTheUrchin-2.webp	multi_sided	Investigator	0		0	01005	0			1								0	Survivor.	0	0		0	0	5	Core Set	1	0	0		core		B							0		0	None	0	<b>Deck Size</b>: 30.  <b>Deckbuilding Options</b>: Survivor cards ([survivor]) level 0-5, Rogue cards ([rogue]) level 0-2, Neutral cards level 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): Wendy's Amulet, Abandoned and Alone, 1 random basic weakness.		1				
0100590037	Wendy Adams: The Urchin	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-WendyAdamsTheUrchin.webp	multi_sided	Investigator	0		0	0100590037	0			1								0	Survivor.	0	0	7	0	0	5	Core Set / Red Tide Rising	1	0	1	7	rtr		A	4	1	3		4		0		0	None	0	[reaction] When you reveal a chaos token, choose and discard 1 card from your hand: Cancel that chaos token and return it to the bag. Reveal a new chaos token. (Limit once per test/ability.)  [elder_sign] effect: +0. If Wendy's Amulet is in play, you automatically succeed instead.	Drifter.	1				
0100590037	Wendy Adams: The Urchin	arkham-horror-living-card-game/core-set-red-tide-rising/ArkhamHorrorLivingCardGame-CoreSetRedTideRising-WendyAdamsTheUrchin.webp	multi_sided	Investigator	0		0	0100590037	0			1								0	Survivor.	0	0		0	0	37	Core Set / Red Tide Rising	1	0	0		rtr		B							0		0	None	0	<b>Deck Size</b>: 30.  <b>[[Trait]] Choice</b>: At deck creation, choose [[Blessed]] or [[Cursed]], or choose both and gain +5 Deck Size.  <b>Deckbuilding Options</b>: Survivor cards ([survivor]) level 0-5, Neutral cards level 0-5, cards of your chosen trait(s) 0-5.  <b>Deckbuilding Requirements</b> (do not count toward deck size): Wendy's Amulet, Abandoned and Alone, 1 random basic weakness.		1				
01006	Roland's .38 Special	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Rolands38Special.webp	Player Card	Asset	1		0	01006	0		3	1								0	Neutral.	0	0		0	0	6	Core Set	0	0	0		core			1	1		1			0		0	None	0	Roland Banks deck only.  Uses (4 ammo).  [action] Spend 1 ammo: <b>Fight.</b> You get +1 [combat] for this attack (if there are 1 or more clues on your location, you get +3 [combat], instead). This attack deals +1 damage.	Item. Weapon. Firearm.	1	4			
01007	Cover Up	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-CoverUp.webp	Player Card	Treachery	0		0	01007	0			1								0	Neutral.	0	0		0	0	7	Core Set	0	0	1		core									0	Weakness	0	None	0	<b>Revelation</b> - Put Cover Up into play in your threat area, with 3 clues on it.  [reaction] When you would discover 1 or more clues at your location: Discard that many clues from Cover Up instead.  <b>Forced</b> - When the game ends, if there are any clues on Cover Up: You suffer 1 mental trauma.	Task.	0				
01008	Daisy's Tote Bag	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-DaisysToteBag.webp	Player Card	Asset	0		0	01008	0		2	1								0	Neutral.	0	0		0	0	8	Core Set	0	0	0		core					1	1	1		0		0	None	0	Daisy Walker deck only.  You have 2 additional hand slots, which can only be used to hold [[Tome]] assets.	Item.	1				
01009	The Necronomicon: John Dee Translation	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-TheNecronomiconJohnDeeTranslation.webp	Player Card	Asset	1		0	01009	0			1								0	Neutral.	0	0		0	0	9	Core Set	0	0	0		core									0	Weakness	0	None	0	<b>Revelation</b> - Put The Necronomicon into play in your threat area, with 3 horror on it. It cannot leave play while it has 1 or more horror on it.  Treat each [elder_sign] you reveal on a chaos token as a [auto_fail].  [action]: Move 1 horror from The Necronomicon to Daisy Walker. Then, if The Necronomicon has no horror on it, discard it.	Item. Tome.	0				
01010	On the Lam	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-OnTheLam.webp	Player Card	Event	0		0	01010	0		1	1								0	Neutral.	0	0		0	0	10	Core Set	0	0	0		core			1		1	2			0		0	None	0	"Skids" O'Toole deck only.  Fast. Play after your turn begins.  Until the end of the round, non-[[Elite]] enemies cannot attack you.	Tactic.	0				
01011	Hospital Debts	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-HospitalDebts.webp	Player Card	Treachery	0		0	01011	0			1								0	Neutral.	1	0		0	0	11	Core Set	0	0	0		core									0	Weakness	0	None	0	<b>Revelation</b> - Put Hospital Debts into play in your threat area.  [fast]: Move 1 resource from your resource pool to Hospital Debts. (Limit twice per round.)  <b>Forced</b> - When the game ends, if Hospital Debts has fewer than 6 resources on it: You earn 2 fewer experience for this scenario.	Task.	0				
01012	Heirloom of Hyperborea: Artifact from Another Life	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-HeirloomOfHyperboreaArtifactFromAnotherLife.webp	Player Card	Asset	0		0	01012	0		3	1								0	Neutral.	0	0		0	0	12	Core Set	0	0	1		core				1		1	1		0		0	None	0	Agnes Baker deck only.  [reaction] After you play a [[Spell]] card: Draw 1 card.	Item. Relic.	1				
01013	Dark Memory	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-DarkMemory.webp	Player Card	Event	0		0	01013	0		2	1								0	Neutral.	0	0		0	0	13	Core Set	0	0	0		core									0	Weakness	0	None	0	Place 1 doom on the current agenda. This effect can cause the current agenda to advance.  <b>Forced</b> - If Dark Memory is in your hand at the end of your turn, reveal it and take 2 horror.	Spell.	0				
01014	Wendy's Amulet	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-WendysAmulet.webp	Player Card	Asset	0		0	01014	0		2	1								0	Neutral.	0	0		0	0	14	Core Set	0	0	0		core						2			0		0	None	0	Wendy Adams deck only.  You may play the topmost event in your discard pile as if it were in your hand.  <b>Forced</b> - After you play an event or discard an event from play: Place it on the bottom of your deck instead of in your discard pile.	Item. Relic.	1				
01015	Abandoned and Alone	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-AbandonedAndAlone.webp	Player Card	Treachery	0		0	01015	0			1								0	Neutral.	0	0		0	0	15	Core Set	0	0	0		core									0	Weakness	0	None	0	<b>Revelation</b> - Take 2 direct horror and remove all cards in your discard pile from the game.	Madness.	0				
01016	.45 Automatic	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-45Automatic.webp	Player Card	Asset	1		0	01016	0		4	2								0	Guardian.	0	0		0	0	16	Core Set	0	0	0		core			1						0		0	None	0	Uses (4 ammo).  [action] Spend 1 ammo: <b>Fight.</b> You get +1 [combat] for this attack. This attack deals +1 damage.	Item. Weapon. Firearm.	0	4			0
01017	Physical Training	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-PhysicalTraining.webp	Player Card	Asset	0		0	01017	0		2	2								0	Guardian.	1	0		0	0	17	Core Set	0	0	0		core				1			1		0		0	None	0	[fast] Spend 1 resource: You get +1 [willpower] for this skill test.  [fast] Spend 1 resource: You get +1 [combat] for this skill test.	Talent.	0				0
01018	Beat Cop	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-BeatCop.webp	Player Card	Asset	0		0	01018	0		4	2								0	Guardian.	1	0	2	0	0	18	Core Set	0	0	0	2	core				1					0		0	None	0	You get +1 [combat].  [fast] Discard Beat Cop: Deal 1 damage to an enemy at your location.	Ally. Police.	0				0
01019	First Aid	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-FirstAid.webp	Player Card	Asset	1		0	01019	0		2	2								0	Guardian.	0	0		0	0	19	Core Set	0	0	0		core							1		0		0	None	0	Uses (3 supplies). If First Aid has no supplies, discard it.  [action] Spend 1 supply: Heal 1 damage or horror from an investigator at your location.	Talent. Science.	0	3			0
01020	Machete	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Machete.webp	Player Card	Asset	1		0	01020	0		3	2								0	Guardian.	0	0		0	0	20	Core Set	0	0	0		core				1					0		0	None	0	[action]: <b>Fight.</b> You get +1 [combat] for this attack. If the attacked enemy is the only enemy engaged with you, this attack deals +1 damage.	Item. Weapon. Melee.	0				0
01020-1	Machete	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Machete-2.webp	Player Card	Asset	1		0	01020	0		3	0								0	Guardian.	0	0		0	0	20	Core Set	0	0	0		core				1					0		1	1.5	2	[action]: <b>Fight.</b> You get +1 [combat] for this attack. If the attacked enemy is the only enemy engaged with you, this attack deals +1 damage.	Item. Weapon. Melee.	0				0
01020-3	Machete	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Machete-3.webp	Player Card	Asset	1		0	01020	0		3	0								0	Guardian.	0	0		0	0	20	Core Set	0	0	0		core				1					0		3	1.8	1	[action]: <b>Fight.</b> You get +1 [combat] for this attack. If the attacked enemy is the only enemy engaged with you, this attack deals +1 damage.	Item. Weapon. Melee.	0				0
01020-5	Machete	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Machete.webp	Player Card	Asset	1		0	01020	0		3	0								0	Guardian.	0	0		0	0	20	Core Set	0	0	0		core				1					0		5	2.0	0	[action]: <b>Fight.</b> You get +1 [combat] for this attack. If the attacked enemy is the only enemy engaged with you, this attack deals +1 damage.	Item. Weapon. Melee.	0				0
01021	Guard Dog	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-GuardDog.webp	Player Card	Asset	0		0	01021	0		3	2								0	Guardian.	0	0	3	0	0	21	Core Set	0	0	1	1	core				1					0		0	None	0	[reaction] When an enemy attack deals damage to Guard Dog: Deal 1 damage to the attacking enemy.	Ally. Creature.	0				0
01022	Evidence!	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Evidence.webp	Player Card	Event	0		0	01022	0		1	2								0	Guardian.	0	0		0	0	22	Core Set	0	0	0		core					2				0		0	None	0	Fast. Play after you defeat an enemy.  Discover 1 clue at your location.	Insight.	0				0
01023	Dodge	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Dodge.webp	Player Card	Event	0		0	01023	0		1	2								0	Guardian.	0	0		0	0	23	Core Set	0	0	0		core			1				1		0		0	None	0	Fast. Play when an enemy attacks an investigator at your location.  Cancel that attack.	Tactic.	0				0
01024	Dynamite Blast	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-DynamiteBlast.webp	Player Card	Event	0		0	01024	0		5	2								0	Guardian.	0	0		0	0	24	Core Set	0	0	0		core							1		0		0	None	0	Choose either your location or a connecting location. Deal 3 damage to each enemy and to each investigator at the chosen location.	Tactic.	0				0
01025	Vicious Blow	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-ViciousBlow.webp	Player Card	Skill	0		0	01025	0			2								0	Guardian.	0	0		0	0	25	Core Set	0	0	0		core				1					0		0	None	0	If this skill test is successful during an attack, that attack deals +1 damage.	Practiced.	0				0
01026	Extra Ammunition	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-ExtraAmmunition.webp	Player Card	Event	0		0	01026	0		2	2								0	Guardian.	0	0		0	0	26	Core Set	0	0	0		core					1				0		0	None	0	Place 3 ammo tokens on a [[Firearm]] asset controlled by an investigator at your location.	Supply.	0				1
01027	Police Badge	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-PoliceBadge.webp	Player Card	Asset	0		0	01027	0		3	2								0	Guardian.	1	0		0	0	27	Core Set	0	0	0		core						1	1		0		0	None	0	You get +1 [willpower].  [fast] While an investigator at your location is taking his or her turn, discard Police Badge: That investigator may take 2 additional actions this turn.	Item.	0				2
01028	Beat Cop	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-BeatCop-2.webp	Player Card	Asset	0		0	01028	0		4	2								0	Guardian.	1	0	3	0	0	28	Core Set	0	0	0	2	core			1	1					0		0	None	0	You get +1 [combat].  [fast] Exhaust Beat Cop and deal 1 damage to it: Deal 1 damage to an enemy at your location.	Ally. Police.	0				2
01029	Shotgun	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Shotgun.webp	Player Card	Asset	1		0	01029	0		5	2								0	Guardian.	0	0		0	0	29	Core Set	0	0	0		core				2					0		0	None	0	Uses (2 ammo).  [action] Spend 1 ammo: <b>Fight.</b> You get +3 [combat] for this attack. Instead of its standard damage, this attack deals 1 damage for each point you succeed by (to a minimum of 1, to a maximum of 5). If you fail and would damage another investigator, this attack deals 1 damage for each point you fail by (to a minimum of 1, to a maximum of 5).	Item. Weapon. Firearm.	0	2			4
01030	Magnifying Glass	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-MagnifyingGlass.webp	Player Card	Asset	0		0	01030	0		1	2								0	Seeker.	0	0		0	0	30	Core Set	0	0	0		core					1				0		0	None	0	Fast.  You get +1 [intellect] while investigating.	Item. Tool.	0				0
01031	Old Book of Lore	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-OldBookOfLore.webp	Player Card	Asset	1		0	01031	0		3	2								0	Seeker.	0	0		0	0	31	Core Set	0	0	0		core							1		0		0	None	0	[action] Exhaust Old Book of Lore: Choose an investigator at your location. That investigator searches the top 3 cards of his or her deck for a card, draws it, and shuffles the remaining cards into his or her deck.	Item. Tome.	0				0
01032	Research Librarian	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-ResearchLibrarian.webp	Player Card	Asset	0		0	01032	0		2	2								0	Seeker.	0	0	1	0	0	32	Core Set	0	0	1	1	core			1						0		0	None	0	[reaction] After Research Librarian enters play: Search your deck for a [[Tome]] asset and add it to your hand. Shuffle your deck.	Ally. Miskatonic.	0				0
01033	Dr. Milan Christopher: Professor of Entomology	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-DrMilanChristopherProfessorOfEntomology.webp	Player Card	Asset	0		0	01033	0		4	2								0	Seeker.	0	0	1	0	0	33	Core Set	0	0	1	2	core					1				0		0	None	0	You get +1 [intellect].  [reaction] After you successfully investigate: Gain 1 resource.	Ally. Miskatonic.	1				0
01033-1	Dr. Milan Christopher: Professor of Entomology	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-DrMilanChristopherProfessorOfEntomology-2.webp	Player Card	Asset	0		0	01033	0		4	0								0	Seeker.	0	0	1	0	0	33	Core Set	0	0	1	2	core					1				0		1	1.5	0	Mutated.  You get +1 [intellect].  [reaction] After you successfully investigate, exhaust Dr. Milan Christopher: Gain 1 resource.	Ally. Miskatonic.	1				0
01034	Hyperawareness	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Hyperawareness.webp	Player Card	Asset	0		0	01034	0		2	2								0	Seeker.	1	0		0	0	34	Core Set	0	0	0		core			1		1				0		0	None	0	[fast] Spend 1 resource: You get +1 [intellect] for this skill test.  [fast] Spend 1 resource: You get +1 [agility] for this skill test.	Talent.	0				0
01035	Medical Texts	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-MedicalTexts.webp	Player Card	Asset	1		0	01035	0		2	2								0	Seeker.	0	0		0	0	35	Core Set	0	0	0		core				1					0		0	None	0	[action] Choose an investigator at your location and test [intellect] (2). If you succeed, heal 1 damage from that investigator. If you fail, deal 1 damage to that investigator.	Item. Tome.	0				0
01036	Mind over Matter	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-MindOverMatter.webp	Player Card	Event	0		0	01036	0		1	2								0	Seeker.	0	0		0	0	36	Core Set	0	0	0		core			1	1					0		0	None	0	Fast. Play only during your turn.  Until the end of the round, you may use your [intellect] in place of your [combat] and [agility].	Insight.	0				0
01037	Working a Hunch	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-WorkingAHunch.webp	Player Card	Event	0		0	01037	0		2	2								0	Seeker.	0	0		0	0	37	Core Set	0	0	0		core					2				0		0	None	0	Fast. Play only during your turn.  Discover 1 clue at your location.	Insight.	0				0
01038	Barricade	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Barricade.webp	Player Card	Event	0		0	01038	0		0	2								0	Seeker.	0	0		0	0	38	Core Set	0	0	0		core			1		1		1		0		0	None	0	Attach to your location.  Non-[[Elite]] enemies cannot move into attached location.  <b>Forced</b> - When an investigator leaves attached location: Discard Barricade.	Insight. Tactic.	0				0
01039	Deduction	arkham-horror-living-card-game/core-set/ArkhamHorrorLivingCardGame-CoreSet-Deduction.webp	Player Card	Skill	0		0	01039	0			2								0	Seeker.	0	0		0	0	39	Core Set	0	0	0		core					1				0		0	None	0	If this skill test is successful while investigating a location, discover 1 additional clue at that location.	Practiced.	0				0
