cardid,name,cost,color,threshold,type,traits,unique,faction,text,attack,defense,setcode,source,rarity,pve,aionly,socketed,number,block,released,ingame,original,aaprint,reprint,aa,version,banned,notcollectable,artist,guid
23,Pile of Bones,2,B,BB,Troop,Undead Bones,0,,"This can't attack.<p><p>This can't block.<p><p>[(4)], [ACT] [ARROWR] Transform this into a <b>Bone Warrior</b>.",0,1,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Velvet Engine,c72e6441-6717-4bbf-91f1-3fd6707d165d
24,Relentless Corruption,3,B,BB,Basic Action,,0,,Put the top <b>1</b> card of target opposing champion's deck into your hand. The thresholds of those cards all become [BLOOD].<p><b>Escalation</b>.,,,sof,,r,0,0,0,80,0,1,1,0,0,0,0,0,,0,Andres Blanco,1b64b6fc-24a4-403c-87a5-370317d249d8
25,"Darad, the Scourgeblade",4,B,BB,Troop,Necrotic Warrior,1,Underworld,"When Darad attacks, bury the top three cards of each opposing champion's deck.<p><p><b>Deathcry</b> - Put a random troop from an opposing crypt into play under your control.",3,2,kickstarter,,r,1,0,0,0,0,1,1,0,0,0,0,0,,0,Shane Cook,abadad68-7350-49f8-bf98-3434a2171c0e
26,Shadowgrove Witch,4,B,B,Troop,Witch,0,,<b>Deploy</b> - Target opposing champion reveals a random card from their hand. Revealed troops get -2[ATK]/-2[DEF].,2,4,sof,,c,0,0,0,84,0,1,1,0,0,0,0,0,,0,Anders Finer,832936a2-7a1a-497e-9be9-4e9d9bf7884a
27,Shamed Gladiator,2,B,B,Troop,Orc Warrior,0,Ardent,<b>SOCKETABLE MINOR</b><p><p><b>Deploy</b> - This deals 2 damage to you.,2,2,sof,,u,0,0,1,85,0,1,1,0,0,0,0,0,,0,Anders Finer,b7172b6a-ef85-4fef-91e1-81975b4ce7cd
28,Terrible Transfer,5,B,B,Quick Action,,0,,<b>Lifedrain</b><p>Deal 1 damage to target troop for each [BLOOD] you have.,,,sof,,c,0,0,0,89,0,1,1,0,0,0,0,0,,0,Anders Finer,d907b541-33fb-4d9a-bf3f-e9ebabb37c68
29,The Mushwocky,4,B,BB,Troop,Shroomkin Mutant,0,,"As The Mushwocky enters play, if it is hungry*, you may sacrifice any number of Shin'hare. The Mushwocky gets +3[ATK]/+3[DEF] for each Shin'hare sacrificed this way.<p>(*The Mushwocky is always hungry.)",1,1,sof,,r,0,0,0,90,0,1,1,0,0,0,0,0,,0,Julia Yang,0863694f-a615-409a-a913-03fe4efa0c7e
30,Uruunaz,7,B,BBB,Troop,Dragon,1,,"<b>Flight</b><p><p><b>Deploy</b> - You may put target troop from an opposing crypt into play under your control.<p><p>When Uruunaz deals damage to an opposing champion, you may put target troop from an opposing crypt into play under your control.",5,5,sof,,l,0,0,0,92,0,1,1,0,0,1992,0,0,,0,Raymond Swanland,a415f384-9c64-4138-8e78-9fb6eac032bd
31,Vampire King,4,B,BB,Troop,Undead Vampire King,0,,"<b>Flight</b>, <b>Lifedrain</b><p><p>When this deals damage to an opposing champion, reveal a random card from their hand. If it is a troop, transform it into a <b>Vampire</b> and put it into play under your control.",3,4,sof,,l,0,0,0,93,0,1,1,0,0,0,0,0,,0,Zoltan Boros,46c02066-29af-4b7d-bbcb-41ba76e8120f
32,Wretched Brood,2,B,BB,Constant,,0,,"At the start of your turn, lose 1 health. Summon a <b>Battle Hopper</b>.",,,sof,,r,0,0,0,96,0,1,1,0,0,0,0,0,,0,Hector Ortiz,188259f9-3ce2-4dd1-87b5-f0d1d6c91de9
33,Xentoth's Chosen,6,B,BB,Troop,Vennen Warrior,0,Underworld,"As an additional cost to play this, sacrifice two troops.<p><p><b>Unblockable</b>",5,4,sof,,u,0,0,0,98,0,1,1,0,0,0,0,0,,0,Dani Oduber,e99983ef-f945-4fd9-9509-641b7dfb0d80
34,Zombie Plague,3,B,BB,Constant,,0,,"At the start of your turn, reveal three random cards from opposing champion's deck. Revealed troops get -1[ATK]/-1[DEF]. Void revealed troops with [DEF] 0 or less. Summon a <b>Zombie</b> for each troop voided this way.",,,sof,,l,0,0,0,100,0,1,1,0,853,0,0,0,,0,Thomas M Baxa,7c1ee534-b78e-4ac0-a9ec-55fa3b877576
35,Ascetic Aspirant,4,D,DD,Troop,Human,0,Ardent,[ACT] [ARROWR] Transform this into an <b>Enlightened Seeker</b>.,3,4,sof,,r,0,0,0,105,0,1,1,0,0,0,0,0,,0,Xia Taptara,de2bee5e-e0e4-4448-9d2e-a67e874e1478
36,Blessing the Fallen,3,D,D,Constant,,0,,Troops you control are inspired by troops with <b>Inspire</b> in your crypt as though they were in play.,,,sof,,r,0,0,0,106,0,1,1,0,0,0,0,0,,0,Anders Finer,a75e46e7-2473-45af-99a1-3c82d36f0107
37,Blinding Light,3,D,D,Quick Action,,0,,Prevent all damage that would be dealt to you and troops you control this turn.,,,sof,,u,0,0,0,107,0,1,1,0,0,5612,0,0,,0,Cindy Avelino,c3a35eb5-526d-4ef0-8643-791f08b1272c
38,Bravery,1,D,D,Quick Action,,0,,Target troop gets +1[ATK]/+1[DEF].,,,sof,,c,0,0,0,108,0,1,1,0,0,0,0,0,,0,Steven Stahlberg,34440ca6-1296-4ec5-be35-cd8809524759
39,Enlightened Seeker,4,D,DD,Troop,Enlightened Human,0,Ardent,"You can't play cards.<p><p>At the end of your turn, draw a card. Then, if you have seven or more cards in hand, transform this into <b>The Transcended</b>.",0,1,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Xia Taptara,7e223c29-0cf7-47db-a814-f8c1eb828c00
40,"His Majesty, King Gabriel",6,D,DD,Troop,Human Warrior King,1,Ardent,<b>Steadfast</b><p><p><b>Deploy</b> - Summon <b>Boldheart</b>.,4,4,sof,,l,0,0,0,120,0,1,1,0,0,0,0,0,,0,Michael Komarck,94afc6d2-f659-410e-b962-a0d5b8d2ee96
41,Inner Conflict,3,D,D,Basic Action,,0,,"Target troop gets ""This can't attack or block.""",,,sof,,c,0,0,0,125,0,1,1,0,0,0,0,0,,0,Anton Kokarev,27f4a397-1aca-4910-9508-e91871d44284
42,Kraken Guard Mariner,2,D,D,Troop,Human Rogue,0,Ardent,"<b>Inspire</b> - As another troop with cost equal to or greater than this troop's cost enters play under your control, that troop gets <b>Steadfast</b>.",2,2,sof,,u,0,0,0,127,0,1,1,0,0,0,0,0,,0,Justin Gerrard,e3a0ca9c-c21c-45d3-a36d-c4d5c03e445d
43,Lady Cassandra,4,D,DD,Troop,Human Warrior,1,Ardent,<b>SOCKETABLE MAJOR</b><p><p><b>SOCKETABLE MINOR</b><p><p>Lady Cassandra has +2[ATK]/+2[DEF] for each King you control.<p><p>Lady Cassandra has +2[ATK]/+2[DEF] for each Queen you control.<p><p>Lady Cassandra has +2[ATK]/+2[DEF] for each Prince you control.<p><p>Lady Cassandra has +2[ATK]/+2[DEF] for each Princess you control.,3,4,kickstarter,,r,1,0,21,0,0,1,1,0,0,0,0,0,,0,Polar Engine Studio,abd634cb-d56e-43f5-9344-5cefbbcb19e8
44,Hero of Adamanth,5,D,D,Troop,Human Warrior,0,Ardent,"As this enters play, reveal the top ten cards of your deck. This gets +2[ATK]/+2[DEF] for each Human revealed this way. Put the revealed cards into your deck.",0,0,sof,,r,0,0,0,118,0,1,1,0,0,0,0,0,,0,Tomasz Jedruszek,e61cfe4e-27c8-4e15-be92-41344afebf68
45,Moment of Glory,4,D,DD,Quick Action,,0,,"Target blocking troop or blocked troop you control gets +6[ATK]/+6[DEF] this turn. Then, move each <b>Moment of Glory</b> in your deck up three spaces.<p><p>[DIAMOND][DIAMOND]: When a troop you control blocks, if this is in the top three cards of your deck, play this for free.<p><p>[DIAMOND][DIAMOND]: When a troop you control becomes blocked, if this is in the top three cards of your deck, play this for free.",,,kickstarter,,r,1,0,0,0,0,1,1,0,0,0,0,0,,0,Andreas Zafeiratos,16086538-41c5-4aa4-aa76-2adde93a218a
46,"Ozawa, Cosmic Elder",8,D,DD,Troop,Coyotle Elder,1,Ardent,<b>Lifedrain</b><p><p>This has +X[ATK]/+X[DEF] where X is your health.,0,0,sof,,l,0,0,0,135,0,1,1,0,537,0,0,0,,0,Michael Komarck,64d8e685-c699-4396-b1fd-afa38f4a3e29
47,Princess Victoria,3,D,D,Troop,Human Princess,1,Ardent,"If Princess Victoria is in your opening hand, she gets cost -[(3)].<p><p><b>Inspire</b> - As another troop with cost equal to or greater than Princess Victoria's cost enters play under your control, that troop gets <b>Lifedrain</b>.",1,2,sof,,r,0,0,0,139,0,1,1,0,532,0,0,0,,0,Justin Gerrard,027ca77c-90c7-4e44-9b1d-688fd9377367
48,Protectorate Clergyman,3,D,D,Troop,Human Cleric,0,Ardent,"<b>Inspire</b> - As another troop with cost equal to or greater than this troop's cost enters play under your control, that troop gets +1[ATK]/+1[DEF].",3,2,sof,,u,0,0,0,140,0,1,1,0,0,0,0,0,,0,Xia Taptara,c6319453-10ce-4986-a9aa-51d573310996
49,Rose Lion,2,D,D,Troop,Plant,0,,"When this attacks or blocks, it loses these powers.",0,1,sof,,u,0,0,0,150,0,1,1,0,0,0,0,0,,0,Kieran Yanner,91475dae-5b28-40a2-8d40-b9ac55ffc4a4
50,Soothing Breeze,2,D,D,Quick Action,,0,,Gain 7 health.,,,sof,,c,0,0,0,155,0,1,1,0,0,0,0,0,,0,Red Hot CG,ad8d03a9-8da2-462e-ad47-83fdb098b3fd
51,Soul Armaments,2,D,D,Constant,,0,,"Troops you control have +2[ATK]/+2[DEF], <b>Spellshield</b>, and <b>Steadfast</b>.",,,token,,g,0,0,0,0,0,1,1,0,1301,0,0,0,,1,Robb Mommaerts,02290b36-646f-4492-904a-0ca4a1c7d164
52,Soul Cavalry,2,D,D,Troop,Construct,0,,"<b>Spellshield</b>, <b>Steadfast</b>",6,6,token,,g,0,0,0,0,0,1,1,0,1300,0,0,0,,1,Robb Mommaerts,e60bd465-41ef-4597-9ee3-eb4f8701c076
53,Soul Marble,2,D,D,Constant,,0,,"[(X>=1)] [ARROWR] Add X sculpture counters to this. Then, if there are ten or more, remove them all and choose one: <b>Choose Soul Cavalry</b>; or <b>Choose Soul Armaments</b>.",,,sof,,r,0,0,0,156,0,1,1,0,1271,0,0,0,,0,Robb Mommaerts,5d3cefe1-d139-4fb0-a480-254616a2fcf5
54,The Transcended,4,D,DD,Troop,Transcended,0,Ardent,"If you would draw a card, search your deck for a card and put it into your hand instead.",5,6,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Xia Taptara,339f334e-daab-4249-a05b-a6c4a27ca0a1
55,Experimental War Hulk,5,,,"Artifact, Troop",Robot,0,,<b>Crush</b><p><p>[(2)] [ARROWR] This gets +1[ATK]/+0[DEF] this turn.,3,4,sof,,u,0,0,0,21,0,1,1,0,0,0,0,0,,0,Jeremy Love,b60f4bfe-2d8b-42e1-96ad-f22de776f3f7
56,"Argus, Herald of Doom",12,,,"Artifact, Troop",Construct,1,,"<b>Flight</b><p><p>At the start of your turn, reveal Argus from your hand, and it gets cost -[(1)].<p><p>[ACT] [ARROWR] Void target card.",5,5,sof,,l,0,0,0,3,0,1,1,0,0,0,0,0,,0,Ekatarina Orange,e9b37ccc-6f20-4f8f-8a93-90a85179f5b3
57,Mystic Squirrel,3,,,Troop,Beast Squirrel,0,,<b>Unlimited</b><p><b>Deploy</b> - Create a random rare or legendary that you meet the threshold requirements to play and put it into your hand.,3,1,token,,u,1,0,0,0,0,1,1,0,0,0,0,0,,0,Max Birdfall,ec42c3d2-4077-4b58-903e-aff3e7fe76c5
58,Boldheart,6,D,DD,Troop,Great Wolf,1,Ardent,"Prevent all damage that would be dealt to <b>His Majesty, King Gabriels</b> you control.",6,5,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Michael Komarck,fcdb7e40-b083-44cc-85af-ce450d2973f3
59,Booby Trap,0,,,Artifact,Trap,0,,"If this would enter a hand or crypt, void it. Reveal it. It deals 4 damage to you instead.",,,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Grzegorz Pedrycz,9c1acda8-778b-4dd0-b278-7fee21e203af
60,Chaos Key,2,,,Artifact,Chaostouched,0,,"[BASIC] [(5)], Void this [ARROWR] Void target card.",,,sof,,r,0,0,0,7,0,1,1,0,858,0,0,0,,0,Jim Nelson,2bf33499-fa29-4430-a63f-075fd220fb01
61,Charge Bot,1,,,"Artifact, Troop",Robot,0,,<b>Deploy</b> - Gain a charge.,1,1,sof,,c,0,0,0,8,0,1,1,0,0,0,0,0,,0,Jeremy Love,7325706e-6bf1-4ca4-8d6b-5da13ac069f4
62,Doppelgadget,3,,,Artifact,Shapeshifter,0,,"At the start of your turn, you may have this transform into a replica of target non-Shapeshifter artifact with cost [(4)] or less you control. This retains this power.",,,sof,,r,0,0,0,15,0,1,1,0,0,0,0,0,,0,Brett Mitchell,cd71512e-2843-48c1-857c-83863ab0ab1a
63,Fungal Monstrosity,6,B,BBB,Troop,Shroomkin,0,,"<b>Crush</b><p><p><b>Deploy</b> - Each opposing champion summons five <b>Shin'hare Jailors</b>.<p><p>While an opposing champion controls a <b>Shin'hare Jailor</b>, this can't attack or block.",12,12,wheel2,,l,1,0,0,0,0,1,1,0,0,0,0,0,,0,Robb Mommaerts,d71de83e-67fc-442a-b51c-0f7a38122eff
64,Shiitake Chef,3,W,W,Troop,Shroomkin,0,,"At the start of your turn, choose one at random: A random troop you control gets +1[ATK]/+1[DEF]; Gain [L0][R1]; or Gain 1 health.",1,4,wheel2,,r,1,0,0,0,0,1,1,0,0,0,0,0,,0,Concept Art House,15f872f1-ebf1-4358-916f-b22b3173bf37
66,Goblin Cooking Pot,1,,,Artifact,,0,,"[BASIC]: [(2)], Sacrifice this [ARROWR] This deals 1 damage to each opposing champion. They lose a charge. Each opposing champion discards a card.",,,sof,,u,0,0,0,22,0,1,1,0,0,0,0,0,,0,Julia Yang,94fb93ca-ae28-4dd6-a3c2-819da125d200
67,Honeycap,4,W,W,Troop,Shroomkin,0,,"As this enters play, it gets +1[ATK]/+1[DEF] for each [WILD] you have.",0,0,sof,,c,0,0,0,304,0,1,1,0,0,0,0,0,,0,Colas Gauthier,405b0dc8-a4b6-46c0-95f1-33e7eb74fd60
68,Judgement,6,D,DD,Basic Action,,0,,Destroy all cards with cost less than the highest cost among cards you control.,,,sof,,r,0,0,0,126,0,1,1,0,0,0,0,0,,0,Anders Finer,0931730a-c562-475c-b965-1725b0680c48
69,Kraken's Tentacle,1,S,S,Troop,Tentacle,0,,[ACT] [ARROWR] Exhaust target troop.,1,1,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Filip Acovic,26e0fb07-13a9-4120-9576-48ba7b41a2a9
70,Malfunctioning War Bot,2,,,"Artifact, Troop",Robot,0,,"At the start of your turn, this deals 1 damage to a random champion.",2,2,sof,,u,0,0,0,28,0,1,1,0,0,0,0,0,,0,Greg Smith,20b38d5f-ec11-4928-b10e-ee4d77df83bf
71,Midnight Shepherd,2,B,B,Troop,Necrotic Warlock,0,Underworld,[BLOOD][DIAMOND][RUBY][SAPPHIRE][WILD]: [ACT] [ARROWR] Put target troop in a crypt into play under your control.,1,1,sof,,r,0,0,0,75,0,1,1,0,0,0,0,0,,0,Ekatarina Orange,4bd96791-e4e6-47e2-acb3-7d33b5aff227
72,Ruby Lance,3,R,R,Quick Action,,0,,Deal 1 damage to target troop for each [RUBY] you have.,,,sof,,c,0,0,0,207,0,1,1,0,0,0,0,0,,0,Tomasz Jedruszek,e3c3ecbf-ab23-4320-8c20-73d588244ba0
74,Shrine of Prosperity,2,,,Artifact,,0,,"At the start of your turn, reveal the top card of your deck. Each revealed troop gets +1[ATK]/+1[DEF]. Each revealed Resource gets ""Gain a charge."" Each revealed non-troop, non-resource card gets cost -[(1)].",,,sof,,r,0,0,0,33,0,1,1,0,0,0,0,0,,0,Red Hot CG,decb8ca0-0a46-4761-8a51-a68c669d9e1d
75,Nori,3,B,B,Troop,Shin'hare Warrior,1,Underworld,<b>SOCKETABLE MINOR</b><p><p>Nori has +1[ATK] for each Shin'hare in your crypt.,1,3,arenarewards,,r,1,0,1,56,0,1,1,0,0,0,0,0,,0,Zoltan Boros,945b0039-8fd9-4aa2-86cc-bda87f2a4ed5
76,Spectral Acorn,0,,,Artifact,,0,,"<b>Spectral</b><p><p><b>Deploy</b> - Draw a card.<p><p>[ACT] [ARROWR] Gain [L3][R0]. Gain three of the same thresholds of your choice. Then, put this into your hand. Replace this in your collection with a <b>Mystic Squirrel</b>. Irreversibly transform this into a <b>Mystic Squirrel</b>.",,,kickstarter,,l,1,0,0,0,0,1,1,0,0,0,0,0,,0,Tatiana Vetrova,0cfb7ee4-bb48-4606-bd27-fa6e13ad21c4
77,Death Cap,3,B,B,Troop,Shroomkin,0,,"<b>Lethal</b> <p><p>When this deals damage to an opposing champion, that champion loses a charge.",2,1,wheel2,,u,1,0,0,0,0,1,1,0,0,0,0,0,,0,Concept Art House,a8f388ce-8c1c-4f6c-b34c-a222fad4f4b0
78,Tectonic Break,7,W,WW,Basic Action,,0,,"For each troop, randomly determine if it is destroyed as follows: Each troop has a 10% chance of not being destroyed for each point of [DEF] it has.",,,sof,,r,0,0,0,330,0,1,1,0,0,0,0,0,,0,Red Hot CG,940cd852-123f-4d78-8c15-987efe7c90d5
79,The Kraken,8,S,SSS,Troop,Kraken,1,,"As The Kraken enters play, summon eight <b>Kraken's Tentacles</b>.<p><p>When The Kraken leaves play, void all <b>Kraken's Tentacles</b> you control.<p><p>The Kraken has +1[ATK]/+1[DEF] for each <b>Kraken's Tentacle</b> you control.",0,0,sof,,l,0,0,0,274,0,1,1,0,3587,0,0,0,,0,Zoltan Boros,a88cc3cf-89f2-4a0a-9535-5686b2e54c33
80,Time Bug,2,,,"Artifact, Troop",Insect,0,,<b>Flight</b><p><p>Put two <b>Time Bugs</b> you control that dealt damage to an opposing champion this turn into your deck [ARROWR] Take an additional turn after this one.,1,1,sof,,r,0,0,0,38,0,1,1,0,0,0,0,0,,0,Grzegorz Pedrycz,29231b4b-582b-46af-b327-5e8d507e4375
81,Turreted Wall,4,,,"Artifact, Troop",Wall,0,,"<b>Defensive</b><p><p>At the start of your turn, this deals 1 damage to each opposing champion.",0,5,sof,,c,0,0,0,39,0,1,1,0,0,0,0,0,,0,Velvet Engine,f38c1a97-fd54-41ba-8934-09d4ec55d2f8
82,Vampire,2,B,BB,Troop,Undead Vampire,0,,"<b>Lifedrain</b>, <b>Flight</b>",2,2,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Zoltan Boros,8b5adb92-22fc-4c6d-aefa-95dca4c8fe7a
83,Volcannon,5,,,Artifact,,0,,"[ACT], Exhaust a Dwarf or Robot you control [ARROWR] This deals 3 damage to each opposing champion.<p><p>Exhaust two Dwarves and/or Robots you control [ARROWR] Ready this.",,,sof,,u,0,0,0,40,0,1,1,0,0,0,0,0,,0,Zoltan Boros,e7ea9acc-8830-4a37-9c2e-8c795f427032
84,War Bot,4,,,"Artifact, Troop",Robot,0,,,3,3,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Greg Smith,8b5340d4-399e-4bf7-b031-698d20d53a56
85,Worker Bot,1,,,"Artifact, Troop",Robot,0,,<b>Defensive</b>,1,1,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Jeremy Love,ce57cae9-c573-4098-97a6-8637711aef26
86,Worker Bot Factory,5,,,Artifact,Factory,0,,"[(2)], [ACT] [ARROWR] Summon a <b>Worker Bot</b>.",,,sof,,u,0,0,0,41,0,1,1,0,0,0,0,0,,0,Ekatarina Orange,0551a3ae-92e4-48bf-8466-2f8d55b7a960
87,Ash Harpy,6,R,RR,Troop,Harpy,0,,"<b>Flight</b>, <b>Speed</b>, <b>Rage 4</b>",0,4,sof,,r,0,0,0,163,0,1,1,0,0,0,0,0,,0,El Garing,b47fdeea-4bfd-4ff2-a4ea-b8286d371f95
88,Blaze Elemental,3,R,RR,Troop,Elemental,0,,"<b>Speed</b><p><p>At the end of your turn, sacrifice this.",3,1,token,,g,0,0,0,0,0,1,1,0,0,0,0,0,,1,Jakub Kasper,4bc00b6f-1baf-4962-85e8-e2de9e204037
89,Bloodcrazed Zealot,5,R,R,Troop,Orc Warlock,0,Ardent,,5,4,sof,,c,0,0,0,167,0,1,1,0,0,5620,0,0,,0,Velvet Engine,74745e7a-108f-481f-b4fd-03c1fbbce8d4
90,Burn,1,R,R,Quick Action,,0,,Deal 2 damage to target champion or troop.,,,sof,,c,0,0,0,169,0,1,1,0,926,0,0,0,,0,Diego de Almeida,8be63c6d-c744-4274-a07d-d4197366db97
91,Burn to the Ground,1X,R,RR,Basic Action,,0,,Deal X damage to target champion or troop.,,,sof,,u,0,0,0,170,0,1,1,0,0,0,0,0,,0,Diego de Almeida,0fe0fcf5-1054-463c-ab01-a1b5743d66b9
92,Elimination Specialist,4,R,R,Troop,Dwarf Ranger,0,Underworld,"<b>Deploy</b> - Add a rocket counter to this for each artifact you control.<p><p>[BASIC]: Remove a rocket counter from this [ARROWR] This deals 1 damage to target troop.<p><p>At end of turn, remove all rocket counters from this.",3,2,sof,,u,0,0,0,178,0,1,1,0,0,0,0,0,,0,Paul Guzenko,97c3e932-ef69-4731-9227-043f820c26b1
93,Goreseeker,5,R,RR,Troop,Orc Warrior,0,Ardent,"<b>Swiftstrike</b>, <b>Rage 1</b><p><p><i>(When this attacks, it gets +1[ATK]/+0[DEF].)</i>",3,2,sof,,u,0,0,0,185,0,1,1,0,0,0,0,0,,0,El Garing,8ff92c79-aab4-4ddf-b559-c3202e8b56fc
94,"Poca, The Conflagrater",3,R,R,Troop,Orc Mage,1,Ardent,"<b>Speed</b><p><p>At the start of your combat phase, summon a <b>Blaze Elemental</b>.",3,3,ai,,e,1,1,0,38,0,1,1,0,0,0,0,0,,1,Jakub Kasper,4dc8bff7-17b3-4497-8bec-3d8537a30260
