databaseId	name	imageUrl	cardBack	type	set	rarity	cost	keywords	inspiration	stage	subtitle	text	loadGroupId
BP01-CR03star	Pinkie Pie (BP01 3star)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP013star.jpg	default	Character	BP01	CR*	2	Earth Pony / Pinkie Pie	3			|Appear| Reveal the top 3 cards of your Deck, choose 1 Item from them, add it to Hand, move the rest to Retirement Area.	playerNDeck
BP01-CR04	Applejack (BP01 3)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP013.jpg	default	Character	BP01	CR	3	Earth Pony / Applejack	4			|Farewell| If there is any untapped Scene in your Scene Area, choose 1 Character with Inspiration 4 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-CR04star	Applejack (BP01 3star)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP013star.jpg	default	Character	BP01	CR*	3	Earth Pony / Applejack	4			|Farewell| If there is any untapped Scene in your Scene Area, choose 1 Character with Inspiration 4 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-CR05	Rainbow Dash (BP01 3)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP013.jpg	default	Character	BP01	CR	2	Pegasus / Rainbow Dash	3			|Farewell| Choose 1 Character with Inspiration 2 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-CR05star	Rainbow Dash (BP01 3star)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP013star.jpg	default	Character	BP01	CR*	2	Pegasus / Rainbow Dash	3			|Farewell| Choose 1 Character with Inspiration 2 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-CR06	Rarity (BP01 3)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP013.jpg	default	Character	BP01	CR	4	Unicorn / Rarity	5			|Farewell| Choose 1 <Rarity> with Cost of Force of Harmony 3 or less in your Retirement Area, add it to Hand.	playerNDeck
BP01-CR06star	Rarity (BP01 3star)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP013star.jpg	default	Character	BP01	CR*	4	Unicorn / Rarity	5			|Farewell| Choose 1 <Rarity> with Cost of Force of Harmony 3 or less in your Retirement Area, add it to Hand.	playerNDeck
BP01-CR07	Twilight Sparkle (BP01 5)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP015.jpg	default	Character	BP01	CR	2	Unicorn / Twilight Sparkle	3			|Adventure| While there is any Event in your Retirement Area, this Character gets +2 Inspiration in your turn.	playerNDeck
BP01-CR07star	Twilight Sparkle (BP01 5star)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP015star.jpg	default	Character	BP01	CR*	2	Unicorn / Twilight Sparkle	3			|Adventure| While there is any Event in your Retirement Area, this Character gets +2 Inspiration in your turn.	playerNDeck
BP01-CR08	Fluttershy (BP01 4)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP014.jpg	default	Character	BP01	CR	3	Pegasus / Fluttershy	5			|Farewell| Choose 1 <Pet> in your Adventure Area, it gets +1 Inspiration until the end of turn.	playerNDeck
BP01-CR08star	Fluttershy (BP01 4star)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP014star.jpg	default	Character	BP01	CR*	3	Pegasus / Fluttershy	5			|Farewell| Choose 1 <Pet> in your Adventure Area, it gets +1 Inspiration until the end of turn.	playerNDeck
BP01-CR09	Pinkie Pie (BP01 4)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP014.jpg	default	Character	BP01	CR	5	Earth Pony / Pinkie Pie	6			|Adventure| [Tap] Choose 1 Item with Cost of Force of Harmony 2 or less in your Retirement Area, add it to your Hand.	playerNDeck
BP01-CR09star	Pinkie Pie (BP01 4star)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP014star.jpg	default	Character	BP01	CR*	5	Earth Pony / Pinkie Pie	6			|Adventure| [Tap] Choose 1 Item with Cost of Force of Harmony 2 or less in your Retirement Area, add it to your Hand.	playerNDeck
BP01-CR10	Applejack (BP01 4)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP014.jpg	default	Character	BP01	CR	3	Earth Pony / Applejack	3			|Appear| Choose 2 Scenes in your Area, untap them.	playerNDeck
BP01-CR10star	Applejack (BP01 4star)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP014star.jpg	default	Character	BP01	CR*	3	Earth Pony / Applejack	3			|Appear| Choose 2 Scenes in your Area, untap them.	playerNDeck
BP01-CR11	Rainbow Dash (BP01 4)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP014.jpg	default	Character	BP01	CR	4	Pegasus / Rainbow Dash	5			|Adventure| [Tap] Choose 1 other <Pegasus> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-CR11star	Rainbow Dash (BP01 4star)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP014star.jpg	default	Character	BP01	CR*	4	Pegasus / Rainbow Dash	5			|Adventure| [Tap] Choose 1 other <Pegasus> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-CR12	Rarity (BP01 4)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP014.jpg	default	Character	BP01	CR	2	Unicorn / Rarity	4			|Appear| If there is any other <Rarity> in your Adventure Area, choose 1 Character in Rival's Adventure Area, it gets -1 Inspiration until the end of turn.	playerNDeck
BP01-CR12star	Rarity (BP01 4star)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP014star.jpg	default	Character	BP01	CR*	2	Unicorn / Rarity	4			|Appear| If there is any other <Rarity> in your Adventure Area, choose 1 Character in Rival's Adventure Area, it gets -1 Inspiration until the end of turn.	playerNDeck
BP01-ER01	Golden Oak Library	my-little-pony/bp01/MyLittlePony-BP01-GoldenOakLibrary.jpg	default	Scene	BP01	ER	-	Everyday	-			|Inspo Boost| Your <Twilight Sparkle> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER01star	Golden Oak Library*	my-little-pony/bp01/MyLittlePony-BP01-GoldenOakLibrary-2.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Twilight Sparkle> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER01-2star	Golden Oak Library**	my-little-pony/bp01/MyLittlePony-BP01-GoldenOakLibrary-3.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Twilight Sparkle> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER02	Fluttershy's Cottage	my-little-pony/bp01/MyLittlePony-BP01-FluttershysCottage.jpg	default	Scene	BP01	ER	-	Everyday	-			|Inspo Boost| Your <Fluttershy> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER02star	Fluttershy's Cottage*	my-little-pony/bp01/MyLittlePony-BP01-FluttershysCottage-2.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Fluttershy> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER02-2star	Fluttershy's Cottage**	my-little-pony/bp01/MyLittlePony-BP01-FluttershysCottage-3.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Fluttershy> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER03	Sugarcube Corner	my-little-pony/bp01/MyLittlePony-BP01-SugarcubeCorner.jpg	default	Scene	BP01	ER	-	Everyday	-			|Inspo Boost| Your <Pinkie Pie> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER03star	Sugarcube Corner*	my-little-pony/bp01/MyLittlePony-BP01-SugarcubeCorner-2.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Pinkie Pie> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER03-2star	Sugarcube Corner**	my-little-pony/bp01/MyLittlePony-BP01-SugarcubeCorner-3.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Pinkie Pie> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER04	Sweet Apple Acres	my-little-pony/bp01/MyLittlePony-BP01-SweetAppleAcres.jpg	default	Scene	BP01	ER	-	Everyday	-			|Inspo Boost| Your <Applejack> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER04star	Sweet Apple Acres*	my-little-pony/bp01/MyLittlePony-BP01-SweetAppleAcres-2.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Applejack> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER04-2star	Sweet Apple Acres**	my-little-pony/bp01/MyLittlePony-BP01-SweetAppleAcres-3.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Applejack> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER05	Cloudominium	my-little-pony/bp01/MyLittlePony-BP01-Cloudominium.jpg	default	Scene	BP01	ER	-	Everyday	-			|Inspo Boost| Your <Rainbow Dash> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER05star	Cloudominium*	my-little-pony/bp01/MyLittlePony-BP01-Cloudominium-2.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Rainbow Dash> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER05-2star	Cloudominium**	my-little-pony/bp01/MyLittlePony-BP01-Cloudominium-3.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Rainbow Dash> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER06	Carousel Boutique	my-little-pony/bp01/MyLittlePony-BP01-CarouselBoutique.jpg	default	Scene	BP01	ER	-	Everyday	-			|Inspo Boost| Your <Rarity> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER06star	Carousel Boutique*	my-little-pony/bp01/MyLittlePony-BP01-CarouselBoutique-2.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Rarity> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-ER06-2star	Carousel Boutique**	my-little-pony/bp01/MyLittlePony-BP01-CarouselBoutique-3.jpg	default	Scene	BP01	ER*	-	Everyday	-			|Inspo Boost| Your <Rarity> gets +1 Inspiration until the end of this Contact.	playerNSceneDeck
BP01-GR01	Twilight Sparkle (BP01 6)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP016.jpg	default	Character	BP01	GR	3	Unicorn / Twilight Sparkle	5			|Appear| If there is any Event in your Retirement Area, choose 1 <Spike> in your Adventure Area, it gets +1 Inspiration until the end of turn.	playerNDeck
BP01-GR01star	Twilight Sparkle (BP01 6star)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP016star.jpg	default	Character	BP01	GR*	3	Unicorn / Twilight Sparkle	5			|Appear| If there is any Event in your Retirement Area, choose 1 <Spike> in your Adventure Area, it gets +1 Inspiration until the end of turn.	playerNDeck
BP01-GR02	Fluttershy (BP01 5)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP015.jpg	default	Character	BP01	GR	4	Pegasus / Fluttershy	6			|Preplan| If there is any <Pet> in your Adventure Area, draw 2 cards.	playerNDeck
BP01-GR02star	Fluttershy (BP01 5star)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP015star.jpg	default	Character	BP01	GR*	4	Pegasus / Fluttershy	6			|Preplan| If there is any <Pet> in your Adventure Area, draw 2 cards.	playerNDeck
BP01-GR03	Pinkie Pie (BP01 5)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP015.jpg	default	Character	BP01	GR	3	Earth Pony / Pinkie Pie	4			|Appear| If there is any Item in your Retirement Area, draw 1 card.	playerNDeck
BP01-GR03star	Pinkie Pie (BP01 5star)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP015star.jpg	default	Character	BP01	GR*	3	Earth Pony / Pinkie Pie	4			|Appear| If there is any Item in your Retirement Area, draw 1 card.	playerNDeck
BP01-GR04	Applejack (BP01 5)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP015.jpg	default	Character	BP01	GR	4	Earth Pony / Applejack	6			|Preplan| Draw 1 card.	playerNDeck
BP01-GR04star	Applejack (BP01 5star)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP015star.jpg	default	Character	BP01	GR*	4	Earth Pony / Applejack	6			|Preplan| Draw 1 card.	playerNDeck
BP01-GR05	Rainbow Dash (BP01 5)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP015.jpg	default	Character	BP01	GR	7	Pegasus / Rainbow Dash	9			While there is no Character in your Adventure Area, this Character gets -1 Cost of Force of Harmony when played from Hand.	playerNDeck
BP01-GR05star	Rainbow Dash (BP01 5star)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP015star.jpg	default	Character	BP01	GR*	7	Pegasus / Rainbow Dash	9			While there is no Character in your Adventure Area, this Character gets -1 Cost of Force of Harmony when played from Hand.	playerNDeck
BP01-GR06	Rarity (BP01 5)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP015.jpg	default	Character	BP01	GR	5	Unicorn / Rarity	6			|Adventure| [Tap] Choose 1 <Rarity> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-GR06star	Rarity (BP01 5star)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP015star.jpg	default	Character	BP01	GR*	5	Unicorn / Rarity	6			|Adventure| [Tap] Choose 1 <Rarity> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-GR07	Twilight Sparkle (BP01 7)	my-little-pony/bp01/MyLittlePony-BP01-TwilightSparkleBP017.jpg	default	Character	BP01	GR	4	Unicorn / Twilight Sparkle	5			|Appear| Choose 1 <Spike> with Cost of Force of Harmony 3 or less in your Retirement Area, add it to Hand.	playerNDeck
BP01-GR08	Fluttershy (BP01 6)	my-little-pony/bp01/MyLittlePony-BP01-FluttershyBP016.jpg	default	Character	BP01	GR	2	Pegasus / Fluttershy	3			|Appear| Reveal the top 3 cards of your Deck, choose 1 <Angel> from them, add it to Hand, move the rest to Retirement Area.	playerNDeck
BP01-GR09	Pinkie Pie (BP01 6)	my-little-pony/bp01/MyLittlePony-BP01-PinkiePieBP016.jpg	default	Character	BP01	GR	2	Earth Pony / Pinkie Pie	3			|Adventure| While this Character is adorned with Item, all Characters in your Adventure Area get +1 Inspiration in your turn.	playerNDeck
BP01-GR10	Applejack (BP01 6)	my-little-pony/bp01/MyLittlePony-BP01-ApplejackBP016.jpg	default	Character	BP01	GR	4	Earth Pony / Applejack	5			|Adventure| [Tap] Choose 1 Scene in your Scene Area, untap it.	playerNDeck
BP01-GR11	Rainbow Dash (BP01 6)	my-little-pony/bp01/MyLittlePony-BP01-RainbowDashBP016.jpg	default	Character	BP01	GR	2	Pegasus / Rainbow Dash	3			While there is any Character in Rival's Adventure Area and no Character in your Adventure Area, this Character gets -1 Cost of Force of Harmony when played from Hand.	playerNDeck
BP01-GR12	Rarity (BP01 6)	my-little-pony/bp01/MyLittlePony-BP01-RarityBP016.jpg	default	Character	BP01	GR	5	Unicorn / Rarity	6			|Preplan| Choose 1 Character in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-SPR01	Sunlight in the Rain	my-little-pony/bp01/MyLittlePony-BP01-SunlightInTheRain.jpg	default	Event	BP01	SPR	2	-	-			Only use when there is any <Rainbow Dash> with Cost of Force of Harmony 3 or less in your Adventure Area. Draw 2 cards.	playerNDeck
BP01-SPR01star	Sunlight in the Rain*	my-little-pony/bp01/MyLittlePony-BP01-SunlightInTheRain-2.jpg	default	Event	BP01	SPR*	2	-	-			Only use when there is any <Rainbow Dash> with Cost of Force of Harmony 3 or less in your Adventure Area. Draw 2 cards.	playerNDeck
BP01-SPR02	Time for Clean-up!	my-little-pony/bp01/MyLittlePony-BP01-TimeForCleanUp.jpg	default	Event	BP01	SPR	3	-	-			Choose 1 Character with Inspiration 4 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-SPR02star	Time for Clean-up!*	my-little-pony/bp01/MyLittlePony-BP01-TimeForCleanUp-2.jpg	default	Event	BP01	SPR*	3	-	-			Choose 1 Character with Inspiration 4 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-SPR03	Deliver Letters	my-little-pony/bp01/MyLittlePony-BP01-DeliverLetters.jpg	default	Event	BP01	SPR	1	-	-			Only use when there is any <Twilight Sparkle> or <Spike> in your Adventure Area. Draw 1 card.	playerNDeck
BP01-SPR04	Award Ceremony	my-little-pony/bp01/MyLittlePony-BP01-AwardCeremony.jpg	default	Event	BP01	SPR	3	-	-			All Characters in your Adventure Area get +1 Inspiration until the end of turn.	playerNDeck
BP01-SPR05	Prepared to Go	my-little-pony/bp01/MyLittlePony-BP01-PreparedToGo.jpg	default	Event	BP01	SPR	2	-	-			Choose 1 <Pinkie Pie> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-SPR05star	Prepared to Go*	my-little-pony/bp01/MyLittlePony-BP01-PreparedToGo-2.jpg	default	Event	BP01	SPR*	2	-	-			Choose 1 <Pinkie Pie> in your Adventure Area, it gets +2 Inspiration until the end of turn.	playerNDeck
BP01-SPR06	Overspeed Warning!	my-little-pony/bp01/MyLittlePony-BP01-OverspeedWarning.jpg	default	Event	BP01	SPR	2	-	-			Only use when there is any <Pet> in your Adventure Area. Draw 2 cards.	playerNDeck
BP01-SPR07	Hair Curling	my-little-pony/bp01/MyLittlePony-BP01-HairCurling.jpg	default	Event	BP01	SPR	2	-	-			Only use when there are 2 or more Characters in Rival's Adventure Area. Draw 2 cards.	playerNDeck
BP01-SPR07star	Hair Curling*	my-little-pony/bp01/MyLittlePony-BP01-HairCurling-2.jpg	default	Event	BP01	SPR*	2	-	-			Only use when there are 2 or more Characters in Rival's Adventure Area. Draw 2 cards.	playerNDeck
BP01-SPR08	Pillow Fight	my-little-pony/bp01/MyLittlePony-BP01-PillowFight.jpg	default	Event	BP01	SPR	2	-	-			Choose 1 Character in Rival's Adventure Area, it gets -1 Inspiration until the end of turn.	playerNDeck
BP01-SPR08star	Pillow Fight*	my-little-pony/bp01/MyLittlePony-BP01-PillowFight-2.jpg	default	Event	BP01	SPR*	2	-	-			Choose 1 Character in Rival's Adventure Area, it gets -1 Inspiration until the end of turn.	playerNDeck
BP01-SPR09	Rain Under the Roof	my-little-pony/bp01/MyLittlePony-BP01-RainUnderTheRoof.jpg	default	Event	BP01	SPR	3	-	-			All Characters in Rival's Adventure Area get -1 Inspiration until the end of turn.	playerNDeck
BP01-SPR09star	Rain Under the Roof*	my-little-pony/bp01/MyLittlePony-BP01-RainUnderTheRoof-2.jpg	default	Event	BP01	SPR*	3	-	-			All Characters in Rival's Adventure Area get -1 Inspiration until the end of turn.	playerNDeck
BP01-SPR10	Wire Accident	my-little-pony/bp01/MyLittlePony-BP01-WireAccident.jpg	default	Event	BP01	SPR	2	-	-			Only use when Rival has more Plans than you in Story Area. Choose 1 Character with Cost of Force of Harmony 3 or less in Rival's Adventure Area to Retire.	playerNDeck
BP01-SPR11	Make a Cake	my-little-pony/bp01/MyLittlePony-BP01-MakeACake.jpg	default	Event	BP01	SPR	2	-	-			Choose 1 Character with Cost of Force of Harmony 3 or less in your Retirement Area, add it to Hand.	playerNDeck
BP01-SPR12	Hoof Power Test	my-little-pony/bp01/MyLittlePony-BP01-HoofPowerTest.jpg	default	Event	BP01	SPR	3	-	-			Choose 1 <Applejack> in your Adventure Area, it gets +3 Inspiration until the end of turn.	playerNDeck
BP01-SPR12star	Hoof Power Test*	my-little-pony/bp01/MyLittlePony-BP01-HoofPowerTest-2.jpg	default	Event	BP01	SPR*	3	-	-			Choose 1 <Applejack> in your Adventure Area, it gets +3 Inspiration until the end of turn.	playerNDeck
BP01-SPR13	Tense Competition	my-little-pony/bp01/MyLittlePony-BP01-TenseCompetition.jpg	default	Event	BP01	SPR	2	-	-			Choose 1 <Fluttershy> in your Adventure Area, it gets +1 Inspiration for each Character in your Adventure Area.	playerNDeck
BP01-SPR13star	Tense Competition*	my-little-pony/bp01/MyLittlePony-BP01-TenseCompetition-2.jpg	default	Event	BP01	SPR	2	-	-			Choose 1 <Fluttershy> in your Adventure Area, it gets +1 Inspiration for each Character in your Adventure Area.	playerNDeck
BP01-SPR14	Messy Henhouse	my-little-pony/bp01/MyLittlePony-BP01-MessyHenhouse.jpg	default	Event	BP01	SPR	2	-	-			Only use when there is any tapped Character in your Adventure Area. Draw 2 cards.	playerNDeck
BP01-SPR15	Washing Day	my-little-pony/bp01/MyLittlePony-BP01-WashingDay.jpg	default	Event	BP01	SPR	2	-	-			Choose 1 Character with Inspiration 6 or more in Rival's Adventure Area, it gets -2 Inspiration until the end of turn.	playerNDeck
