databaseId	name	imageUrl	cardBack	type	rarity	number	faction	health	vp	weak	strong	text	packName	set	loadGroupId
Premiere_020	Mud Minion Horde	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-MudMinionHorde.jpg	default	Monster	Common	20	Negaverse	80	2	Body	Mind	{JKP} {D} Unpredictable - *Win* - Horde avoids attack.  *Tie* - Prevents attack. Discard Horde.  *Loss* - Double damage of Scout/Knight attack. / {A} Fist Pound: 50	Premiere	Premiere	playerNDeck
Premiere_021	Faraion	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Faraion.jpg	default	Monster	Common	21	Doom Tree	50	1	Mind	Soul	{S} {D} Power Drain - Discard {S}. Attacker must discard 1 Power card of your choice. / {A} Breath Weapon: 20	Premiere	Premiere	playerNDeck
Premiere_022	Nacrid	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Nacrid.jpg	default	Monster	Common	22	Doom Tree	40	1	Soul	Mind	{M} {D} Power Drain - Discard {M}. Attacker must discard 1 Power card of your choice. / {JKP} {A} Tentacle Whip: 30 - Win increases Nacrid's damage to 50 points total.	Premiere	Premiere	playerNDeck
Premiere_023	Racy	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Racy.jpg	default	Monster	Common	23	Doom Tree	90	2	Mind	Soul	{S} {D} Trap Person - Discard {S}. Attacking opponent must discard 1 Person of his or her choice. / {A} Claws: 40	Premiere	Premiere	playerNDeck
Premiere_024	Vulturos	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Vulturos.jpg	default	Monster	Common	24	Doom Tree	70	2	Soul	Body	{B}{X} {D} Resistant - Discard {B}{X}. Ignore 30 damage from the attack. / {A} Claws: 60	Premiere	Premiere	playerNDeck
Premiere_025	Amphibia	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Amphibia.jpg	default	Monster	Common	25	Doom Tree	50	2	Body	Soul	{S} {D} Induce Sleep - Discard {S}. Attacking opponent must discard 2 Persons of his or her choice. / {A} Water Blast: 30	Premiere	Premiere	playerNDeck
Premiere_026	Mophead	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Mophead.jpg	default	Monster	Common	26	Doom Tree	50	2	Mind	Soul	{X}{X} {D} Resistant - Discard {X}{X}. Ignore 30 damage from the attack. / {JKP} {A} Shampoo and Sushi Wrap: 30 - Win increases Mophead's damage to 60 points total.	Premiere	Premiere	playerNDeck
Premiere_027	Pierrot	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Pierrot.jpg	default	Monster	Common	27	Doom Tree	70	2	Mind	Soul	{S} {D} Destructive - Discard {S}. Attacking opponent must discard 1 Item of his or her choice. / {A} Juggling Balls: 30	Premiere	Premiere	playerNDeck
Premiere_028	Four Face	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-FourFace.jpg	default	Monster	Common	28	Doom Tree	50	1	Body	Soul	{S} {D} Power Drain - Discard {S}. Attacking opponent must discard 3 Power cards of your choice.	Premiere	Premiere	playerNDeck
Premiere_029	Frosty/Hypnotica	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-FrostyHypnotica.jpg	default	Monster	Common	29	Dark Moon	70		Soul	Mind	{M}{M}{JKP} {D} Deep Sleep - Discard {M}{M}. Win places Scout/Knight to sleep for this turn and the next turn. Scout/Knight cannot attack or rejuvenate during this time. / {A} Ice Breath: 30	Premiere	Premiere	playerNDeck
Premiere_030	Thunderclap	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Thunderclap.jpg	default	Monster	Common	30	Dark Moon	50	2	Soul	Body	{B} {A} Lightning: 30 - Discard {B}. Thunderclap's damage is increased to 60 points total.	Premiere	Premiere	playerNDeck
Premiere_031	Avocado	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Avocado.jpg	default	Monster	Common	31	Dark Moon	30	1	Body	Mind	{JKP} {D} Rotten Stench - Win prevents Scout/Knight from attacking. / {X}{X} {D} Item Swap - Discard {X}{X} and any 1 Item in play. Search deck for 1 Item and bring into play immediately. Shuffle deck. / {A} Rotten Fruit Bombs: 20	Premiere	Premiere	playerNDeck
Premiere_032	Grim Man	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-GrimMan.jpg	default	Monster	Common	32	Dark Moon	60	2	Mind	Soul	{S}{S}{JKP} {D} Induce Sleep - Discard {S}{S}. Win forces everyone (including you) to discard all Persons in play. / {A} Scythe Attack: 60	Premiere	Premiere	playerNDeck
Premiere_033	Animal Instinct	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-AnimalInstinct.jpg	default	Monster	Common	33	Dark Moon	50	1	Soul	Mind	{M}{JKP} {M}{JKP} {M}{JKP} {D} Cause Anger - Discard up to {M}{M}{M}. For each {M} discarded, select 1 of the attacking opponent's Persons in play. Each win forces 1 Person to the discard pile. / {A} Electric Whip: 30	Premiere	Premiere	playerNDeck
Premiere_034	Doom and Gloom Guys	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-DoomAndGloomGuys.jpg	default	Monster	Common	34	Dark Moon	70	2	Mind	Body	{B}{B} {A} Split Attack - Discard {B}{B}. Deliver 60 damage to attacking Scout/Knight, and 30 damage to any other one of the attacking opponent's Scouts/Knights.	Premiere	Premiere	playerNDeck
Premiere_035	Dragon/Timewarp Genie	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-DragonTimewarpGenie.jpg	default	Monster	Common	35	Dark Moon	70	2	Soul	Mind	{JKP} {D} Fly Away - Win avoids attack. / {M}{JKP} {A} Reverse Time: ? - Discard {M}. Win allows the Genie to deliver the damage of the attack that the Scout/Knight used against her.	Premiere	Premiere	playerNDeck
Premiere_036	Luna	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Luna.jpg	default	Person	Common	36						Combat Advisor - All attacks and combined attacks deliverd by your Scouts/Knights are increased by 10 points.	Premiere	Premiere	playerNDeck
Premiere_037	Molly Osaka	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-MollyOsaka.jpg	default	Person	Common	37						Unlimited Energy - Molly prevents all of your Scouts/Knights from losing any Power cards from the abilities of a Monster or Villain.	Premiere	Premiere	playerNDeck
Premiere_038	Melvin Gurio	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-MelvinGurio.jpg	default	Person	Common	38						Bookworm - At the beginning of each of your turns, draw 2 cards instead of 1. Choose 1 of the cards to place in your hand, and place the other card at the bottom of your deck. Do not shuffle.	Premiere	Premiere	playerNDeck
Premiere_039	Grandpa Hino	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-GrandpaHino.jpg	default	Person	Common	39						{JKP} Ki Blast - Win allows Grandpa Hino to knock any Monster in play to the discard pile. If you choose one of your own Monsters, play the challenge with any other player.	Premiere	Premiere	playerNDeck
Premiere_040	Chad Kumada	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-ChadKumada.jpg	default	Person	Common	40						Good Buddy - At the beginning of your turn, you may draw your card from either the top of your deck or the top of your discard pile.	Premiere	Premiere	playerNDeck
Premiere_041	The Tree of Life	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-TheTreeOfLife.jpg	default	Person	Common	41						Energy Conversion - Select 1 of your Scouts/Knights. For every {X}{X} you discard that are attached to that Scout/Knight, you can search your deck for 1 other Power card. Attach the new Power card to the Scout/Knight. Shuffle Deck.	Premiere	Premiere	playerNDeck
Premiere_042	Lunch!	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Lunch.jpg	default	Item	Common	42						Need Food! - Discard {X} from any 1 Scout/Knight to remove up to 30 damage from that character. Discard Lunch! after use.	Premiere	Premiere	playerNDeck
Premiere_043	Costume	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Costume.jpg	default	Item	Common	43						{JKP} Confuse Target! - Win indicates that the target Monster cannot use any defense abilities this turn, but can still use it's attack (if any). Discard Costume after use.	Premiere	Premiere	playerNDeck
Premiere_044	Mini-Computer & VR Goggles	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-MiniComputerVRGoggles.jpg	default	Item	Common	44						{JKP} Detect Weakness! - Use during an attack/combined attack. Win indicates that 1 of your Scouts/Knights has found a weakness in the target's defenses. That Scout/Knight delivers 30 additional damage in the attack. Discard Mini-Computer & VR Goggles after use.	Premiere	Premiere	playerNDeck
Premiere_045	Ofuda Scroll	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-OfudaScroll.jpg	default	Item	Common	45						{JKP} Paralyze Monster! - Win paralyzes target Monster and prevents it from attacking your Scout/Knight this turn. Discard Ofuda Scroll after use.	Premiere	Premiere	playerNDeck
Premiere_046	Love Letter	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-LoveLetter.jpg	default	Item	Common	46						Love Heals All! - Remove up to 20 damage from any 1 Scout/Knight. Discard Love Letter after use.	Premiere	Premiere	playerNDeck
Premiere_047	Knight Armor	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-KnightArmor.jpg	default	Item	Common	47						Extra Defense! - Attach to 1 Scout, Knight, Monster or Villain (maximum of 1 Knight Armor per card). In the turn it is used, the Armor reduces all damage the character receives by 20. Discard Knight Armor after use.	Premiere	Premiere	playerNDeck
Premiere_048	Negaverse Sword	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-NegaverseSword.jpg	default	Item	Common	48						Powerful Attack! - Attach to 1 Monster or Villain (maximum 1 Negaverse Sword per card). In the turn it is used, the Sword increases the damage the character delivers by 20. Discard Negaverse Sword after use.	Premiere	Premiere	playerNDeck
Premiere_049	Damage Transfer	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-DamageTransfer.jpg	default	Event	Common	49						Spread the Damage - You can redistribute the damage currently on your Monsters or Villains. The total amount of damage must remain the same. You cannot reduce any Monster or Villain to 0 Health. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_050	Good Night's Rest	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-GoodNightsRest.jpg	default	Event	Common	50						Peaceful Sleep - Choose 1 of your Scouts/Knights. That character can both rejuvenate and attack (or participate in a Combined attack) during this turn. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_051	Detention	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Detention.jpg	default	Event	Common	51						In Trouble Again - Choose 2 cards at random from one of your opponent's hand. Those cards are discarded. Discard Detention after use.	Premiere	Premiere	playerNDeck
Premiere_052	Split Attack	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-SplitAttack.jpg	default	Event	Common	52						Double Trouble - Discard {X}{X}. 1 Scout/Knight can attack 2 targets at the same time during this turn. Each target only receives half the normal damage (add 5 to odd numbers). Both targets can attack the Scout/Knight in return. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_053	Baby-Sitting	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-BabySitting.jpg	default	Event	Common	53						{JKP} Taking Care of Baby Jordan - Win forces any Person in play of your choice to be discarded. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_054	Cram School	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-CramSchool.jpg	default	Event	Common	54						Study Hard - Your search for knowledge brings great rewards. Draw 2 cards. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_055	Taunt	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Taunt.jpg	default	Event	Common	55						{JKP}{JKP} Anger Your Opponent - Select 1 opponent Scout/Knight. 2 wins forces that Scout/Knight to attack one of your Monsters or Villains immediately (opponent's choice). If the Monster or Villain is defeated, the opponent is awarded that card's Victory Points. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_056	Rats!	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Rats.jpg	default	Event	Common	56						Trapped - Choose one opponent. His or her Scouts/Knights are surrounded by rats. The opponent cannot draw any cards at the beginning of his or her next turn. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_057	Combat Training	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-CombatTraining.jpg	default	Event	Common	57						Practice Makes Perfect - You can add 20 damage to any 1 Scout/Knight attack or combined attack. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_058	Run Away!	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-RunAway.jpg	default	Event	Common	58						{JKP} Defense Event - Win indicates that the Monster or Villain runs away to the discard pile. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_059	What's That?	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-WhatsThat.jpg	default	Event	Common	59						{JKP} Defense Event - Win indicates that the attacking Scout/Knight is startled by the target Monster or Villain. Monster or Villain only receives 10 damage from the Scout/Knight attack. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_060	Fail a Test	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-FailATest.jpg	default	Event	Common	60						Defense Event - Play before one of your Monsters/Villains is about to use a defense ability that requires a challenge. You may replay the challenge once if you dislike the result. Discard after use.	Premiere	Premiere	playerNDeck
Premiere_061	Baamu	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Baamu.jpg	default	Monster	Uncommon	61	Negaverse	40	1	Body	Soul	{S} {D} Fortune Telling - Discard {S}. Look at the top 5 cards of your own decl, or any 1 opponent's deck. / {A} Hair Claw: 20	Premiere	Premiere	playerNDeck
Premiere_062	Iguaala	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Iguaala.jpg	default	Monster	Uncommon	62	Negaverse	20	1	Mind	Body	{B} {D} Hypnotized by Shaneera Pets - Discard {B}. Scout/Knight is prevented from attacking. / {A} Tail Whip: 40	Premiere	Premiere	playerNDeck
Premiere_063	Ramoir/Dream Dolly	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-RamoirDreamDolly.jpg	default	Monster	Uncommon	63	Negaverse	30	1	Soul	Mind	{M}{JKP} {D} Time Control - Discard {M}. Win allows these Yoma to control time. Opponent misses his or her next turn. / {A} Illusionary Attack: 10	Premiere	Premiere	playerNDeck
Premiere_064	Tensie/Akan	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-TensieAkan.jpg	default	Monster	Uncommon	64	Negaverse	40	1	Body	Soul	{JKP} {D} Encase Body in a Weed/Tennis Ball - Win prevents Scout/Knight from attacking. / {A} Claws and Fireballs: 30	Premiere	Premiere	playerNDeck
Premiere_065	Petasos/Gemini Warriors	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-PetasosGeminiWarriors.jpg	default	Monster	Uncommon	65	Negaverse	50	2	Body	Mind	{JKP} {A} Mimic Attack - Win allows these Yoma to deliver the damage of the attack that the Scout/Knight used against them. Loss delivers 10 damage to Scout/Knight (from claws).	Premiere	Premiere	playerNDeck
Premiere_066	Derela/Kyameran	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-DerelaKyameran.jpg	default	Monster	Uncommon	66	Negaverse	40	1	Body	Mind	{M} {D} Negazoom Beam - Discard {M}. Attacking opponent must discard 1 Person of your choice. / {A} Double Claw: 10	Premiere	Premiere	playerNDeck
Premiere_067	Jumo	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Jumo.jpg	default	Monster	Uncommon	67	Negaverse	50	1	Soul	Body	{B} {D} Regeneration - Discard {B}. Remove 20 damage from Jumo. / {A} Deadly Dolls: 10	Premiere	Premiere	playerNDeck
Premiere_068	Pox	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Pox.jpg	default	Monster	Uncommon	68	Negaverse	50	2	Mind	Soul	{JKP} {D} Acrobatics - Win avoids attack. / {A} Bite: 40	Premiere	Premiere	playerNDeck
Premiere_069	Ninjana	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Ninjana.jpg	default	Monster	Uncommon	69	Negaverse	60	2	Soul	Mind	{A} Shuriken: 10 / {M}{JKP} {A} Multiply and Attack: 40 - Discard {M}. Win increases Ninjana's damage to 70 points total.	Premiere	Premiere	playerNDeck
Premiere_070	Doom & Gloom Girls	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-DoomGloomGirls.jpg	default	Monster	Uncommon	70	Negaverse	80	2	Soul	Mind	{M}{JKP} {D} Vine Trap - Discard {M}. Win allows you to make an additional attack against the Scout/Knight with any other Monster you have in play (Scout/Knight cannot attack the second Monster this turn. / {A} Ice Attack: 50	Premiere	Premiere	playerNDeck
Premiere_071	Water Sprite	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-WaterSprite.jpg	default	Monster	Uncommon	71	Negaverse	30	2	Mind	Soul	{S} {D} Fly Away - Discard {S}. Attack is avoided. / {S} {A} Spiked Tail: 60 - Discard {S}.	Premiere	Premiere	playerNDeck
Premiere_072	Vampeal	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Vampeal.jpg	default	Monster	Uncommon	72	Doom Tree	30	1	Mind	Body	{B}{B} {D} Drain Power - Discard {B}{B}. Attacker must discard 2 Power cards of your choice. / {A} Bite: 30	Premiere	Premiere	playerNDeck
Premiere_073	Minotaur	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Minotaur.jpg	default	Monster	Uncommon	73	Doom Tree	50	1	Soul	Body	{B} {D} Power Drain - Discard {B}. Attacker must discard 1 Power card of your choice. / {A} Horns: 30	Premiere	Premiere	playerNDeck
Premiere_074	Skulker	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Skulker.jpg	default	Monster	Uncommon	74	Doom Tree	70	2	Body	Mind	{M}{M}{M} {D} Power Drain - Discard {M}{M}{M}. Attacker must discard all attached Power cards. / {A} Bubble Trap: 10	Premiere	Premiere	playerNDeck
Premiere_075	Insectia	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Insectia.jpg	default	Monster	Uncommon	75	Doom Tree	60	1	Mind	Soul	{JKP} {D} Crazy! - Win avoids attack. Discard Insectia. / {A} Ram: 30	Premiere	Premiere	playerNDeck
Premiere_076	Jellax/Droido	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-JellaxDroido.jpg	default	Monster	Uncommon	76	Dark Moon	50	1	Soul	Body	{B}{JKP} {D} Powder Cloud - Discard {B}. Win prevents Scout/Knight from attacking this turn, and the next turn. / {A} Arm Spike and Acid Spit: 40	Premiere	Premiere	playerNDeck
Premiere_077	Rhonda	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Rhonda.jpg	default	Monster	Uncommon	77	Dark Moon	50	2	Mind	Body	{A} Wrestling: 50	Premiere	Premiere	playerNDeck
Premiere_078	Marzipan	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Marzipan.jpg	default	Monster	Uncommon	78	Dark Moon	70	2	Soul	Body	{B} {D} Item to Candy - Discard {B}. Attacking opponent must discard 1 Item of your choice. / {A} Icing Spray: 30	Premiere	Premiere	playerNDeck
Premiere_079	Regalia	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Regalia.jpg	default	Monster	Uncommon	79	Dark Moon	20	2	Body	Soul	{A} Toying with Emotions - Regalia delivers twice the damagge of the attack that the Scout/Knight used against her to any of the attacking opponent's Scouts/Knights in play.	Premiere	Premiere	playerNDeck
Premiere_080	Injector	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Injector.jpg	default	Monster	Uncommon	80	Dark Moon	70	2	Body	Mind	{D} Induce Sickness - All opponent Scouts/Knights in play are sick and cannot rejuvenate this turn. / {A} Scalpel Arm: 10	Premiere	Premiere	playerNDeck
Premiere_081	Mistrust	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Mistrust.jpg	default	Monster	Uncommon	81	Dark Moon	30	1	Mind	Soul	{JKP}{JKP} {D} Hallucination Doubt - 2 wins indicate that the attacking Scout/Knight is confused and wanders to the discard pile. / {JKP} {A} Clone Attack: 20 - Win allows Mistrust to also deliver 20 damage to each of the attacking opponent's Scouts/Knights in play.	Premiere	Premiere	playerNDeck
Premiere_082	Artemis	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-Artemis.jpg	default	Person	Uncommon	82						Helping Hand - The maximum number of cards you can hold in your hand is increased from 5 to 6 when Artemis is in play. At the end of each of your turns, draw enough cards to bring your hand up to 6 total.	Premiere	Premiere	playerNDeck
Premiere_083	Ms. Haruna	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-MsHaruna.jpg	default	Person	Uncommon	83						{JKP} Knowledge is Power - Win allows you to look at any opponent's hand. Ms. Haruna can only be used once each turn.	Premiere	Premiere	playerNDeck
Premiere_084	Andrew Furuhata	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-AndrewFuruhata.jpg	default	Person	Uncommon	84						True Friend - Andrew adds one additional {B}, {M}, or {S} to each Scout/Knight in your Ally Zone (the power must match the cards' Power Icon Types). The bonus Power cannot be used to rejuvenate.	Premiere	Premiere	playerNDeck
Premiere_085	Serena's Parents	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-SerenasParents.jpg	default	Person	Uncommon	85						Sanctuary - For every Power card that your Scouts/Knights discard during rejuvenation, they can remove an additional 10 damage.	Premiere	Premiere	playerNDeck
Premiere_086	Sammy Tsukino	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-SammyTsukino.jpg	default	Person	Uncommon	86						{JKP}{JKP} Annoyance - Select one opponent Person as a taret. 2 wins indicate that Sammy has pestered the target so much that he or she moves to the discard pile. Sammy can only be used once each turn.	Premiere	Premiere	playerNDeck
Premiere_087	Luna Pen	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-LunaPen.jpg	default	Item	Uncommon	87						Disguise Power! - After one of your Scouts/Knights has attacked, the Luna Pen can be used to disguise the Character. The target Monster or Villain cannot attack the Scout/Knight in return. Discard Luna Pen after use.	Premiere	Premiere	playerNDeck
Premiere_088	Negaverse Crystal	sailor-moon-tcg/premiere/SailorMoonTcg-Premiere-NegaverseCrystal.jpg	default	Item	Uncommon	88						Summon Yoma! - Search your deck for 1 Yoma and bring it into play immediately. Shuffle deck. Yoma may be replaced by a Negaverse Villain this round. Discard Negaverse Crystal after use.	Premiere	Premiere	playerNDeck
