databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	klass	level	attack	hp	type2	text	rarity	number
Set1_jrboogie	Jr. Boogie	maple-story/set-1/MapleStory-Set1-JrBoogie.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	35	30	30	Flying Spook	Stealthy -- Monsters can't attack Jr. Boogie. / OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand.	C	1014
Set1_lunarpixie	Lunar Pixie	maple-story/set-1/MapleStory-Set1-LunarPixie.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	45	40	20	Flying Spook	Stealthy -- Monsters can't attack Lunar Pixie. Haunt -- When you play Lunar Pixie, do 20 damage to a character or monster. / OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand.	R	1015
Set1_nixie	Nixie	maple-story/set-1/MapleStory-Set1-Nixie.jpg	default	Character	Set 1	Set1	playerNStarting	Bowman			200	Archer	10B Easy Shot -- Do 10 damage to a character or monster / 20 Quest -- Draw a card / 50BB Tricky Shot -- Do 20 damage to a character or monster.	C	1016
Set1_platoonchronos	Platoon Chronos	maple-story/set-1/MapleStory-Set1-PlatoonChronos.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	41	30	40	Undead Spook	Stealthy -- Monsters can't attack Platoon Chronos. / OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand.	U	1017
Set1_powerknockback	Power Knock-Back	maple-story/set-1/MapleStory-Set1-PowerKnockBack.jpg	default	Tactic	Set 1	Set1	playerNDeck	Bowman	40			Skill	Put one of your opponent's monsters into his or her deck under the top card. / 60BB Tricky Shot -- Do 20 damage to a character or monster.	U	1018
Set1_rainofarrows	Rain Of Arrows	maple-story/set-1/MapleStory-Set1-RainOfArrows.jpg	default	Tactic	Set 1	Set1	playerNDeck	Bowman	40			Strategy	For each card in your opponent's hand, do 20 damage to a character or monster. / OS: Steady Hand -- If you're level 50 or more, get +10 damage you do with character actions until the end of turn.	R	1019
Set1_riskyshot	Risky Shot	maple-story/set-1/MapleStory-Set1-RiskyShot.jpg	default	Tactic	Set 1	Set1	playerNDeck	Bowman	40			Strategy	Flip a coin. If you win, do damage equal to your level to a character and draw a card. / 60BB Think Fast / Equip 50 -- Play a tactic or item of level 50 or less.	U	1020
Set1_skyhawk	Skyhawk	maple-story/set-1/MapleStory-Set1-Skyhawk.jpg	default	Character	Set 1	Set1	playerNStarting	Bowman			210	Ranger	10B Easy Shot -- Do 10 damage to a character or monster. / 10 Quest -- Draw a card. / 60BB Rapid Shot -- Do 20 damage to a monster. Then do 20 damage to a character.	R	1021
Set1_soularrow	Soul Arrow	maple-story/set-1/MapleStory-Set1-SoulArrow.jpg	default	Tactic	Set 1	Set1	playerNDeck	Bowman	30			Skill	Do 40 damage to a character or a monster. Draw a card. Then discard a card from your hand. / 20B Easy Shot -- Do 10 damage to a character or monster.	C	1022
Set1_stirge	Stirge	maple-story/set-1/MapleStory-Set1-Stirge.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	20	30	20	Flying Bat	60B Spawn / Equip 50 -- Play a monster or item of level 50 or less.	U	1023
Set1_tweeter	Tweeter	maple-story/set-1/MapleStory-Set1-Tweeter.jpg	default	Monster	Set 1	Set1	playerNDeck	Bowman	39	20	40	Flying Bird	Revenge -- Whenever your opponent plays a monster, item, or tactic, do 20 damage to his or her character. / 60BB Tricky Shot -- Do 20 damage to a character or monster.	U	1024
Set1_bellflowerroot	Bellflower Root	maple-story/set-1/MapleStory-Set1-BellflowerRoot.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	53	40	60	Flora	50MM Think Fast / Equip 50 -- Play a tactic or equip of level 50 or less.	U	1025
Set1_chiefgray	Chief Gray	maple-story/set-1/MapleStory-Set1-ChiefGray.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	49	10	30	Alien	Super Genius -- When you play Chief Gray, reveal the top card of your deck. If it's a tactic, you may play it. If you don't play it, or if it's not a tactic, put it into your hand. / OS: Quest -- Draw a card.	R	1026
Set1_darkaxestump	Dark Axe Stump	maple-story/set-1/MapleStory-Set1-DarkAxeStump.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	22	10	40	Dark Flora	40MM  Spawn 40 -- Play a monster of level 40 or less.	C	1027
Set1_energybolt	Energy Bolt	maple-story/set-1/MapleStory-Set1-EnergyBolt.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	40			Skill	Do 80 damage to a character or monster. / 60MM Spawn / Think Fast 70 -- Play a monster or tactic of level 70 or less.	C	1028
Set1_eviltale	Evil Tale	maple-story/set-1/MapleStory-Set1-EvilTale.jpg	default	Item	Set 1	Set1	playerNDeck	Magician	58			Wand	Whenever you play a tactic, do 30 damage to a character or monster. / 60MM Think Fast / Equip 70 -- Play a tactic or item of level 70 or less.	R	1029
Set1_heal	Heal	maple-story/set-1/MapleStory-Set1-Heal.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	30			Skill	You get +80 HP. You can't go over your starting HP with Heal. / 30M Equip 30 -- Play an item of level 30 or less.	C	1030
Set1_jrnecki	Jr. Necki	maple-story/set-1/MapleStory-Set1-JrNecki.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	21	30	30	Worm	30M Spawn 30 -- Play a monster of level 30 or less.	C	1031
Set1_knowledgeispower	Knowledge Is Power	maple-story/set-1/MapleStory-Set1-KnowledgeIsPower.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	20			Strategy	Search your deck for a tactic card, reveal it, and put it in your hand. Then shuffle your deck. / 40MMM Think Fast X -- Play a tactic of your level or less.	U	1032
Set1_lioner	Lioner	maple-story/set-1/MapleStory-Set1-Lioner.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	53	50	50	Kitty	70MM Spawn / Think Fast 90 -- Play a monster or tactic of level 90 or less.	C	1033
Set1_lucida	Lucida	maple-story/set-1/MapleStory-Set1-Lucida.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	73	60	90	Dark Kitty	Wicked -- Whenever you get +HP, do that damage to your opponent's character. / OS: Conjure -- Return another Magician card from under your character to your hand.	R	1034
Set1_magicclaw	Magic Claw	maple-story/set-1/MapleStory-Set1-MagicClaw.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	20			Skill	Do 20 damage to a character or monster. Then do 20 damage to a character or monster. / 20M Think Fast 30 -- Play a tactic of level 30 or less.	C	1035
Set1_maplestaff	Maple Staff	maple-story/set-1/MapleStory-Set1-MapleStaff.jpg	default	Item	Set 1	Set1	playerNDeck	Magician	35			Weapon	Whenever you would draw a card, you may look at the top 2 cards of your deck instead. Put one into your hand and discard the other. / 30MM Think Fast 40 -- Play a tactic of level 40 or less.	U	1036
Set1_maya	Maya	maple-story/set-1/MapleStory-Set1-Maya.jpg	default	Character	Set 1	Set1	playerNStarting	Magician			190	Magician	10 Quest -- Draw a card. / 20M Fire Arrow -- Do 10 damage to a character or monster. / 30MM Think Fast X -- Play a tactic of your level or less.	C	1037
Set1_meditation	Meditation	maple-story/set-1/MapleStory-Set1-Meditation.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	30			Skill	Get +40 on damage you do with the next tactic or monster attack this turn. Draw a card. / 10M Assist -- Get +10 on the next damage you do with a tactic or monster attack this turn.	U	1038
Set1_mpeater	MP Eater	maple-story/set-1/MapleStory-Set1-MPEater.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	30			Skill	Until the start of your next turn, your opponent's monsters lose their abilities. Do 50 damage to a character or monster. / OS: Jumble -- Swap the position of this card with another card under your character.	U	1039
Set1_octopus	Octopus	maple-story/set-1/MapleStory-Set1-Octopus.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	12	10	10	Alien	Genius -- Draw a card. / OS: Quest -- Draw a card.	C	1040
Set1_peachmonkey	Peach Monkey	maple-story/set-1/MapleStory-Set1-PeachMonkey.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	62	60	60	Monkey	Greedy -- When you play Peach Monkey, you may destroy an item. / 80MM Spawn 120 -- Play a monster of level 120 or less.	U	1041
Set1_redapprenticehat	Red Apprentice Hat	maple-story/set-1/MapleStory-Set1-RedApprenticeHat.jpg	default	Item	Set 1	Set1	playerNDeck	Magician	10			Armor	When you play Red Apprentice Hat, draw a card. Whenever you level up get +10 HP. / 40MM Equip 40 -- Play an item of level 40 or less.	C	1042
Set1_sidequest	Side Quest	maple-story/set-1/MapleStory-Set1-SideQuest.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	40			Strategy	Draw 2 Cards. / 30M Think Fast 40 -- Play a tactic of level 40 or less.	C	1043
Set1_stormwind	Stormwind	maple-story/set-1/MapleStory-Set1-Stormwind.jpg	default	Character	Set 1	Set1	playerNStarting	Magician			180	Ice / Lightning Mage	10 Quest -- Draw a card. / 30MM Think Fast X -- Play a tactic of your level or less. / 70MMM Thunder Spear -- Do 40 damage to a character.	R	1044
Set1_teleport	Teleport	maple-story/set-1/MapleStory-Set1-Teleport.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	50			Skill	Next turn, monsters can't attack your character. / OS: Jump Quest -- If you're level 70 or more, draw 2 cards.	R	1045
Set1_thunderbolt	Thunder Bolt	maple-story/set-1/MapleStory-Set1-ThunderBolt.jpg	default	Tactic	Set 1	Set1	playerNDeck	Magician	60			Skill	Do 50 damage to each of your opponent's monsters. Then do 50 damage to your opponent's character. / 60MMM Blast -- Do 30 damage to a character.	R	1046
Set1_zetagray	Zeta Gray	maple-story/set-1/MapleStory-Set1-ZetaGray.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	42	20	20	Alien	Genius -- When you play Zeta Gray, draw a card. / OS: Quest -- Draw a card.	U	1047
Set1_zombielupin	Zombie Lupin	maple-story/set-1/MapleStory-Set1-ZombieLupin.jpg	default	Monster	Set 1	Set1	playerNDeck	Magician	40	20	20	Undead Monkey	Devious -- When you play Zombie Lupin, return a tactic from your discard pile to your hand. / OS: Drink Potion -- You get +HP equal to your level.	R	1048
Set1_avenger	Avenger	maple-story/set-1/MapleStory-Set1-Avenger.jpg	default	Tactic	Set 1	Set1	playerNDeck	Thief	70			Skill	Destroy up to 3 monsters. Draw a card. / 70T Think Fast 90 -- Play a tactic of level 90 or less.	R	1049
Set1_bloodslain	Blood Slain	maple-story/set-1/MapleStory-Set1-BloodSlain.jpg	default	Item	Set 1	Set1	playerNDeck	Thief	50			Weapon	Whenever one of your character actions, monster attacks, or tactics does damage, it gets +10 damage. / 70TTT Sneak X -- Play a card of your level or less.	R	1050
Set1_bluenightfox	Blue NightFox	maple-story/set-1/MapleStory-Set1-BlueNightFox.jpg	default	Item	Set 1	Set1	playerNDeck	Thief	70			Armor	Your opponent's monsters can't attack on the turn they're played. / 40TTT Crafty -- Play a thief card of your level or less.	R	1051
Set1_buffy	Buffy	maple-story/set-1/MapleStory-Set1-Buffy.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	61	40	40	Undead Clown	Shriek -- When you play Buffy, destroy a card under a character. / 20T Sneak 20 -- Play a card of level 20 or less.	R	1052
Set1_cico	Cico	maple-story/set-1/MapleStory-Set1-Cico.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	25	30	20	Water Beast	Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it. / 40TT Spawn / Equip 30 -- Play a monster or item of level 30 or less.	C	1053
Set1_coconutknife	Coconut Knife	maple-story/set-1/MapleStory-Set1-CoconutKnife.jpg	default	Item	Set 1	Set1	playerNDeck	Thief	20			Weapon	Get +10 on damage you do with one of your character actions each turn. / OS: Spy -- Draw a card. Then discard a card from your hand.	C	1054
Set1_croco	Croco	maple-story/set-1/MapleStory-Set1-Croco.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	52	70	40	Reptile	30TTT Equip X -- Play an item of your level or less.	C	1055
Set1_darkshadow	Dark Shadow	maple-story/set-1/MapleStory-Set1-DarkShadow.jpg	default	Item	Set 1	Set1	playerNDeck	Thief	40			Armor	Prevent 10 damage from each monster that attacks your character. / 60TT Spawn / Equip 70 -- Play a monster or item of level 70 or less.	U	1056
Set1_doublestrike	Double Strike	maple-story/set-1/MapleStory-Set1-DoubleStrike.jpg	default	Tactic	Set 1	Set1	playerNDeck	Thief	20			Skill	Destroy a monster / 70TT Slash -- Do 20 damage to a character or monster.	U	1057
Set1_emeraldearrings	Emerald Earrings	maple-story/set-1/MapleStory-Set1-EmeraldEarrings.jpg	default	Item	Set 1	Set1	playerNDeck	Thief	30			Armor	Whenever you play another item, reveal the top card of your deck. If it's an item card, put it into your hand. Otherwise put it back. / 70TT Sneak 70 -- Play a card level 70 or less.	U	1058
Set1_ivan	Ivan	maple-story/set-1/MapleStory-Set1-Ivan.jpg	default	Character	Set 1	Set1	playerNStarting	Thief			220	Rogue	10T Stab -- Do 10 damage to a character or monster / 10 Quest -- Draw a card. / 20T Equip X -- Play an item of your level or less.	C	1059
Set1_krappy	Krappy	maple-story/set-1/MapleStory-Set1-Krappy.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	24	60	30	Water Fish	Confused -- Krappy can't attack on the turn you play it. / 30T Stab -- Do 10 damage to a character or monster.	C	1060
Set1_krip	Krip	maple-story/set-1/MapleStory-Set1-Krip.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	30	30	20	Water Shrimp	70TT Slash -- Do 20 damage to a character or monster.	C	1061
Set1_kumbithrowingstar	Kumbi Throwing Star	maple-story/set-1/MapleStory-Set1-KumbiThrowingStar.jpg	default	Item	Set 1	Set1	playerNDeck	Thief	30			Weapon	Whenever one of you opponent's character actions damages you, do 20 damage to that character / 10T Equip 20 -- Play an item of level 20 or less.	U	1062
Set1_lorang	Lorang	maple-story/set-1/MapleStory-Set1-Lorang.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	37	40	10	Water Crab	Tough -- Character actions don't damage Lorang. / 50T Spawn 50 -- Play a monster of level 50 or less.	C	1063
Set1_mistmoon	Mistmoon	maple-story/set-1/MapleStory-Set1-Mistmoon.jpg	default	Character	Set 1	Set1	playerNStarting	Thief			200	Assassin	10T Stab -- Do 10 damage to a character or monster. / 20 Quest -- Draw a card. / 40TT Sneak 40 -- Play a card of level 40 or less.	R	1064
Set1_orangemushroom	Orange Mushroom	maple-story/set-1/MapleStory-Set1-OrangeMushroom.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	8	30	10	Mushroom	Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it. / 30T Equip 40 -- Play an item of level 40 or less.	U	1065
Set1_pinkteddy	Pink Teddy	maple-story/set-1/MapleStory-Set1-PinkTeddy.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	32	30	30	Toy Bear	OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	C	1066
Set1_propelly	Propelly	maple-story/set-1/MapleStory-Set1-Propelly.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	37	50	20	Flying Toy	OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	U	1067
Set1_rednight	Red Night	maple-story/set-1/MapleStory-Set1-RedNight.jpg	default	Item	Set 1	Set1	playerNDeck	Thief	10			Armor	Whenever one of your monsters is destroyed, flip a coin, If you win your opponent chooses and discards a card from his or her hand. / OS: Spy -- Draw a card. Then discard a card.	R	1068
Set1_redsnail	Red Snail	maple-story/set-1/MapleStory-Set1-RedSnail.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	4	10	20	Pest	Tough -- Character actions don't damage Red Snail. / 70TT Spawn 90 -- Play a monster of level 90 or less.	C	1069
Set1_seacle	Seacle	maple-story/set-1/MapleStory-Set1-Seacle.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	23	20	20	Water Beast	Slippery -- When Seacle is destroyed, flip a coin. If you win, return it to play. / 30T Spawn / Think Fast 30 -- Play a monster or tactic of level 30 or less.	U	1070
Set1_soulteddy	Soul Teddy	maple-story/set-1/MapleStory-Set1-SoulTeddy.jpg	default	Monster	Set 1	Set1	playerNDeck	Thief	63	50	40	Undead Toy Bear	Tough -- Character actions don't damage Soul Teddy. Startle -- Whenever Soul Teddy attacks your opponent's character, that player discards a card at random from his or her hand. / OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	R	1071
Set1_swipe	Swipe	maple-story/set-1/MapleStory-Set1-Swipe.jpg	default	Tactic	Set 1	Set1	playerNDeck	Thief	30			Strategy	Your opponent discards a card at random from his or her hand. / OS: Spy -- Draw a card. Then discard a card.	C	1072
Set1_battleshield	Battle Shield	maple-story/set-1/MapleStory-Set1-BattleShield.jpg	default	Item	Set 1	Set1	playerNDeck	Warrior	35			Shield	Each of your monsters gets +20 HP / 50WW Think Fast / Equip 40 -- Play a tactic or equip of level 40 or less.	U	1073
Set1_blockgolem	Block Golem	maple-story/set-1/MapleStory-Set1-BlockGolem.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	42	40	40	Guardian	OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back.	U	1074
Set1_doombringer	Doombringer	maple-story/set-1/MapleStory-Set1-Doombringer.jpg	default	Item	Set 1	Set1	playerNDeck	Warrior	70			Weapon	Get +30 damage you do with each of your character actions. / 60WWW Roar -- For each monster you have, do 20 damage to a character or monster.	R	1075
Set1_fireboar	Fire Boar	maple-story/set-1/MapleStory-Set1-FireBoar.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	32	10	50	Fire Boar	Fierce -- Fire Boar attacks twice each turn. / 30WW Spawn 40 -- Play a monster of level 40 or less.	C	1076
Set1_greenmushroom	Green Mushroom	maple-story/set-1/MapleStory-Set1-GreenMushroom.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	15	10	40	Mushroom	70WW Spawn / Equip 90 -- Play a monster or item of level 90 or less.	C	1077
Set1_grizzly	Grizzly	maple-story/set-1/MapleStory-Set1-Grizzly.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	56	50	60	Bear	50WWW Spawn X -- Play a monster of your level or less.	C	1078
Set1_itemtrade	Item Trade	maple-story/set-1/MapleStory-Set1-ItemTrade.jpg	default	Tactic	Set 1	Set1	playerNDeck	Warrior	30			Strategy	Destroy an Item / OS: Drink Potion -- You get +HP equal to your level.	U	1079
Set1_jryeti	Jr. Yeti	maple-story/set-1/MapleStory-Set1-JrYeti.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	50	20	50	Ice Beast	Fierce -- Jr. Yeti attacks twice each turn. / 50WW Crush -- Do 20 damage to a monster.	U	1080
Set1_officerskeleton	Officer Skeleton	maple-story/set-1/MapleStory-Set1-OfficerSkeleton.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	63	50	60	Undead Soldier	Bone Rattle -- Whenever one of your monsters destroys a monster, do 20 damage to your opponent's character. / 50WW Buff -- Monsters that attack this turn each get +10 attack until the end of the turn.	U	1081
Set1_panda	Panda	maple-story/set-1/MapleStory-Set1-Panda.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	60	40	60	Bear	Mystic Power -- Whenever Panda attacks, you get +40 HP / OS: Revive -- Return a monster card of level 50 or more from your discard pile to your hand.	R	1082
Set1_pepe	Pepe	maple-story/set-1/MapleStory-Set1-Pepe.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	60	40	70	King Ice Bird	Relentless 10 -- Whenever Pepe destroys a monster, do 10 damage to your opponent's character. / 60W Spawn / Think Fast 70 -- Play a monster or tactic of level 70 or less.	C	1083
Set1_pull	Pull	maple-story/set-1/MapleStory-Set1-Pull.jpg	default	Tactic	Set 1	Set1	playerNDeck	Warrior	40			Strategy	Search your deck for a monster card, reveal it, and put it into your hand. Then shuffle your deck. / OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back.	R	1084
Set1_resting	Resting	maple-story/set-1/MapleStory-Set1-Resting.jpg	default	Tactic	Set 1	Set1	playerNDeck	Warrior	10			Strategy	You get +20 HP. Draw a card. / 70W Spawn / Think Fast 90 -- Play a monster or tactic of level 90 or less.	C	1085
Set1_ribbonpig	Ribbon Pig	maple-story/set-1/MapleStory-Set1-RibbonPig.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	10	20	20	Boar	10W Spawn 20 -- Play a monster of level 20 or less.	U	1086
Set1_sentinel	Sentinel	maple-story/set-1/MapleStory-Set1-Sentinel.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	30	20	30	Mechanical Guardian	OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back.	C	1087
Set1_serpentstongue	Serpent's Tongue	maple-story/set-1/MapleStory-Set1-SerpentsTongue.jpg	default	Item	Set 1	Set1	playerNDeck	Warrior	50			Weapon	Whenever one of your monsters destroys a monster, you get +30 HP. / 50WW Crush -- Do 20 damage to a monster.	U	1088
Set1_sherman	Sherman	maple-story/set-1/MapleStory-Set1-Sherman.jpg	default	Character	Set 1	Set1	playerNStarting	Warrior			240	Swordsman	10W Bash -- Do 10 damage to a character or monster. / 20 Quest -- Draw a card. / 30WW Spawn X -- Spawn a monster of your level or less.	C	1089
Set1_slime	Slime	maple-story/set-1/MapleStory-Set1-Slime.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	6	10	10	Goo	Squish -- When you play Slime, you may destroy an item. / 40WW Refresh -- You get +10 HP.	C	1090
Set1_starblade	Starblade	maple-story/set-1/MapleStory-Set1-Starblade.jpg	default	Character	Set 1	Set1	playerNStarting	Warrior			260	Fighter	10W Bash -- Do 10 damage to a character or monster. / 20 Quest -- Draw a card. / 50WW Buff -- Monsters that attack this turn each get +20 attack until end of turn.	R	1091
Set1_stonegolem	Stone Golem	maple-story/set-1/MapleStory-Set1-StoneGolem.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	55	40	70	Guardian	Relentless 40 -- Whenever Stone Golem destroys a monster, do 40 damage to your opponent's character. / OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back.	R	1092
Set1_tauromacis	Tauromacis	maple-story/set-1/MapleStory-Set1-Tauromacis.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	70	50	40	Bull Human	Prevail -- When Tauromacis is destroyed return it to your hand. / OS: Train Hard -- If you have 3 or more Warrior cards under your character, you may level up with another card.	R	1093
Set1_theninedragons	The Nine Dragons	maple-story/set-1/MapleStory-Set1-TheNineDragons.jpg	default	Item	Set 1	Set1	playerNDeck	Warrior	50			Weapon	Each of your monsters gets +20 attack. / 30W Equip 30 -- Play an item of level 30 or less.	C	1094
Set1_wildboar	Wild Boar	maple-story/set-1/MapleStory-Set1-WildBoar.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	25	30	30	Boar	40WW Think Fast / Equip 30 -- Play a tactic or item of level 30 or less.	C	1095
Set1_yetipepe	Yeti and Pepe	maple-story/set-1/MapleStory-Set1-YetiAndPepe.jpg	default	Monster	Set 1	Set1	playerNDeck	Warrior	78	50	80	Ice-Bird Beast	Fierce -- Yeti and Pepe attack twice each turn. Relentless 20 -- Whenever Yeti and Pepe destroys a monster, do 20 damage to your opponent's character. / 70WWW Spawn / Equip 100 -- Play a monster or item of level 100 or less.	R	1096
Set2_angrystirge	Angry Stirge	maple-story/set-2/MapleStory-Set2-AngryStirge.jpg	default	Monster	Set 2	Set2	playerNDeck	Bowman	20	30	20	Flying Bat	Fearsome -- A monster or character of level 40 or less can't attack Angry Stirge or damage it with character actions. / 40BB Snare -- Reveal the top card of your deck. If it's a monster of level 20 or less, play it. Otherwise put it back.	U	2001
Set2_bluemushroom	Blue Mushroom	maple-story/set-2/MapleStory-Set2-BlueMushroom.jpg	default	Monster	Set 2	Set2	playerNDeck	Bowman	20	20	20	Mushroom	Bump -- When you play Blue Mushroom, you may return a monster to its player's hand. / 30B Spawn 30 -- Play a monster of level 30 or less.	C	2002
