databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	scare	rarity	text
ChristmasTown_christmas_equation	Christmas Equation	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ChristmasEquation.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Rare	Search 6, Jack OR If your Jack is at his House, Stack this card on him, and then perform the card text on three of your Creations in play that have a Scare Number of 1, as if those Creations were just being played.
ChristmasTown_christmas_supplies	Christmas Supplies	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ChristmasSupplies.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	6	Common	-1 Cost for every Character at your Well with the word �Ghost� in his or her name.
ChristmasTown_christmas_town_gates	Christmas Town Gates	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ChristmasTownGates.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Common	Place this Surprise on the table as part of your Christmas Town. All Characters in your Christmas Town may ignore any Surprises played by your opponents. Devil cannot draw a card when one of your Christmas Characters is discarded.
Premiere_christmas_tree_bats	Christmas Tree Bats	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-ChristmasTreeBats.jpg	default	Creations	Premiere	Premiere	playerNDeck	3	Uncommon	-2 Cost if Corpse Mom and the Bass Player are at the same Locale in your Halloweentown.
ChristmasTown_chucky	Chucky the Elf	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ChuckyTheElf.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	0	Common	If Chucky is played to the Candy Shop, Draw 1 Card
ChristmasTown_claw_catapult	Claw Catapult	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ClawCatapult.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	3	Rare	If Lock, Shock, and Barren are in your Halloweentown when this Creation is played, move a Character in an opponent�s Halloweentown up to three Locales away.
Premiere_clown	Clown	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-Clown.jpg	default	Character	Premiere	Premiere	playerNDeck	2	Uncommon	During your turn, you may discard the Clown from play, and then discard an opponent�s Character with a Scare Number of 1 from play.
ChristmasTown_conversations	Conversations Worth Having	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ConversationsWorthHaving.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Rare	Search 5, Finklestein, Jewel OR Stack this Surprise on your Finklestein, and then, if Jewel is at his Locale, Search Discard Pile, 1 Card
ChristmasTown_cookie_factory	Cookie Factory	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-CookieFactory.jpg	default	Locale	Christmas Town	ChristmasTown	playerNLocale	2	Uncommon	BONUS: During your turn, you may discard a Creation from your hand to Draw 1 Card.
Premiere_corpse_dad	Corpse Dad	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-CorpseDad.jpg	default	Character	Premiere	Premiere	playerNDeck	1	Uncommon	When Corpse Dad is played, Add 1p for every other Character at his Locale with the word �Corpse� in his or her name.
ChristmasTown_corpse_family_bonding	Corpse Family Bonding	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-CorpseFamilyBonding.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Common	Search 4, The �Corpse� Family OR If your Corpse Dad, Corpse Mom, and Corpse Kid are at 3 different Locales, move them all to any one Locale in your Halloweentown, and Add 3p
Premiere_corpse_kid	Corpse Kid	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-CorpseKid.jpg	default	Character	Premiere	Premiere	playerNDeck	2	Common	HEX: Once during your turn, after you play a Surprise, you may discard 1 card from your hand to Add 1p
Premiere_corpse_mom	Corpse Mom	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-CorpseMom.jpg	default	Character	Premiere	Premiere	playerNDeck	1	Uncommon	When Corpse Mom is played, Add 1p for every other Character at her Locale with the word �Corpse� in his or her name
ChristmasTown_cute_puppy	Cute Puppy	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-CutePuppy.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	-3	Common	Play this Creation to an opponent�s Halloweentown. Cost = 3 (-1 for each Active Locale in your Christmas Town with a Joy Threshold of 2 or higher).
Premiere_cyclops	Cyclops	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-Cyclops.jpg	default	Character	Premiere	Premiere	playerNDeck	1	Common	When the Cyclops is played, you may discard 1 card from your hand to Draw 1 Card.
Premiere_dark_alley	Dark Alley	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-DarkAlley.jpg	default	Surprises	Premiere	Premiere	playerNDeck	1	Rare	Search 5, Wolfman, Decomposing Guy, Harlequinn Demon OR If Wolfman, Decomposing Guy, and Harlequinn Demon are in play, flip an opponent�s Locale face down (out of play) until the End Phase.
Premiere_dead_head	Dead Head	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-DeadHead.jpg	default	Creations	Premiere	Premiere	playerNDeck	3	Uncommon	When this Creation is played, if the Undersea Gal is in your Halloweentown, Search Discard Pile, 1 Card
ChristmasTown_dead_rooster	Dead Rooster	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-DeadRooster.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	1	Rare	During your turn, you may discard Dead Rooster from play to move any player�s Vampire to any other Locale in the same Halloweentown.
Premiere_deadly_nightshade	Deadly Nightshade	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-DeadlyNightshade.jpg	default	Surprises	Premiere	Premiere	playerNDeck	0	Uncommon	Search 3, Sally OR If your Sally is in play, return an opponent�s Dr. Finkelstein to its owner�s hand.
Premiere_decomposing_guy	Decomposing Guy	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-DecomposingGuy.jpg	default	Character	Premiere	Premiere	playerNDeck	1	Common	During your turn, you may discard Decomposing Guy from play to Search 3, 1 Card.
Premiere_delightful_hat	Delightful Hat	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-DelightfulHat.jpg	default	Creations	Premiere	Premiere	playerNDeck	4	Uncommon	When playing this Creation, if the Harlequinn Demon is in your Halloweentown, you may discard 1 card from your hand to reduce the Cost of this Creation by 2.
ChristmasTown_demented_shadow	Demented Shadow	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-DementedShadow.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	1	Uncommon	If the Demented Shadow is played to the Graveyard, you may immediately Draw 1 Card and Move 1 Card.
ChristmasTown_depraved_offering	Depraved Offering	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-DepravedOffering.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Uncommon	If your Oogie is at his Lair and your Lock, Shock, and Barrel are at the Tree House, discard any number of Christmas Characters who are at your Tree House from play.  Add 1p for each such Character discarded.
Premiere_devil	Devil	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-Devil.jpg	default	Character	Premiere	Premiere	playerNDeck	2	Rare	Every time an opponent�s Character is discarded from play, Draw 1 Card.
ChristmasTown_dissected_teddy	Dissected Teddy	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-DissectedTeddy.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	1	Uncommon	If your Jack is at his House when this Creation is played, Search Discard Pile, 1 Card. This Creation does not count when determining if you have �the most Creations.� �Making Christmas� cannot lower the Cost of this Creation.
ChristmasTown_doll_factory	Doll Factory	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-DollFactory.jpg	default	Locale	Christmas Town	ChristmasTown	playerNLocale	3	Uncommon	BONUS: Whenever you play a Creation, Draw 1 Card.
ChristmasTown_domain_of_shadows	Domain of Shadows	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-DomainOfShadows.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Rare	Search 6, �Shadows� OR If 3 Characters with the word �Shadow� in their name are at your Graveyard, Add 3p
Premiere_double_dead	Double Dead	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-DoubleDead.jpg	default	Surprises	Premiere	Premiere	playerNDeck	0	Common	Name a Card Title. All players must reveal all copies of that Card Title in their discard piles, and then remove the revealed cards from the game.
Premiere_finklestein2	Dr. Finklestein - Brainy Inventor	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-DrFinklesteinBrainyInventor.jpg	default	Character	Premiere	Premiere	playerNDeck	2	Ultra-Rare	HEX: Once during your turn, if Finklestein is at Finklestein Hall, you may discard 1 of your Creations in play to draw a number of cards equal to its Scare Number.
ChristmasTown_finklestein3	Dr. Finklestein - Desperate Lover	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-DrFinklesteinDesperateLover.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	2	Rare	HEX: Once during your turn, if Finklestein is not at the same Locale as your Sally, you may move him to her Locale (for free) and then Draw 1 Card.
Premiere_finklestein1	Dr. Finklestein - Mad Scientist	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-DrFinklesteinMadScientist.jpg	default	Character	Premiere	Premiere	playerNDeck	2	Common	While Finklestein is at the Laboratory, draw 1 card each time you play a Creation.
ChristmasTown_droopy_cane	Droopy Cane	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-DroopyCane.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	1	Uncommon	If your Jack is at his House when this Creation is played, Draw 1 Card. This Creation does not count when determining if you have �the most Creations.� �Making Christmas� cannot lower the Cost of this Creation.
Premiere_eager_anaconda	Eager Anaconda	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-EagerAnaconda.jpg	default	Creations	Premiere	Premiere	playerNDeck	5	Rare	When playing this Creation, you may discard Corpse Dad (or 2 other Characters) from your Halloweentown to reduce the Cost of this Creation by 3.
Premiere_easter_bunny	Easter Bunny	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-EasterBunny.jpg	default	Character	Premiere	Premiere	playerNDeck	-1	Rare	This card may be played for a Cost of 2 to an opponent�s non-Starting Locale, or for free to one of your Locales. Cannot Move.
ChristmasTown_easter_door	Easter Door	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-EasterDoor.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Common	Search 6, Easter Bunny OR Discard any player�s Easter Bunny from play, and then Draw 2 Cards.
ChristmasTown_eddy	Eddy the Elf	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-EddyTheElf.jpg	default	Character	Christmas Town	ChristmasTown	playerNDeck	0	Common	When Eddy is played, every player may immediately Draw 1 Card.
ChristmasTown_electric_lights	Electric Lights	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ElectricLights.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Common	Search 6, Jack OR Move your Jack from one Christmas Town Locale to another of your Christmas Town Locales.
ChristmasTown_elven_bedchamber	Elven Bedchamber	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ElvenBedchamber.jpg	default	Locale	Christmas Town	ChristmasTown	playerNLocale	4	Rare	BONUS: Whenever an Elf is discarded from your Christmas Town, Draw 1 Card.
Premiere_eureka	Eureka!	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-Eureka.jpg	default	Surprises	Premiere	Premiere	playerNDeck	0	Rare	If Jack is at his House in your Halloweentown, you may remove any number of Pumpkin Points from your Pumpkin Points card (all at once) to draw a number of cards equal to the number of Pumpkin Points removed.
Tournament_everybody_make_a_scene	Everybody make a scene	nightmare-before-christmas/tournament/NightmareBeforeChristmas-Tournament-EverybodyMakeAScene.jpg	default	Surprises	Tournament	Tournament	playerNDeck	2	Fixed	Draw 1 Card for every Active Locale in your Halloweentown with a Scare Threshold of 2 or higher (1 or higher if the Mayor is in your Halloweentown).
Premiere_everybody_scream	Everybody Scream!	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-EverybodyScream.jpg	default	Surprises	Premiere	Premiere	playerNDeck	0	Rare	During your turn, play this card instead of performing a Function. Total up the Scare Numbers of all your Characters and divide by 4 (round down). You may divide by 3 if your Hanging Tree is in play. Add that many Pumpkin Points to your Pumpkin Points card.
ChristmasTown_evil_eye	Evil Eye	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-EvilEye.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Common	If Cyclops is in your Halloweentown, flip an opponent�s Character with a Scare Number of 2 or less face down (out of play) until the End Phase. The opponent cannot play that Character again for the rest of this Round.
ChristmasTown_extendable_arm	Extendable Arm	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-ExtendableArm.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	4	Ultra-Rare	If your Clown is at Town Hall, you may play this Creation to your opponent�s Halloweentown, and then steal one Creation from that opponent�s Halloweentown and place it in your own.
ChristmasTown_eyes_glowing_red	Eyes Glowing Red	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-EyesGlowingRed.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Uncommon	Search 6, Monster under the Bed OR If the Monster under the Bed is at your Scary Bed, discard any number of cards from beneath your Scary Bed. Add 1p for each such card discarded.
ChristmasTown_falling_to_pieces	Falling to Pieces	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-FallingToPieces.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Rare	Search 3, Sally, Sally�s Arm, Sally�s Leg OR If Sally, Sally�s Arm, and Sally�s Leg are at three different Locales in your Halloweentown, Draw 2 Cards and Move 2 Cards.
Premiere_fear_the_reaper	Fear the Reaper	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-FearTheReaper.jpg	default	Surprises	Premiere	Premiere	playerNDeck	1	Rare	Search 6, The Reaper OR Discard your Reaper from play, and then discard an opponent�s Character from play.
Premiere_fender_bender	Fender Bender	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-FenderBender.jpg	default	Creations	Premiere	Premiere	playerNDeck	3	Uncommon	If Corpse Kid is in your Halloweentown when you play this Creation, send an opponent�s Creation with a Scare Number of 3 or less back into its owner�s hand.
Premiere_fetch	Fetch	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-Fetch.jpg	default	Surprises	Premiere	Premiere	playerNDeck	0	Common	Search 6, Zero OR If Jack and Zero are at the same Locale in your Halloweentown, Search 6, 1 Card
ChristmasTown_fingers_like_snakes	Fingers Like Snakes	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-FingersLikeSnakes.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Uncommon	Search 6, Monster under the Stairs OR If the Monster under the Stairs is at your Scary Staircase, draw until you have 4 cards in your hand.
Premiere_finklestein_hall	Finklestein Hall	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-FinklesteinHall.jpg	default	Locale	Premiere	Premiere	playerNLocale	0*	Common	STARTING HAND: 7 Cards, FUNCTION: Draw 3 Cards, FUNCTION: Add 2p, FUNCTION: Move 2 Cards
Premiere_fire	Fire!	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-Fire.jpg	default	Surprises	Premiere	Premiere	playerNDeck	5	Common	Discard an opponent�s Creation from play.
ChristmasTown_formaldetoys	Formaldetoys	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-Formaldetoys.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	1	Uncommon	If your Jack is at his House when this Creation is played, you may discard 1 card from your hand to Draw 2 Cards. This Creation does not count when determining if you have �the most Creations.� �Making Christmas� cannot lower the Cost of this Creation.
ChristmasTown_frogs_breath	Frog's Breath	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-FrogsBreath.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Common	Search 3, Sally OR If your Sally is in her Room, discard Deadly Nightshade from your hand, and then Draw 3 Cards.
Premiere_gate_keeper	Gate Keeper	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-GateKeeper.jpg	default	Surprises	Premiere	Premiere	playerNDeck	1	Rare	Discard an opponent�s Surprise which has been placed on the table (but not Stacked). OR Switch the positions of two empty Locales in any player�s Halloweentown.
ChristmasTown_give_it_all_up	Give It All Up	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-GiveItAllUp.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Ultra-Rare	Stack this Surprise on your Jack, and then discard all other Surprises that are Stacked on Characters in all Halloweentowns. Draw 1 card for every Surprise discarded in this way.
ChristmasTown_give_up_the_ghost	Give Up the Ghost	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-GiveUpTheGhost.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	1	Rare	Move 1 or 2 of your Characters to your Pumpkin Patch. OR Draw 1 Character of your choice from beneath your Pumpkin Patch.
ChristmasTown_grand_marshall	Grand Marshall	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-GrandMarshall.jpg	default	Surprises	Christmas Town	ChristmasTown	playerNDeck	0	Common	Search 4, The �Hyde� Family OR Move a Character in your Halloweentown to the same Locale as one of your Characters with the word �Hyde� in his name.
ChristmasTown_guillotine_area	Guillotine Area	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-GuillotineArea.jpg	default	Locale	Christmas Town	ChristmasTown	playerNLocale	5	Uncommon	FUNCTION: Discard 1 Character from this Locale to Add 2p and force each opponent to discard 1 Character of his choice from his own Halloweentown.
Premiere_halloween_plans	Halloween Plans	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-HalloweenPlans.jpg	default	Surprises	Premiere	Premiere	playerNDeck	0	Common	Search 6, The Mayor OR If the Mayor is at your Mayor-mobile or at the same Locale as Jack in your Halloweentown, Draw 2 Cards
ChristmasTown_halloweentown_bell	Halloweentown Bell	nightmare-before-christmas/christmas-town/NightmareBeforeChristmas-ChristmasTown-HalloweentownBell.jpg	default	Creations	Christmas Town	ChristmasTown	playerNDeck	5	Common	-2 Cost if the Mayor is at your Mayor-mobile., -1 Cost if the Mummy Boy is at the same Locale as your Mayor. These effects are cumulative.
Premiere_halloweentown_gates	Halloweentown Gates	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-HalloweentownGates.jpg	default	Surprises	Premiere	Premiere	playerNDeck	2	Uncommon	Place this card on the table as part of your Halloweentown. Whenever an opponent plays a Surprise that affects one of your Characters in play, you may immediately return this card to your hand to ignore that Surprise.
Premiere_hanging_tree	Hanging Tree	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-HangingTree.jpg	default	Character	Premiere	Premiere	playerNDeck	3	Rare	When playing this card, you may discard Characters from your hand to reduce the Hanging Tree�s Cost by 1 for each Character discarded.
Premiere_harlequin_demon	Harlequin Demon	nightmare-before-christmas/premiere/NightmareBeforeChristmas-Premiere-HarlequinDemon.jpg	default	Character	Premiere	Premiere	playerNDeck	2	Uncommon	-1 Cost at the Back Alley.
