databaseId	name	imageUrl	cardBack	type	set	class	race	skills	homeSite	mind	influence	gi	prowess	body	strikes	playable	mp	sp	magic	specific	corruption	region	sitePath	draw	opponentDraw	rarity	text	loadGroupId
AgainstShadow_GandalftheWhiteRider	Gandalf the White Rider	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-GandalfTheWhiteRider.jpg	default	Hazard	AgainstShadow	Creature/Permanent-event	Maia						13	9	2	{f}{F}	6*									R2	"Unique. Maia. Manifestation of Gandalf. Two strikes. Detainment and -3 prowess against hero companies. Discard this card if Gandalf comes into play. May be played keyed to Free-domains and Free-holds and may also be keyed to Arthedain, The Shire, Rhudaur, Lindon, Wold & Foothills, or Anfalas; or at any sites in these regions. As a permanent-event, +1 hazard limit against all overt companies. Discard when any play deck is exhausted."	playerNDeck
AgainstShadow_KnightsofthePrince	Knights of the Prince	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-KnightsOfThePrince.jpg	default	Hazard	AgainstShadow	Creature	Dunedain						10	8	4		3*									R2	"Unique. Dunedain. Four strikes. Detainment against hero companies. Playable at Anfalas, Belfalas, Lamedon, Lebennin, or Anorien; or at any sites in these regions. All untapped characters are tapped following this attack."	playerNDeck
AgainstShadow_LadyoftheGoldenWood	Lady of the Golden Wood	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-LadyOfTheGoldenWood.jpg	default	Hazard	AgainstShadow	Creature/Permanent-event	Elves						12	10	1		3*									R2	"Unique. Elf. Manifestation of Galadriel. One strike. Detainment against hero companies. As a creature, may be played keyed to Wold & Foothills; or at sites in this region. As a permanent-event, all effects are automatically canceled which allow a minion player to search through or look at any portion of his play deck or discard pile outside the normal sequence of play. Discard when any play deck is exhausted."	playerNDeck
AgainstShadow_LordoftheCarrock	Lord of the Carrock	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-LordOfTheCarrock.jpg	default	Hazard	AgainstShadow	Creature/Permanent-event	Men						16	9	1		2*									R2	"Unique. Man. Manifestation of Beorn. One strike. Detainment against hero companies. As a creature, he may be played keyed to Anduin Vales, Woodland Realm, Western Mirkwood, Wold & Foothills, High Pass, or Redhorn Gate; or at sites in these regions. As a permanent-event, all influence attempts against Man factions are modified by -2. Discard when any play deck is exhausted."	playerNDeck
AgainstShadow_LordoftheHaven	Lord of the Haven	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-LordOfTheHaven.jpg	default	Hazard	AgainstShadow	Creature/Short-event	Elves						13	9	1		3*									R2	"Unique. Elf. Manifestation of Cirdan. One strike. Detainment against hero companies. May be played keyed to Lindon or any Coastal Sea region; or at sites in these regions. As a short-event, tap up to 2 characters at a site, or moving through a Coastal Sea region."	playerNDeck
AgainstShadow_MasteroftheHouse	Master of the House	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-MasterOfTheHouse.jpg	default	Hazard	AgainstShadow	Creature/Permanent-event	Elves						14	9	1		3*									R2	"Unique. Elf. Manifestation of Elrond. One strike. Detainment against hero companies. As a creature may be played keyed to Rhudaur, Arthedain, High Pass, The Shire, or Cardolan; or at sites in these regions. As a permanent-event, each player at the end of each turn may bring one Elf hazard creature from his discard pile to his hand. discard when any play deck is exhausted."	playerNDeck
AgainstShadow_NeartoHearaWhisper	Near to Hear a Whisper	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-NearToHearAWhisper.jpg	default	Hazard	AgainstShadow	Permanent-event																				R2	Any agent may attack a company at his site at the start of the site phase if the company chooses not to enter the site. May be revealed on-guard if the company chooses not to enter the site. Discard when any play deck is exhausted. Cannot be duplicated.	playerNDeck
AgainstShadow_OneFoetoBreedaWar	One Foe to Breed a War	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-OneFoeToBreedAWar.jpg	default	Hazard	AgainstShadow	Permanent-event																				R2	Playable on a wounded non-Ringwraith, non-Wizard character. The next time character would heal, discard this card instead. Attacking player may always assign the first strike of any attack to this character. Cannot be duplicated.	playerNDeck
AgainstShadow_PallandotheSoulkeeper	Pallando the Soul-keeper	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-PallandoTheSoulKeeper.jpg	default	Hazard	AgainstShadow	Creature/Permanent-event	Maia						13	9	2	{f}{F}	6*									R2	"Unique. Maia. Manifestation of Pallando. Two strikes. Detainment and -3 prowess against hero companies. Discard this card if Pallando comes into play. May be played keyed to Free-domains and Free-holds and may also be played keyed to Lindon, Numeriador, Arthedain, or Cardolan; or at sites in these regions. As a permanent-event, the next non-Ringwraith minion discarded from play is instead eliminated. Discard when a minion is so eliminated. {green} DCE: As a creature, may be played keyed to Lindon, Numeriador, Clyan, or Chy; or at sites in these regions."	playerNDeck
AgainstShadow_PilferAnythingUnwatched	Pilfer Anything Unwatched	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-PilferAnythingUnwatched.jpg	default	Hazard	AgainstShadow	Short-event																				U1	Playable on an untapped agent. Tap the agent. Make a roll for a character of your choice with a home site the same as the agent's current site. Add 5 to the roll if the current site is the agent's home site. If the result is greater than the character's mind +5, the character is returned to his player's hand.	playerNDeck
AgainstShadow_PowerBuiltbyWaiting	Power Built by Waiting	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-PowerBuiltByWaiting.jpg	default	Hazard	AgainstShadow	Permanent-event																				C3	Tap during a company's movement/hazard phase to increase the hazard limit against the company by one. Card does not untap during your untap phase. You may use 2 against a company's hazard limit to untap this card.	playerNDeck
AgainstShadow_RadagasttheTamer	Radagast the Tamer	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-RadagastTheTamer.jpg	default	Hazard	AgainstShadow	Creature/Permanent-event	Maia						13	9	2	{f}{F}	6*									R2	Unique. Maia. Manifestation of Radagast. Two strikes. Detainment and -3 prowess against hero companies. Discard this card if Radagast comes into play. May be keyed to Free-domains and Free-holds and may also be played keyed to Southern Mirkwood, Western Mirkwood, Woodland Realm, Heart of Mirkwood or Rhosgobel. As a permanent-event, all companies moving in Southern Mirkwood, Western Mirkwood, Woodland Realm and/or Heart of Mirkwood have their hazard limit increased by +1. Discard when any play deck is exhausted.	playerNDeck
AgainstShadow_ReturnedBeyondAllHope	Returned Beyond All Hope	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-ReturnedBeyondAllHope.jpg	default	Hazard	AgainstShadow	Short-event											2									C2	Bring one hazard creature of the following type from your discard pile to your hand: Maia, Elf, Dwarf, or Dunedain. Alternatively, bring a Maia permanent-event from play to your hand. Alternatively, make a roll - if the result is greater than 8, bring an eliminated Elf or Maia creature to its owners discard pile and place this card in your opponent's MP pile for 2 MP.	playerNDeck
AgainstShadow_RideAgainsttheEnemy	Ride Against the Enemy	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-RideAgainstTheEnemy.jpg	default	Hazard	AgainstShadow	Short-event																				C3	Playable on a company moving through a Wilderness [{w}] if you have a character in your hand. Reveal the character. A single-strike hazard creature attack is made on the company with the attributes of the revealed character, except the prowess is increased by 7. Other cards have no effect on this attack. The attack is detainment if the revealed character and company are both minion or both hero. If defeated, place the character in your opponent's marshalling point pile - he receives the character's marshalling points as kill points. Otherwise discard the character.	playerNDeck
AgainstShadow_SarumantheWise	Saruman the Wise	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-SarumanTheWise.jpg	default	Hazard	AgainstShadow	Creature/Permanent-event	Maia						13	9	3	{f}{F}	6*									R2	"Unique. Maia. Manifestation of Saruman. Three strikes. Detainment and -3 prowess against hero companies. Discard this card if Saruman comes into play. May be played keyed to Free-domains and Free-holds and may also be played keyed to Gap of Isen, Rohan, Enedhwaith, or Old-Pukel-land; or at sites in these regions. As a permanent- event, all rings give +1 corruption points. Discard when any play deck is exhausted."	playerNDeck
AgainstShadow_ShortLegsAreSlow	Short Legs Are Slow	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-ShortLegsAreSlow.jpg	default	Hazard	AgainstShadow	Permanent-event																				U3	Affects companies with at least as many Hobbits as non-Hobbit characters. Number of regions affected companies can move is reduced by one. Affected companies cannot use starter movement if region movement is being used in game. Cannot be duplicated. Discard when any play deck is exhausted.	playerNDeck
AgainstShadow_SlipTreacherously	Slip Treacherously	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-SlipTreacherously.jpg	default	Hazard	AgainstShadow	Short-event																				C3	Tap all untapped items in play.	playerNDeck
AgainstShadow_StewardsGuard	Steward's Guard	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-StewardsGuard.jpg	default	Hazard	AgainstShadow	Creature	Dunedain						8	-	5		1*									C2	Dunedain. Five strikes. Detainment against hero and covert companies. May be played keyed to Wold & Foothills, Rohan, Anorien, Lebennin, Brown Lands, Dagorlad. Ithilien or Harondor.	playerNDeck
AgainstShadow_StoutMenofGondor	Stout Men of Gondor	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-StoutMenOfGondor.jpg	default	Hazard	AgainstShadow	Creature	Men						7	-	6		1*									C3	"Men. Six strikes. May be played keyed to Old Pukel-land, Old Pukel Gap, Andrast, Anfalas, Lamedon, Belfalas, Lebennin, Anorien, or Rohan; or at sites in these regions."	playerNDeck
AgainstShadow_SummonsfromLongSleep	Summons from Long Sleep	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-SummonsFromLongSleep.jpg	default	Hazard	AgainstShadow	Permanent-event																				C2	"Place a Dragon or Drake face up ""off to the side"" with this card. You may play this creature as though it were in your hand with +2 prowess. Summons from Long Sleep is discarded when the creature attacks."	playerNDeck
AgainstShadow_TrollsfromtheMountains	Trolls from the Mountains	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-TrollsFromTheMountains.jpg	default	Hazard	AgainstShadow	Creature	Trolls						12	5	3	{w}{w}{w}	2									C2	Trolls. Three strikes. Playable keyed to triple Wilderness (three Wilderness regions in the site path are required).	playerNDeck
AgainstShadow_TroubleonAllBorders	Trouble on All Borders	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-TroubleOnAllBorders.jpg	default	Hazard	AgainstShadow	Permanent-event																				C2	Playable on a unique faction in play. Any company moving through a region containing a site where the faction is playable, or through any adjacent region, faces an attack of 4 strikes at 8 prowess. The attack is detainment if the company and the faction are both minion or both hero. Cannot be duplicated on a faction. Discard when any play deck is exhausted.	playerNDeck
AgainstShadow_TurningHopetoDespair	Turning Hope to Despair	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-TurningHopeToDespair.jpg	default	Hazard	AgainstShadow	Short-event																				C3	"Playable on a non-detainment attack from: Undead, Nazgul, or Maia; does not count against the hazard limit. If attack is not defeated, each character in company makes a roll and adds his mind. If the result is less than 11, the character splits off from the company and forms his own company. The character faces a separate movement/hazard phase this turn with a hazard limit of one."	playerNDeck
AgainstShadow_UnhappyBlows	Unhappy Blows	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-UnhappyBlows.jpg	default	Hazard	AgainstShadow	Short-event																				R2	Playable on a company containing both Dwarves and Elves, or both Orcs and Trolls. Make a roll and subtract five (seven for Orcs and Trolls). If available, your opponent must choose and return to his hand any number of Elves and Dwarves (or Orcs and Trolls) in the company whose mind equals or exceeds this result. Items played with these characters are also returned to opponent's hand. Cannot be duplicated on a given turn.	playerNDeck
AgainstShadow_WillShaken	Will Shaken	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-WillShaken.jpg	default	Hazard	AgainstShadow	Permanent-event											-2									R2	This card may never be played. If you opponent looks at cards from your hand and sees Will Shaken, place this card in his marshalling point pile. He loses two miscellaneous marshalling points. Your opponent may skip his turn in order to place this card in your discard pile.	playerNDeck
AgainstShadow_AlltheBellsRinging	All the Bells Ringing	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-AllTheBellsRinging.jpg	default	Hero Resource	AgainstShadow	Short-event																				U3	Playable during opponent's site phase before strikes are assigned at a Free-hold or Border-hold if a minion company attacks. Attack is canceled and the minion company must face all automatic-attacks - which attack normally, not as detainment. Afterwards, the minion company may attack the hero company again.	playerNDeck
AgainstShadow_AllianceofFreePeoples	Alliance of Free Peoples	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-AllianceOfFreePeoples.jpg	default	Hero Resource	AgainstShadow	Permanent-event																				R2	If at least one hero Dwarf, Elf and Man faction is in play, all hero Dwarf, hero Elf and hero Man factions give +1 MP. Discard when any hero Dwarf, Elf or Man faction is discard from play. Cannot be duplicated.	playerNDeck
AgainstShadow_Angmarim	Angmarim	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-Angmarim.jpg	default	Hero Resource	AgainstShadow	Faction	Man										3									R1	Unique. Manifestation of minion Angmarim. Playable at Carn Dum if the influence check is greater than 11 (Muster has no effect). Modifications: Wizards (-5), Men (+1)	playerNDeck
AgainstShadow_BiterandBeater	Biter and Beater!	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-BiterAndBeater.jpg	default	Hero Resource	AgainstShadow	Short-event																				C2	Playable on a company facing an Orc attack or in combat with an overt company. Also playable during opponent's site phase. Every Sword of Gondolin, Orcrist, and Glamdring in target company give an additional +2 prowess bonus and lower the body of strikes their bearers face by 1.	playerNDeck
AgainstShadow_BowoftheGaladhrim	Bow of the Galadhrim	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-BowOfTheGaladhrim.jpg	default	Hero Resource	AgainstShadow	Major Item											2				1					U2	Unique. If bearer is an Elf Warrior in company vs. company combat, make a roll for each non-unique minion ally in the opposing company. If the result for an ally is greater than the ally's mind plus five, discard the ally.	playerNDeck
AgainstShadow_Drughu	Drughu	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-Drughu.jpg	default	Hero Resource	AgainstShadow	Short-event																				U3	Playable on a hero company during your organization phase if you discard a ranger from your hand. All characters in company receive +2 prowess against attacks keyed to Wilderness regions and during combat at Ruins and Lairs. Cannot be duplicated on a given company.	playerNDeck
AgainstShadow_FarmerMaggot	Farmer Maggot	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-FarmerMaggot.jpg	default	Hero Resource	AgainstShadow	Permanent-event																				R1	Unique. If your company faces an attack while at a site in The Shire, Arthedain, or Cardolan, you may immediately replace its site card with another site in The Shire, Arthedain, or Cardolan. If your company takes this option, the attack is canceled and this card is discarded.	playerNDeck
AgainstShadow_GlamourofSurpassingExcellance	Glamour of Surpassing Excellance	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-GlamourOfSurpassingExcellance.jpg	default	Hero Resource	AgainstShadow	Short-event																				C3	Playable on a company at a Free-hold or Border-hold. Make a roll for each hazard permanent-event on characters in the company. Discard each hazard whose roll is greater than the number normally needed to remove it as printed on the card (ignoring all modifiers and conditions). If no number is given, the permanent-event is discarded if the result is greater than 8.	playerNDeck
AgainstShadow_Haradrim	Haradrim	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-Haradrim.jpg	default	Hero Resource	AgainstShadow	Faction	Man										4									R2	Unique. Manifestation of minion Haradrim. Playable at Southron Oasis if the influence check is greater than 9. Modifications: Wizards (-5), Dunedain (-2), Elves (-2), Dwarves (-2).	playerNDeck
AgainstShadow_JewelofBeleriand	Jewel of Beleriand	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-JewelOfBeleriand.jpg	default	Hero Resource	AgainstShadow	Minor Item															1					C2	Hoard Item. Tap this item and make a roll - if the result is greater than 6, the bearer untaps if tapped. Cannot be duplicated on a given character.	playerNDeck
AgainstShadow_MountSlain	Mount Slain	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-MountSlain.jpg	default	Hero Resource	AgainstShadow	Permanent-event											2									R2	Playable during any player's turn if a strike against one of your companies from a Ringwraith or Nazgul creature fails. If still in active play following its body check, discard the Ringwraith.	playerNDeck
AgainstShadow_NoStrangersatthisTime	No Strangers at this Time	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-NoStrangersAtThisTime.jpg	default	Hero Resource	AgainstShadow	Permanent-event											1									C3	"Playable during the site phase on a Free-hold or Border-hold if you've played a faction there. This site is never discarded and never untaps. All detainment attacks at this site against minion companies attack normally. Against minion companies, this site has an additional automatic-attack; an exact copy, including all modifications, of the first auto-attack listed on its card."	playerNDeck
AgainstShadow_Nurniags	Nurniags	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-Nurniags.jpg	default	Hero Resource	AgainstShadow	Faction	Man										5									R1	Unique. Manifestation of minion Nurniags. Playable at Nurniag Camp if the influence check is greater than 13 (Muster has no effect). Modifications: Wizards (-5), Men (+1).	playerNDeck
AgainstShadow_Orcmail	Orc-mail	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-OrcMail.jpg	default	Hero Resource	AgainstShadow	Permanent-event																				R2	Playable on a company containing only Hobbits and/or Dwarves. Company may not be attacked by an overt company. If an overt company at the same site as the target company moves, you may replace your opponents site with your copy of the minion company's new site. At the start of each of your opponent's site phases, make a roll. If the result plus the number of minion characters at the same site is greater than 12, discard this card.	playerNDeck
AgainstShadow_Pettydwarves	Petty-dwarves	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-PettyDwarves.jpg	default	Hero Resource	AgainstShadow	Faction	Dwarf										2									R2	Unique. Manifestation of minion Petty-dwarves. Playable at The Worthy Hills if influence check is greater than 10. Modifications: Elves (-2), Dwarves (+2).	playerNDeck
AgainstShadow_PowerAgainsttheShadow	Power Against the Shadow	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-PowerAgainstTheShadow.jpg	default	Hero Resource	AgainstShadow	Short-event																				C3	Playable during your opponent's site phase on a company being attack by a minion company. All heroes receive +3 prowess until the end of the turn. Cannot be duplicated on a given company.	playerNDeck
AgainstShadow_SafefromtheShadow	Safe from the Shadow	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-SafeFromTheShadow.jpg	default	Hero Resource	AgainstShadow	Permanent-event																				C2	Hero characters may store resources (items and events) during the end-of-turn phase. Cannot be duplicated. Discard when any play deck is exhausted.	playerNDeck
AgainstShadow_SpiesFeared	Spies Feared	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-SpiesFeared.jpg	default	Hero Resource	AgainstShadow	Permanent-event																				R2	Scout or Ranger only. Playable on a Shadow-hold if one of your scouts is there or on a Ruins and Lairs if one of your rangers is there. An additional automatic-attack is created at the site against minion companies: Orcs - 5 strikes at 8 (detainment). Additionally all auto-attacks at the site are duplicated (including the new one) against all companies. Discard when site is discarded or returned to your location deck.	playerNDeck
AgainstShadow_TheIthilstone	The Ithil-stone	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-TheIthilStone.jpg	default	Hero Resource	AgainstShadow	Special Item											5				4					R1	Unique. Palantir. Playable at Barad-dur. When character taps to play the Ithil-stone, make a roll. If the result plus the number of scouts in the company is greater than 9, the Ithil-stone is successfully played. Otherwise, the bearer is eliminated and the Ithil-stone is placed in your out-of-play pile. Bear makes a corruption check at the end of each of his untap phases. Bane of the Ithil-stone is discarded and cannot be played. If the Lidless Eye is in play, its player's hand size decreases by 2.	playerNDeck
AgainstShadow_TheSunUnveiled	The Sun Unveiled	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-TheSunUnveiled.jpg	default	Hero Resource	AgainstShadow	Short-event																				C3	Playable on a character at a Free-hold if Gates of Morning is in play. Remove all hazard permanent-events on the character and, if tapped, untap him.	playerNDeck
AgainstShadow_TowerRaided	Tower Raided	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-TowerRaided.jpg	default	Hero Resource	AgainstShadow	Permanent-event											6									R2	Playable during the site phase on an untapped Shadow-hold if your company: bears an item worth at least 2 MP, contains an untapped scout, and discards for no effect a Stolen Knowledge card it controls. Tap the site and discard the item. Company faces an attack: Orcs - 4 strikes at 8. By the end of the site phase, tap a scout n the company or discard this card. If this card is not discarded, all versions of this site are now considered Ruins and Lairs, and no factions are playable there. Discard when site is discarded or returned to your location deck.	playerNDeck
AgainstShadow_Waineasterlings	Wain-easterlings	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-WainEasterlings.jpg	default	Hero Resource	AgainstShadow	Faction	Man										3									U2	Unique. Manifestation of minion Wain-easterlings. Playable at Easterling Camp if influence check is greater than 8. Modifications: Wizard (-5), Dunedain (-2).	playerNDeck
AgainstShadow_WosesoftheErynVorn	Woses of the Eryn Vorn	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-WosesOfTheErynVorn.jpg	default	Hero Resource	AgainstShadow	Faction		Wose									2									U2	Unique. Manifestation of minion Woses of Eryn Vorn. Playable at The Worthy Hills if influence check is greater than 10.	playerNDeck
AgainstShadow_CirithGorgor	Cirith Gorgor	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-CirithGorgor.jpg	default	Hero Site	AgainstShadow	{D}										Items (minor, major, greater)						Udun	{w}{s}{f}{w}{s}{d}{d}	3	5	R2	Nearest Haven: Lorien. Automatic-attacks: Orcs - 5 strikes with 8 prowess, Trolls - 2 strikes with 10 prowess.	playerNLocationDeck
AgainstShadow_GeannaLisch	Geann a-Lisch	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-GeannALisch.jpg	default	Hero Site	AgainstShadow	{R}										Information, Items (minor, major)						Old Pukel-land	{w}{w}{w}	2	2	U2	Nearest Haven: Edhellond. Automatic-attacks: Men - 4 strikes with 8 prowess. Special: Any man hazard creature can be played here.	playerNLocationDeck
AgainstShadow_GobelMirlond	Gobel Mirlond	middle-earth-ccg/againstshadow/MiddleEarthCCG-AgainstShadow-GobelMirlond.jpg	default	Hero Site	AgainstShadow	{B}										Items (minor, major)						Harondor	{w}{f}{c}{w}	2	2	U2	Nearest Haven: Edhellond. Automatic-attacks: Men - 4 strikes with 9 prowess (detainment).	playerNLocationDeck
