databaseId	name	imageUrl	cardBack	type	subtype	side	uniqueness	packName	rarity	destiny	deploy	power	ability	armor	maneuver	hyperspeed	landspeed	forfeit	politics	icons	cardTypes	lore	text
105_5	Death Star Assault Squadron	star-wars-ccg/first-anthology/StarWarsCcg-FirstAnthology-DeathStarAssaultSquadron.gif	Dark	STARSHIP	SQUADRON	DARK	UNIQUE	First Anthology	PV	1	12	3			3			10		SPECIAL_EDITION, STARSHIP, PILOT x3	STARSHIP	Notoriety gained during the assaults on Ralltiir and Mon Calamari makes this the most feared squadron in the Empire. Defended the Death Star during the Battle of Yavin.	Permanent pilots aboard are •Darth Vader, •DS-61-2 and •DS-61-3, who provide total ability of 10 and add 9 to total power of •Vader's Custom TIE, •Black 2 and •Black 3.
105_6	Jabba's Influence	star-wars-ccg/first-anthology/StarWarsCcg-FirstAnthology-JabbasInfluence.gif	Dark	EFFECT	NORMAL	DARK	UNIQUE	First Anthology	PV	3										SPECIAL_EDITION, EFFECT	EFFECT	Jabba makes offers one cannot refuse. Smugglers, thieves and competitors who do not acquiesce have been rumored to wake up with a bantha's head in their bed.	Deploy on one of your gangsters or bounty hunters. Once during each of your control phases, if present with an opponent's smuggler or character of ability = 1, may use 3 Force. Opponent must use 5 Force or that character returns to opponent's hand.
106_1	Arleil Schous	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-ArleilSchous.gif	Light	CHARACTER		LIGHT	UNIQUE	Official Tournament Sealed Deck	PM	2	4	1	3				1	5	0	PREMIUM, ALIEN, PILOT, WARRIOR	ALIEN	One of the Rebellion's main contacts on Tatooine. Widely regarded as a leader in the Mos Eisley alien community. Aging male Defel. Has lost the ability to warp light.	When deployed, you may take one non-unique alien into hand from Reserve Deck; reshuffle. Adds 2 to power of anything he pilots. Your aliens deploy -1 to same or adjacent Tatooine site.
106_10	Black Squadron TIE	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-BlackSquadronTIE.gif	Dark	STARSHIP	STARFIGHTER	DARK	RESTRICTED_3	Official Tournament Sealed Deck	PM	2	4	1			3			4		PREMIUM, STARSHIP, PILOT	STARSHIP	Part of Vader's hand-picked squadron stationed at the Death Star. Boasts the latest in Imperial weaponry. Each pilot and starfighter is at the peak of readiness.	Deploy -2 to Death Star or same location as Vader. Permanent pilot aboard provides ability of 2 and adds 2 to power. Adds 1 to its weapon destiny draws.
106_11	Chall Bekan	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-ChallBekan.gif	Dark	CHARACTER		DARK	UNIQUE	Official Tournament Sealed Deck	PM	2	4	2	3				1	4	0	PREMIUM, ALIEN, PILOT, WARRIOR	ALIEN	Male Morseerian leader. Methane breather. Has ties to Tatooine's Imperial government. Uses alien agents to maintain surveillance on Jabba and the Rebellion.	When deployed, you may take one non-unique alien into hand from Reserve Deck; reshuffle. Adds 2 to power of anything he pilots. Your aliens deploy -1 to same or adjacent Tatooine site.
106_12	Corulag	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-Corulag.gif	Dark	LOCATION	SYSTEM	DARK	UNIQUE	Official Tournament Sealed Deck	PM	0	0									PREMIUM, DARK_FORCE x2, LIGHT_FORCE, PLANET	LOCATION		Light: If you control, Force drain -1 here. / Dark: If you control, all non-unique Imperials are power and forfeit +1 and Imperial trooper guards may move.
106_13	Dreadnaught-Class Heavy Cruiser	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-DreadnaughtClassHeavyCruiser.gif	Dark	STARSHIP	CAPITAL	DARK	UNRESTRICTED	Official Tournament Sealed Deck	PM	3	5	5		4		3		5		PREMIUM, STARSHIP, NAV_COMPUTER, PILOT x2, SCOMP_LINK	STARSHIP	Introduced during the Clone Wars. 600 meters long. Some have cargo space converted to TIE hanger bays. Still used to maintain an Imperial presence in the Outer Rim.	May add 3 pilots, 6 passengers and 4 TIEs. Has ship-docking capability. Permanent pilots provide total ability of 2. Turbolaser Battery may deploy aboard. Your TIEs present are each power +1.
106_14	Forced Servitude	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-ForcedServitude.gif	Dark	EFFECT	NORMAL	DARK	UNIQUE	Official Tournament Sealed Deck	PM	4										PREMIUM, EFFECT	EFFECT	The Empire often uses droids for nefarious purposes. Imperials compel droids to do jobs that are repugnant to humans. An automaton has no ethical conscience.	Deploy on opponent's location. Whenever you lose a droid from hand or Life Force, it satisfies Force loss up to its forfeit value. Once per turn, you play Imperial Code Cylinder to cancel a Force drain where you have a droid. Effect canceled if opponent controls this location.
106_15	Obsidian Squadron TIE	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-ObsidianSquadronTIE.gif	Dark	STARSHIP	STARFIGHTER	DARK	RESTRICTED_3	Official Tournament Sealed Deck	PM	2	4	1			3			4		PREMIUM, STARSHIP, PILOT	STARSHIP	Modified TIE fighter. Specifically adapted for atmospheric engagement. Some are fitted with high-output solar panels to support improved weaponry.	Deploy -1 at any cloud sector. Permanent pilot provides ability of 2 and adds 2 to power. Power +2 at non-unique cloud sectors. Boosted TIE Cannon may deploy aboard and fires free aboard.
106_16	Stormtrooper Cadet	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-StormtrooperCadet.gif	Dark	CHARACTER		DARK	UNRESTRICTED	Official Tournament Sealed Deck	PM	3	1	1	1				1	1	0	PREMIUM, IMPERIAL	IMPERIAL	After months of intense training, a trooper is paired with a veteran soldier. While providing support during field operations, the new trooper masters Imperial military tactics.	Deploys free to same site as an Imperial leader. Once per turn, may target a non-unique Imperial warrior present; target is power +1 for remainder of turn. When forfeited at same site as an Imperial leader (or non-cadet trooper), also satisfies all remaining attrition against you.
106_17	Tarkin's Orders	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-TarkinsOrders.gif	Dark	INTERRUPT	USED_OR_LOST	DARK	UNIQUE	Official Tournament Sealed Deck	PM	4										PREMIUM, INTERRUPT	INTERRUPT	'Put all sections on alert!'	USED: Cancel a Force drain at a site related to a system you control. LOST: Cancel Surprise Assault, It Could Be Worse, Nabrun Leids, Collision! or Hyper Escape. OR Lose 1 Force to search your Lost Pile and take one non-unique starfighter into hand.
106_18	Tatooine: Tusken Canyon	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-TatooineTuskenCanyon.gif	Dark	LOCATION	SITE	DARK	UNIQUE	Official Tournament Sealed Deck	PM	0	0									PREMIUM, DARK_FORCE, EXTERIOR_SITE, LIGHT_FORCE, PLANET	LOCATION		Dark: If you control, Force drain +1 here (+2 if a Gaderffi Stick is present).
106_2	Corulag	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-Corulag-2.gif	Light	LOCATION	SYSTEM	LIGHT	UNIQUE	Official Tournament Sealed Deck	PM	0	0									PREMIUM, DARK_FORCE, LIGHT_FORCE x2, PLANET	LOCATION		Light: If you control, all non-unique Rebels are power and forfeit +1 and Rebel guards may move. / Dark: If you control, Force drain -1 here.
106_3	Faithful Service	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-FaithfulService.gif	Light	EFFECT	NORMAL	LIGHT	UNIQUE	Official Tournament Sealed Deck	PM	4										PREMIUM, EFFECT	EFFECT	Unlike the Empire, the Alliance treats their droids with respect. Many droids volunteered to share the risk of battle and aid the Rebellion's assault on the Death Star.	Deploy on opponent's location. Whenever you lose a droid from hand or Life Force, it satisfies Force loss up to its forfeit value. Once per turn, you play Scomp Link Access to cancel a Force drain where you have a droid. Effect canceled if opponent controls this location.
106_4	Gold Squadron Y-wing	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-GoldSquadronYWing.gif	Light	STARSHIP	STARFIGHTER	LIGHT	RESTRICTED_3	Official Tournament Sealed Deck	PM	3	4	2			3	4		3		PREMIUM, STARSHIP, NAV_COMPUTER, PILOT, SCOMP_LINK	STARSHIP	Gold Squadron had the best Y-wing pilots in the Alliance. Lead by Jon 'Dutch' Vander. First wave of starfighters to assault the Death Star. Many were lost in the Battle of Yavin.	Deploy -2 at Yavin 4 or to same location as Dutch. May add 1 pilot or passenger. Permanent pilot aboard provides ability of 2 and adds 2 to power. Adds 1 to its ion cannon weapon destiny draws.
106_5	It's A Hit!	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-ItsAHit.gif	Light	INTERRUPT	USED_OR_LOST	LIGHT	UNIQUE	Official Tournament Sealed Deck	PM	3										PREMIUM, INTERRUPT	INTERRUPT	Red Leader fired the first shot in the Death Star trench, causing massive internal damage. The spectacular near-miss inspired Red Squadron to double their efforts.	USED: Cancel a Force drain at a site related to a system you control. LOST: Cancel Counter Assault, It's Worse, Elis Helrot, Tallon Roll, Limited Resources or Scanning Crew. OR Use 3 Force to search your Lost Pile and take one non-unique starfighter into hand.
106_6	Rebel Trooper Recruit	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-RebelTrooperRecruit.gif	Light	CHARACTER		LIGHT	UNRESTRICTED	Official Tournament Sealed Deck	PM	3	1	1	1				1	1	0	PREMIUM, REBEL	REBEL	New Rebel troopers gain invaluable experience while acting as support for seasoned troops. The Alliance prefers to assign rookies to soldiers on a one-to-one basis.	Deploys free to same site as a Rebel leader. Once per turn, may target a non-unique Rebel warrior present; target is power +1 for remainder of turn. When forfeited at same site as a Rebel leader (or non-recruit trooper), also satisfies all remaining attrition against you.
106_7	Red Squadron X-wing	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-RedSquadronXWing.gif	Light	STARSHIP	STARFIGHTER	LIGHT	RESTRICTED_3	Official Tournament Sealed Deck	PM	2	5	3			4	5		4		PREMIUM, STARSHIP, NAV_COMPUTER, PILOT, SCOMP_LINK	STARSHIP	Most Red Squadron pilots trained under Garven Dreis. Flew top cover during the Battle of Yavin. Became famous for Red 5's historic attack run.	Deploy -2 at Yavin 4 or to same location as Red Leader. Permanent pilot provides ability of 2 and adds 2 to power. Proton Torpedoes deploy and fire free aboard.
106_8	Tatooine: Jundland Wastes	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-TatooineJundlandWastes.gif	Light	LOCATION	SITE	LIGHT	UNIQUE	Official Tournament Sealed Deck	PM	0	0									PREMIUM, DARK_FORCE, EXTERIOR_SITE, LIGHT_FORCE, PLANET	LOCATION		Light: If you control, Force drain +1 here (+2 if a Vaporator present). / Dark: If you control with a Tusken Raider present, Force drain +1 here.
106_9	Z-95 Headhunter	star-wars-ccg/official-tournament-sealed-deck/StarWarsCcg-OfficialTournamentSealedDeck-Z95Headhunter.gif	Light	STARSHIP	STARFIGHTER	LIGHT	UNRESTRICTED	Official Tournament Sealed Deck	PM	3	2	2			4			2		PREMIUM, STARSHIP, PILOT, INDEPENDENT	STARSHIP	Developed by Incom/Subpro. Atmospheric fighter adapted for space travel. AF-4 version refitted with Incom 2a fission engines and two Taim & Bak KX5 laser cannons.	Permanent pilot aboard provides ability of 1. Power and Maneuver +2 at non-unique cloud sectors. May be carried aboard starships like a vehicle.
107_1	Mon Calamari Star Cruiser	star-wars-ccg/second-anthology/StarWarsCcg-SecondAnthology-MonCalamariStarCruiser.gif	Light	STARSHIP	CAPITAL	LIGHT	UNRESTRICTED	Second Anthology	PV	1	8	7		5		3		9		DEATH_STAR_II, STARSHIP, NAV_COMPUTER, PILOT, SCOMP_LINK	STARSHIP	Mon Cal MC80 cruiser. Originally a civilian ship. Converted to military use following the liberation of Mon Calamari from the Empire.	Deploys only at Mon Calamari or any Rebel Base. May add 5 pilots, 6 passengers, 1 vehicle and 3 starfighters. Has ship-docking capability. Permanent pilot aboard provides ability of 2.
