databaseId	name	imageUrl	cardBack	type	cardsubtype	cost	deckbuilderQuantity	defense	destiny	energy	faction	lore	numberInPack	packName	power	setUuid	supportcost	tactics	text
09b5cfae-f206-4e7f-bc3a-110ceaa14ef2	?Cheng Lin	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-ChengLin.jpg	normal	CHARACTER	CHARACTER � Ikazuchi � Tech � Warrior � Unit	3	4	4	1		Gongen	"�The manual says, �If you cannot repair the vehicle as well as you drive it, then you are a failure to your master,� but have you ever seen a Gunso try to change a coupling?�"	2RF6	Nowhere to Hide	3	f503fc45-3379-4d7d-907c-106b7fcf7e08	2 Gongen	3	"Each time one of your vehicles here is destroyed, you may put that vehicle on top of its owner�s used pile. You may use this ability only once each turn."
09b875fa-4e51-425d-9110-a36e53beafc6	Frozen by Fear	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-FrozenByFear.jpg	normal	INTERRUPT	INTERRUPT (Lost)	2	4		3		Quay	Quay kizen use an enemy�s hidden fears against him.	1U232	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Quay		"Until end of turn, as an additional cost for a player to play a ship or unit at a location related to a location where you have a kizen, that player pays 2 energy."
09b9ebb9-1279-413f-9340-0573dd66c886	Alcove of Panacea	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-AlcoveOfPanacea.jpg	normal	ASSET	ASSET (Location)	2	4		3		Shi	"""When a Crown dies, the Tilak fail.� � Shi axiom"	2U87	Nowhere to Hide		f503fc45-3379-4d7d-907c-106b7fcf7e08	1 Shi		"You may play this asset beneath one of your opponent�s locations. Each time your Tilak character here would be destroyed, you may pay 3 energy. If you do, put that character on top of your reserve instead."
0a209c37-ff30-4ecd-bcb9-f6dcee222abc	Loremaster - Starter Deck	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-LoremasterStarterDeck.jpg	normal	CHARACTER	CHARACTER � Chijo � Warrior � Unit	2	4	1	4		Gongen	"Though they live on a new world, the people of Gongen value their past."	1F12	Incursion	1	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Gongen	2	"When this character is lost from a location, you may put target other card from your lost pile on the bottom of your active pile."
0ac47d1c-56c0-481c-87cf-4e3ef97db111	Razorjack	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Razorjack.jpg	multi_sided	SHIP	SHIP (Capacity 2) � Knaves � Inverter � Fighter	0	4	3/2	4		Maverick	Heavily armed and very fast. One of them won �Best-Looking� at the 2389 Vesta Singleship Rally.	1C148	Incursion	0/5	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Maverick	1/1	"Each time you reveal a card for battle destiny that has destiny 6 or more, you may pay 3 energy. If you do, invert this ship."
0ac47d1c-56c0-481c-87cf-4e3ef97db111	Razorjack	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-TorridKatal-2.jpg	multi_sided	SHIP	SHIP (Capacity 2) � Knaves � Inverter � Fighter	0	4	3/2	4		Maverick	Heavily armed and very fast. One of them won �Best-Looking� at the 2389 Vesta Singleship Rally.	1C148	Incursion	0/5	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Maverick	1/1	"Each time you reveal a card for battle destiny that has destiny 6 or more, you may pay 3 energy. If you do, invert this ship."
0ac47d1c-56c0-481c-87cf-4e3ef97db111	Razorjack	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Razorjack-2.jpg	multi_sided	SHIP	SHIP (Capacity 2) � Knaves � Inverter � Fighter	0	4	3/2	4		Maverick	Heavily armed and very fast. One of them won �Best-Looking� at the 2389 Vesta Singleship Rally.	1C148	Incursion	0/5	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Maverick	1/1	"Each time you reveal a card for battle destiny that has destiny 6 or more, you may pay 3 energy. If you do, invert this ship."
0bd66106-5e1d-4501-9a2e-da03b1eb1cda	?Shikami	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Shikami.jpg	normal	NOBOT	NOBOT � Shikami � Bot � Unit	6	4	6	3		Gongen	The vengeful Shikami was the first NoBot to appear and defend the people of Gongen.	1RF11	Incursion	7	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	3 Gongen	3	"Size 3 (This NoBot counts three times against a ship�s capacity.) As long as you have at least two other Gongen units here, this NoBot is power +2."
0c6fb128-3594-4d25-8c63-660441c12ec1	?Cribber	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-Cribber.jpg	normal	CHARACTER	CHARACTER � Cartel � Bot � Unit	2	4	3	6		Maverick	"I�m a VisiTech model 770 bot. We can track more than a dozen independent targets, even while moving through a noisy club.�"	2C65	Nowhere to Hide	2	f503fc45-3379-4d7d-907c-106b7fcf7e08	1 Maverick	3	"Each time a player reveals a card for battle destiny during a battle here, you may pay energy equal to the destiny of the card revealed. If you do, that player reveals another card for battle destiny instead. You may use this ability no more than once each turn."
0d510056-ae57-44da-b419-a249053e4485	Zhang Hotrod	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-ZhangHotrod.jpg	normal	VEHICLE	VEHICLE � Cartel � Unit	4	4	3	2		Maverick	"Dismissed from Gongen service due to twitchy handling, salvaged Zhangs were re- engineered by Mav techs."	2U86	Nowhere to Hide	4	f503fc45-3379-4d7d-907c-106b7fcf7e08	1 Maverick	1	"Size 2, Transport 2 When you play this vehicle, you may put up to two cards from hand on top of your used pile and draw the same number of cards from your reserve."
0db0841d-4fc1-4e99-b0ae-a3914dd283c9	Shikami Warrior	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-ShikamiWarrior.jpg	normal	CHARACTER	CHARACTER � Shikami � Warrior � Unit	2	4	3	4		Gongen	Shikami warriors are the deadliest of sword masters. It is said that they can cut the courage from your soul.	1C101	Incursion	2	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Gongen	2	"When this character enters play at a site where you have a bot, you may retrieve a card."
0dbfd8fa-83a6-424d-8365-ea74fc060592	?Jovian Standoff	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-JovianStandoff.jpg	normal	ASSET	ASSET (Unit)	2	4		7		Maverick	Sitting at the table with The Gambler often brings either a great blessing or a terrible price. Sometimes it�s hard to tell one from the other.	2RF15	Nowhere to Hide		f503fc45-3379-4d7d-907c-106b7fcf7e08	3 Maverick		"Dismiss this asset ? If this unit is at a site, make target pending drain here +3. When you reveal this card for battle destiny, lose 3 energy."
0df7b409-ad67-48a9-9e27-d42f342b8d85	?Alnak Station/Captured Base	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-AlnakStationCapturedBase.jpg	normal	SECTOR	LOCATION (Sector) � Station	0	4		0	2/1			1U293	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Quay		Put target ship you have here on top of your used pile ? Download a site that has �Alnak Station� in its title. You may use this ability only during your deploy phase.
0dfde57a-1605-49fd-8ef4-2d8abc69b5e2	Makal Dalaka	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-MakalDalaka.jpg	normal	WEAPON	WEAPON (Character) � Melee	1	4		2		Quay	"�Empty your sidearm, rookie! If they get any closer, our number is up.� � Last words of Sergeant Dill Schuman"	1C247	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Quay		"� Pay 2 energy ? Choose target unit your opponent has in a site battle here. If target�s defense < [D], damage it and your opponent chooses to pay or lose energy equal to its energy cost."
0e2d8e8e-f01d-4aea-b8f4-f161d18e90a7	Fury	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Fury.jpg	normal	INTERRUPT	INTERRUPT (Lost)	2	4		2		Quay	�Excuses interest me not. Your last order is to summon the Luhus. They will see this resistance eliminated.� � Kulak	1R233	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Quay		Play an inverter character at full cost.
0e8f9047-1403-4f58-8d7e-52edc627b576	?Kulak	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Kulak.jpg	normal	CHARACTER	CHARACTER � Kizen � Makal � Unit	4	4	6	4		Quay	"A leader of the Makal tribe, Kulak was honored for his role in the Algot Rebellion."	1R241	Incursion	5	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	3 Quay	4	"� Put two cards from your hand on top of your used pile in any order ? This character is immune to attrition until end of turn. � Lose 4 energy ? The next time one of your other units is lost from a battle here this turn, put it in its owner�s hand."
0e9d1563-eec2-4206-9b46-35762b6fe3b2	Level II Guru	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-LevelIIGuru.jpg	normal	CHARACTER	CHARACTER � CISyn � Tech � Unit	3	4	3	4		Earther	Jannett Yens is a Level II battle coordinator. She used to carry a rifle � now she tells others where to fire them.	1C37	Incursion	1	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Earther	2	You cause attrition +1 in each site battle here for each of your units here that has tactics > 2.
0f0f0e13-59af-4bec-ae3e-91d5017dbe32	Pursuit Just Behind	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-PursuitJustBehind.jpg	normal	ORDER	ORDER (Lost)	0	4		6		Shi	It�s almost as if the Shi can see their opponent�s thoughts.	1U197	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Shi		Destroy target infiltrator your opponent has at a sector. Then your opponent loses 3 energy.
101774c2-fc1f-4147-be71-6bd4c9ac3b06	Slippery	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Slippery.jpg	normal	ASSET	ASSET (Character Infiltrator)	2	4		1		Earther	A good infiltrator knows when it�s time to find the exit.	1R45	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Earther		"As long as this character is at a site, this character gains the ability: �As long as each of your units here is an infiltrator, neither player can attack here.� Pay 3 energy ? Put this character in its owner�s hand."
1034d1b2-6139-49cc-9699-5f86cf6cf35f	Attack Plan	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-AttackPlan.jpg	normal	INTERRUPT	INTERRUPT (Lost)	1	4		6		Quay	The sweetest land is land taken from your enemy. It comes with the satisfaction that you left them a bitter taste.	2C116	Nowhere to Hide		f503fc45-3379-4d7d-907c-106b7fcf7e08	2 Quay		Invert your inverter. You may play this interrupt only during your control phase.
1121ea0e-b023-4be6-b062-607cafe1498f	Much Admired	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-MuchAdmired.jpg	normal	ASSET	ASSET (Kizen)	0	4		4		Gongen	Acuity in battle is much admired by the kokata units which follow the NoBots. The leaders of such units seem almost unnaturally attuned to the flow of the fight.	1R89	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Gongen		"You can�t play more than one of this asset beneath the same kizen. � Pay 2 energy ? If your opponent�s [D] < this kizen�s tactics, your opponent causes attrition �4 here until end of turn."
1161e6b2-f8ef-4bf0-b011-f38b458306a8	?Talkan	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Talkan.jpg	normal	CHARACTER	CHARACTER � Kizen � Qurim � Unit	4	4	6	4		Quay	Talkan assumed control of the Qurim tribe by killing the leader during ritual combat. His fury leads him into battle ahead of his troops.	1PF3	Incursion	3	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	3 Quay	2	� Put two cards from your hand on top of your used pile in any order ? This character is immune to attrition until end of turn. � Put target character you have here on top of its owner�s used pile ? Make this unit power +2 until end of turn.
1161ee27-4b5a-45d0-8561-e7c91d477c54	Sprinkle's Deal	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-SprinklesDeal.jpg	normal	INTERRUPT	INTERRUPT (Lost)	3	4		3		Maverick	Sprinkle took the package from the merchant�s wrinkled hand and grinned. �Let�s make this one a little more interesting.�	1R154	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Maverick		Draw [D] cards from your reserve.
1164a385-44df-47e5-9768-7c92cb6eb5d5	?Seyal/Light Side	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-SeyalLightSide.jpg	normal	SECTOR	LOCATION (Sector) � Planet	0	4		0	2/1			1C321	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Shi		"As long as you have a ship here, your side of this location gains a [Shi] support icon."
121a35c1-011e-4521-a22c-93cffdd13ccf	Close Call	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-CloseCall.jpg	normal	INTERRUPT	INTERRUPT (Lost)	0	4		5		Shi	"When initiative is lost, Shi pilots have the instincts to choose to live to fight again."	1C173	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Shi		You may play this interrupt only during your move phase. Put your target ship or unit in its owner�s hand.
122d36c3-badb-4f57-8765-13a624d4fa1f	Chijo Warrior	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-ChijoWarrior.jpg	normal	CHARACTER	CHARACTER � Chijo � Warrior � Unit	1	4	3	4		Gongen	"As Akatsun Shiro knows, not all Gongen weapons need be traditional."	1C60	Incursion	1	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Gongen	1	"� Pay 0 energy ? If this character is at a site and has a weapon beneath it, play a unit here at full cost."
126c6601-0cdb-492f-85e1-0f5405502b36	?Themis/Landing Pad	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-ThemisLandingPad.jpg	normal	SITE	LOCATION (Site) � Port	0	4		0	2/1			1C322	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Maverick		Pay 2 energy ? Move any number of target units you have here to another site. You may use this ability only during your move phase. Your opponent may use this ability during his or her move phase.
128b9ce5-7bd2-403c-840d-6eb1a369ead7	Chijo Katana	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-ChijoKatana.jpg	normal	WEAPON	WEAPON (Kizen) � Melee	1	4		2		Gongen	"To symbolize the new beginnings, many swords transported from Earth were reforged. Most seem to have picked up a reddish glint, perhaps from the spirit of the planet."	1U59	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Gongen		"This kizen can�t be damaged. � Pay 1 energy ? Choose target unit your opponent has in a site battle here. Reveal the top two cards of your reserve, choose one and note its destiny, then put them on top of your used pile in any order. Damage target if its defense < that destiny."
129f53ee-1812-4501-a397-2646e701f14a	?Tennaru Hari	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-TennaruHari.jpg	normal	CHARACTER	CHARACTER � Kizen � Ikazuchi � Unit	4	4	4	4		Gongen	"�A fallen comrade at your back only strengthens your footing. A fallen army behind you makes you invincible.�- Sido, Gongen Philosopher"	2RF10	Nowhere to Hide	4	f503fc45-3379-4d7d-907c-106b7fcf7e08	3 Gongen	4	"Quickdraw 2 (Add two � to each activated ability on a weapon beneath this character that already has one.) As long as this character has a weapon beneath him, he can�t be damaged."
12eb7a3d-ba26-4ca9-8741-46039190fa21	Fallen Ally	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-FallenAlly.jpg	normal	INTERRUPT	INTERRUPT (Used)	1	4		5		Shi	Panacea technology awaits to heal the scars of battle.	1R182	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Shi		"You may play this interrupt only during a battle, after the loss step. Put target damaged character you have in that battle on top of its owner�s used pile."
1335e77e-ae83-4f3e-b1e2-5ef3fbbdd5f9	Few Escape	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-FewEscape.jpg	normal	INTERRUPT	INTERRUPT (Lost)	5	4		2		Shi	Tilak quarrels pursued the XeLabs ships fleeing the Yacht Works.	2R98	Nowhere to Hide		f503fc45-3379-4d7d-907c-106b7fcf7e08	3 Shi		You may play this interrupt only during your move phase. Destroy target ship that has power 3 or less.
1439b971-7952-4687-b741-56a20e9bb297	Consultation	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Consultation.jpg	normal	INTERRUPT	INTERRUPT (Lost)	3	4		5		Earther	Howler isn�t afraid to call in a favor from his ally Horatio Hicks.	1RF2	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	3 Earther		You may play this interrupt only during your move phase. Destroy target vehicle at a site where you have a higher total tactics than your opponent.
14f8f2ac-7508-45ae-ad80-611016bdf526	Qurim Life Ship	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-QurimLifeShip.jpg	normal	SHIP	SHIP (Capacity 4) � Qurim � Capital	6	4	7	2		Quay	�I observed as the hideous vessel extended barbed tendrils down into the planet�s surface and sucked power from its magnetic field.� � Earther commander	1C255	Incursion	5	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Quay	3	Characters aboard this ship don't count against its capacity.
15994dbb-0bd3-49ea-af62-69b05e427b1f	?Zocho	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-Zocho.jpg	normal	SHIP	SHIP (Capacity 6) � Tenno � Capital	4	4	5	1		Gongen	"�...from the South tsunami and flood come to heap destruction on our shores. Zocho will stand to hold back the tides.� � Tenryu naming ceremony, 2382"	1U109	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Gongen	3	"Transport 4 (Each time this ship moves, you may move with it up to four of your fighters.) This ship is power +1 for each of your other ships here."
16180f26-37de-4c12-aec4-2dcf9eed169f	Swift Response	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-SwiftResponse.jpg	normal	INTERRUPT	INTERRUPT (Used)	1	4		6		Gongen	The Gongen A.I. wastes little time in responding to threats to its people. Tenno assets are ever at its disposal.	1U104	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1 Gongen		Target pending ship can�t move until end of turn.
16333cc8-3f3f-4d35-8e21-84dd9571f35f	Escort Cruiser	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-EscortCruiser.jpg	normal	SHIP	SHIP (Capacity 2) � iCom � Capital	6	4	8	2		Earther	Escort cruisers accompany battleships to provide protection for the more expensive ships.	1C18	Incursion	5	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	2 Earther	2	You cause attrition +1 here for each related site where you have a vehicle.
177c45bc-6a28-404c-9111-12ef40258b54	?Empty Heart	wars-trading-card-game/nowhere-to-hide/WARSTradingCardGame-NowhereToHide-EmptyHeart.jpg	normal	ASSET	ASSET � Evidence	2	4		5		Maverick	�You could buy a year�s worth of air and coolant on Mercury with this information.� � Pepper Tokarates	2U69	Nowhere to Hide		f503fc45-3379-4d7d-907c-106b7fcf7e08	1 Maverick		"Each time your total battle destiny is exactly 1 at the end of the battle destiny step, you may make target character power +3 until end of turn for each of your evidence assets. � Pay 2 energy ? Put this asset on top of your reserve."
17c075b5-49ca-467b-84a0-212a1f8ebc10	?Ganymede/Vantage Point	wars-trading-card-game/incursion/WARSTradingCardGame-Incursion-GanymedeVantagePoint.jpg	normal	SITE	LOCATION (Site)	0	4		3	2/1			1U314	Incursion		d49b7fa3-163b-4e9c-9e32-69f47d4363d4			"When this location enters play, you may pay 1 energy. If you do, download a location that has �Ganymede� in its title."
