databaseId	name	imageUrl	cardBack	type	attributes	languages	value	sanity	summon	unique	dimension	past	region	city	beginningSanity	maxSanity	education	handSize	minimum	maximum	rarity	text	packName	set	loadGroupId
B1MU_B1MU204	Dennys Barry	mythos/miskatonic-university/Mythos-MiskatonicUniversity-DennysBarry.jpg	default	Ally	Steadfast Gentleman	English	2						Europe	Any House							C	If you are using a female Investigator, Dennys must be chosen as a defending Ally in Combat, and add 2 points to the value of this card	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU205	Dr. Allen Halsey	mythos/miskatonic-university/Mythos-MiskatonicUniversity-DrAllenHalsey.jpg	default	Ally	Steadfast Scholar & Doctor	English, Latin	2						Lovecraft	Arkham							U	The Doctor and one Ally of your choice are excluded when determining the results of an Epidemic	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU206	Erich Zann	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ErichZann.jpg	default	Ally	Steadfast Musician	French & German	1	1					Europe	Paris							R	While this card is in play, subtract one from the Minimum number of cards that you may keep in your Hand. Not cumulative with other Allies that lower your Minimum	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU207	Eusapia Paladino	mythos/miskatonic-university/Mythos-MiskatonicUniversity-EusapiaPaladino.jpg	default	Ally	Steadfast Spiritualist	Latin & Atlantean	1						Europe	Any City							R	As a Turn, Bury this card to keep one Great Old One or Outer God in play for one additional round. Eusapia and one Ally of your choice are excluded when determining the results of an Epidemic	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU208	Henry Armitage	mythos/miskatonic-university/Mythos-MiskatonicUniversity-HenryArmitage.jpg	default	Ally	Steadfast Professor	English, Latin, French & German	1			Unique			Lovecraft	Arkham							U		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU209	Herbert West	mythos/miskatonic-university/Mythos-MiskatonicUniversity-HerbertWest.jpg	default	Ally	Corrupt Student	English	1			Unique			Lovecraft	Arkham							C	When played, choose an Ally Buried in your Story Deck and slip it beneath this card. Add their card values, and both function as one Ally card. This medical student and one Ally of your choice are excuded when determining the results of an Epidemic	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU210	Lavinia Whateley	mythos/miskatonic-university/Mythos-MiskatonicUniversity-LaviniaWhateley.jpg	default	Ally	Corrupt Mother	English	1						Lovecraft	Dunwich							C	While this card is in play, add one to the Maximum number of cards that you may keep in your Hand. cumulative with other Allies that raise your Maximum	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU211	Lord Edward Dunsany	mythos/miskatonic-university/Mythos-MiskatonicUniversity-LordEdwardDunsany.jpg	default	Ally	Steadfast Author	English & Atlantean	2						Europe	London							R		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU212	Madame Blavatsky	mythos/miskatonic-university/Mythos-MiskatonicUniversity-MadameBlavatsky.jpg	default	Ally	Steadfast Occultist	English	1						Europe	Any City							R	Discuss philosophy with her in any Europian Location for one Turn, and Bury one Phobia	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU213	Nathaniel Wingate Peaslee	mythos/miskatonic-university/Mythos-MiskatonicUniversity-NathanielWingatePeaslee.jpg	default	Ally	Steadfast Professor	English, Glyph & Atlantean	1						Lovecraft	Arkham							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU214	Old Man Whateley	mythos/miskatonic-university/Mythos-MiskatonicUniversity-OldManWhateley.jpg	default	Ally	Corrupt Cultist	English, Latin	2			Unique			Lovecraft	Dunwich							R	Can know any one Spell. Bury Spell in your Story Deck after it is cast. As long as he is chosen as a defending Ally, he raises the card value of all other defending Whateleys by 1 point per card. Not cumulative with another Ally's Command Ability	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU215	Prof. Wingate Peaslee	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ProfWingatePeaslee.jpg	default	Ally	Steadfast Professor	English, Latin & Chinese	2						Lovecraft	Arkham							R		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU216	Wilbur Whateley	mythos/miskatonic-university/Mythos-MiskatonicUniversity-WilburWhateley.jpg	default	Ally	Corrupt Cultist	English	3			Unique			Lovecraft	Dunwich							U	Use Wilbur to steal a Tome (cause it to be Buried) from your opponent, then Bury Wilbur	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU217	Zachariah Whateley	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ZachariahWhateley.jpg	default	Ally	Steadfast Farmer	Knows no languages	2						Lovecraft	Dunwich							C	While this card is in play, add one to the Maximum number of cards that you may keep in your Hand. Cumulative with other Allies that raise your Maximum	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU401	Closed-Cockpit Monoplane	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ClosedCockpitMonoplane.jpg	default	Event	Travel by Air																U	Immediately play a new Location card in a different Region, right-side up on top of your Story Deck. May not play a Location within the same Region.	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU402	Dirigible	mythos/miskatonic-university/Mythos-MiskatonicUniversity-Dirigible.jpg	default	Event	Travel by Air			1													C	On a following turn, play any new Location card either in same Region or in a new Region, right-side up on top of your Story Deck	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU403	Mauretania	mythos/miskatonic-university/Mythos-MiskatonicUniversity-Mauretania.jpg	default	Event	Travel by Sea																U	On a following turn, play a new Location card featuring the Water icon in a different Region, right-side up on top of your Story Deck. May not play a new Location in the same Region	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU404	Titanic	mythos/miskatonic-university/Mythos-MiskatonicUniversity-Titanic.jpg	default	Event	Travel by Sea																R	On a following turn, play a new Location card featuring the Water attribute in a different Region, right-side up on top of your Story Deck. May not play a new Location in the same Region. Remain at sea for one turn and bury one Phobia card	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU405	Typhoon	mythos/miskatonic-university/Mythos-MiskatonicUniversity-Typhoon.jpg	default	Event	Storm																C	Bury Travel by Sea cards currently on top of any Story Deck, returning to former location. Ignore Sanity loss/gain, no Gate use. No Travel by Sea cards may be played while this card is in play. Bury this card if any Day or Night Event is played	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU501	Bibliotheque Nationale	mythos/miskatonic-university/Mythos-MiskatonicUniversity-BibliothequeNationale.jpg	default	Location	Inside, Tome, City, Library,								Europe	Paris							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU502	Bishop's Brook Bridge	mythos/miskatonic-university/Mythos-MiskatonicUniversity-BishopsBrookBridge.jpg	default	Location	Forest, Outside, Gate, Country, Site,			1					Lovecraft	Dunwich							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU503	British Museum	mythos/miskatonic-university/Mythos-MiskatonicUniversity-BritishMuseum.jpg	default	Location	Water, Inside, Artifact, Tome, City, Museum,			1					Europe	London							C	Founded in 1753. Either your Investigator or an Ally must be a Professor, Student, or Scholar to play a Tome or Artifact while this is your current Location	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU504	Catacombs of Rome	mythos/miskatonic-university/Mythos-MiskatonicUniversity-CatacombsOfRome.jpg	default	Location	Cemetery, Inside, Artifact, Gate, City, Underground,								Europe	Rome							C	Rather than playing a Monster card from your hand, you may instead use this Gate to summon a Living Dead Monster or Ally from your Story Deck to your Threat	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU505	Chateau Des Fausses Flames	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ChateauDesFaussesFlames.jpg	default	Location	Cemetery, Forest, Inside, Artifact, Gate, City, House,								Europe	Averoigne							R		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU506	Cold Spring Glen	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ColdSpringGlen.jpg	default	Location	Forest, Outside, Gate, Country, Site,								Lovecraft	Dunwich							U		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU507	Congregational Church	mythos/miskatonic-university/Mythos-MiskatonicUniversity-CongregationalChurch.jpg	default	Location	Cemetery, Inside, Gate, Church, Country,								Lovecraft	Dunwich							R	You may remain here for one Turn and Bury one Phobia	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU508	Devil's Hop Yard	mythos/miskatonic-university/Mythos-MiskatonicUniversity-DevilsHopYard.jpg	default	Location	Cemetery, Outside, Gate, Country, Site,								Lovecraft	Dunwich							U		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU509	Exham Priory	mythos/miskatonic-university/Mythos-MiskatonicUniversity-ExhamPriory.jpg	default	Location	Inside, Artifact, Tome, Country, House,								Europe	Exham							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU510	Huntingdon Asylum for Lunatics	mythos/miskatonic-university/Mythos-MiskatonicUniversity-HuntingdonAsylumForLunatics.jpg	default	Location	Forest, Inside, Country, Sanitorium,			5		Unique			Europe	Huntingdon							U	Gain 5 Sanity points now, but you must spend next Turn i therapy (playing no cards, and not passing). You may remain here for one further Turn and Bury one Phobia	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU511	Il Mondo Occulto	mythos/miskatonic-university/Mythos-MiskatonicUniversity-IlMondoOcculto.jpg	default	Location	Inside, Tome, City, Press,								Europe	Turin							R	All Reporters add 1point to their card value when this card is your current Location	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU512	Jermyn House	mythos/miskatonic-university/Mythos-MiskatonicUniversity-JermynHouse.jpg	default	Location	Forest, Inside, Artifact, Tome, Gate, Country, House,			-1					Europe	Huntingdon							R		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU513	Knight's Head inn	mythos/miskatonic-university/Mythos-MiskatonicUniversity-KnightsHeadInn.jpg	default	Location	Inside, Gate, Business, Country,								Europe	Huntingdon							C	You may remain here for one Turn and Bury one Phobia	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU514	La Mole Antonelliana	mythos/miskatonic-university/Mythos-MiskatonicUniversity-LaMoleAntonelliana.jpg	default	Location	Outside, Artifact, Gate, City, Site,								Europe	Turin							C	May use this Gate more than once, but you must bury one Spiritualist, Occultist, Musician, or Artist Ally for each additional use	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU515	Miskatonic University Medical School	mythos/miskatonic-university/Mythos-MiskatonicUniversity-MiskatonicUniversityMedicalSchool.jpg	default	Location	Forest, Water, Inside, Gate, City, University,								Lovecraft	Arkham							U		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU516	Miskatonic University Memorial Hall	mythos/miskatonic-university/Mythos-MiskatonicUniversity-MiskatonicUniversityMemorialHall.jpg	default	Location	Forest, Water, Inside, City, University,			1					Lovecraft	Arkham							C	All Professors and Students add 1 point to their card value when this card is your current Location	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU517	Miskatonic University Orne Library	mythos/miskatonic-university/Mythos-MiskatonicUniversity-MiskatonicUniversityOrneLibrary.jpg	default	Location	Forest, Water, Inside , City, University,								Lovecraft	Arkham							C	All Professors and Students add 1 point to their card value when this card is your current Location on your Story Deck	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU518	Miskatonic University Science Annex	mythos/miskatonic-university/Mythos-MiskatonicUniversity-MiskatonicUniversityScienceAnnex.jpg	default	Location	Forest, Water, Inside, City, University,								Lovecraft	Arkham							R	All Professors and Students add 1 point to their card value when this card is your current Location	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU519	Old Mill Ruins	mythos/miskatonic-university/Mythos-MiskatonicUniversity-OldMillRuins.jpg	default	Location	Forest, Water, Outside, Artifact, Gate, Country, Site,								Lovecraft	Dunwich							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU520	Osborn's General Store	mythos/miskatonic-university/Mythos-MiskatonicUniversity-OsbornsGeneralStore.jpg	default	Location	Inside, Artifact, Business, Country,			1					Lovecraft	Dunwich							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU521	Remote Whateley Farmhouse	mythos/miskatonic-university/Mythos-MiskatonicUniversity-RemoteWhateleyFarmhouse.jpg	default	Location	Inside, Tome, Gate, Country, House,			-1					Lovecraft	Dunwich							C	All Whateley's add 1 point to their card value when this card is your current Location	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU522	Sentinel Hill	mythos/miskatonic-university/Mythos-MiskatonicUniversity-SentinelHill.jpg	default	Location	Forest, Outside, Gate, Country, Site,			-1					Lovecraft	Dunwich							U		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU523	Seth Bishop Ruins	mythos/miskatonic-university/Mythos-MiskatonicUniversity-SethBishopRuins.jpg	default	Location	Forest, Outside, Artifact, Gate, Country, Site,								Lovecraft	Dunwich							R		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU524	Stonehenge	mythos/miskatonic-university/Mythos-MiskatonicUniversity-Stonehenge.jpg	default	Location	Outside, Gate, Country, Site,								Europe	Salisbury							C	The stars are right! You may use this Gate more than once when Aldebaran Moves in the Sky or another Star is in play	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU525	The Auction House	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheAuctionHouse.jpg	default	Location	Inside, Artifact, Tome, Business, City,								Europe	Vienna							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU526	The Catacombs Beneath Paris	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheCatacombsBeneathParis.jpg	default	Location	Cemetery, Inside, Artifact, Gate, City, Underground,								Europe	Paris							U	Rather than playing a Monster card from your hand, you may instead use this Gate to summon a Living Dead Monster or Ally from your Story Deck to your Threat.	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU527	The Highland Loch	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheHighlandLoch.jpg	default	Location	Water, Outside, Artifact, Gate, Country, Site,								Europe	Scotland							C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU528	The Necropolis	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheNecropolis.jpg	default	Location	Cemetery, Inside, Tome, Gate, Country, Site, Underground,								Europe	Cerveteri							R	Rather than playing a Monster card from your hand, you may instead use this Gate to resurrect a Living Dead Monster or Ally from your Story Deck to your Threat	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU529	The Office of Dr. Freud	mythos/miskatonic-university/Mythos-MiskatonicUniversity-TheOfficeOfDrFreud.jpg	default	Location	Inside, Tome, City, Sanitorium,			4		Unique			Europe	Vienna							U	Each opponent reveals the top card of their Mythos Deck. If it is a Phobia, apply to you immediatly. Otherwise, Discard it. You may not bury Phobias here	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU701	Son of Yog-Sothoth	mythos/miskatonic-university/Mythos-MiskatonicUniversity-SonOfYogSothoth.jpg	default	Monster	Greater Independent		4	-2		Unique											U	Will always bypass Whateleys. Add 2 points to the value of this card when attacking an Investigator in Dunwich	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU801	Angles if Tagh Clatur	mythos/miskatonic-university/Mythos-MiskatonicUniversity-AnglesIfTaghClatur.jpg	default	Spell	Eye			-1													C	Summon or Control a Lesser Servitor	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU802	Dominate	mythos/miskatonic-university/Mythos-MiskatonicUniversity-Dominate.jpg	default	Spell	Cthulhu			-2													C	Replace the languages and card benefits of one of your Allies with the target Ally's languages and card benefits, for as long as your Ally remains in play. Flip target Ally	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU901	De Vermiis Mysteriis	mythos/miskatonic-university/Mythos-MiskatonicUniversity-DeVermiisMysteriis.jpg	default	Tome	Eye, Folk, Water	Laton	3	-2													R		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU902	Eltdown Shards Winters-Hall Ed	mythos/miskatonic-university/Mythos-MiskatonicUniversity-EltdownShardsWintersHallEd.jpg	default	Tome	Eye	English	1														C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU903	Liber Ivonis	mythos/miskatonic-university/Mythos-MiskatonicUniversity-LiberIvonis.jpg	default	Tome	Skull, Water	Latin	3	-2													C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU904	Nameless Cults Golden Goblin Ed	mythos/miskatonic-university/Mythos-MiskatonicUniversity-NamelessCultsGoldenGoblinEd.jpg	default	Tome	Eye	English	1														C		Miskatonic University	B1MU	playerNDeck
B1MU_B1MU905	Necronomicon (Greek)	mythos/miskatonic-university/Mythos-MiskatonicUniversity-NecronomiconGreek.jpg	default	Tome	Cthulhu, Yellow Sign	Greek	2	-2													C	Draw one additional card at the beginning of each Round while this card is in play. Not cumulative with other cards that allow you to increase hand size	Miskatonic University	B1MU	playerNDeck
B1MU_B1MU906	Necronomicon (Latin)	mythos/miskatonic-university/Mythos-MiskatonicUniversity-NecronomiconLatin.jpg	default	Tome	Cthulhu, Skull	Latin	3	-3													U	Draw one additional card at the beginning of each Round while this card is in play. Not cumulative with other cards that allow you to increase hand size.	Miskatonic University	B1MU	playerNDeck
B2CR_B2CR101	Assault on Y'ha Nthlei	mythos/cthulhu-rising/Mythos-CthulhuRising-AssaultOnYhaNthlei.jpg	default	Adventure	Heroic Adventure		12	4													R	After your STAND AGAINST THE ORDER, find amidst the rubble the PONAPE SCRIPTURE, R'LYEH TEXT, or CTHAAT AQUADINGEN (one of these, not in English), revealing a dire plot against humanity. Convince a STEADFAST SOLDIER of this threat, and he calls in the Navy. A U-BOAT (Travel Underwater) attacks the underwater city of Y'HA-NTHLEI. Two DEEP ONES and a SHOGGOTH counterattacks lead by FATHER DAGON or MOTHER HYDRA. Clad only in a DIVING SUIT, dash your SPHERE OF NATH to the ground, burying the inhuman edifice forever	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR102	One of the Circle	mythos/cthulhu-rising/Mythos-CthulhuRising-OneOfTheCircle.jpg	default	Adventure	Mythos Experience		7	2													U	The Cthulhu Mythos took form when various writers wrote to one another and built on each others' creations. You, too, can become one of this circle. Of course, take inspiration from EDGAR ALLEN POE and LORD DUSANY. Then, start writing to H.P. LOVECRAFT, ROBERT W. CHAMBERS, and ARTHUR MACHEN. Finally, write a TOME of your own	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR103	The Cruise	mythos/cthulhu-rising/Mythos-CthulhuRising-TheCruise.jpg	default	Adventure	Mythos Experience		5	2													U	Begin in a CITY/WATER LOCATION, TRAVEL BY SEA to sail to a SOUTH PACIFIC LOCATION and speak with the STEADFAST CHIEF. Then use another TRAVEL BY SEA to get back to a different CITY. There must, of course, be a STORM at sea along the way	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR104	The Royal Geographic Society	mythos/cthulhu-rising/Mythos-CthulhuRising-TheRoyalGeographicSociety.jpg	default	Adventure	Heroic Adventure		7	2													U	Tell us tales of (one Location each) Lovecraft Country SITES, CATACOMBS in Europe, and TOMBS in the Middle East. We expect your circle of friends to include (four total Allies) AUTHORS, ARTISTS, a SCHOLAR or PROFESSOR, and an INVENTOR or EXPLORER. Your fine gift to our humble Lodge of a scandalously dangerous ARTIFACT or TOME costing at least 1 Sanity point only proves your generosity. Welcome to the Society!	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR105	The Strange Case Of Charles Fort	mythos/cthulhu-rising/Mythos-CthulhuRising-TheStrangeCaseOfCharlesFort.jpg	default	Adventure	Heroic Adventure		11	4													R	Working with a PROFESSOR or INVENTOR, you uncover disturbing correlations between certain celestial phenomena (ALDEBARAN MOVES IN THE SKY, the FULL MOON, and an ECLIPSE) and earthly disasters including EARTHQUAKE, STORM, and DROUGHT. Field work takes you to two LOCATIONS in two different REGIONS.	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR106	The Temple	mythos/cthulhu-rising/Mythos-CthulhuRising-TheTemple.jpg	default	Adventure	Mythos Experience		7	2													U	The legend of Lost Atlantis thrive in every culture. Behind every legend, however, lies a kernel of truth. TRAVEL UNDERWATER (U-BOAT) from any WATER LOCATION to the LOST TEMPLE OF ATLANTIS, using the DISC OF THE HYADES to find your way. Go to the Temple, and find a TOME. Then, return to a different WATER LOCATION	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR201	Arthur Machen	mythos/cthulhu-rising/Mythos-CthulhuRising-ArthurMachen.jpg	default	Ally	Steadfast Author	English & Hyperborean	1						Europe	Any City							C	While this card is in play, subtract one from the Minimum number of cards that you may keep in your Hand. Not cumulative with other Allies that lower your Minimum	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR202	Edgar Allen Poe	mythos/cthulhu-rising/Mythos-CthulhuRising-EdgarAllenPoe.jpg	default	Ally	Steadfast Author	English & Atlantean	2						Lovecraft	Providence							C		Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR203	George Gammell Angel	mythos/cthulhu-rising/Mythos-CthulhuRising-GeorgeGammellAngel.jpg	default	Ally	Steadfast Professor	English, Glyph	1						Lovecraft	Providence							C		Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR204	Robert W. Chambers	mythos/cthulhu-rising/Mythos-CthulhuRising-RobertWChambers.jpg	default	Ally	Steadfast Author & Artist	English & French	1						Any Site								C		Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR205	Wakalea	mythos/cthulhu-rising/Mythos-CthulhuRising-Wakalea.jpg	default	Ally	Steadfast Chief	Glyph & Hyperborean	2						South Pacific								C	Bury this card to either keep a Great Old One or Outer God in play for an additional Round, or Bury a Great Old One or Outer God in play	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR206	William Channing Webb	mythos/cthulhu-rising/Mythos-CthulhuRising-WilliamChanningWebb.jpg	default	Ally	Steadfast Professor	English & Glyph	2						Any City								C		Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR301	Disk of the Hyades	mythos/cthulhu-rising/Mythos-CthulhuRising-DiskOfTheHyades.jpg	default	Artifact				-2													C	While this card is in play, no Living Dead Monsters may Join	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR302	Diving Suit (v1)	mythos/cthulhu-rising/Mythos-CthulhuRising-DivingSuitV1.jpg	default	Artifact																	C	Your Investigator and all Allies are able to Breath Underwater while this card is in play	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR303	Orne Formulae & Diagrams	mythos/cthulhu-rising/Mythos-CthulhuRising-OrneFormulaeDiagrams.jpg	default	Artifact			2	-1													R	Increase the value of any one Ally card by 2 points. If that Ally is a Corrupt Cultist, increase Spell capacity by one. If Ally is Simon Orne increase Spell capacity by two	Cthulhu Rising	B2CR	playerNDeck
B2CR_B2CR304	R'lyeh Disk Left Fragment	mythos/cthulhu-rising/Mythos-CthulhuRising-RlyehDiskLeftFragment.jpg	default	Artifact				-1		Unique											U	There are three parts to this Artifact; you must have all three to play the R'lyeh Card. Each portion of the disk in your possesion increase the value of Star Spawn by one point	Cthulhu Rising	B2CR	playerNDeck
