databaseId	name	imageUrl	zoomImageUrl	cardBack	type	packName	set	loadGroupId	clan	legal	cost	focus	force	chi	personalHonor	honorReq	goldProduction	provinceStrength	startingHonor	rarity	artist	flavour	text
AD060	Bakeneko	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BakenekoMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BakenekoMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty	spirit	open jade	6		1	3	1	-				c			<B>Unaligned Cat Spirit. Creature. Cavalry.</B> Bakeneko cannot attach Followers or Items. <BR><B>Battle:</B> Bakeneko challenges an opposing Personality. If the challenged Personality refuses the challenge, he or she permanently has -2 Chi.
AD015	Barracks	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BarracksMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BarracksMaster.jpg	default	Holding	Anvil of Despair	AD	playerNDynasty		open jade	2									u			<B>Fortification.</B> <BR>You may attach Followers to the Barracks, ignoring Honor requirements, for half of their Gold cost, rounded down after modifications. The Followers cannot detach. During battles at this province, the Barracks and its Followers act as a defending unit if the Barracks has any Followers attached. The unit has no Personality and cannot leave a battle.
AD045	Bayushi Aramasu - exp	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BayushiAramasuExpMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BayushiAramasuExpMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty	mantis	open jade	8		2	2	1	-				r			<B>Mantis Clan Samurai. Kolat. Experienced. Unique.</B> Aramasu will not join a Scorpion player. <BR><B>Reaction:</B> When an opponent discards a card from his or her hand other than as a Focus card or at the end of his or her turn, Aramasu permanently gains either +1F or +1C (your choice).
AD056	Bayushi Urei	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BayushiUreiMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BayushiUreiMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty	scorpion	open jade	6		3	3	1	0				c			<B>Scorpion Clan Statue. Samurai. Nonhuman.</B>
AD094	Be the Mountain	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BeTheMountainMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BeTheMountainMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	2								c			<B>Kiho Battle:</B> Bow one of your Monks or Shugenja. Target a Personality defending this Province. The Personality gains Force equal to the Province's Strength. The Force bonus cannot exceed the caster's Force plus Chi. Lower the Province Strength to 0 until the turn ends.
AD002	Bitter Destiny	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BitterDestinyMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BitterDestinyMaster.jpg	default	Event	Anvil of Despair	AD	playerNDynasty		open jade										r			Bow all Tattooed cards in play. Until the beginning of your next turn, Tattooed cards cannot take actions.
AD095	Bloodspeaker's Deal	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BloodspeakersDealMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BloodspeakersDealMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	3								u			<B>Open:</B> Bow one of your Bloodspeaker Personalities. Bow a Personality in play.
AD160	Bokken	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BokkenMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BokkenMaster.jpg	fate	Item	Anvil of Despair	AD	playerNFate		open jade	1	2	0	*						c			<B>Weapon.</B> <BR>This Personality has -1C during duels. If this Personality wins a duel in which his or her opponent focused, you gain extra Honor equal to the highest of the opponent's Focus values. If the loser's printed Chi exceeds that Focus value, the loser is not destroyed for losing the duel.
AD025	Botsumoku	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BotsumokuMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-BotsumokuMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty		open jade	5		0	1	2	0				c			<B>Unaligned Monk.</B> <BR>When Botsumoku enters play, target another player. Whenever the player resolves an Event, Botsumoku permanently gains +1F/+1C.
AD003	Calm Winds	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CalmWindsMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CalmWindsMaster.jpg	default	Event	Anvil of Despair	AD	playerNDynasty		open jade										u			For the rest of the game, negate all card effects that bow cards, other than effects from cards controlled or played by the bowing cards' controller. This does not affect cards bowed during the Attack Phase.
AD082	Carpenter Pass	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CarpenterPassMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CarpenterPassMaster.jpg	default	Region	Anvil of Despair	AD	playerNDynasty		open jade										u			This Province gains +8 Province Strength whenever one or more Shadowlands cards are in an army attacking it.
AD164	Celestial Gift	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CelestialGiftMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CelestialGiftMaster.jpg	fate	Spell	Anvil of Despair	AD	playerNFate		open jade	1	4								u			<B>Spell Elemental Reaction:</B> Immediately before discarding a card from your hand or your deck for its Focus value, bow this Shugenja. Use this spell's Focus value instead. Add this Spell to your hand.
Diamond238	Concede Defeat	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ConcedeDefeatMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ConcedeDefeatMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade diamond	0	4								c			<B>Reaction:</B> Play after a strike is called in a duel involving one of your Personalities but before focus values are revealed. Discard all Focus cards without effect. Your opponent wins the duel. Negate the effects of losing.
Gold080	Costly Alliance	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CostlyAllianceMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CostlyAllianceMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade gold	0	3								u	Mark Evans	"I know you lack funds, Yasuki-sama. The Mantis expect more later."	<b>Political Reaction</b>: Play this card when you accept an invitation to ally. If one of your units is in an army when the army destroys a Province or opposing army during this Attack Phase, permanently take control of a Holding controlled by the player with whom you allied. Only one copy of this card can be played per turn.
AD098	Critical Duel	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CriticalDuelMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-CriticalDuelMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	2								c			<B>Battle:</B> One of your Personalities issues an unrefusable challenge to an opposing Personality. The loser is not destroyed, but the loser's player cannot gain Honor until after the battle ends.
AD099	Dangerous Terrain	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DangerousTerrainMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DangerousTerrainMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	1								c			<B>Battle Terrain:</B> Destroy each Personality and Follower with under 1 Force at this battle.
AD100	Dark Energy	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DarkEnergyMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DarkEnergyMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	1								r			<B>Ninja Open:</B> Straighten a Ninja card. If the card is a Personality, it permanently has -1 Chi. Lose 2 Honor.
AD101	Darkness Within	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DarknessWithinMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DarknessWithinMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	2								c			<B>Ninja Battle:</B> Raise this Province's Strength to equal that of another player's Province. Lose 4 Honor.
Gold509	Dead Eyes	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DeadEyesMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DeadEyesMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade gold	5*	1								f	Ramon Perez		This card costs 5 less Gold if it targets a Crab Clan Personality. <br><b>Limited:</b> Permanently lower to 0 the Personal Honor of one of your Personalities without the <b>Berserker</b> trait and permanently give the Personality the <b>Berserker</b> trait and the ability "<b>Battle:</b> Once per turn, this Personality gains +3F. When the Resolution Segment ends, destroy this Personality unless his or her army had more than twice the opposing army's Force if there was an opposing army when the Resolution Segment began."
AD004	Death of Onnotangu	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DeathOfOnnotanguMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DeathOfOnnotanguMaster.jpg	default	Event	Anvil of Despair	AD	playerNDynasty		open jade										r			If a player currently has the Obsidian Hand, Lord Moon's Blood, and Lord Moon Bones attached to a version of Mirumoto Hitomi, the player immediately wins the game.
AD005	Declaration of War	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DeclarationOfWarMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DeclarationOfWarMaster.jpg	default	Event	Anvil of Despair	AD	playerNDynasty		open jade										u			Until your next turn begins, any player who destroys in battle a Province that contains an Event gains a Province to the right of his or her rightmost Province. No player can gain more than one Province this way.
AD103	Defensible Position	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DefensiblePositionMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DefensiblePositionMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	1								c			<B>Battle Terrain:</B> Each Personality and Follower at this battle has -1F until the battle ends.
AD016	Den of Spies	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DenOfSpiesMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DenOfSpiesMaster.jpg	default	Holding	Anvil of Despair	AD	playerNDynasty		open jade	3									u			<B>Retainer.</B> As a Limited action, any player may bow one or more of his or her Personalities with over 10 total Chi to destroy the Den of Spies. <BR><B>Limited:</B> Bow the Den of Spies and one of your Gold-producing Holdings. Target a player. The player loses 2 Honor.
AD104	Denying the Emperor	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DenyingTheEmperorMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DenyingTheEmperorMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	3								r			<B>Limited:</B> Target a Ninja Personality in play. The Personality has -2 Chi until the turn ends.
Samurai229	Dirty Politics	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DirtyPoliticsMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DirtyPoliticsMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade diamond samurai	0	1								r			<b>Political Reaction:</b> Before another player loses Honor: Negate the loss, then gain Honor equal to the amount you negated. <br><b>Political Reaction:</b> Before another player gains Honor: Negate the gain, then lose Honor equal to the amount you negated.
Diamond475	Dragon's Strength	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DragonsStrengthMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DragonsStrengthMaster.jpg	default	Event	Anvil of Despair	AD	playerNDynasty		open jade diamond										u			If you have a Clan Champion from your Faction in play, each of your Personalities permanently gains +1F/+1C.
Diamond249	Dying Effort	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DyingEffortMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-DyingEffortMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade diamond	0	1								u			<B>Battle:</B> Straighten one of your bowed cards in this battle. Destroy that card immediately after the battle ends.
AD107	Entrench	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-EntrenchMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-EntrenchMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	4								u			<B>Battle:</B> Get a non-Unique Fortification from your Dynasty deck. Pay all costs for bringing the Fortification into play. Attach the Fortification to this province. Shuffle the deck. <BR><B>Open:</B> Get a non-Unique Fortification from your Dynasty deck. Pay the Fortification's Gold cost; the Fortification costs 3 more Gold. Attach the Fortification to one of your Provinces. Shuffle the deck.
AD083	Exile's Road	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ExilesRoadMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ExilesRoadMaster.jpg	default	Region	Anvil of Despair	AD	playerNDynasty		open jade										r			When Exile's Road enters play, target a Region in play that is not one of your Unique Regions. Exile's Road permanently becomes an exact duplicate of the target Region except for the name. If no Regions are in play, the text box of Exile's Road is permanently considered blank.
AD017	Family Shrine	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-FamilyShrineMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-FamilyShrineMaster.jpg	default	Holding	Anvil of Despair	AD	playerNDynasty		open jade	2									c			When the Family Shrine enters play, target a player. Whenever the player resolves an Event, place a Shrine token on the Family Shrine. Whenever you resolve an Event, remove a Shrine token from the Family Shrine. <BR><B>Limited:</B> Bow the Family Shrine. Gain Honor equal to the number of Shrine tokens on the Family Shrine.
Gold132	Finding the Harmony	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-FindingTheHarmonyMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-FindingTheHarmonyMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade gold	0	3								u	Anthony Hightower	"Those who believe all elements are one follow a false path to understand the Celestial Pattern." - Toturi Sezaru	<b>Kiho Limited</b>: Bow one of your Monks or Shugenja to permanently switch an Elemental Ring in your hand with one you have in play. This is not considered playing a Ring. The new Ring does not count toward an Enlightenment Victory.
AD110	Forethought	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ForethoughtMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ForethoughtMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	3								r			<B>Reaction:</B> Immediately before you discard the top card of your Fate deck due to a card effect, play this card. Put the card into your hand, then discard a card from your hand in its place.
AD084	Forgotten Lands	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ForgottenLandsMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ForgottenLandsMaster.jpg	default	Region	Anvil of Despair	AD	playerNDynasty		open jade										r			<B>Unique.</B> <BR>The attacker cannot choose to resolve a battle at this Province if another battle can resolve first.
AD165	Fortune's Turn	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-FortunesTurnMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-FortunesTurnMaster.jpg	fate	Spell	Anvil of Despair	AD	playerNFate		open jade	0	2								c			<B>Spell Battle:</B> Bow this Shugenja. Send home from the current battle one of your units led by a bowed or unbowed Personality.
AD111	Forward, March!	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ForwardMarchMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-ForwardMarchMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	1								c			<B>Battle:</B> Attach any number of Followers from one of your units outside of this battle to one of your unbowed Personalities in this battle that can legally attach them.
AD061	Goju Utsuei	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-GojuUtsueiMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-GojuUtsueiMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty		open jade	4		1	3	1	-				c			<B>Unaligned Ninja Shugenja.</B> Lose 3 Honor.
AD146	Greensnake	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-GreensnakeMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-GreensnakeMaster.jpg	fate	Follower	Anvil of Despair	AD	playerNFate		open jade	2	2	1	0	-	1				c			<B>Naga.</B> <BR><B>Open:</B> Bow a Forest in play. Greensnake gains +1F. You cannot bow another player's Forest during the player's turn.
AD018	Guardian of the Rift	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-GuardianOfTheRiftMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-GuardianOfTheRiftMaster.jpg	default	Holding	Anvil of Despair	AD	playerNDynasty		open jade	1									r			<B>Unique.</B> <BR><B>Open:</B> Bow the Guardian of the Rift. Target an Ancestor in play. Turn the Ancestor face down until the turn ends. The Ancestor cannot affect or be affected by cards in play until the turn ends.
AD026	Gyosho	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-GyoshoMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-GyoshoMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty		open jade	6		1	3	3	4				u			<B>Unaligned Tiger Priest. Monk.</B> <BR>Whenever you bring an Elemental Ring into play, place a 1F/1C Enlightenment token on Gyosho. <BR><B>Battle:</B> Destroy an Enlightenment token on Gyosho to have Gyosho issue an unrefusable challenge to an opposing Personality.
AD112	Hate's Heart	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-HatesHeartMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-HatesHeartMaster.jpg	fate	Strategy	Anvil of Despair	AD	playerNFate		open jade	0	1								r			<B>Kiho Maho Limited:</B> Lose 4 Honor, bow and dishonor one of your Shugenja, and discard a number of cards equal to the Shugenja's Chi from the top of your Fate deck. Target a Fate deck. Discard the same number of cards from the top of the target deck. A Shugenja with the <B>Shadowlands</B> trait has +2 printed Chi while casting this Kiho. Remove this card from the game.
AD030	Hida Amoro - exp2	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-HidaAmoroExp2Master.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-HidaAmoroExp2Master.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty	crab	open jade	10		7	2	1	-				r			<B>Crab Clan Berserker. Undead. Experienced 2. Unique.</B> Lose 5 Honor. Amoro can only attach <B>Skeleton</B> and <B>Zombie</B> Followers. Plague tokens do not affect Amoro. <BR><B>Reaction:</B> Immediately before your turn begins, if Amoro is dead and in your discard pile, he permanently costs 2 more Gold. Shuffle him back into your Dynasty deck.
AD031	Hida Yakamo - exp3	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-HidaYakamoExp3Master.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-HidaYakamoExp3Master.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty	crab	open jade	16		6	5	5	10				f			<B>Crab Clan Champion. Naga Hero. Samurai. Tactician. Experienced 3. Unique.</B> Yakamo will only join a Crab or Naga player. Yakamo can attach the Jade Hand without Gold cost. Spell effects cannot target cards in this unit. <BR><B>Battle:</B> Once per battle, Yakamo gains Force equal to twice the number of Naga Personalities or Crab Personalities in this army, whichever is lower.
AD062	Hirariko - exp	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-HirarikoExpMaster.jpg	legend-of-the-five-rings/anvil-of-despair/LegendOfTheFiveRings-AnvilOfDespair-HirarikoExpMaster.jpg	default	Personality	Anvil of Despair	AD	playerNDynasty		open jade	10		2	5	0	-				r			<B>Unaligned Ninja Duelist. Experienced. Unique.</B> Lose 4 Honor. Items give no bonuses and create no effects in a duel against Hirariko. <BR><B>Battle:</B> Issue an unrefusable challenge to an opposing Personality with a Gold cost greater than the Personality's Chi plus Personal Honor.
