databaseId	name	imageUrl	cardBack	type	cost	health	team	powerSymbol	rangedFlight	keyword	text	packName	set	loadGroupId
THE MARVEL BATTLES_Dormammu_SC	Dormammu	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Dormammu.jpg	default	Supporting Character	7	2	Villains	Intellect, Energy	Flight	Immortal, Necromancy	When he's KO'd you may shuffle him into your deck. Main [Intellect] [Energy]: Put a character from an enemy player's KO pile onto your side.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Dr_Strange_SC	Dr. Strange	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-DrStrange.jpg	default	Supporting Character	5	1	Avengers	Intellect	Flight	Transmute	Main [Intellect]: Choose a character and turn all of its +1/+1 counters into -1/-1 counters or vice versa.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Drax_SC	Drax	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Drax.jpg	default	Supporting Character	6	2	Guardians of the Galaxy	None		Berserker, Grab	When he attacks, put a +1/+1 counter on him. While he's in the front row, enemy characters can't fly over him.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Earths_Mightiest_Heroes_PT	Earth's Mightiest Heroes	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-EarthsMightiestHeroes.jpg	default	Plot Twist	None		Avengers	None			[Any Turn] Combat: Choose a character to get +2/+2 this combat	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Emma_Frost_SC	Emma Frost	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-EmmaFrost.jpg	default	Supporting Character	6	2	X-Men	None	Ranged	Mind Games	When she appears, you may have a player discard their hand, then draw that many cards.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Even_The_Odds_PT	Even the Odds	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-EvenTheOdds.jpg	default	Plot Twist	None		Guardians of the Galaxy	None			[Any Turn] Combat: Remove all +1/+1 counters from an enemy character in the combat. That character's current ATK and DEF become the same as its base ATK and DEF this combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Extinguish_PT	Extinguish	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Extinguish.jpg	default	Plot Twist	None		Villains	None			Main: KO a stunned supporting character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Find_Cover_PT	Find Cover	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-FindCover.jpg	default	Plot Twist	None			None			[Any Turn] Combat: Choose a defender to get +0/+3 this combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Fortress_L	Fortress	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Fortress.jpg	default	Location	None			Might			[Might]	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Gambit_SC	Gambit	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Gambit.jpg	default	Supporting Character	3	1	X-Men	Energy			Kinetic Card Throw. Main [Energy]: Discard a card that costs at least as much as a face-up enemy supporting character and stun that character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Gamora_L1	Gamora L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-GamoraL1.jpg	default	Main Character	None	5	Guardians of the Galaxy	Skill			Main [Skill]: If Gamora stunned an enemy character during this turn, put two +1/+1 counters on her. Level Up [3] - When Gamora stuns a main character, she gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Gamora_L2	Gamora L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-GamoraL2.jpg	default	Main Character	None	5	Guardians of the Galaxy	Skill, Might			Main [Skill]: If Gamora stunned an enemy character during this turn, put two +1/+1 counters on her. Main [Might] [Might]: This turn, when Gamora stuns a character, KO it.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Gamora_SC	Gamora	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Gamora.jpg	default	Supporting Character	3	2	Guardians of the Galaxy	None		Lethal	When she attacks and stuns a supporting character, KO it.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Give'Em_A_Lift_PT	Give 'Em A Lift	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-GiveEmALift.jpg	default	Plot Twist	None		Guardians of the Galaxy	None			Main: Put a +1/+1 counter on a character on your side. It gains [Flight] this turn.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Green_Goblin_L1	Green Goblin L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-GreenGoblinL1.jpg	default	Main Character	None	5	Villains	Intellect	Flight		Sadistic Choice. Main [Intellect]: Choose an enemy supporting character and stun it unless that player discards a random card. Level Up [6] - When an enemy character becomes stunned, Green Goblin gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Green_Goblin_L2	Green Goblin L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-GreenGoblinL2.jpg	default	Main Character	None	5	Villains	Intellect, Skill	Flight		Sadistic Choice. Main [Intellect]: Choose an enemy supporting character and stun it unless that player discards a random card. Main [Skill]: KO a stunned enemy supporting character.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Green_Goblin_SC	Green Goblin	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-GreenGoblin.jpg	default	Supporting Character	3	1	Villains	None	Flight	Blast	When he appears, choose an enemy row and put a -1/-1 counter on each character there.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Groot_L1	Groot L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-GrootL1.jpg	default	Main Character	None	6	Guardians of the Galaxy	Might		I Am Groot	[Any Turn] Combat [Might]: Groot gets +1/+1 this combat for each resource on your side. Level Up [5] - When you gain a resource, Groot gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Groot_L2	Groot L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-GrootL2.jpg	default	Main Character	None	6	Guardians of the Galaxy	Might, Energy		I Am Groot	[Any Turn] Combat [Might]: Groot gets +1/+1 this combat for each resource on your side. Main [Energy]: Heal a wound from each character on your side. Groot becomes Level 1.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Groot_SC	Groot	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Groot.jpg	default	Supporting Character	5	2	Guardians of the Galaxy	None		I Am Groot	Groot has +1/+1 for each resource on your side.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Hawkeye_SC	Hawkeye	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Hawkeye.jpg	default	Supporting Character	2	1	Avengers	Skill	Ranged	Take Aim	Main [Skill]: The next time Hawkeye attacks during this turn, he gets +3/+0. If it's a ranged attack, [Ranged] enemy characters can't strike back at him.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Hope_Summers_SC	Hope Summers	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-HopeSummers.jpg	default	Supporting Character	2	1	X-Men	None		Mutant Power Duplication	Hope has all the powers of each other face-up X-Men supporting character on your side. [This includes [Flight], [Ranged], and appears powers like Iceman's Freeze.]	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Hulk_L1	Hulk L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-HulkL1.jpg	default	Main Character	None	6	Avengers	Might			Main [Might]: Put a +1/+1 counter on Hulk for each wound he has. Level Up [4] - When Hulk gets stunned, he gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Hulk_L2	Hulk L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-HulkL2.jpg	default	Main Character	None	6	Avengers	Might, Intellect			Main [Might]: Put a +1/+1 counter on Hulk for each wound he has. Build [Intellect]: Remove each +1/+1 counter from Hulk. Draw that many cards.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Hulk_SC	Hulk	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Hulk.jpg	default	Supporting Character	7	2	Avengers	Might		Incredible Power	Main [Might]: If Hulk has a wound, put seven +1/+1 counters on him.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Iceman_SC	Iceman	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Iceman.jpg	default	Supporting Character	1	1	X-Men	None	Ranged	Freeze	When he appears, exhaust a character. It can't ready during it's next turn.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Iron_Man_L1	Iron Man L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-IronManL1.jpg	default	Main Character	None	5	Avengers	Energy	Both		Main [Energy]: Put a -1/-1 counter on an enemy character. You may push it to its back row. Level Up [3] - When a character on your side Powers Up, Iron Man gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Iron_Man_L2	Iron Man L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-IronManL2.jpg	default	Main Character	None	5	Avengers	Energy, Intellect	Both		Main [Energy]: Put a -1/-1 counter on an enemy character. You may push it to its back row. Main [Intellect]: Put three +1/+1 counters on a character on your side that already has a +1/+1 counter.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Iron_Man_SC	Iron Man	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-IronMan.jpg	default	Supporting Character	6	1	Avengers	None	Both	Inventive	When he appears, you may turn one of your face-down locations face up.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Juggernaut_SC	Juggernaut	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Juggernaut.jpg	default	Supporting Character	6	2	Villains	Might		Unstoppable	Combat [Might]: While attacking solo during this combat, if Juggernaut stuns a front row enemy character and survives, he may immediately attack a character in that back row.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Knowhere_L	Knowhere	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Knowhere.jpg	default	Location	None		Guardians of the Galaxy	Energy, Intellect, Might, Skill			[Energy] or [Intellect] or [Might] or [Skill] for a [Guardians of the Galaxy] character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Laboratory_L	Laboratory	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Laboratory.jpg	default	Location	None			Energy			[Energy]	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Loki_L1	Loki L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-LokiL1.jpg	default	Main Character	None	5	Villains	Skill			[Any Turn] Combat [Skill]: Play an [Any Turn] Combat plot twist from your KO pile, then shuffle it into your deck. Level Up [5] - When you play a plot twist, Loki gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Loki_L2	Loki L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-LokiL2.jpg	default	Main Character	None	5	Villains	Skill, Intellect			[Any Turn] Combat [Skill]: Play an [Any Turn] Combat plot twist from your KO pile, then shuffle it into your deck. Main [Intellect]: Choose an enemy player to reveal their hand and discard all of their plot twists.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Loki_SC	Loki	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Loki.jpg	default	Supporting Character	7	1	Villains	None		Schemer	The first time you play a plot twist each turn, you may draw a card.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Luke_Cage_SC	Luke Cage	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-LukeCage.jpg	default	Supporting Character	5	1	Avengers	Might		Impervious Skin	[Any Turn] Combat [Might]: If Luke Cage gets stunned during this combat, he doesn't receive a wound.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Magik_SC	Magik	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Magik.jpg	default	Supporting Character	1	1	X-Men	Intellect		Teleport to Limbo	Main [Intellect]: Put Magik and up to one other supporting character on your side into its owner's hand.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Magneto_L1	Magneto L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-MagnetoL1.jpg	default	Main Character	None	5	X-Men	Energy	Both		[Any Turn] Combat [Energy]: Magneto gets +0/+4 this combat. Level Up [4] - At the start of your turn, if Magneto is face-up, he gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Magneto_L2	Magneto L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-MagnetoL2.jpg	default	Main Character	None	5	X-Men	Energy, Might	Both		[Any Turn] Combat [Energy]: Magneto gets +0/+4 this combat. Main [Might]: KO a face-down resource.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_Magneto_SC	Magneto	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Magneto.jpg	default	Supporting Character	6	1	Villains	None	Both	Magnetic Suppression	Enemy supporting characters can't recover. They remain stunned.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Major_Victory_SC	Major Victory	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-MajorVictory.jpg	default	Supporting Character	2	1	Guardians of the Galaxy	Intellect	Ranged	Psychokinetic Shove	Main [Intellect]: Push an enemy character to its back row.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Mandarin_SC	Mandarin	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Mandarin.jpg	default	Supporting Character	5	1	Villains	Energy, Intellect, Might, Skill	Ranged	Makluan Rings	Main [Intellect]: Draw a card. Main [Skill]: Choose an enemy player to discard a card. Main [Might]: Put a +1/+1 counter on a character. Main [Energy]: Put a -1/-1 counter on a character.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Mantis_SC	Mantis	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Mantis.jpg	default	Supporting Character	2	1	Guardians of the Galaxy	None		Rebirth	When she gets KO'd, you may turn her into a face-down resource on your side.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Metal_and_Fire_PT	Metal and Fire	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-MetalAndFire.jpg	default	Plot Twist	None		Villains	None			[Any Turn] Combat: Put a -1/-1 counter on each enemy character in the combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Moondragon_SC	Moondragon	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Moondragon.jpg	default	Supporting Character	5	1	Guardians of the Galaxy	Intellect	Ranged	Mental Focus	Main [Intellect]: Look at the top three cards of your deck, put one in your hand, and the others on the bottom of the deck.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Ms_Marvel_SC	Ms. Marvel	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-MsMarvel.jpg	default	Supporting Character	4	2	Avengers	Energy	Both	Energy Absorption	Main [Energy]: Put a +1/+1 counter on Ms. Marvel for each other [Ranged] character on your side.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Mystique_SC	Mystique	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Mystique.jpg	default	Supporting Character	2	1	Villains	Skill		Impersonate	Main [Skill]: Choose another face-up character. Mystique's base ATK and DEF become the same as that character's current ATK and DEF for the rest of this turn. [She'll still be affected by any +1/+1 or -1/-1 counters she has.]	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Namor_SC	Namor	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Namor.jpg	default	Supporting Character	2	2	X-Men	None	Flight	Invade	While he's attacking a back row character, it can't strike back at him.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Nick_Fury_SC	Nick Fury	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-NickFury.jpg	default	Supporting Character	3	1	Avengers	Intellect	Ranged	The Vast Resources of S.H.I.E.L.D.	Main [Intellect]: Put the top card of your deck face down into your resource row. If it's a location, you may turn it face up.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Nova_SC	Nova	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-Nova.jpg	default	Supporting Character	4	1	Guardians of the Galaxy	Energy	Flight	Nove Force Speed	Main [Energy]: Ready Nova	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_Open_Fire_PT	Open Fire	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-OpenFire.jpg	default	Plot Twist	None			None			[Any Turn] Combat: Choose an attacker to get +2/+0 this combat.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
THE MARVEL BATTLES_ProfessorX_L1	Professor X L1	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-ProfessorXL1.jpg	default	Main Character	None	5	X-Men	Energy	Ranged		Build [Energy]: Reveal the top five cards of your deck. Put a character from among them into your hand and the rest on the bottom in any order. Level Up [4] - At the end of your turn, if you didn't make any attacks this turn, Professor X gains an XP.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_ProfessorX_L2	Professor X L2	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-ProfessorXL2.jpg	default	Main Character	None	5	X-Men	Energy, Intellect	Ranged		Build [Energy]: Reveal the top five cards of your deck. Put a character from among them into your hand and the rest on the bottom in any order. Main [Intellect]: Ready a face-up enemy character and move it to your front or back row. At the end of your turn, move it back.	The Marvel Battles	THE MARVEL BATTLES	playerNMain
THE MARVEL BATTLES_ProfessorX_SC	Professor X	vs-system-2pcg/the-marvel-battles/VsSystem2pcg-TheMarvelBattles-ProfessorX.jpg	default	Supporting Character	7	1	X-Men	Intellect	Ranged	Mind Control	Main [Intellect]: Ready a face-up enemy supporting character and move it to your side. At the end of your turn, move it back.	The Marvel Battles	THE MARVEL BATTLES	playerNDeck
