databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	subtype	rarity
Base_Elias_Sandoval_Challenge	Elias Sandoval	star-trek-tcg/base-set/StarTrekTcg-BaseSet-EliasSandoval.jpg	default	Challenge	Base Set	Base	playerNChallenges	Argue or Enigma	U
Base_Eve_McHuron_Challenge	Eve McHuron	star-trek-tcg/base-set/StarTrekTcg-BaseSet-EveMcHuron.jpg	default	Challenge	Base Set	Base	playerNChallenges	Tempt	U
Base_Former_Love_Challenge	Former Love	star-trek-tcg/base-set/StarTrekTcg-BaseSet-FormerLove.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Tempt	V
Base_Former_Rival_Finnegan_Challenge	Former Rival Finnegan	star-trek-tcg/base-set/StarTrekTcg-BaseSet-FormerRivalFinnegan.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Capture	V
Base_Galactic_High_Commissioner_Ferris_Challenge	Galactic High Commissioner Ferris	star-trek-tcg/base-set/StarTrekTcg-BaseSet-GalacticHighCommissionerFerris.jpg	default	Challenge	Base Set	Base	playerNChallenges	Argue or Command	V
Base_Genghis_Khan_Challenge	Genghis Khan	star-trek-tcg/base-set/StarTrekTcg-BaseSet-GenghisKhan.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack or Conquer	U
Base_Gorn_Captain_Challenge	Gorn Captain	star-trek-tcg/base-set/StarTrekTcg-BaseSet-GornCaptain.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	C
Base_Hacom_Challenge	Hacom	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Hacom.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Outwit	R
Base_Horta_Challenge	Horta	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Horta.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	U
Base_Hostile_Miners_Challenge	Hostile Miners	star-trek-tcg/base-set/StarTrekTcg-BaseSet-HostileMiners.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Negotiate	C
Base_Insane_Colonists_Challenge	Insane Colonists	star-trek-tcg/base-set/StarTrekTcg-BaseSet-InsaneColonists.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	C
Base_Jahn_Challenge	Jahn	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Jahn.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	R
Base_Joaquin_Challenge	Joaquin	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Joaquin.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	U
Base_Kahless_Challenge	Kahless	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Kahless.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack or Outwit	R
Base_Kang_Challenge	Kang	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Kang.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack or Command	U
Base_Khan_Noonien_Singh_Challenge	Khan Noonien Singh	star-trek-tcg/base-set/StarTrekTcg-BaseSet-KhanNoonienSingh.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Outwit or Conquer	R
Base_Klingon_Landing_Party_Challenge	Klingon Landing Party	star-trek-tcg/base-set/StarTrekTcg-BaseSet-KlingonLandingParty.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	C
Base_Klingon_Sniper_Challenge	Klingon Sniper	star-trek-tcg/base-set/StarTrekTcg-BaseSet-KlingonSniper.jpg	default	Challenge	Base Set	Base	playerNChallenges	Ambush	V
Base_Klingon_Warrior_Challenge	Klingon Warrior	star-trek-tcg/base-set/StarTrekTcg-BaseSet-KlingonWarrior.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	U
Base_Kor_Challenge	Kor	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Kor.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	U
Base_Landru_Challenge	Landru	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Landru.jpg	default	Challenge	Base Set	Base	playerNChallenges	Command or Conquer	R
Base_Lawgivers_Challenge	Lawgivers	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Lawgivers.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	C
Base_Lazarus_Challenge	Lazarus	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Lazarus.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Argue	C
Base_Leila_Kalomi_Challenge	Leila Kalomi	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LeilaKalomi.jpg	default	Challenge	Base Set	Base	playerNChallenges	Tempt	U
Base_Lenore_Karidian_Challenge	Lenore Karidian	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LenoreKaridian.jpg	default	Challenge	Base Set	Base	playerNChallenges	Ambush or Fatal Allure	R
Base_Lethe_Challenge	Lethe	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Lethe.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma	R
Base_Lieutenant_Commander_Gary_Mitchell_Challenge	Lieutenant Commander Gary Mitchell*	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantCommanderGaryMitchell.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Mind Control	V
Base_M-113_Monster_(Crewman_Green_Form)_Challenge	M-113 Monster (Crewman Green Form)	star-trek-tcg/base-set/StarTrekTcg-BaseSet-M113MonsterCrewmanGreenForm.jpg	default	Challenge	Base Set	Base	playerNChallenges	Fatal Allure or Attack	V
Base_M-113_Monster_(Natural_Form)_Challenge	M-113 Monster (Natural Form)	star-trek-tcg/base-set/StarTrekTcg-BaseSet-M113MonsterNaturalForm.jpg	default	Challenge	Base Set	Base	playerNChallenges	Fatal Allure or Attack	V
Base_Magda_Kovacs_Challenge	Magda Kovacs	star-trek-tcg/base-set/StarTrekTcg-BaseSet-MagdaKovacs.jpg	default	Challenge	Base Set	Base	playerNChallenges	Tempt	C
Base_Mara_Challenge	Mara	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Mara.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Tempt	U
Base_Melkotians_Challenge	Melkotians	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Melkotians.jpg	default	Challenge	Base Set	Base	playerNChallenges	Outwit or Enigma	U
Base_Metron_Challenge	Metron	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Metron.jpg	default	Challenge	Base Set	Base	playerNChallenges	* or Enigma	R
Base_Military_Officers_20th_Century_Challenge	Military Officers, 20th Century	star-trek-tcg/base-set/StarTrekTcg-BaseSet-MilitaryOfficers20thCentury.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Negotiate	U
Base_Miri_Challenge	Miri	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Miri.jpg	default	Challenge	Base Set	Base	playerNChallenges	Argue or Enigma	U
Base_Mudds_Women_Challenge	Mudd's Women	star-trek-tcg/base-set/StarTrekTcg-BaseSet-MuddsWomen.jpg	default	Challenge	Base Set	Base	playerNChallenges	Tempt	U
Base_Mugato_Challenge	Mugato	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Mugato.jpg	default	Challenge	Base Set	Base	playerNChallenges	Ambush	R
Base_Nomad_Challenge	Nomad	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Nomad.jpg	default	Challenge	Base Set	Base	playerNChallenges	Outwit or Command	V
Base_Onlies_Challenge	Onlies	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Onlies.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	C
Base_Organian_Council_of_Elders_Challenge	Organian Council of Elders	star-trek-tcg/base-set/StarTrekTcg-BaseSet-OrganianCouncilOfElders.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Negotiate	V
Base_Otto_Challenge	Otto	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Otto.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	U
Base_Planetary_Guards_Challenge	Planetary Guards	star-trek-tcg/base-set/StarTrekTcg-BaseSet-PlanetaryGuards.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture	C
Base_Plasus_Challenge	Plasus	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Plasus.jpg	default	Challenge	Base Set	Base	playerNChallenges	Negotiate or Argue	U
Base_Rojan_Challenge	Rojan	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Rojan.jpg	default	Challenge	Base Set	Base	playerNChallenges	Outwit or Conquer	R
Base_Romulan_Battle_Cruiser_Commander_Challenge	Romulan Battle Cruiser Commander	star-trek-tcg/base-set/StarTrekTcg-BaseSet-RomulanBattleCruiserCommander.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Tempt	U
Base_Romulan_Bird-of-Prey_Commander_Challenge	Romulan Bird-of-Prey Commander	star-trek-tcg/base-set/StarTrekTcg-BaseSet-RomulanBirdOfPreyCommander.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Outwit	C
Base_Romulan_Centurion_Challenge	Romulan Centurion	star-trek-tcg/base-set/StarTrekTcg-BaseSet-RomulanCenturion.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Argue	U
Base_Ruk_Challenge	Ruk	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Ruk.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	C
Base_Ruth_Bonaventure_Challenge	Ruth Bonaventure	star-trek-tcg/base-set/StarTrekTcg-BaseSet-RuthBonaventure.jpg	default	Challenge	Base Set	Base	playerNChallenges	Tempt	C
Base_Samurai_Warrior_Challenge	Samurai Warrior	star-trek-tcg/base-set/StarTrekTcg-BaseSet-SamuraiWarrior.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack or Enigma	C
Base_Talosians_Challenge	Talosians	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Talosians.jpg	default	Challenge	Base Set	Base	playerNChallenges	Outwit or Enigma	U
Base_Tellarites_Challenge	Tellarites	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Tellarites.jpg	default	Challenge	Base Set	Base	playerNChallenges	Befuddle or Argue	C
Base_The_Kaylar_Challenge	The Kaylar	star-trek-tcg/base-set/StarTrekTcg-BaseSet-TheKaylar.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	C
Base_The_Keeper_Challenge	The Keeper	star-trek-tcg/base-set/StarTrekTcg-BaseSet-TheKeeper.jpg	default	Challenge	Base Set	Base	playerNChallenges	Outwit or Tempt	V
Base_Transporter_Duplicate_Challenge	Transporter Duplicate	star-trek-tcg/base-set/StarTrekTcg-BaseSet-TransporterDuplicate.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack or Outwit	V
Base_Trefayne_Challenge	Trefayne	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Trefayne.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Negotiate	U
Base_Trelane_Challenge	Trelane	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Trelane.jpg	default	Challenge	Base Set	Base	playerNChallenges	Capture or Befuddle	C
Base_Vina_Challenge	Vina	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Vina.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma or Tempt	U
Base_Vina_the_Orion_Dancer_Challenge	Vina, the Orion Dancer	star-trek-tcg/base-set/StarTrekTcg-BaseSet-VinaTheOrionDancer.jpg	default	Challenge	Base Set	Base	playerNChallenges	Tempt	R
Base_White_Rabbit_Challenge	White Rabbit	star-trek-tcg/base-set/StarTrekTcg-BaseSet-WhiteRabbit.jpg	default	Challenge	Base Set	Base	playerNChallenges	Befuddle	C
Base_Witch_Challenge	Witch	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Witch.jpg	default	Challenge	Base Set	Base	playerNChallenges	Enigma	U
Base_Wyatt_Earp_Challenge	Wyatt Earp	star-trek-tcg/base-set/StarTrekTcg-BaseSet-WyattEarp.jpg	default	Challenge	Base Set	Base	playerNChallenges	Attack	U
Base_Yarnek_Challenge	Yarnek	star-trek-tcg/base-set/StarTrekTcg-BaseSet-Yarnek.jpg	default	Challenge	Base Set	Base	playerNChallenges	Outwit	R
Base_Captain_James_T_Kirk_Core_Crew	Captain James T. Kirk	star-trek-tcg/base-set/StarTrekTcg-BaseSet-CaptainJamesTKirk.jpg	silverback	Core Crew	Base Set	Base	playerNStarting		S
Base_Commander_Spock_Core_Crew	Commander Spock	star-trek-tcg/base-set/StarTrekTcg-BaseSet-CommanderSpock.jpg	silverback	Core Crew	Base Set	Base	playerNStarting		S
Base_Dr_Leonard_H_Bones_McCoy_Core_Crew	Dr. Leonard H. Bones McCoy	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DrLeonardHBonesMcCoy.jpg	silverback	Core Crew	Base Set	Base	playerNStarting		S
Base_USS_Enterprise_Core_Crew	U.S.S. Enterprise	star-trek-tcg/base-set/StarTrekTcg-BaseSet-USSEnterprise.jpg	silverback	Core Crew	Base Set	Base	playerNStarting		S
Base_Dr_Elizabeth_Dehner_Crew	Dr. Elizabeth Dehner	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DrElizabethDehner-2.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Dr_Mark_Piper_Crew	Dr. Mark Piper	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DrMarkPiper.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Ensign_Angela_Martine_Crew	Ensign Angela Martine	star-trek-tcg/base-set/StarTrekTcg-BaseSet-EnsignAngelaMartine.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Ensign_Matthews_Crew	Ensign Matthews	star-trek-tcg/base-set/StarTrekTcg-BaseSet-EnsignMatthews.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Ensign_Pavel_A_Chekov_Crew	Ensign Pavel A. Chekov	star-trek-tcg/base-set/StarTrekTcg-BaseSet-EnsignPavelAChekov.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Ensign_Rayburn_Crew	Ensign Rayburn	star-trek-tcg/base-set/StarTrekTcg-BaseSet-EnsignRayburn.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Geological_Technician_Fisher_Crew	Geological Technician Fisher	star-trek-tcg/base-set/StarTrekTcg-BaseSet-GeologicalTechnicianFisher.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Lieutenant_(jg)_Joe_Tormolen_Crew	Lieutenant (j.g.) Joe Tormolen	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantJGJoeTormolen.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Alden_Crew	Lieutenant Alden	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantAlden.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Lieutenant_Charlene_Masters_Crew	Lieutenant Charlene Masters	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantCharleneMasters.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Commander_Benjamin_Finney_Crew	Lieutenant Commander Benjamin Finney	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantCommanderBenjaminFinney.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Lieutenant_Commander_Gary_Mitchell_Crew	Lieutenant Commander Gary Mitchell	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantCommanderGaryMitchell-2.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Lieutenant_Commander_Giotto_Crew	Lieutenant Commander Giotto	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantCommanderGiotto.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Commander_Kelowitz_Crew	Lieutenant Commander Kelowitz	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantCommanderKelowitz.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Commander_Montgomery_Scott_Crew	Lieutenant Commander Montgomery Scott	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantCommanderMontgomeryScott.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Lieutenant_DAmato_Crew	Lieutenant D'Amato	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantDAmato.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_DePaul_Crew	Lieutenant DePaul	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantDePaul.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Lieutenant_DeSalle_Crew	Lieutenant DeSalle	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantDeSalle.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Lieutenant_Esteban_Rodriguez_Crew	Lieutenant Esteban Rodriguez	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantEstebanRodriguez.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Gaetano_Crew	Lieutenant Gaetano	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantGaetano.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Hikaru_Sulu_Crew	Lieutenant Hikaru Sulu	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantHikaruSulu.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Lieutenant_Karl_Jaeger_Crew	Lieutenant Karl Jaeger	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantKarlJaeger.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Lieutenant_Kevin_T_Riley_Crew	Lieutenant Kevin T. Riley	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantKevinTRiley.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Lieutenant_Kyle_Crew	Lieutenant Kyle	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantKyle.jpg	default	Crew	Base Set	Base	playerNDeck		V
Base_Lieutenant_Lang_Crew	Lieutenant Lang	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantLang.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Latimer_Crew	Lieutenant Latimer	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantLatimer.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Lieutenant_Lee_Kelso_Crew	Lieutenant Lee Kelso	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantLeeKelso.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Lieutenant_Leslie_Crew	Lieutenant Leslie	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantLeslie.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Lieutenant_Lindstrom_Crew	Lieutenant Lindstrom	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantLindstrom.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Lieutenant_Marla_McGivers_Crew	Lieutenant Marla McGivers	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantMarlaMcGivers.jpg	default	Crew	Base Set	Base	playerNDeck		V
Base_Lieutenant_Mira_Romaine_Crew	Lieutenant Mira Romaine	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantMiraRomaine.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Lieutenant_ONeil_Crew	Lieutenant O'Neil	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantONeil.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Painter_Crew	Lieutenant Painter	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantPainter.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Lieutenant_Robert_Tomlinson_Crew	Lieutenant Robert Tomlinson	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantRobertTomlinson.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Spinelli_Crew	Lieutenant Spinelli	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantSpinelli.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Lieutenant_Thom_Parham_Crew	Lieutenant Thom Parham	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantThomParham.jpg	default	Crew	Base Set	Base	playerNDeck		V
Base_Lieutenant_Uhura_Crew	Lieutenant Uhura	star-trek-tcg/base-set/StarTrekTcg-BaseSet-LieutenantUhura.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Nurse_Christine_Chapel_Crew	Nurse Christine Chapel	star-trek-tcg/base-set/StarTrekTcg-BaseSet-NurseChristineChapel.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Transporter_Technician_Wilson_Crew	Transporter Technician Wilson	star-trek-tcg/base-set/StarTrekTcg-BaseSet-TransporterTechnicianWilson.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Yeoman_Janice_Rand_Crew	Yeoman Janice Rand	star-trek-tcg/base-set/StarTrekTcg-BaseSet-YeomanJaniceRand.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_Yeoman_Karen_Greene_Crew	Yeoman Karen Greene	star-trek-tcg/base-set/StarTrekTcg-BaseSet-YeomanKarenGreene.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Yeoman_Martha_Landon_Crew	Yeoman Martha Landon	star-trek-tcg/base-set/StarTrekTcg-BaseSet-YeomanMarthaLandon.jpg	default	Crew	Base Set	Base	playerNDeck		R
Base_Yeoman_Mears_Crew	Yeoman Mears	star-trek-tcg/base-set/StarTrekTcg-BaseSet-YeomanMears.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Yeoman_Smith_Crew	Yeoman Smith	star-trek-tcg/base-set/StarTrekTcg-BaseSet-YeomanSmith.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Yeoman_Teresa_Ross_Crew	Yeoman Teresa Ross	star-trek-tcg/base-set/StarTrekTcg-BaseSet-YeomanTeresaRoss.jpg	default	Crew	Base Set	Base	playerNDeck		C
Base_Yeoman_Tina_Lawton_Crew	Yeoman Tina Lawton	star-trek-tcg/base-set/StarTrekTcg-BaseSet-YeomanTinaLawton.jpg	default	Crew	Base Set	Base	playerNDeck		U
Base_CORE_EPISODE_Default_Discovery	Default Discovery	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DefaultDiscovery.jpg	silverback	Core Episode Discovery	Base Set	Base	playerNStarting		S
Base_CORE_EPISODE_Default_Mission	Default Mission	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DefaultMission.jpg	silverback	Core Episode Mission	Base Set	Base	playerNStarting		S
Base_CORE_EPISODE_Default_Plot	Default Plot	star-trek-tcg/base-set/StarTrekTcg-BaseSet-DefaultPlot.jpg	silverback	Core Episode Plot	Base Set	Base	playerNStarting		S
