databaseId	name	imageUrl	cardBack	type	set	legal	rarity	keywords	alignment	affiliation	cost	asset	attack	armor	structure	speed	mass	armament	text	loadGroupId
AR010	Bulldog (AC2 Variant)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BulldogAC2Variant.jpg	default	Unit	Arsenal	4	Common	Vehicle	Inner Sphere	Inner Sphere	0+1L+2M		2	2	3	Slow	60	8 SRMs, 2 AC/2s	Vehicle (If Bulldog (AC2 Variant) is damaged, roll a die. On a 5 or 6, scrap it.) You may deploy Bulldog revealed to gain an additional deployment this turn. [Errata]	playerNStockpile
AR011	Bulldog (LRM Variant)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-BulldogLRMVariant.jpg	default	Unit	Arsenal	4	Common	Vehicle	Inner Sphere	Inner Sphere	0+2L		1	2	3	Slow	60	20 LRMs, 8 SRMs	Missile 1 Vehicle (If Bulldog (LRM Variant) is damaged, roll a die. On a 5 or 6, scrap it.) You may deploy Bulldog revealed to gain an additional deployment this turn. [Errata]	playerNStockpile
AR013	Burke	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Burke.jpg	default	Unit	Arsenal	4	Uncommon	Vehicle	Inner Sphere	Inner Sphere	1+2L		4	2	3	Slow	75	3 PPCs	Vehicle (If Burke is damaged, roll a die. On a 5 or 6, scrap it.) If Burke attacks and is blocked, it may deal 1 of its damage to the target. Burke cannot block unless guarding. [Errata]	playerNStockpile
AR014	Carpet Bombing	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-CarpetBombing.jpg	default	Mission	Arsenal	4	Common		Generic										Play only if you have Munitions in play. Each 'Mech and Vehicle receives 2 damage.	playerNStockpile
AR015	Castle Defense	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-CastleDefense.jpg	default	Mission	Arsenal	4	Common		Inner Sphere	Inner Sphere									Play only when blocking. Prevent up to 2 damage to each guarding 'Mech.	playerNStockpile
AR016	Cauldron-Born Prime	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-CauldronBornPrime.jpg	default	Unit	Arsenal	4	Common	Mech - Omni	Clan	Clan	6+3A+2M		5	2	7	Moderate	65	Gauss Rifle, 10 LRMs, AC/5	If Cauldron-Born Prime attacks and is blocked, it may deal up to 2 of its damage to the target.	playerNStockpile
AR017	Cavalry	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Cavalry.jpg	default	Unit	Arsenal	4	Common	Vehicle	Inner Sphere	Inner Sphere	1+1L+2T		2	0	3	Fast	25	12 SRMs	Vehicle (If Cavalry is damaged, roll a die. On a 5 or 6, scrap it.) VTOL (Vehicles with VTOL cannot be blocked by patrolling 'Mechs or by patrolling vehicles without VTOL.) If Cavalry is fully constructed when you reveal it, you may immediately place it in your Patrol region. [Errata]	playerNStockpile
AR018	Chameleon (CLN-7W)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-ChameleonCLN7W.jpg	default	Unit	Arsenal	4	Uncommon	Mech	Inner Sphere	Inner Sphere	3+2A		3	1	6	Moderate	50	Lg Laser, 2 Med Lasers	Jump (-1 attack: +1 initiative)	playerNStockpile
AR019	Chaos March Veteran	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-ChaosMarchVeteran.jpg	default	Command	Arsenal	4	Uncommon	Pilot	Inner Sphere	Liao Marik	0+3T		+1						Pilot: +1 initiative, +1 attack 'Mech piloted by Chaos March Veteran gets an additional +2 attack. Use this ability only during battle.	playerNStockpile
AR020	Combat Drop	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-CombatDrop.jpg	default	Command	Arsenal	4	Uncommon		Generic		1+2L								Scrap Combat Drop when it is revealed. Activate Combat Drop only during battle. Choose one of your untapped 'Mechs for every two construction counters above the cost of Combat Drop. Each of these 'Mechs joins the battle and receives 1 structure damage.	playerNStockpile
AR021	Command Circuit	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-CommandCircuit.jpg	default	Command	Arsenal	4	Rare		Generic		1+2P			0	7				{R}, {T}: Roll a die. Use this ability only during your Deploy phase. 1-2: Scrap Command Circuit. 3-5: Draw one card and you may make an additional deployment this turn. 6: Draw three cards and you may make an additional three deployments this turn.	playerNStockpile
AR022	Coordinator Theodore Kurita	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-CoordinatorTheodoreKurita.jpg	default	Command	Arsenal	4	Rare	Unique	Inner Sphere	Kurita	4+5P	T	1	4	2				Counts as Theodore Kurita while in play. Making a deployment costs each opponent an additional 0+2L. Tactics (If you have Tactics in play, add +1 to your initiative.)	playerNStockpile
AR023	Covert Elemental Point	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-CovertElementalPoint.jpg	default	Unit	Arsenal	4	Uncommon	Battle Armor	Clan	Clan	1+3L		3	0	4	Slow			Battle Armor (Activates, attacks, guards, and blocks like a 'Mech, and cannot attack or block alone.) Jump (-1 attack: +1 initiative) AP (Covert Elemental Point deals +1 damage to any target other than a 'Mech.) Attacks or blocks at the speed of the fastest Omni 'Mech in the group accompanying it, if any. If Covert Elemental Point attacks and is blocked, it may deal 1 of its damage to the target.	playerNStockpile
AR024	Cyrano	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Cyrano.jpg	default	Unit	Arsenal	4	Rare	Vehicle	Inner Sphere	Inner Sphere	0+1L+1T		1	0	1	Fast	30	Lg Laser	Vehicle (If Cyrano is damaged, roll a die. On a 5 or 6, scrap it.) VTOL (Vehicles with VTOL cannot be blocked by patrolling 'Mechs or by patrolling vehicles without VTOL.) If Cyrano is fully constructed when you reveal it, you may immediately place it in your Patrol region. You may deploy Cyrano revealed to gain an additional deployment this turn. [Errata]	playerNStockpile
AR025	Daishi S (Dire Wolf)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-DaishiSDireWolf.jpg	default	Unit	Arsenal	4	Uncommon	Mech - Omni	Clan	Smoke Jaguar	15+4A+4L+4M		11	4	11	Slow	100	Lg Laser, 5 Med Lasers, 8 SRMs, AC/20	Alpha Strike: +3 attack Jump (-1 attack: +1 initiative) AP (Daishi S deals +1 damage to any target other than a 'Mech.)	playerNStockpile
AR026	Dan Allard	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-DanAllard.jpg	default	Command	Arsenal	4	Rare	Pilot - Unique - Mercenary	Inner Sphere	Inner Sphere	2+2P+2T		+2						Pilot: +1 initiative, +2 attack Reassign any pilot you control to any 'Mech in a group that contains 'Mech piloted by Dan Allard. Use this ability only during a mission involving 'Mech piloted by Dan Allard.	playerNStockpile
AR027	Defensive Embankment	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-DefensiveEmbankment.jpg	default	Command	Arsenal	4	Uncommon	Enhancement - Terrain	Generic		1								Play Defensive Embankment only in one of your regions. Activating Defensive Embankment scraps all other Terrain cards in that region. Each of your Vehicles gets +1 attack and +1 armor. Use this ability only during a mission whose target is in the region enhanced by Defensive Embankment.	playerNStockpile
AR028	Demolisher	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Demolisher.jpg	default	Unit	Arsenal	4	Common	Vehicle	Inner Sphere	Inner Sphere	3+2L		2	3	5	Slow	80	2 AC/20s	Alpha Strike: +4 attack Vehicle (If Demolisher is damaged, roll a die. On a 5 or 6, scrap it.) [Errata]	playerNStockpile
AR029	Demon	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Demon.jpg	default	Unit	Arsenal	4	Uncommon	Vehicle	Inner Sphere	Inner Sphere	3+2L		4	2	6	Slow	60	Gauss Rifle, 2 Med Lasers, 6 SRMs	Vehicle (If Demon is damaged, roll a die. On a 5 or 6, scrap it.) If Demon attacks and is blocked, it may deal 1 of its damage to the target. [Errata]	playerNStockpile
AR030	Desert Wasteland	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-DesertWasteland.jpg	default	Command	Arsenal	4	Common	Enhancement - Terrain	Generic		1								Play Desert Wasteland only in one of your regions. Activating Desert Wasteland scraps all other Terrain cards in that region. Each Vehicle receives 1 damage. Damage from a 'Mech's Overheat option is applied to that 'Mech's structure instead of its armor. Use this ability only during a mission whose target is in the region enhanced by Desert Wasteland.	playerNStockpile
AR031	Diamond Will's	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-DiamondWills.jpg	default	Command	Arsenal	4	Rare	Resource	Generic		1			0	7				{R}, {R}, {T}: Roll a die. Use this ability only during your Deploy phase: 1: Scrap Diamond Will's. 2-5: Gain a number of resources equal to the die roll. 6: Once this turn, you may activate a card ignoring its base construction cost.	playerNStockpile
AR032	Doc Trevena	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-DocTrevena.jpg	default	Command	Arsenal	4	Rare	Unique	Inner Sphere	Steiner	2+2T		2	4	1				{T}: Prevent up to 2 damage to each of your fast 'Mechs. Use this ability only during a mission.	playerNStockpile
AR033	Elizabeth O'Bannon	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-ElizabethOBannon.jpg	default	Command	Arsenal	4	Rare	Pilot - Unique	Inner Sphere	Inner Sphere	3+2T		+2						Pilot: +1 initiative, +2 attack When you activate Elizabeth O'Bannon you may search your Stockpile, Scrapheap, and/or hand for Tanya O'Bannon. You may deploy and activate that card without paying its construction cost. This does not count as a deployment. If you search your Stockpile, shuffle it afterwards.	playerNStockpile
AR034	Enhanced IR Sensors	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-EnhancedIRSensors.jpg	default	Command	Arsenal	4	Uncommon	Enhancement	Generic		0+3T								Play Enhanced IR Sensors only on a 'Mech. That 'Mech can attack or block any 'Mech with Overheat regardless of the other 'Mech's speed.	playerNStockpile
AR035	Ferro-Fibrous Upgrade	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-FerroFibrousUpgrade.jpg	default	Command	Arsenal	4	Common	Enhancement	Generic		0+2L								Play Ferro-Fibrous Upgrade only on a Vehicle. If Vehicle enhanced by Ferro-Fibrous Upgrade receives damage, prevent up to 3 of that damage and scrap Ferro-Fibrous Upgrade. You may deploy Ferro-Fibrous Upgrade revealed to make an additional deployment this turn. Draw a card when you activate Ferro-Fibrous Upgrade.	playerNStockpile
AR036	Final Push	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-FinalPush.jpg	default	Mission	Arsenal	4	Uncommon		Inner Sphere	Inner Sphere									Play only when blocked. Each of your 'Mechs and Vehicles may deal up to an additional 2 of its damage to the target.	playerNStockpile
AR037	Fire Falcon A	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-FireFalconA.jpg	default	Unit	Arsenal	4	Rare	Mech - Omni	Clan	Jade Falcon	1+2M		2	0	4	Fast	25	10 LRMs, AC/2		playerNStockpile
AR038	Fire Falcon C	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-FireFalconC.jpg	default	Unit	Arsenal	4	Uncommon	Mech - Omni	Clan	Jade Falcon	4		4	0	4	Fast	25	Med Laser, 12 SRMs	AP (Fire Falcon C deals +1 damage to any target other than a 'Mech.)	playerNStockpile
AR039	Fire Falcon Prime	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-FireFalconPrime.jpg	default	Unit	Arsenal	4	Common	Mech - Omni	Clan	Clan	5+1A+1T		5	0	4	Fast	25	3 Med Lasers, 8 SRMs	Overheat 1: +1 attack	playerNStockpile
AR040	Fire From Cover	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-FireFromCover.jpg	default	Mission	Arsenal	4	Common		Generic										Choose one of your 'Mechs. That 'Mech gets +1 attack. Prevent 1 damage to that 'Mech.	playerNStockpile
AR041	Front-Loaded Supply Lines	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-FrontLoadedSupplyLines.jpg	default	Mission	Arsenal	4	Common		Generic										Play only if you have Logistics in play. Each of your 'Mechs and Vehicles gains Alpha Strike: +2 attack.	playerNStockpile
AR042	Galleon-3058	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Galleon3058.jpg	default	Unit	Arsenal	4	Uncommon	Vehicle	Inner Sphere	Inner Sphere	1+2L		2	0	5	Moderate	30	3 Med Lasers	Vehicle (If Galleon-3058 is damaged, roll a die. On a 5 or 6, scrap it.) You may deploy Galleon-3058 revealed to gain an additional deployment this turn. [Errata]	playerNStockpile
AR043	Grendel D	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-GrendelD.jpg	default	Unit	Arsenal	4	Common	Mech - Omni	Clan	Smoke Jaguar	6+4A+4T		4	1	6	Fast	45	PPC, 2 Med Lasers, 6 SRMs	Overheat 2: +2 attack Jump (-1 attack: +1 initiative)	playerNStockpile
AR044	Grizzly	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Grizzly.jpg	default	Unit	Arsenal	4	Common	Mech	Clan	Ghost Bear	8+4A+4T		7	2	9	Slow	70	Gauss Rifle, Lg Laser, 10 LRMs	Jump (-1 attack: +1 initiative) If Grizzly attacks and is blocked, it may deal up to 2 of its damage to the target.	playerNStockpile
AR045	Hanse Davion's Legacy	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-HanseDavionsLegacy.jpg	default	Command	Arsenal	4	Rare	Unique - Legacy	Inner Sphere	Davion	2+3P								If you control no Davion cards in play, scrap Hanse Davion's Legacy; otherwise, Hanse Davion's Legacy cannot be scrapped from play. Choose an attacking 'Mech. That 'Mech gets +2 armor. Use this ability only during a mission.	playerNStockpile
AR046	Holovid Frameup	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-HolovidFrameup.jpg	default	Command	Arsenal	4	Rare	Subterfuge	Inner Sphere	Liao Steiner	2+4P								Scrap Holovid Frame up when it is revealed. Choose an opponent and roll a die: 1-2: Scrap a Unique card of that player's choice and scrap three cards from your Stockpile. 3-6: Scrap a Unique card of your choice. That player scraps three cards from his Stockpile.	playerNStockpile
AR047	Hot-Loaded LRMs	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-HotLoadedLRMs.jpg	default	Command	Arsenal	4	Uncommon	Enhancement	Inner Sphere	Inner Sphere	0+2T		+X						Play Hot-Loaded LRMs only on a 'Mech or Vehicle with the Missile option. Enhanced 'Mech or Vehicle gets +X attack, where X is equal to the number of missiles it can fire. At end of each mission involving enhanced 'Mech or Vehicle, roll a die. If the die roll is less than or equal to the amount of structure damage taken during the mission by that 'Mech or Vehicle, scrap it.	playerNStockpile
AR048	J. Edgar (MG Variant)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-JEdgarMGVariant.jpg	default	Unit	Arsenal	4	Common	Vehicle	Inner Sphere	Inner Sphere	1+1L+1M		1	0	5	Fast	25	Med Laser, 4 MGs	Vehicle (If J. Edgar (MG Variant) is damaged, roll a die. On a 5 or 6, scrap it.) AP (J. Edgar deals +1 damage to any target other than a 'Mech.) If J. Edgar is fully constructed when you reveal it, you may immediately place it in your Patrol region. [Errata]	playerNStockpile
AR049	Jade Monkey	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-JadeMonkey.jpg	default	Command	Arsenal	4	Rare	Enhancement	Inner Sphere	Inner Sphere	0+1P								Play Jade Monkey only on a Pilot or Command card. If card enhanced by Jade Monkey goes to your Scrapheap, you may put that card into your hand afterwards. You may deploy Jade Monkey revealed to make an additional deployment this turn.	playerNStockpile
AR050	Janos Marik's Legacy	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-JanosMariksLegacy.jpg	default	Command	Arsenal	4	Rare	Unique - Legacy	Inner Sphere	Marik	1+3P								If you control no Marik cards in play, scrap Janos Marik's Legacy; otherwise, Janos Marik's Legacy cannot be scrapped from play. As long as you control any Marik cards other than Janos Marik's Legacy, each of your 'Mechs cost 1 resource less to activate.	playerNStockpile
AR051	Jerrard Cranston	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-JerrardCranston.jpg	default	Command	Arsenal	4	Rare	Unique	Inner Sphere	Davion	2+4P			3	2				Counts as Galen Cox while in play. Jerrard Cranston does not untap as normal during your Untap phase. {T}: Choose an opponent. Opponent may not play Mission cards until the beginning of your next turn. Use this ability only during your Deploy phase. {R}{R}: Untap Jerrard Cranston. Use this ability only during your Deploy phase.	playerNStockpile
AR052	Jump Troops	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-JumpTroops.jpg	default	Command	Arsenal	4	Common		Inner Sphere	Inner Sphere	1+2L+2T		2	1	2				{T}: +1 initiative and the target gets +2 attack. If the target is damaged, attacking player may choose to redirect 3 damage to Jump Troops, scrapping it. Use this ability only during battle. You may deploy Jump Troops revealed to make an additional deployment this turn.	playerNStockpile
AR053	Katrina Steiner's Legacy	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-KatrinaSteinersLegacy.jpg	default	Command	Arsenal	4	Rare	Unique - Legacy	Inner Sphere	Steiner	2+3P								If you control no Steiner cards in play, scrap Katrina Steiner's Legacy; otherwise, Katrina Steiner's Legacy cannot be scrapped from play. {T}: Make an additional deployment this turn. Use this ability only during your Deploy phase.	playerNStockpile
AR054	Keith Smith	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-KeithSmith.jpg	default	Command	Arsenal	4	Rare	Unique	Inner Sphere	Davion St. Ives	2+2L			4	1				{T}: Look at the top three cards of an opponent's Stockpile and arrange them in any order. Use this ability only during your Deploy phase.	playerNStockpile
AR055	Kodiak	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Kodiak.jpg	default	Unit	Arsenal	4	Rare	Mech	Clan	Ghost Bear	15+4A+4L+4M		7	3	11	Slow	100	Lg Laser, 8 Med Lasers, 12 SRMs, AC/20	Overheat 7: +7 attack Alpha Strike: +3 attack	playerNStockpile
AR056	Lightning	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Lightning.jpg	default	Unit	Arsenal	4	Rare	Vehicle	Inner Sphere	Inner Sphere	2+1L+1T		3	0	3	Fast	35	2 Med Lasers	Vehicle (If Lightning is damaged, roll a die. On a 5 or 6, scrap it.) If Lightning is fully constructed when you reveal it, you may immediately place it in your Patrol region. [Errata]	playerNStockpile
AR057	Linebacker C	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-LinebackerC.jpg	default	Unit	Arsenal	4	Common	Mech - Omni	Clan	Wolf	7+1A+1T		5	2	8	Moderate	65	Lg Laser, 4 Med Lasers, AC/5	Overheat 1: +1 attack	playerNStockpile
AR058	Mad Cat Pryde (Timber Wolf)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-MadCatPrydeTimberWolf.jpg	default	Unit	Arsenal	4	Rare	Mech - Omni	Clan	Jade Falcon	11+2A+2M+2T		3	2	9	Moderate	75	2 Lg Lasers, 40 LRMs	Missile 3 Overheat 4: +4 attack Jump (-1 attack: +1 initiative)	playerNStockpile
AR059	Mad Cat S (Timber Wolf)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-MadCatSTimberWolf.jpg	default	Unit	Arsenal	4	Uncommon	Mech - Omni	Clan	Wolf	10+4A+4L+4M		8	2	9	Moderate	75	Lg Laser, 2 Med Lasers, 24 SRMs	Overheat 1: +1 attack Jump (-1 attack: +1 initiative)	playerNStockpile
AR060	Magi	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Magi.jpg	default	Unit	Arsenal	4	Rare	Vehicle	Inner Sphere	Inner Sphere	1+2L		2	2	7	Slow	70	3 Med Lasers	Vehicle (If Magi is damaged, roll a die. On a 5 or 6, scrap it.) [Errata]	playerNStockpile
AR061	Maximillian Liao's Legacy	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-MaximillianLiaosLegacy.jpg	default	Command	Arsenal	4	Rare	Unique - Legacy	Inner Sphere	Liao	2+3P								If you control no Liao cards in play, scrap Maximillian Liao's Legacy; otherwise, Maximillian Liao's Legacy cannot be scrapped from play. You may ignore construction costs when you activate Subterfuge cards.	playerNStockpile
AR062	Mech Recall	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-MechRecall.jpg	default	Command	Arsenal	4	Rare	Subterfuge	Inner Sphere	Liao	4+4P								Scrap 'Mech Recall when it is revealed. Choose a patrolling 'Mech. Put that 'Mech in its owner's hand.	playerNStockpile
AR063	MechWarrior Peter	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-MechWarriorPeter.jpg	default	Command	Arsenal	4	Uncommon	Pilot - Unique	Clan	Wolf	1+3T								Pilot: +1 initiative Mech piloted by MechWarrior Peter may deal any amount of its damage to the target. Use this ability only if that 'Mech is fast and only if blocked.	playerNStockpile
AR064	Nice Grouping!	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-NiceGrouping.jpg	default	Mission	Arsenal	4	Uncommon		Generic										Play only during battle. Choose one of your 'Mechs and one of your opponent's 'Mechs. All missiles fired from your 'Mech at opponent's 'Mech deal damage equal to the die roll instead of normal missile damage. You may still modify those die rolls as if they were normal missile rolls.	playerNStockpile
AR065	Night Gyr C	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-NightGyrC.jpg	default	Unit	Arsenal	4	Common	Mech - Omni	Clan	Jade Falcon Smoke Jaguar	9+5A+5T		8	2	9	Slow	75	2 Lg Lasers, 2 Med Lasers, 3 AC/2s	Jump (-1 attack: +1 initiative) If Night Gyr C attacks and is blocked, it may deal up to 2 of its damage to the target.	playerNStockpile
AR066	Nightshade	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Nightshade.jpg	default	Unit	Arsenal	4	Rare	Vehicle	Inner Sphere	Inner Sphere	1+2T		1	0	2	Fast	25	Med Laser	Vehicle (If Nightshade is damaged, roll a die. On a 5 or 6, scrap it.) VTOL (Vehicles with VTOL cannot be blocked by patrolling 'Mechs or by patrolling vehicles without VTOL.) ECM (Each 'Mech in a group that includes at least one 'Mech with ECM gets +1 armor.)If Nightshade is fully constructed when you reveal it, you may immediately place it in your Patrol region. [Errata]	playerNStockpile
AR067	Nobori-nin C (Huntsman)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-NoboriNinCHuntsman.jpg	default	Unit	Arsenal	4	Common	Mech - Omni	Clan	Clan	8+2A+2M+2T		5	1	7	Moderate	50	35 LRMs, AC/5	Missile 2 Overheat 1: +1 attack Jump (-1 attack: +1 initiative)	playerNStockpile
AR068	Ontos (LRM Variant)	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-OntosLRMVariant.jpg	default	Unit	Arsenal	4	Rare	Vehicle	Inner Sphere	Inner Sphere	2+2A+1L		0	3	4	Slow	95	50 LRMs	Missile 3 Vehicle (If Ontos (LRM Variant) is damaged, roll a die. On a 5 or 6, scrap it.) [Errata]	playerNStockpile
AR069	Ontos-3058	battletech-tactics-2/arsenal/BattletechTactics2-Arsenal-Ontos3058.jpg	default	Unit	Arsenal	4	Common	Vehicle	Inner Sphere	Inner Sphere	6+3L		6	3	6	Slow	95	7 Med Lasers, 15 LRMs, 10 SRMs	Missile 1 Vehicle (If Ontos-3058 is damaged, roll a die. On a 5 or 6, scrap it.) [Errata]	playerNStockpile
