databaseId	name	imageUrl	cardBack	type	attack	cost	faction	flavorText	force	hitPoints	mainText	quantity	resources	rewardText	targetValue	traits	unique	set
cw_g10	MTT	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-MTT.png	card	Unit	1	4	Separatist	Multi-Troop Transports can carry a company of 112 battle droids into the thick of combat.		4	Place the next Droid you purchase this turn on top of your deck.	2	3	Gain 4 [resource].	4	Vehicle.	0	clone_wars
cw_g11	Stap	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Stap.png	card	Unit		2	Separatist			2	If there are more enemy cards than Separatist cards in the galaxy row, gain 1 [force].	2	2	Exile 1 card from your hand or discard pile.	2	Droid.	0	clone_wars
cw_g12	Tri-Fighter	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-TriFighter.png	card	Unit	3	3	Separatist			3	Exile a Separatist card from the galaxy row. If you do, you may deal 3 damage to a capital ship your opponent has in play.	2		Gain 3 [resource].	3	Droid. Fighter.	0	clone_wars
cw_g13	B2 Battle Droid	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-B2BattleDroid.png	card	Unit	2	1	Separatist	Better armed and armored, the super battle droid outperforms its standard counterpart in most ways.		1	Exile a Separatist card from the galaxy row. If you do, draw 1 card.	3		Gain 1 [resource].	1	Droid. Trooper.	0	clone_wars
cw_g14	Vulture Droid	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-VultureDroid.png	card	Unit	2	2	Separatist			2	When you purchase this unit, add it to your hand. After this unit attacks, you must exile this card.	3		Exile 1 card from your hand or discard pile.	2	Droid. Fighter.	0	clone_wars
cw_g15	Aayla Secura	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AaylaSecura.png	card	Unit	2	3	Republic		1	3	While Aayla Secura is in play and the Force is with you, each of your Trooper units gains 1 [attack].	1		Gain 2 [force].	3	Jedi.	1	clone_wars
cw_g16	Ahsoka Tano	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AhsokaTano.png	card	Unit	3	4	Republic		1	4	Reveal the top card of your deck. If the Force is with you, you may swap it with a card from your discard pile.	1		Gain 3 [force].	4	Jedi.	1	clone_wars
cw_g17	Anakin Skywalker	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AnakinSkywalker.png	card	Unit	4	5	Republic	Some believe Anakin to be the prophesied Chosen One who will bring balance to the Force.	1	5	While the Force is with you, Anakin Skywalker gains 3 [attack].	1		Gain 3 [resource] and 2 [force].	5	Jedi.	1	clone_wars
cw_g18	AT-TE	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-ATTE.png	card	Unit	6	6	Republic	Although they transport troops, All Terrain Tactical Enforcers are powerful tanks in their own right.		6	Place another unit you have in play on top of your deck.	1		Purchase a card of your faction for free.	6	Vehicle.	0	clone_wars
cw_g19	Captain Rex	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-CaptainRex.png	card	Unit		3	Republic			3	Captain Rex gains 1 [attack] for each unique (◆) unit in play and in the galaxy row.	1	2	Gain 2 [force].	3	Trooper.	1	clone_wars
cw_g2	Admiral Trench	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AdmiralTrench.png	card	Unit	3	5	Separatist			5	Draw 1 card (2 cards instead if you had a capital ship in play at the start of your turn).	1	2	Gain 3 [resource] and 2 [force].	5	Officer.	1	clone_wars
cw_g20	Clone Commander Cody	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-CloneCommanderCody.png	card	Unit	2	4	Republic			4	Place a Trooper from your discard pile on top of your deck. If the Force is with you, add it to your hand instead.	1	2	Gain 3 [force].	4	Trooper.	1	clone_wars
cw_g21	Mace Windu	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-MaceWindu.png	card	Unit	6	8	Republic		2	8	Reveal the top card of your deck. If the Force is with you, Mace Windu gains [attack] equal to the cost of that card (to a maximum of +5 [attack]).	1		Gain 4 [resource] and 4 [force].		Jedi.	1	clone_wars
cw_g22	Obi-Wan Kenobi	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-ObiWanKenobi.png	card	Unit	4	6	Republic		2	6	When you reveal Obi-Wan Kenobi from the top of your deck, add him to your hand and reveal the next card instead.	1		Gain 3 [resource] and 3 [force].	9	Jedi.	1	clone_wars
cw_g23	Padmé Amidala	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-PadmAmidala.png	card	Unit	3	5	Republic	The strong-willed and courageous former queen of Naboo always selflessly helps those in need.		5	Draw 1 card (2 cards instead if your base is Naboo).	1	2	Gain 3 [resource] and 2 [force].	5	Officer.	1	clone_wars
cw_g24	ARC-170	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-ARC170.png	card	Unit	4	4	Republic			4	Reveal the top card of your deck. If it is a Fighter or a Trooper, this unit gains 2 [attack].	2		Exile up to 2 cards from your hand or discard pile.	4	Fighter.	0	clone_wars
cw_g25	AT-RT	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-ATRT.png	card	Unit	2	2	Republic	All Terrain Reconnaissance Transports can run up to 60 km/h.		2	If you have another Trooper in play, repair 2 damage from your base.	2		Exile 1 card from your hand or discard pile.	2	Trooper.	0	clone_wars
cw_g26	Barc Trooper	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-BarcTrooper.png	card	Unit		2	Republic	Biker Advanced Recon Commandos can quickly redeploy to where they are needed most.		2	While you have another Trooper in play, this unit gains 2 [attack].	2	2	Exile 1 card from your hand or discard pile.	2	Trooper.	0	clone_wars
cw_g27	Delta-7B	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Delta7B.png	card	Unit	3	3	Republic		1	3	Reveal the top card of your deck. If it is a Jedi, you may draw it. If it is not, you may discard it.	2		Gain 2 [force].	3	Jedi. Fighter.	0	clone_wars
cw_g28	LAAT Gunship	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-LAATGunship.png	card	Unit		4	Republic	Clones and Jedi alike have come to respect the Low Altitude Assault Transport gunship.		4	Reveal the top card of your deck. If it is a Jedi or Trooper, you may draw it.	2	4	Gain 4 [resource].	4	Transport.	0	clone_wars
cw_g29	V-19 Torrent	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-V19Torrent.png	card	Unit	2	1	Republic	The V-19 Torrent was an early-war design created to escort the less maneuverable LAAT gunship.		1	Reveal the top card of your deck. You may discard it.	2		Gain 1 [resource].	1	Fighter.	0	clone_wars
cw_g3	Asajj Ventress	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AsajjVentress.png	card	Unit	5	7	Separatist		2	7	Discard each neutral unit from the galaxy row (and 1 enemy unit if the [force] is with you).	1		Purchase a card of your faction for free.	7	Scoundrel.	1	clone_wars
cw_g30	Arc Trooper	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-ArcTrooper.png	card	Unit	3	3	Republic			3	If you have a Jedi or another Trooper in play, deal 2 damage to your opponent's base.	3		Gain 3 [resource].		Trooper.	0	clone_wars
cw_g31	Aurra Sing	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AurraSing.png	card	Unit	1	2	Neutral	A Palliduvan ex-Jedi, Aurra Sing is an infamous markswoman, preferring to take assassination contracts where she can use her sniper rifle.	1		While there is a Bounty Hunter in the galaxy row, Aurra Sing gains 2 [attack].	1			1	Bounty Hunter.	1	clone_wars
cw_g32	Cad Bane	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-CadBane.png	card	Unit	4	6	Neutral	With the right crew, the creatively cunning Cad Bane pulls off unthinkable tasks such as infiltrating the Jedi Temple and staging prison breaks.			If you have at least 3 neutral cards in play, choose: Destroy a capital ship your opponent has in play, or exile 1 card from your hand or discard pile.	1	2			Bounty Hunter.	1	clone_wars
cw_g33	Embo	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Embo.png	card	Unit	2	4	Neutral	Embo, a soft-spoken Kyuzo, is famous for fighting with his bowcaster and using his large hat as both a shield and a thrown weapon.			Embo gains 1 [attack] for each other neutral card you have in play (to a maximum of +6 [attack]).	1	2			Bounty Hunter.	1	clone_wars
cw_g34	Fett's Firespray	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-FettsFirespray.png	card	Unit	4	7	Neutral	Jango Fett (and eventually Boba Fett) hunted and transported countless bounties in this iconic craft.			Add a neutral unit from your discard pile to your hand. If it is a Bounty Hunter, that unit gains 2 [attack] while attacking a target in the galaxy row this turn.	1	3			Transport.	1	clone_wars
cw_g35	Hondo Ohnaka	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-HondoOhnaka.png	card	Unit	4	8	Neutral	As the leader of the Ohnaka Gang, the notorious Weequay pirate king Hondo Ohnaka attempts to leverage every interaction he has to find profits.			When you purchase a card with a cost of 4 or more, draw 1 card.	1	4		2	Scoundrel.	1	clone_wars
cw_g36	Jango Fett	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-JangoFett.png	card	Unit	5	5	Neutral	Despite being the template for all clone troopers, Jango Fett still takes independent contracts without the Republic's consent.			When Jango Fett defeats a target in the galaxy row, draw 1 card.	1				Bounty Hunter.	1	clone_wars
cw_g37	Jar Jar Binks	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-JarJarBinks.png	card	Unit		0	Neutral	Although initially an outcast from his society, Jar Jar stumbled his way into being a Bombad General and eventually a Nabooian Senator.			When you purchase or play Jar Jar Binks, you may spend 2 [resource] to gain 1 [force] and place him in your opponent's discard pile.	1				Outcast.	1	clone_wars
cw_g38	Latts Razzi	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-LattsRazzi.png	card	Unit	3	3	Neutral	Often willing to team up with other bounty hunters for the biggest scores, this stylish Theelin specializes in using an unusual grappling boa during combat.			When Latts Razzi defeats a target in the galaxy row, gain 1 [resource] for each Bounty Hunter in play and in the galaxy row.	1				Bounty Hunter.	1	clone_wars
cw_g39	Zam Wesell	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-ZamWesell.png	card	Unit		3	Neutral	A slippery Clawdite, Zam Wesell uses her natural abilities to adapt on the fly during missions, sometimes even disguising herself as her target.			When you play Zam Wesell, choose: She gains 2 [attack], 2 [resource], or 2 [force] this turn.	1				Bounty Hunter.	1	clone_wars
cw_g4	Count Dooku	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-CountDooku.png	card	Unit	6	8	Separatist		2	8	If the Force is with you, swap a unit in the galaxy row with a non-starter card from your exile pile.	1		Gain 4 [resource] and 4 [force].	8	Sith.	1	clone_wars
cw_g40	Assassin Droid	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AssassinDroid.png	card	Unit	4	4	Neutral	Without the empathy shared by most organics, some assassin droids are built as merciless hunters.			This unit can attack a neutral unit in the galaxy row using that unit's cost as its target value. If you defeat that unit, gain [resource] equal to its cost. You can commit other units to this attack.	2				Bounty Hunter. Droid.	0	clone_wars
cw_g41	Gauntlet Starfighter	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-GauntletStarfighter.png	card	Unit		4	Neutral	Although not as nimble as its smaller cousin the Fang Fighter, Mandalorians use the Kom'rk-class fighter as both a troop transport and a starfighter.			Exile this unit to purchase a card from the galaxy discard pile as if it were in the galaxy row and add that card to your hand.	2	4		4	Transport.	0	clone_wars
cw_g42	Hutt Fighter	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-HuttFighter.png	card	Unit		3	Neutral	Always looking to make credits, the Hutts are not above exploiting the uncertain situations created by galaxy-spanning wars.			Spend 2 [resource] to have this unit gain 2 [force].	2	3			Fighter.	0	clone_wars
cw_g43	Protocol Droid	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-ProtocolDroid.png	card	Unit		1	Neutral	Coming in all shapes and sizes, each chassis is designed to perfectly suit the needs of the client.			Exile this card to discard cards from the top of the galaxy deck until you discard a card of your faction. Swap that card with a neutral unit in the galaxy row.	2	2			Droid.	0	clone_wars
cw_g44	Super Commando	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-SuperCommando.png	card	Unit	3	3	Neutral	These Mandalorians are loyal to Maul following his possession of the dark saber and his subsequent victory over Pre Vizsla in traditional single combat.			When you purchase this unit, add him to your hand (and you may exile 1 card from your hand or discard pile if the Force is with you).	2				Trooper.	0	clone_wars
cw_g45	Underworld Contact	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-UnderworldContact.png	card	Unit		2	Neutral	When it comes to getting ahead of your competition, sometimes it is not what you know, but who you know.	1		If the Force is with you, spend 2 fewer [resource] on the next neutral card you purchase.	2	1			Scoundrel.	0	clone_wars
cw_g46	Weequay Pirate	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-WeequayPirate.png	card	Unit	2	1	Neutral	Originating from the desert planet Sriluur in Hutt space, many Weequay easily find work as mercenaries, pirates, or bodyguards.			If you have another neutral card in play, draw 1 card.	2				Trooper.	0	clone_wars
cw_g5	General Grievous	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-GeneralGrievous.png	card	Unit	5	5	Separatist			5	When General Grievous defeats a target in the galaxy row, exile a Droid from your hand. If you do, receive that target's reward a second time.	1		Gain 3 [resource] and 2 [force].	1	Officer.	1	clone_wars
cw_g6	Nute Gunray	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-NuteGunray.png	card	Unit		2	Separatist			2	The next time a card leaves the galaxy row this turn, replace it with a non-starter card from your exile pile.	1	2	Gain 1 [force].	2	Officer.	1	clone_wars
cw_g7	Wat Tambor	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-WatTambor.png	card	Unit	2	3	Separatist		1	3	Discard 1 neutral card from the galaxy row. If the Force is with you, you may replace it with a Separatist card from the galaxy discard pile.	1		Gain 2 [force].	3	Officer.	1	clone_wars
cw_g8	Droideka	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Droideka.png	card	Unit	3	3	Separatist	Protected by personal deflector shields, Droidekas make for formidable opponents.		3	If you exiled at least 1 card this turn, this unit gains 2 [attack].	2		Gain 2 [force].	3	Droid.	0	clone_wars
cw_g9	Magnaguard	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Magnaguard.png	card	Unit	3	4	Separatist		1	4	While Magnaguard is in play, each of your unique (◆) units gains 1 [attack] (2 [attack] instead if the Force is with you).	2		Gain 3 [force].	4	Droid. Trooper.	0	clone_wars
cw_ncs1	Aurore-class Freighter	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AuroreClassFreighter.png	card	CapitalShip		3	Neutral	Often associated with Zygerrian slavers, the YV-865 Aurore-class is a general-purpose freighter seen throughout the galaxy.		3	When this card is defeated, each player may exile 1 card from their hand or discard pile.	2	2		2		0	clone_wars
cw_ncs2	Dreadnought-class Cruiser	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-DreadnoughtClassCruiser.png	card	CapitalShip	2	5	Neutral	Despite its age, this centuries-old craft has been used time and time again as the basis for new ship designs.		5	While Dreadnought-class Cruiser is in play, each of your neutral units gains 1 [attack].	2					0	clone_wars
cw_ncs3	Space Yacht	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-SpaceYacht.png	card	CapitalShip		4	Neutral	Often a source of pride and only available to the extravagantly wealthy, large privately-owned ships are sometimes mobilized to assist in the war effort, willingly or otherwise.		4		3	2				0	clone_wars
cw_orp1	Outer Rim Pilot	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-OuterRimPilot.png	card	Unit		2	Neutral	Most of the best freighter pilots are to be found here. — Obi-Wan Kenobi			Exile this unit to gain 1 [resource].	10	2				0	clone_wars
cw_rb1	Rishi	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Rishi.png	rebelBase	Base			Republic			8	Start the game with this base in play.	1				Republic Outpost.	1	clone_wars
cw_rb10	Ryloth	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Ryloth.png	rebelBase	Base			Republic			16	When you reveal Ryloth, exile 1 enemy card from the galaxy row and place 1 card from your discard pile on top of your deck.	1					1	clone_wars
cw_rb2	Anaxes	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Anaxes.png	rebelBase	Base			Republic			10	When you reveal Anaxes, purchase a Republic or neutral card from the galaxy row for free and add it to your hand.	1					1	clone_wars
cw_rb3	Christophsis	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Christophsis.png	rebelBase	Base			Republic			14	When you reveal Christophsis, deal 4 damage to it. When you play a Transport, repair 1 damage from this base.	1					1	clone_wars
cw_rb4	Coruscant	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Coruscant.png	rebelBase	Base			Republic			16	When your turn begins, reveal the top card of your deck. You may discard that card.	1					1	clone_wars
cw_rb5	Ilum	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Ilum.png	rebelBase	Base			Republic			14	When you reveal Ilum, gain 4 [force].	1					1	clone_wars
cw_rb6	Kamino	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Kamino.png	rebelBase	Base			Republic			14	When you play a Trooper for the first time each turn, add a Trooper from your discard pile to your hand.	1					1	clone_wars
cw_rb7	Kashyyyk	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Kashyyyk.png	rebelBase	Base			Republic			12	When you reveal Kashyyyk, exile up to 3 cards from your hand or discard pile.	1					1	clone_wars
cw_rb8	Naboo	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Naboo.png	rebelBase	Base			Republic			12	While Naboo is your base, each of your capital ships gains 2 hit points.	1					0	clone_wars
cw_rb9	Rodia	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Rodia.png	rebelBase	Base			Republic			14	When you play a neutral card for the first time each turn, draw 1 card.	1					1	clone_wars
cw_rcs1	Consular-Class Cruiser	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-ConsularClassCruiser.png	card	CapitalShip		2	Republic	Primarily used to transport Jedi and diplomats across the galaxy, the Consular-class cruiser is an oft cherished Republic vessel.		2	Swap a card in your hand with the top card of your deck.	2	2		2	Capital Ship.	0	clone_wars
cw_rcs2	Acclamator-Class Ship	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-AcclamatorClassShip.png	card	CapitalShip		5	Republic	Heralding the sudden appearance of the Clone Army, the Acclamator-class Assault Ships are now important Republic assets.		5	Place the next card you purchase this turn on top of your deck.	2	3				0	clone_wars
cw_rcs3	Venator-Class Destroyer	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-VenatorClassDestroyer.png	card	CapitalShip	3	7	Republic	The original class of Star Destroyer, the Venator is the first of its kind and instills fear in all who oppose it.		7	While Venator-class Destroyer is in play, each of your Fighter units gains 1 [force].	2					0	clone_wars
cw_rs1	Republic Shuttle	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-RepublicShuttle.png	card	Unit		0	Republic	With many different shuttles available to the Republic, the Eta-class shuttle is a good choice regardless of the friendliness of the destination.				7	1			Transport.	0	clone_wars
cw_rs2	Clone Trooper	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-CloneTrooper.png	card	Unit	2	0	Republic	Grown under ideal laboratory conditions, each clone trooper is trained from the start to be both a loyal and proficient soldier.				2				Trooper.	0	clone_wars
cw_rs3	Jedi Knight	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-JediKnight.png	card	Unit		0	Republic	Lauded by some as peacekeepers, Jedi are taught to use words first before resorting to violence.			When you play Jedi Knight, choose: They gain 1 [attack], 1 [resource], or 1 [force] this turn.	1				Jedi.	0	clone_wars
cw_sb1	Xorrn	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Xorrn.png	empireBase	Base			Separatist			8	Start the game with this base in play.	1				Separatist Outpost.	1	clone_wars
cw_sb10	Dac	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Dac.png	empireBase	Base			Separatist			10	When you reveal Dac, purchase a Separatist or neutral card from the galaxy row for free and add it to your hand.	1					0	clone_wars
cw_sb2	Cato Neimoidia	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-CatoNeimoidia.png	empireBase	Base			Separatist			14	When you reveal Cato Neimoidia, discard 1 enemy card from the galaxy row. Replace it with a different enemy card from the galaxy discard pile and gain [resource] equal to the latter card's cost.	1				Trade Federation.	1	clone_wars
cw_sb3	Serenno	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Serenno.png	empireBase	Base			Separatist			14	When you reveal Serenno, gain 4 [force].	1					1	clone_wars
cw_sb4	Onderon	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Onderon.png	empireBase	Base			Separatist			12	When you reveal Onderon, exile up to 3 cards from your hand or discard pile.	1					1	clone_wars
cw_sb5	Mygeeto	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Mygeeto.png	empireBase	Base			Separatist			18	While Mygeeto is your base, you do not return unspent resources to the supply at the end of your turn.	1				Banking Clan.	1	clone_wars
cw_sb6	Mustafar	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Mustafar.png	empireBase	Base			Separatist			14	When you play a neutral card for the first time each turn, draw 1 card.	1					1	clone_wars
cw_sb7	Lola Sayu	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-LolaSayu.png	empireBase	Base			Separatist			14	When you reveal Lola Sayu, place 1 card from your opponent's discard pile facedown under this base. When this base is destroyed, return that card to your opponent's discard pile.	1				The Citadel.	1	clone_wars
cw_sb8	Geonosis	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Geonosis.png	empireBase	Base			Separatist			16	Spend [resource] equal to the cost of a Droid in your discard pile to add that card to your hand.	1					1	clone_wars
cw_sb9	Felucia	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-Felucia.png	empireBase	Base			Separatist			14	While Felucia is your base, each of your Droid units gains 1 [force].	1					1	clone_wars
cw_scs1	Munificent-class Frigate	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-MunificentClassFrigate.png	card	CapitalShip	1	3	Separatist	The lightly-armored Munificent-class Frigate is an important part of the Separatist fleet, capable of carrying 150,000 battle droids.		3	Exile a Separatist card from the galaxy row. If you do, repair 2 damage from your base.	2	1		1		0	clone_wars
cw_scs2	Separatist Dreadnought	star-wars-deckbuilding-game/clone-wars/StarWarsDeckbuildingGame-CloneWars-SeparatistDreadnought.png	card	CapitalShip	4	6	Separatist	The right to command each mighty Providence-class dreadnought is often squabbled over by high ranking officials.		5		2					0	clone_wars
