databaseId	name	subtitle	imageUrl	zoomImageUrl	cardBack	type	packName	set	loadGroupId	archetype	faction	cost	attack	defense	health	damage	level	artId	frame	flavour	text
lon-aggressive-advance-a-balanced-attack-of-swords-and-magic-can-be-quite-effective	Aggressive Advance	A balanced attack of swords and magic can be quite effective.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AggressiveAdvance.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AggressiveAdvance.jpg	default	Ability	Norrath	0	playerNDeck												When you apply this ability at a quest, deal 1 damage to an opposing unit at that quest. If there are none, deal 1 damage to an opposing avatar.
lon-agile-slashing	Agile Slashing		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AgileSlashing.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AgileSlashing.jpg	default	Ability	Norrath	0	playerNDeck											Maybe YOU can't fight what you can't see. True swordmasters are not so limited.	[DEF] Discard a card >> Exert an opposing combatant.
lon-agility	Agility		legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-Agility.jpg	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-Agility.jpg	default	Ability	Oathbound	0	playerNDeck	Priest		3								Never underestimate the speed of a mysterious old man with a walking stick.	[ATT][DEF] Destroy this ability >> Ready all your other abilities.
lon-agitate-spirit-find-your-power-focus-it-now-use-it-to-strike	Agitate Spirit	'Find your power... Focus it... Now use it to strike!'	legends-of-norrath/doom-of-the-ancient-ones/LegendsOfNorrath-DoomOfTheAncientOnes-AgitateSpirit.jpg	legends-of-norrath/doom-of-the-ancient-ones/LegendsOfNorrath-DoomOfTheAncientOnes-AgitateSpirit.jpg	default	Ability	Doom of the Ancient Ones	10	playerNDeck	Fighter											[ATT][DEF] Exert this ability >> Your avatar gets a +1 rune.
lon-agonizing-wound-grog-thought-it-was-only-a-flesh-wound-until-the-gangrene-set-in	Agonizing Wound	Grog thought it was only a flesh wound -- until the gangrene set in.	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-AgonizingWound.jpg	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-AgonizingWound.jpg	default	Ability	Oathbound	1	playerNDeck	Scout		3		1							When you play this ability, you may destroy a damaged unit.
lon-alleviate-suffering	Alleviate Suffering		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AlleviateSuffering.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AlleviateSuffering.jpg	default	Ability	Norrath	0	playerNDeck			0								The simple touch of a healing priest could be enough to lessen the pain.	[MAIN] Exert this ability >> Heal 1 damage on a friendly unit. [Good] Heal all damage on that unit instead.
lon-always-ready-armed-to-the-teeth-just-doesn-t-quite-cover-it	Always Ready	'Armed to the teeth' just doesn't quite cover it.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AlwaysReady.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AlwaysReady.jpg	default	Ability	Norrath	0	playerNDeck												[MAIN] Pay 1 power and exert this ability >> Ready a friendly item.
lon-ambidextrous-casting-i-must-confess-i-m-not-left-handed	Ambidextrous Casting	'I must confess: I'm not left-handed.'	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AmbidextrousCasting.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AmbidextrousCasting.jpg	default	Ability	Norrath	0	playerNDeck												[MAIN] Exert this ability and one of your units >> Begin combat against an opposing avatar. If you have influence, add that unit's damage bonus to your total damage.
lon-ambuscade-where-did-they-come-from	Ambuscade	Where did they come from?!	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Ambuscade.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Ambuscade.jpg	default	Ability	Norrath	0	playerNDeck												When you apply this ability at a quest, destroy all opposing units at that quest.
lon-amends	Amends		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Amends.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Amends.jpg	default	Ability	Norrath	0	playerNDeck											They marched forth to seek restitution for the lands and lives that were taken from them.	When you play this ability, ready a friendly unit. If you have influence, ready all other friendly units at its quest.
lon-ancient-nova-strike-it-burned-with-the-heat-of-the-sun-from-a-time-long-ago	Ancient Nova Strike	It burned with the heat of the sun from a time long ago.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AncientNovaStrike.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AncientNovaStrike.jpg	default	Ability	Norrath	0	playerNDeck									100013309			When you play this ability, deal 3 damage to an opposing avatar or unit.
lon-ancient-pledge	Ancient Pledge		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AncientPledge.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AncientPledge.jpg	default	Ability	Norrath	0	playerNDeck											The Forsworn have broken their pledge not only to the Tribunal, but to all the other Oathbound. To some, this is the greater offense.	While there are any charge tokens on this ability, your avatar gets +2 defense.
lon-ancient-wrath-anger-unaddressed-will-grow-stronger-over-time	Ancient Wrath	Anger unaddressed will grow stronger over time.	legends-of-norrath/travelers/LegendsOfNorrath-Travelers-AncientWrath.jpg	legends-of-norrath/travelers/LegendsOfNorrath-Travelers-AncientWrath.jpg	default	Ability	Travelers	8	playerNDeck	Fighter											When you play this ability, choose a friendly unit. It gets +1 damage bonus until the end of the turn.
lon-aneurysm-that-smell-is-all-in-your-head	Aneurysm	That smell is all in your head.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Aneurysm.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Aneurysm.jpg	default	Ability	Norrath	0	playerNDeck			0									When you play this ability, choose a quest. For each of your abilities, put an exerted opposing unit at that quest in its owner's hand.
lon-angry-charge-an-angry-shadowknight-is-like-a-bull-in-a-china-shop	Angry Charge	An angry shadowknight is like a bull in a china shop.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AngryCharge.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AngryCharge.jpg	default	Ability	Norrath	0	playerNDeck			0									When you play this ability, destroy an exerted opposing item.
lon-appalling-screech	Appalling Screech		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AppallingScreech.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AppallingScreech.jpg	default	Ability	Norrath	0	playerNDeck											The famous high note from Tarrafini's ghastly opera The Fall of Charasis is not only a display of vocal virtuosity, it's an effective defense in combat.	When you play this ability, you may move a level token from one quest to another.
lon-apprentice-summoning	Apprentice Summoning		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ApprenticeSummoning.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ApprenticeSummoning.jpg	default	Ability	Norrath	0	playerNDeck									100013304		The apprentice struggled mightily, but couldn't conjure anything sufficient to please himself, much less his master.	When you win a combat involving a friendly pet unit, shift this ability into Minion Mastery.
lon-arcane-augur-your-avatar-gets-1-attack-for-each-of-your-b-pet-b-units	Arcane Augur	Your avatar gets +1 attack for each of your <b>pet</b> units.	legends-of-norrath/against-the-void/LegendsOfNorrath-AgainstTheVoid-ArcaneAugur.jpg	legends-of-norrath/against-the-void/LegendsOfNorrath-AgainstTheVoid-ArcaneAugur.jpg	default	Ability	Against the Void	6	playerNDeck	Mage								100009641		Your avatar gets +1 attack for each of your pet units.	
lon-arcane-lore-all-opposing-combatants-get-1-defense-while-your-avatar-is-attacking	Arcane Lore	All opposing combatants get -1 defense while your avatar is attacking.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArcaneLore.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArcaneLore.jpg	default	Ability	Norrath	0	playerNDeck											He knows something you don't know. Many somethings, in fact.	
lon-ardent-belief	Ardent Belief		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArdentBelief.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArdentBelief.jpg	default	Ability	Norrath	0	playerNDeck	Fighter		2		1	2			100008081		Inscribed within the circle are the tenets of the paladin: his belief lends him strength, that strength allows him to fight for truth, that truth spread wide will lead others to belief.	When you apply this ability at a quest, your avatar and all your units at that quest get +1 damage bonus until the end of the turn.
lon-arise-in-bloodmoon-keep-nothing-dies	Arise	In Bloodmoon Keep, nothing dies.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Arise.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Arise.jpg	default	Ability	Norrath	0	playerNDeck												When you play this ability, heal 1 damage on all friendly units.
lon-armor-of-seasons-how-can-you-hurt-nature-when-nature-is-everywhere	Armor of Seasons	How can you hurt nature when nature is everywhere?	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArmorOfSeasons.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArmorOfSeasons.jpg	default	Ability	Norrath	0	playerNDeck												Whenever you lose a combat involving a friendly unit, you may exert this ability. If you do, a friendly unit combatant gets a +1 rune.
lon-armored-safeguard	Armored Safeguard		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArmoredSafeguard.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArmoredSafeguard.jpg	default	Ability	Norrath	0	playerNDeck			0								The armor of the sentries seemed as impregnable as the castle they stood before.	Whenever your avatar begins defending against one or more units, it gets +1 total defense for each of your armor items.
lon-army-of-shadows-a-single-victory-against-ralkor-s-minions-is-not-enough	Army of Shadows	A single victory against Ralkor's minions is not enough.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArmyOfShadows.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArmyOfShadows.jpg	default	Ability	Norrath	0	playerNDeck												Whenever one of your undead units is destroyed, put it in your hand instead of discarding it.
lon-arousing-shout-to-arms-my-friends-the-battle-begins	Arousing Shout	To arms, my friends! The battle begins!	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArousingShout.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArousingShout.jpg	default	Ability	Norrath	0	playerNDeck												When you play this ability, ready all friendly units.
lon-arrow-rip-it-doesn-t-matter-if-it-doesn-t-fit-right-always-wear-your-helmet	Arrow Rip	It doesn't matter if it doesn't fit right -- always wear your helmet.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArrowRip.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArrowRip.jpg	default	Ability	Norrath	0	playerNDeck												[MAIN] Discard a card and choose an opposing unit with the same cost as that card >> Deal 1 damage to that unit.
lon-artful-ambush	Artful Ambush		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArtfulAmbush.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArtfulAmbush.jpg	default	Ability	Norrath	0	playerNDeck			0								The whole point of this is to see the look on his face when he realizes what's happened to him.	When you play this ability, begin combat against an opposing avatar. You get +1 total attack for each of your units.
lon-artful-finesse	Artful Finesse		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArtfulFinesse.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-ArtfulFinesse.jpg	default	Ability	Norrath	0	playerNDeck											'Go now, back to your confederates. And tell them the next one to oppose me will lose more than a tunic.'	When you apply this ability at a quest, if you have a ready weapon item, place an additional level token at that quest.
lon-aspect-of-the-forest	Aspect of the Forest		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AspectOfTheForest.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AspectOfTheForest.jpg	default	Ability	Norrath	0	playerNDeck											Her quiet meditations slowly brought upon her the peaceful tranquility of the forest. And then it was ready to hear her call.	When you apply this ability at a quest, search your deck for an ability card and take it into your hand.
lon-aspect-of-the-owl-when-your-options-seem-limited-it-helps-to-look-with-other-eyes	Aspect of the Owl	When your options seem limited, it helps to look with other eyes.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AspectOfTheOwl.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AspectOfTheOwl.jpg	default	Ability	Norrath	0	playerNDeck												When you play this ability, you may put any number of cards from your hand beneath your deck. Draw an equal number of cards.
lon-assail	Assail		legends-of-norrath/inquisitor/LegendsOfNorrath-Inquisitor-Assail.jpg	legends-of-norrath/inquisitor/LegendsOfNorrath-Inquisitor-Assail.jpg	default	Ability	Inquisitor	3	playerNDeck	Scout		1		1						Impatient by nature, Cyndra drew her sword and rushed Kesla to end the negotiation.	[MAIN] Exert this ability >> Begin combat against an exerted opposing avatar.
lon-assassin-s-aggression-the-fierce-attack-of-the-roekillik-surprised-his-ratonga-brethren	Assassin's Aggression	The fierce attack of the Roekillik surprised his Ratonga brethren.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AssassinsAggression.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AssassinsAggression.jpg	default	Ability	Norrath	0	playerNDeck												When you play this ability, destroy a damaged opposing unit.
lon-assassinate-let-sleeping-dogs-die	Assassinate	Let sleeping dogs die.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Assassinate.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Assassinate.jpg	default	Ability	Norrath	0	playerNDeck			0									When you play this ability, begin combat against an opposing avatar. [Evil] Deal 1 damage to that avatar.
lon-assault-a-scream-and-a-leap-are-sufficient-warning	Assault	A scream and a leap are sufficient warning.	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-Assault.jpg	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-Assault.jpg	default	Ability	Oathbound	1	playerNDeck	Mage		1		1							When you play this ability, begin combat against an opposing avatar.
lon-atone-tunare-hear-me-now	Atone	Tunare, hear me now.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Atone.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Atone.jpg	default	Ability	Norrath	0	playerNDeck									100008144			[MAIN] Exert this ability and discard a card >> Heal 1 damage on your avatar.
lon-atrophy	Atrophy		legends-of-norrath/legacies/LegendsOfNorrath-Legacies-Atrophy.jpg	legends-of-norrath/legacies/LegendsOfNorrath-Legacies-Atrophy.jpg	default	Ability	Legacies	12	playerNDeck	Priest								100012002		The sword had been in the knight's family for generations. It crumbled in seconds under the wrath of the evil priestess.	When you play this ability, you may remove one of your level tokens. If you do, begin combat against an opposing avatar.
lon-augmented-acumen-like-a-muscle-intellect-grows-stronger-with-frequent-exercise	Augmented Acumen	Like a muscle, intellect grows stronger with frequent exercise.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AugmentedAcumen.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AugmentedAcumen.jpg	default	Ability	Norrath	0	playerNDeck			0									[MAIN] Exert this ability and discard a card >> Draw a card.
lon-aura-of-the-crusader-once-more-unto-the-breach-dear-friends	Aura of the Crusader	Once more unto the breach, dear friends.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AuraOfTheCrusader.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AuraOfTheCrusader.jpg	default	Ability	Norrath	0	playerNDeck												[Good] [MAIN] Exert this ability >> Set your faction to 5 light. Choose a quest. You may raid from that quest a second time this turn.
lon-auspice	Auspice		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Auspice.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Auspice.jpg	default	Ability	Norrath	0	playerNDeck											The blessings of Tunare are best secured in quiet contemplation before the battle is joined.	Whenever an opponent plays a tactic, gain 1 power.
lon-avengers	Avengers		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Avengers.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Avengers.jpg	default	Ability	Norrath	0	playerNDeck											All friendly units get +1 attack while you have influence.	
lon-avoid	Avoid		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Avoid.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Avoid.jpg	default	Ability	Norrath	0	playerNDeck											When telling the story later, the scout would leave out the part where he cowered in the branches of a tree. But at least he lived to tell the story later.	[Good] [DEF] Exert this ability >> Set your faction to 7 light. You get +4 total defense.
lon-awareness-infusion-the-forest-becomes-aware	Awareness Infusion	The forest becomes aware.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AwarenessInfusion.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-AwarenessInfusion.jpg	default	Ability	Norrath	0	playerNDeck			0									Whenever your avatar begins defending, ready all your abilities.
lon-awestruck	Awestruck		legends-of-norrath/vengeful-gods/LegendsOfNorrath-VengefulGods-Awestruck.jpg	legends-of-norrath/vengeful-gods/LegendsOfNorrath-VengefulGods-Awestruck.jpg	default	Ability	Vengeful Gods	9	playerNDeck	Priest										When you play this ability, begin combat against an opposing avatar.	This ability costs -1 power to play for each quest where you have a unit.
lon-back-away	Back Away		legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-BackAway.jpg	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-BackAway.jpg	default	Ability	Oathbound	0	playerNDeck			2		4						'To gain ground, ye must lose ground... sometimes. It's the timing that'll make ye the champion.' --Dagda Icefury, Barbarian warrior and protector of Firiona Vie	When you play this ability, discard a card at random.
lon-backstab-le-of-unseen-hands-gaffin-deeppockets-halfling-thief	Backstab	le of Unseen Hands.' --Gaffin Deeppockets, Halfling Thief	legends-of-norrath/forsworn/LegendsOfNorrath-Forsworn-Backstab.jpg	legends-of-norrath/forsworn/LegendsOfNorrath-Forsworn-Backstab.jpg	default	Ability	Forsworn	2	playerNDeck	Scout	Stealth	4		2						'Lenny, we has a problem. Stanos is back and he ain't happy. He told me to tell ya that he would be calling in his markers soon. I reckon ya know what that means, and that's bad business with the Circ	When you apply this ability at a quest, you may remove an opposing level token from the same quest. [Evil] You may remove two opposing level tokens instead.
lon-balance-all-b-light-b-units-get-1-defense	Balance	All <b>light</b> units get +1 defense.	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-Balance.jpg	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-Balance.jpg	default	Ability	Oathbound	0	playerNDeck			2		2						All light units get +1 defense.	
lon-ball-of-fire	Ball of Fire		legends-of-norrath/doom-of-the-ancient-ones/LegendsOfNorrath-DoomOfTheAncientOnes-BallOfFire.jpg	legends-of-norrath/doom-of-the-ancient-ones/LegendsOfNorrath-DoomOfTheAncientOnes-BallOfFire.jpg	default	Ability	Doom of the Ancient Ones	10	playerNDeck	Mage										Some spells are arcane concepts given form, interwoven with the caster's will made manifest. The more popular ones just burn stuff.	When you play this ability, choose a quest. Deal 1 damage to all opposing units at that quest.
lon-ball-of-incineration-go-ahead-have-a-ball	Ball of Incineration	Go ahead... have a ball.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-BallOfIncineration.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-BallOfIncineration.jpg	default	Ability	Norrath	0	playerNDeck												When you play this ability, your opponent may exert one of his abilities. If he doesn't, deal 4 damage to his avatar.
lon-bargain-trade-your-soul-carefully-it-s-a-transaction-you-can-make-only-once	Bargain	Trade your soul carefully. It's a transaction you can make only once.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Bargain.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Bargain.jpg	default	Ability	Norrath	0	playerNDeck												[ATT] Exert this ability >> Your combat opponent gets -1 total damage. [Evil] He gets -2 total damage instead.
lon-bash-it-seems-my-dear-that-i-have-the-advantage-of-you	Bash	It seems, my dear, that I have the advantage of you.	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Bash.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-Bash.jpg	default	Ability	Norrath	0	playerNDeck												[MAIN] Destroy this ability >> Begin combat against an opposing avatar that has no ready abilities.
lon-battery-and-assault	Battery and Assault		legends-of-norrath/norrath/LegendsOfNorrath-Norrath-BatteryAndAssault.jpg	legends-of-norrath/norrath/LegendsOfNorrath-Norrath-BatteryAndAssault.jpg	default	Ability	Norrath	0	playerNDeck											The brigands had just cause for their actions. Just cause they wanted to.	[ATT][DEF] Exert this ability >> Choose an opposing unit combatant. Deal 1 damage to it for each of your weapon items matching this ability's faction.
lon-battle-chant	Battle Chant		legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-BattleChant.jpg	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-BattleChant.jpg	default	Ability	Oathbound	1	playerNDeck	Fighter		4		2						'Borne in the breast and emboldened by each beat of the heart, the fighter's chant evokes immeasurable fierceness.' --Cain Darkmoore, Guildmaster of the Steel Warriors	When you play this ability, choose a quest. You may raid from that quest a second time this turn.
lon-battle-cry	Battle Cry		legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-BattleCry.jpg	legends-of-norrath/oathbound/LegendsOfNorrath-Oathbound-BattleCry.jpg	default	Ability	Oathbound	1	playerNDeck	Fighter		1		1				100004298		'I lay wounded as Vendagar stood fast between us and the Orcs. Never so great a sound echoed in that cavern as when he cried out for their blood. Never.' --Hendebrag, Son of Halas	This ability gets +1 defense for each quest where your opponents have a unit.
