databaseId	name	imageUrl	cardBack	type	AWA	FIT	FOC	SPI	UncommonWisdom	conflict	conflict_number	connectedLocations	connectedPaths	connection	connection_number	cost	deck_limit	equip_value	exploration	exploration_number	flavor	generic_token	harm	harm_threshold	illustrator	packName	pack_code	pack_name	pivotal	position	presence	progress	progress_threshold	quantity	reason	reason_number	reveal	scaleGenericTokenPerPlayer	scaleHarmThresholdPerPlayer	scaleProgressThresholdPerPlayer	set	sphere_code	sphere_cost	sphere_name	text	traits	type_code	white_large_square	white_square_button
00011	Challenge11	earthborne-rangers/core/EarthborneRangers-Core-Challenge11.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		11 of 24											Challenge						challenge		
00012	Challenge12	earthborne-rangers/core/EarthborneRangers-Core-Challenge12.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		12 of 24											Challenge						challenge		
00013	Challenge13	earthborne-rangers/core/EarthborneRangers-Core-Challenge13.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		13 of 24											Challenge						challenge		
00014	Challenge14	earthborne-rangers/core/EarthborneRangers-Core-Challenge14.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		14 of 24											Challenge						challenge		
00015	Challenge15	earthborne-rangers/core/EarthborneRangers-Core-Challenge15.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		15 of 24											Challenge						challenge		
00016	Challenge16	earthborne-rangers/core/EarthborneRangers-Core-Challenge16.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		16 of 24											Challenge						challenge		
00017	Challenge17	earthborne-rangers/core/EarthborneRangers-Core-Challenge17.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		17 of 24											Challenge						challenge		
00018	Challenge18	earthborne-rangers/core/EarthborneRangers-Core-Challenge18.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		18 of 24											Challenge						challenge		
00019	Challenge19	earthborne-rangers/core/EarthborneRangers-Core-Challenge19.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		19 of 24											Challenge						challenge		
00020	Challenge20	earthborne-rangers/core/EarthborneRangers-Core-Challenge20.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		20 of 24											Challenge						challenge		
00021	Challenge21	earthborne-rangers/core/EarthborneRangers-Core-Challenge21.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		21 of 24											Challenge						challenge		
00022	Challenge22	earthborne-rangers/core/EarthborneRangers-Core-Challenge22.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		22 of 24											Challenge						challenge		
00023	Challenge23	earthborne-rangers/core/EarthborneRangers-Core-Challenge23.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		23 of 24											Challenge						challenge		
00024	Challenge24	earthborne-rangers/core/EarthborneRangers-Core-Challenge24.jpg	challenge	Challenge					FALSE																	Challenge	Core	Core Set		24 of 24											Challenge						challenge		
01001	Eagle Eye	earthborne-rangers/core/EarthborneRangers-Core-EagleEye.jpg	player	Moment					FALSE	conflict	0			connection	0	1	2	0	exploration	0	When you were young, you and your father would climb the Mound of the Navigator and look over the Valley. From that high vantage, he taught you to see the subtlest movements and minute detail of the flora and fauna far below.		harm		Wayne O'Connor & Cory DeVore	Traveler	Core	Core Set		1 of 9		progress			reason	1					Traveler	awareness	1	AWA	Scout 3 path cards, then draw 1 path card.	Skill	moment	white_large_square	white_square_button
01002	Paths We've Roamed Before	earthborne-rangers/core/EarthborneRangers-Core-PathsWeveRoamedBefore.jpg	player	Moment					TRUE	conflict	0			connection	0	2	2	0	exploration	1	As you walk the Valley, you recall the wisdom gained during the seasonal wanderings of your youth.		harm		Wayne O'Connor & Cory DeVore	Traveler	Core	Core Set		2 of 9		progress			reason	0					Traveler	awareness	2	AWA	Choose up to 4 total moments or attributes from any number of Ranger discards. Place the chosen cards facedown on the top of their Ranger's fatigue stack.	Experience	moment	white_large_square	white_square_button
01003	Strider	earthborne-rangers/core/EarthborneRangers-Core-Strider.jpg	player	Attribute					FALSE	conflict	0			connection	0		2	0	exploration	3	From the day you took your first steps, you haven't stopped moving. Your heart yearns to scale distant peaks and wander untrodden vistas. You continually look toward the horizon, never content to sit still.		harm		Wayne O'Connor & Cory DeVore	Traveler	Core	Core Set		3 of 9		progress			reason	0					Traveler	fitness	1	FIT	You can only commit this attribute when interacting with a trail.	Innate	attribute	white_large_square	white_square_button
01004	Trail Mix	earthborne-rangers/core/EarthborneRangers-Core-TrailMix.jpg	player	Gear					FALSE	conflict	0			connection	0	2	2	2	exploration	0	It's a delicious medley of cherry moss pemmican, marbled great beans, starpeas, almonds, and a few surprises.	2 Morsels	harm		Banner & Simonet	Traveler	Core	Core Set		4 of 9		progress			reason	1					Traveler	fitness	2	FIT	<b>Exhaust (use 1 morsel):</b> Choose a Ranger. That Ranger soothes fatigue equal to the number of FIT in their energy pool.	Food / Aid	gear	white_large_square	white_square_button
01005	Reverb Locket	earthborne-rangers/core/EarthborneRangers-Core-ReverbLocket.jpg	player	Gear					FALSE	conflict	0			connection	0	1	2	1	exploration	1		2 Echoes	harm		Banner & Simonet	Traveler	Core	Core Set		6 of 9		progress			reason	0					Traveler	focus	1	FOC	When you play this gear, attach a moment to it from your hand. <b>Exhaust (use 1 echo):</b> Play the attached moment as if it were in your hand. It remains attached to this gear instead of being discarded.	Tech / Expert	gear	white_large_square	white_square_button
01006	Perfect Recall	earthborne-rangers/core/EarthborneRangers-Core-PerfectRecall.jpg	player	Moment					FALSE	conflict	0			connection	0	X	2	0	exploration	1			harm		Wayne O'Connor & Cory DeVore	Traveler	Core	Core Set		5 of 9		progress			reason	0					Traveler	focus	1	FOC	Play a moment from your discard pile without paying its energy cost (X is equal to the chosen moment's cost). This card can be played at the time specified on the chosen moment.	Skill	moment	white_large_square	white_square_button
01007	Adaptable Multitool	earthborne-rangers/core/EarthborneRangers-Core-AdaptableMultitool.jpg	player	Gear					FALSE	conflict	0			connection	0	2	2	2	exploration	0	There's no better companion than a memlev multitool. It's like having an artificer's workshop in the palm of your hand, but not nearly as heavy.	3 Charges	harm		Evan Simonet	Traveler	Core	Core Set		7 of 9		progress			reason	1					Traveler	focus	2	FOC	<b>Exhaust (use 1 charge):</b> Spend 1 energy to gain 1 energy of any type.	Tool / Tech	gear	white_large_square	white_square_button
01008	Ironwool Boots	earthborne-rangers/core/EarthborneRangers-Core-IronwoolBoots.jpg	player	Gear					FALSE	conflict	0			connection	0	1	2	1	exploration	0	Your mother taught you many things as you walked by her side, trekking across the Valley and back, but of all her teachings, none were more useful than this: always wear comfortable shoes.		harm		Evan Simonet	Traveler	Core	Core Set		8 of 9		progress			reason	1					Traveler	spirit	1	SPI	Unique. <b>Response:</b> After you play a moment, soothe 1 fatigue.	Clothing	gear	white_large_square	white_square_button
01009	Meditation Pillow	earthborne-rangers/core/EarthborneRangers-Core-MeditationPillow.jpg	player	Gear					TRUE	conflict	0			connection	1	2	2	2	exploration	0	You feel that quiet meditation is essential to daily life, and that the ability to enjoy moments of stillness is paramount to one's well-being.	3 Sessions	harm		Banner & Simonet	Traveler	Core	Core Set		9 of 9		progress			reason	1					Traveler	spirit	2	SPI	<b>FOC + [connection] (use 1 session): Meditate</b> <i>on your journey</i> to shuffle a number of cards from your fatigue stack into your Ranger deck equal to your effort.	Aid	gear	white_large_square	white_square_button
01010	The Right Tool	earthborne-rangers/core/EarthborneRangers-Core-TheRightTool.jpg	player	Moment					FALSE	conflict	0			connection	1	1	2	0	exploration	0	Your mother taught you how to work with a great number of tools, and from her you gained an intimate knowledge of their function and practical application.		harm		Banner & Simonet	Artisan	Core	Core Set		1 of 9		progress			reason	0					Artisan	awareness	1	AWA	Choose a ranger. That ranger may discard one of their equipped gear to search their ranger deck for a gear and equip it without paying its energy cost.	Wisdom	moment	white_large_square	white_square_button
01011	Pocketed Belt Pouch	earthborne-rangers/core/EarthborneRangers-Core-PocketedBeltPouch.jpg	player	Gear					FALSE	conflict	0			connection	0	1	2	1	exploration	0		3 Pockets	harm		Banner & Simonet	Artisan	Core	Core Set		2 of 9		progress			reason	1					Artisan	awareness	2	AWA	Reduce the equip value of your gear by 1 (to a minimum of 1). <b>AWA + [reason] use 1 pocket: Open</b> <i>your belt pouch and reach inside</i> to search your Ranger deck for a gear and add it to your hand.	Clothing	gear	white_large_square	white_square_button
01012	Universal Power Cells	earthborne-rangers/core/EarthborneRangers-Core-UniversalPowerCells.jpg	player	Attachment					FALSE	conflict	0			connection	0	1	2	1	exploration	0			harm		Rob Laskey	Artisan	Core	Core Set		6 of 9		progress			reason	1					Artisan	focus	1	FOC	Attach to a Ranger's equipped tech. When you play this attachment, add 3 tokens to the attached gear. <b>Response:</b> When this card becomes unattached, discard 3 tokens from the attached gear.	Mod / Tech	attachment	white_large_square	white_square_button
01013	Functional Replica	earthborne-rangers/core/EarthborneRangers-Core-FunctionalReplica.jpg	player	Gear					TRUE	conflict	0			connection	1	2	2	2	exploration	0	So you would discover the artistry in even the simplest of objects, your mentor encouraged you to mimic the work of master craftspeople.	3 Charges	harm		Evan Simonet	Artisan	Core	Core Set		7 of 9		progress			reason	0					Artisan	focus	2	FOC	<b>Exhaust (use 1 charge):</b> Choose a Ranger's equipped gear. Resolve the chosen gear's effect as if you had used a token from it and/or exhausted it.	Tool / Tech	gear	white_large_square	white_square_button
01014	The Mother of Invention	earthborne-rangers/core/EarthborneRangers-Core-TheMotherOfInvention.jpg	player	Moment					FALSE	conflict	0			connection	1	0	2	0	exploration	0	You know that inspiration does not simply come when called. When it strikes, you must act.		harm		Wayne O'Connor & Cory DeVore	Artisan	Core	Core Set		3 of 9		progress			reason	0					Artisan	fitness	1	FIT	Choose an attachment in a Ranger's discard. That Ranger may immediately play that attachment as if it were in their hand.	Wisdom	moment	white_large_square	white_square_button
01015	Moment of Desperation	earthborne-rangers/core/EarthborneRangers-Core-MomentOfDesperation.jpg	player	Moment					FALSE	conflict	0			connection	0	1	2	0	exploration	0	You'll never forget the look on your brother's face we he saw that raccoon out of the corner of his eye, believing it was a bearsloth. You also remember the raccoon, struck by a belt pouch, yet unperturbed.		harm		Wayne O'Connor & Cory DeVore	Artisan	Core	Core Set		4 of 9		progress			reason	1					Artisan	fitness	1	FIT	Discard one of your equipped gear to add [harm] to a being equal to the number of tokens on the discarded gear.	Experience / Weapon	moment	white_large_square	white_square_button
01016	Masterwork	earthborne-rangers/core/EarthborneRangers-Core-Masterwork.jpg	player	Attachment					FALSE	conflict	0			connection	1	2	2	0	exploration	1	During your apprenticeship at the carbon forge, you learned much from Elder Orlin.		harm		Rob Laskey	Artisan	Core	Core Set		5 of 9		progress			reason	0					Artisan	fitness	2	FIT	Attach to a Ranger's equipped gear.  <b>Response:</b> When a Ranger performs a test from the attached gear, commit 1 effort.	Mod / Expert	attachment	white_large_square	white_square_button
01017	Favorite Gear	earthborne-rangers/core/EarthborneRangers-Core-FavoriteGear.jpg	player	Attachment					FALSE	conflict	0			connection	0	1	2	0	exploration	0	When you are at work, you are at peace, and when you work with your favorite gear, you are filled with a deep sense of purpose, fully in the moment and alive.		harm		Rob Laskey	Artisan	Core	Core Set		8 of 9		progress			reason	1					Artisan	spirit	1	SPI	Attach to one of your equipped gear. <b>Response:</b> After you use a token from the attached gear, soothe 1 fatigue.	Mod	attachment	white_large_square	white_square_button
01018	Energized Hiking Greaves	earthborne-rangers/core/EarthborneRangers-Core-EnergizedHikingGreaves.jpg	player	Gear					FALSE	conflict	0			connection	0	2	2	2	exploration	0	You crafted these hiking greaves from dolewood bark, overlaid them with a veneer of forged carbon, then applied a kinesthetic lining as the finishing touch.	3 Buffers	harm		Evan Simonet	Artisan	Core	Core Set		9 of 9		progress			reason	1					Artisan	spirit	2	SPI	<b>Use X buffers:</b> When you perform a test, suffer X fewer fatigue from each card between you and the card with which you are interacting.	Tech / Aid	gear	white_large_square	white_square_button
01019	One Eye Open	earthborne-rangers/core/EarthborneRangers-Core-OneEyeOpen.jpg	player	Moment					FALSE	conflict	0			connection	0	0	2	0	exploration	0	While tending your flock of ironwool sheep, under the sun and moon, you learned the importance of staying alert, even when all seems still.		harm		Wayne O'Connor & Cory DeVore	Shepherd	Core	Core Set		1 of 9		progress			reason	1					Shepherd	awareness	1	AWA	<b>Response:</b> When you rest, exhaust up to one being for each AWA in your energy pool.	Wisdom	moment	white_large_square	white_square_button
01020	Riri the Sparrow Hawk	earthborne-rangers/core/EarthborneRangers-Core-RiriTheSparrowHawk.jpg	player	Being					FALSE	conflict	0			connection	0	2	2	0	exploration	1			harm	1	Chris Beck	Shepherd	Core	Core Set		2 of 9	1	progress			reason	0					Shepherd	awareness	2	AWA	Friendly. Persistent. Unique. <b>Exhaust:</b> Add 1 [harm] to a being within reach. <b>AWA + [reason]: Survey</b> <i>the way ahead to</i> scout path cards equal to your effort, then draw 1 path card.	Companion / Aid	being	white_large_square	white_square_button
01021	A Gentle Nugde	earthborne-rangers/core/EarthborneRangers-Core-AGentleNugde.jpg	player	Moment					TRUE	conflict	0			connection	0	1	2	0	exploration	0	You've spent countless days, year after year, in relative solitude, alone but for your flock. In that time you've learned that any being can be reasoned with. You just need to ask nicely (and put your back into it).		harm		Wayne O'Connor & Cory DeVore	Shepherd	Core	Core Set		3 of 9		progress			reason	1					Shepherd	fitness	1	FIT	Each Ranger may discard 1 [progress] from a being within reach of them to move that being.	Experience	moment	white_large_square	white_square_button
01022	Homeward Bound	earthborne-rangers/core/EarthborneRangers-Core-HomewardBound.jpg	player	Moment					FALSE	conflict	0			connection	1	2	2	0	exploration	0	Your uncle loves to regale any who'll listen with the Tale of the Shepherd and the Relgerbeast. The shepherd in the tale saves his flock not by harming the beast, but by riding it back to the village. It then becomes a valued member of the community, rooting out Scrofs in the field.		harm		Wayne O'Connor & Cory DeVore	Shepherd	Core	Core Set		4 of 9		progress			reason	1					Shepherd	fitness	2	FIT	Move all [progress] from a being to a feature.	Experience	moment	white_large_square	white_square_button
01023	Paratrepsis Whistle	earthborne-rangers/core/EarthborneRangers-Core-ParatrepsisWhistle.jpg	player	Gear					FALSE	conflict	1			connection	0	1	2	1	exploration	0	You were gifted this whistle during a brief summer romance, and each time you blow it, you're reminded of a flower-scented breeze beneath a high, glimmering sun.	3 Calls	harm		Chris Beck	Shepherd	Core	Core Set		5 of 9		progress			reason	0					Shepherd	focus	1	FOC	<b>Exhaust (use 1 call):</b> When a Ranger would suffer an injury by a predator or [harm] would be added to a being, cancel that effect.	Tool / Aid	gear	white_large_square	white_square_button
01024	A Deeper Understanding	earthborne-rangers/core/EarthborneRangers-Core-ADeeperUnderstanding.jpg	player	Moment					FALSE	conflict	0			connection	1	2	2	0	exploration	0	In your solitude, you once observed the wind describing its course across the plain and came to a place of peace. You saw your life as the wind, ephemeral and beautiful, and you were grateful for it.		harm		Wayne O'Connor & Cory DeVore	Shepherd	Core	Core Set		6 of 9		progress			reason	1					Shepherd	focus	2	FOC	Choose a being. Move [progress] from the chosen being to each other card in play, up to 1 [progress] per card.	Wisdom	moment	white_large_square	white_square_button
01025	Healing Touch	earthborne-rangers/core/EarthborneRangers-Core-HealingTouch.jpg	player	Moment					FALSE	conflict	0			connection	1	1	2	0	exploration	0	The spirit speaker of Meadow mentored you in the healing arts of your ancestors. You have never forgotten those lessons.		harm		Wayne O'Connor & Cory DeVore	Shepherd	Core	Core Set		7 of 9		progress			reason	0					Shepherd	spirit	1	SPI	<b>Choose one:</b> Discard 1 [harm] from a being to add 3 [progress] to it. Heal 1 injury from a Ranger.	Skill / Aid	moment	white_large_square	white_square_button
01026	Calming Presence	earthborne-rangers/core/EarthborneRangers-Core-CalmingPresence.jpg	player	Attachment					FALSE	conflict	0			connection	1	1	2	0	exploration	0			harm		Rob Laskey	Shepherd	Core	Core Set		8 of 9		progress			reason	0					Shepherd	spirit	1	SPI	Attach to a predator. Attached card loses the predator trait. <b>Response:</b> Before a challenge effect on the attached card would resolve, you may discard 2 [progress] from it to cancel the effect.	Skill	attachment	white_large_square	white_square_button
01027	Oru the Sheep Dog	earthborne-rangers/core/EarthborneRangers-Core-OruTheSheepDog.jpg	player	Being					TRUE	conflict	0			connection	1	2	2	0	exploration	0			harm	3	Evan Simonet	Shepherd	Core	Core Set		9 of 9	2	progress			reason	0					Shepherd	spirit	2	SPI	Friendly. Persistent. Unique. <b>Exhaust:</b> Move a being and add 2 [progress] to it. <b>FIT + [connection]: Pet</b> <i>your canine companion</i> to ready this being and soothe 1 fatigue.	Companion / Mammal / Expert	being	white_large_square	white_square_button
01028	Green Thumb	earthborne-rangers/core/EarthborneRangers-Core-GreenThumb.jpg	player	Attachment					FALSE	conflict	0			connection	1	1	2	0	exploration	0			harm		Rob Laskey	Forager	Core	Core Set		1 of 9		progress			reason	0					Forager	awareness	1	AWA	Search the path deck and discard for a flora and put it into play with this skill attached. Increase the attached flora's [herm] threshold by 2.	Skill / Expert	attachment	white_large_square	white_square_button
01029	Local Fare	earthborne-rangers/core/EarthborneRangers-Core-LocalFare.jpg	player	Moment					FALSE	conflict	0			connection	0	1	2	0	exploration	1	Your great aunt taught you that when the artilope are in the field, the way through the forest becomes clear.		harm		Wayne O'Connor & Cory DeVore	Forager	Core	Core Set		2 of 9		progress			reason	0					Forager	awareness	1	AWA	<b>Response:</b> When a Ranger performs a test, they may add 1 [harm] to a flora to dodge each being in the same area as that flora.	Experience / Nature	moment	white_large_square	white_square_button
01030	Puffercrawler Spores	earthborne-rangers/core/EarthborneRangers-Core-PuffercrawlerSpores.jpg	player	Attachment					FALSE	conflict	0			connection	0	2	2	0	exploration	0			harm		Evan Simonet	Forager	Core	Core Set		3 of 9		progress			reason	1					Forager	awareness	2	AWA	Attach to any Ranger's equipped gear. <b>Response:</b> When you add [harm] to a being with the attached gear, exhaust that being and attach this card to it. The attached being gains the flora trait.	Nature	attachment	white_large_square	white_square_button
01031	Familiar Ground	earthborne-rangers/core/EarthborneRangers-Core-FamiliarGround.jpg	player	Moment					FALSE	conflict	0			connection	0	1	2	0	exploration	1	During family foraging excursions, your parents would call your attention to subtle passages created by sitka deer. These convenient shortcuts led to many fruit-bearing plants like sunberry brambles and cherry moss.		harm		Wayne O'Connor & Cory DeVore	Forager	Core	Core Set		4 of 9		progress			reason	1					Forager	fitness	1	FIT	Add 1 [harm] to a flora to add 3 [progress] to a trail.	Experience	moment	white_large_square	white_square_button
01032	Carbonforged Trowel	earthborne-rangers/core/EarthborneRangers-Core-CarbonforgedTrowel.jpg	player	Gear					FALSE	conflict	0			connection	0	2	2	2	exploration	1			harm		Trevor Barclay	Forager	Core	Core Set		5 of 9		progress			reason	0					Forager	fitness	2	FIT	<b>SPI + [reason]: Tend</b> <i>to the local plants to</i> add or remove [harm] from a flora equal to your effort. <b>FIT + [conflict]: Strike [2]</b> <i>out with your gardening tool to</i> add 1 [harm] to a being for every 2 effort. If you fail, suffer 1 injury.	Tool / Weapon	gear	white_large_square	white_square_button
01033	Secret Garden	earthborne-rangers/core/EarthborneRangers-Core-SecretGarden.jpg	player	Attachment					FALSE	conflict	0			connection	0	1	2	0	exploration	1	You grew up exploring the Valley's hidden places, where miniature ecologies thrive in the secluded glades, and dolewood stumps shelter life in abundance.		harm		Rob Laskey	Forager	Core	Core Set		6 of 9		progress			reason	0					Forager	focus	1	FOC	Attach to a feature. Attached feature gains the flora trait.	Nature	attachment	white_large_square	white_square_button
01034	Loose-Leaf Tea Kit	earthborne-rangers/core/EarthborneRangers-Core-LooseLeafTeaKit.jpg	player	Gear					FALSE	conflict	0			connection	0	2	2	2	exploration	0		0 Herbs	harm		Trevor Barclay	Forager	Core	Core Set		7 of 9		progress			reason	1					Forager	focus	2	FOC	<b>Response:</b> After you add 1 or more [harm] to a flora, you may add 1 herb to this gear. <b>Exhaust (use 1 herb):</b> Choose a Ranger. That Ranger gains 1 energy of any type.	Food	gear	white_large_square	white_square_button
01035	Nature's Abundance	earthborne-rangers/core/EarthborneRangers-Core-NaturesAbundance.jpg	player	Moment					FALSE	conflict	0			connection	0	1	2	0	exploration	0	Your summers spent sifting sunberries in the shade of the cedars has led to a deep affinity for the freshest of fruits.		harm		Wayne O'Connor & Cory DeVore	Forager	Core	Core Set		8 of 9		progress			reason	1					Forager	spirit	1	SPI	Each Ranger may add 1 [harm] to a flora to soothe 1 fatigue and gain 1 energy of any type. When you add [harm] to a flora in this way, you may not exceed its [harm] threshold.	Experience / Nature	moment	white_large_square	white_square_button
01036	Static Sifter	earthborne-rangers/core/EarthborneRangers-Core-StaticSifter.jpg	player	Gear					FALSE	conflict	0			connection	0	2	2	1	exploration	0	When held near a fruit-bearing plant, the sifter comes to life, crackling with energy as it attracts the plant's ripened bounty.	0 Vittles	harm		Evan Simonet	Forager	Core	Core Set		9 of 9		progress			reason	1					Forager	spirit	2	SPI	<b>Response:</b> After you add 1 or more [harm] to a flora, you may add 1 vittle to this gear. <b>Exhaust (use 1 vittle):</b> Choose a Ranger. That Ranger soothes 2 fatigue.	Tool / Food	gear	white_large_square	white_square_button
01037	Undaunted Seeker	earthborne-rangers/core/EarthborneRangers-Core-UndauntedSeeker.jpg	player	Role					FALSE	conflict	0			connection	0		1	0	exploration	0			harm		Evan Simonet	Explorer	Core	Core Set		1 of 14		progress			reason	0					Explorer	role	0	Role	<b>Exhaust (use 1 morsel):</b> When you perform a test, dodge 1 card.		role	white_large_square	white_square_button
01038	Peerless Pathfinder	earthborne-rangers/core/EarthborneRangers-Core-PeerlessPathfinder.jpg	player	Role					FALSE	conflict	0			connection	0		1	0	exploration	0			harm		Evan Simonet	Explorer	Core	Core Set		2 of 14		progress			reason	0					Explorer	role	0	Role	<b>Exhaust:</b> Move your [ranger] to a feature. That feature fatigues you.		role	white_large_square	white_square_button
01039	A Leaf in the Breeze	earthborne-rangers/core/EarthborneRangers-Core-ALeafInTheBreeze.jpg	player	Moment					FALSE	conflict	0			connection	0	1	2	0	exploration	1	You sense the flow of energy in the life around you and heed its subtle cues as you pass unnoticed along your path.		harm		Wayne O'Connor & Cory DeVore	Explorer	Core	Core Set		3 of 14		progress			reason	0					Explorer	awareness	1	AWA	<b>Response:</b> When you Traverse, dodge up to 3 cards.	Skill	moment	white_large_square	white_square_button
01040	Hydrolens Goggles	earthborne-rangers/core/EarthborneRangers-Core-HydrolensGoggles.jpg	player	Gear					FALSE	conflict	0			connection	1	2	2	1	exploration	0	You depress the applicator, and one small drop of water bubbles and expands to form a single clarifying lens.	3 Drops	harm		Evan Simonet	Explorer	Core	Core Set		4 of 14		progress			reason	0					Explorer	awareness	2	AWA	<b>AWA + [reason] (use 1 drop): Clarify</b> <i>your view of the environment around you</i> to scout path cards equal to your effort, then draw 1 path card.	Clothing / Tech	gear	white_large_square	white_square_button
01041	Share in the Valley's Secrets	earthborne-rangers/core/EarthborneRangers-Core-ShareInTheValleysSecrets.jpg	player	Moment					TRUE	conflict	0			connection	1	3	2	0	exploration	1	Your mentor once took you into the hills beyond Lone Tree, blindfolded, and had you lead the way home in the night, with only the stars to guide you.		harm		Wayne O'Connor & Cory DeVore	Explorer	Core	Core Set		5 of 14		progress			reason	0					Explorer	awareness	3	AWA	Exhaust each obstacle. Suffer fatigue equal to the number of obstacles exhausted this way.	Wisdom	moment	white_large_square	white_square_button
01042	Boundary Sensor	earthborne-rangers/core/EarthborneRangers-Core-BoundarySensor.jpg	player	Gear					FALSE	conflict	0			connection	0	1	2	2	exploration	1	A soft hum briefly emits from the device, and you suddenly feel more confident in your steps, certain of the way forward.	4 Sensors	harm		Evan Simonet	Explorer	Core	Core Set		6 of 14		progress			reason	0					Explorer	fitness	1	FIT	<b>Exhaust (use 1 sensor):</b> When a Ranger performs a <b>Traverse</b> test, commit 1 effort.	Tech	gear	white_large_square	white_square_button
01043	Orlin Hiking Stave	earthborne-rangers/core/EarthborneRangers-Core-OrlinHikingStave.jpg	player	Gear					FALSE	conflict	0			connection	0	2	2	2	exploration	0		3 Strides	harm		Evan Simonet	Explorer	Core	Core Set		7 of 14		progress			reason	1					Explorer	fitness	2	FIT	<b>Exhaust (use 1 stride):</b> Add 1 [progress] to a trail. <b>FIT + [conflict]: Strike [2]</b> <i>out with your walking implement</i> to add 1 [harm] to a being for every 2 effort. If you fail, suffer 1 injury.	Tool / Tech / Weapon	gear	white_large_square	white_square_button
01044	Afforded by Nature	earthborne-rangers/core/EarthborneRangers-Core-AffordedByNature.jpg	player	Moment					TRUE	conflict	0			connection	1	3	2	0	exploration	0	You've learned from experience that sometimes a persistent predator can only be dissuaded from its meal by a faceful of rocks or a decaying log suddenly dropped in its path.		harm		Wayne O'Connor & Cory DeVore	Explorer	Core	Core Set		8 of 14		progress			reason	1					Explorer	fitness	3	FIT	Discard any number of [progress] from a trail to add an equal number of [harm] to a being.	Experience / Weapon	moment	white_large_square	white_square_button
01045	Phonoscopic Headset	earthborne-rangers/core/EarthborneRangers-Core-PhonoscopicHeadset.jpg	player	Gear					FALSE	conflict	0			connection	0	1	2	1	exploration	1	You tap the sensor at your temple, and sight and sound converge to evoke a scene in your mind beyond what your ears and eyes can normally comprehend.		harm		Banner & Simonet	Explorer	Core	Core Set		9 of 14		progress			reason	0					Explorer	focus	1	FOC	<b>Exhaust:</b> When a Ranger scouts, increase the number of cards scouted by 1.	Clothing / Tech	gear	white_large_square	white_square_button
