databaseId	name	imageUrl	cardBack	type	category	set	officialSet	brigade	strength	toughness	class	identifier	rarity	reference	alignment	legality	text	loadGroupId
Pat__Aaron_(Pa)	Aaron (Pa)	redemption/pat/Redemption-Pat-AaronPa.jpg	default	Hero	Hero	Pat	Patriarchs	Green	6	4			Uncommon	Exodus 4:14	Good		May band to Miriam.  Holy of Holies cannot be discarded while Aaron is in play.	playerNDeck
Pri__Aaron_(Pi)	Aaron (Pi)	redemption/pri/Redemption-Pri-AaronPi.jpg	default	Hero	Hero	Pri	Priests	Teal	6	4		Tabernacle High Priest	Uncommon	Exodus 4:14	Good		Protect your Tabernacle Artifacts from evil discard abilities while Aaron remains in play.  May band to Miriam.	playerNDeck
10A__Aaron_and_Miriam's_Dissent_(H)	Aaron and Miriam's Dissent	redemption/10a/Redemption-10A-AaronAndMiriamsDissent.jpg	default	Evil Enhancement	Evil Enhancement	10A	10th Anniversary	Brown	3	3			Deck	Numbers 12:1	Evil		Decrease all O.T. heroes in play by 2/2 until the end of the turn.	playerNDeck
PoC__037-Aaron-Gods-Mediator-R	Aaron, God's Mediator	redemption/poc/Redemption-PoC-AaronGodsMediator.jpg	default	Hero	Hero	PoC	Prophecies of Christ	Teal	7	6		Tabernacle High Priest, Prophet	Rare	Exodus 28:1	Good	Rotation	(Star) Look at the bottom 10 cards of deck: Topdeck an Exodus card or a Dominant. (Hero) May band to an Exodus human or a Tabernacle priest. Cannot be negated.	playerNDeck
L1P__L20-1P-Aaron	Aaron, Moses' Brother (1st Print - L)	redemption/l1p/Redemption-L1P-AaronMosesBrother1stPrintL.jpg	default	Hero	Hero	L1P	L Starter (1st Print)	Clay	6	12		Prophet, Tabernacle High Priest	Starter	Exodus 4:14	Good	Rotation	May band to a generic priest, or you may draw 2.	playerNDeck
L__L20-Aaron	Aaron, Moses' Brother [L]	redemption/l/Redemption-L-AaronMosesBrotherL.jpg	default	Hero	Hero	L	L Starter	Clay	6	12		Prophet, Tabernacle High Priest, Wilderness	Starter	Exodus 4:14	Good	Rotation	May band to a generic priest, or you may draw 2.	playerNDeck
IR__030-Aaron-Peacemaker-R	Aaron, Peacemaker	redemption/ir/Redemption-IR-AaronPeacemaker.jpg	default	Hero	Hero	IR	Israel's Rebellion	Clay/White	12	8		Prophet, Tabernacle High Priest, Wilderness	Rare	Leviticus 8:12	Good	Rotation	You may take a Tabernacle Artifact from deck. May band to Moses or a Tabernacle priest. Cannot be interrupted.	playerNDeck
2E__Aaron's_Rod_(CU)	Aaron's Rod (C)	redemption/2e/Redemption-2E-AaronsRodC.jpg	default	Good Enhancement	Good Enhancement	2E	2nd Edition	Green					Deck	Exodus 7:12	Good		Discard all evil enhancement cards currently in the Field of Battle.  Cannot be negated.	playerNDeck
10A__Aaron's_Rod_(G)	Aaron's Rod (G)	redemption/10a/Redemption-10A-AaronsRodG.jpg	default	Good Enhancement	Good Enhancement	10A	10th Anniversary	Green					Deck	Exodus 7:12	Good		All evil enhancement cards now in play must be discarded. Cannot be prevented, interrupted, or negated.	playerNDeck
Main__Aaron's_Rod_(A)	Aaron's Rod (L)	redemption/main/Redemption-Main-AaronsRodL.jpg	default	Good Enhancement	Good Enhancement	Main	Main	Green					Rare	Exodus 7:12	Good		All evil enhancement cards now in play must be discarded.	playerNDeck
Main UL__Aaron's_Rod_(UL)	Aaron's Rod (UL)	redemption/main-ul/Redemption-MainUL-AaronsRodUL.jpg	default	Good Enhancement	Good Enhancement	Main UL	Main Unlimited	Green					Rare	Exodus 7:12	Good		All evil enhancement cards now in play must be discarded.	playerNDeck
CoW (AB)__CoW_AB_N03-Aarons-Staff-R	Aaron's Staff (CoW AB)	redemption/cow-ab/Redemption-CoWAB-AaronsStaffCoWAB.jpg	default	Artifact	Artifact	CoW (AB)	Cloud of Witnesses (Alternate Border)					Tabernacle, Solomon's Temple, X = # o your Tabernacle Priests	Rare	Hebrews 9:4,6	Neutral	Rotation	Once per turn, if your good Tabernacle Priest enters battle, reveal the top X cards of opponent’s deck: Put Lost Souls in play and discard an evil card. Good Tabernacle Priests cannot be negated.	playerNDeck
CoW__Aarons_Staff_(CoW)	Aaron's Staff (CoW)	redemption/cow/Redemption-CoW-AaronsStaffCoW.jpg	default	Artifact	Artifact	CoW	Cloud of Witnesses					Tabernacle, Solomon's Temple, X=# of your Tabernacle Priests	Rare	Hebrews 9:4	Neutral	Rotation	Once per turn, if your good Tabernacle Priest enters battle, reveal the top X cards of opponent's deck: Put Lost Souls in play and discard an evil card. Good Tabernacle Priests cannot be negated.	playerNDeck
Main__Abaddon_the_Destroyer_(UL)	Abaddon the Destroyer (L)	redemption/main/Redemption-Main-AbaddonTheDestroyerL.jpg	default	Evil Character	Evil Character	Main	Main	Black	10	10			Rare	Revelation 9:11	Evil			playerNDeck
Main UL__Abaddon_the_Destroyer_(UL)	Abaddon the Destroyer (UL)	redemption/main-ul/Redemption-MainUL-AbaddonTheDestroyerUL.jpg	default	Evil Character	Evil Character	Main UL	Main Unlimited	Black	10	10			Rare	Revelation 9:11	Evil			playerNDeck
RoJ (AB)__RoJ_AB_N116-Abaddon-the-Destroyer-R	Abaddon, the Destroyer (RoJ AB)	redemption/roj-ab/Redemption-RoJAB-AbaddonTheDestroyerRoJAB.jpg	default	Evil Character	Evil Character	RoJ (AB)	Revelation of John (Alternate Border)	Orange	10	10	Warrior	Demon, King	Rare	Revelation 9:11	Evil	Rotation	Negate a good or neutral card. You may search deck or Reserve for an evil Fortress or Revelation demon. May band to Locust from the Pit. Cannot be negated.	playerNDeck
RoJ__116-Abaddon-the-Destroyer-R	Abaddon, the Destroyer (RoJ)	redemption/roj/Redemption-RoJ-AbaddonTheDestroyerRoJ.jpg	default	Evil Character	Evil Character	RoJ	Revelation of John	Orange	10	10	Warrior	Demon, King	Rare	Revelation 9:11	Evil	Rotation	Negate a good or neutral card. You may search deck or Reserve for an evil Fortress or Revelation demon. May band to Locust from the Pit. Cannot be negated.	playerNDeck
K1P__K13-1P-Abandoned	Abandoned (1st Print - K)	redemption/k1p/Redemption-K1P-Abandoned1stPrintK.jpg	default	Good/Evil Enhancement	Good/Evil Enhancement	K1P	K Starter (1st Print)	Green/Purple (Pale Green)	4 (0)	0 (4)			Starter	I Samuel 30:11	Neutral	Rotation	Negate a card.	playerNDeck
K__K13-Abandoned	Abandoned [K]	redemption/k/Redemption-K-AbandonedK.jpg	default	Good/Evil Enhancement	Good/Evil Enhancement	K	K Starter	Green/Purple/Pale Green	4 (0)	0 (4)			Starter	I Samuel 30:11	Neutral	Rotation	Negate a card.	playerNDeck
TEC__Abandonment_(EC)	Abandonment (EC)	redemption/tec/Redemption-TEC-AbandonmentEC.jpg	default	Evil Enhancement	Evil Enhancement	TEC	Early Church	Black/Gold	1	1			Rare	Acts 27:20	Evil	Rotation	Withdraw all Heroes in battle. Cannot be negated if more than one Hero is in battle.	playerNDeck
Main__Abandonment_(UL)	Abandonment (L)	redemption/main/Redemption-Main-AbandonmentL.jpg	default	Evil Enhancement	Evil Enhancement	Main	Main	Gold	1	1			Rare	Romans 1:31-32	Evil		Evil Character repels Red Brigade.	playerNDeck
RR__156-Abandonment	Abandonment (Roots)	redemption/rr/Redemption-RR-AbandonmentRoots.jpg	default	Evil Enhancement	Evil Enhancement	RR	Roots	Black	1	5				Acts 27:20	Evil	Rotation	Negate all other cards in battle.	playerNDeck
Main UL__Abandonment_(UL)	Abandonment (UL)	redemption/main-ul/Redemption-MainUL-AbandonmentUL.jpg	default	Evil Enhancement	Evil Enhancement	Main UL	Main Unlimited	Gold	1	1			Rare	Romans 1:31-32	Evil		Evil Character repels Red Brigade.	playerNDeck
FoOF__Abdon_(FF)	Abdon	redemption/foof/Redemption-FoOF-Abdon.jpg	default	Hero	Hero	FoOF	Faith of Our Fathers	Gold	8	4		Judge	Fixed	Judges 12:13	Good		This Hero may use good Enhancements with a Judges reference, regardless of color. Cannot be negated.	playerNDeck
LoC__LoC_232-Abducted-Subjects	Abducted Subjects (LoC)	redemption/loc/Redemption-LoC-AbductedSubjectsLoC.jpg	default	Evil Enhancement	Evil Enhancement	LoC	Lineage of Christ	Crimson	2	4			Common	II Chronicles 28:17	Evil	Rotation	Capture a human (or 2 humans if used by an Edomite) to a player.	playerNDeck
PoC__150-Abed-Nego(Azariah)	Abed-nego (Azariah) (PoC)	redemption/poc/Redemption-PoC-AbedNegoAzariahPoC.jpg	default	Hero	Hero	PoC	Prophecies of Christ	White	5	7	Cloud		Common	Daniel 2:49	Good	Rotation	You may underdeck the top card of deck to topdeck a good Daniel card from Reserve. Protect Lost Souls from evil cards. May band to a Daniel human.	playerNDeck
FoOF__Abednego_(Azariah)_(FF)	Abednego (Azariah)	redemption/foof/Redemption-FoOF-AbednegoAzariah.jpg	default	Hero	Hero	FoOF	Faith of Our Fathers	White	5	7			Fixed	Daniel 2:49	Good		Protect all Heroes from conversion and removal from game. May band to a Hero with a Daniel reference. Cannot be negated by an evil card.	playerNDeck
2E__Abel_(CU)	Abel ( C)	redemption/2e/Redemption-2E-AbelC.jpg	default	Hero	Hero	2E	2nd Edition	Green	6	5			Deck	Genesis 4:4	Good			playerNDeck
CoW (AB)__CoW_AB_N40-Abel	Abel (CoW AB)	redemption/cow-ab/Redemption-CoWAB-AbelCoWAB.jpg	default	Hero	Hero	CoW (AB)	Cloud of Witnesses (Alternate Border)	Blue/Green	4	4	Cloud	Antediluvian, Prophet	Common	Genesis 4:4	Good	Rotation	Negate search abilities on characters and Enhancements. You may discard a good Enhancement from hand to protect Cloud Heroes from special abilities on evil cards (except discard).	playerNDeck
CoW__Abel_(CoW)	Abel (CoW)	redemption/cow/Redemption-CoW-AbelCoW.jpg	default	Hero	Hero	CoW	Cloud of Witnesses	Blue/Green	4	4		Antediluvian, Prophet	Common	Genesis 4:4	Good	Rotation	Negate search abilities on characters and Enhancements. You may discard a good Enhancement from hand to protect Cloud Heroes from special abilities on evil cards (except discard).	playerNDeck
Pri__Abel_(Pi)	Abel (Pi)	redemption/pri/Redemption-Pri-AbelPi.jpg	default	Hero	Hero	Pri	Priests	Green	6	5		Prophet	Uncommon	Genesis 4:4	Good		You may discard a good card from hand to protect Abel from capture and conversion for remainder of the game.  Cannot be negated.	playerNDeck
Pat__Abel's_Sacrifice_(Pa)	Abel's Sacrifice	redemption/pat/Redemption-Pat-AbelsSacrifice.jpg	default	Good Enhancement	Good Enhancement	Pat	Patriarchs	Green					Uncommon	Genesis 4:4	Good		Abel's Sacrifice and all good enhancements played after it this turn may not be interrupted or prevented.	playerNDeck
RR__139-Abeyance	Abeyance (Roots)	redemption/rr/Redemption-RR-AbeyanceRoots.jpg	default	Good Enhancement	Good Enhancement	RR	Roots	White	1	5				Ruth 1:15	Good	Rotation	Reserve all Evil Characters in battle.	playerNDeck
Pri__Abiathar_(Pi)	Abiathar	redemption/pri/Redemption-Pri-Abiathar.jpg	default	Hero	Hero	Pri	Priests	Teal	5	4		Tabernacle High Priest, House of Ithamar	Uncommon	I Samuel 22:20-23	Good		Protect this Hero from discard abilities and remove from game abilities.  Cannot be interrupted.	playerNDeck
K1P__K27-1P-Abiathar	Abiathar (1st Print - K)	redemption/k1p/Redemption-K1P-Abiathar1stPrintK.jpg	default	Hero	Hero	K1P	K Starter (1st Print)	Purple	2	4		House of Ithamar, Tabernacle High Priest	Starter	I Samuel 22:21	Good	Rotation	You may look at a hand or take a good O.T. card from Reserve.	playerNDeck
K__K27-Abiathar	Abiathar [K]	redemption/k/Redemption-K-AbiatharK.jpg	default	Hero	Hero	K	K Starter	Purple	2	4		Tabernacle High Priest, House of Ithamar	Starter	I Samuel 22:21	Good	Rotation	You may look at a hand or take a good O.T. card from Reserve.	playerNDeck
IR__056-Abiathar-the-Survivor	Abiathar, the Survivor	redemption/ir/Redemption-IR-AbiatharTheSurvivor.jpg	default	Hero	Hero	IR	Israel's Rebellion	Clay	3	4		Tabernacle High Priest	Common	I Samuel 22:20	Good	Rotation	Protect O.T. priests from evil discard abilities. May band to a Tabernacle priest, or you may take an O.T. clay Enhancement from Reserve.	playerNDeck
Ki__Abiezer_(Ki)	Abiezer (Ki)	redemption/ki/Redemption-Ki-AbiezerKi.jpg	default	Hero	Hero	Ki	Kings	Blue	7	3	Warrior		Uncommon	I Chronicles 27:12	Good		Hero is immune to Crimson Brigade.	playerNDeck
War__Abiezer_(Wa)	Abiezer (Wa)	redemption/war/Redemption-War-AbiezerWa.jpg	default	Hero	Hero	War	Warriors	Blue	7	3			Uncommon	I Chronicles 27:12	Good		Hero is immune to Crimson Brigade.	playerNDeck
K1P__K29-1P-Abigail	Abigail (1st Print - K)	redemption/k1p/Redemption-K1P-Abigail1stPrintK.jpg	default	Hero	Hero	K1P	K Starter (1st Print)	Purple	9	7		Queen of Israel and Judah	Starter	I Samuel 25:42	Good	Rotation	You may choose an Evil Character to block.	playerNDeck
RoA__Abigail_(RA2)	Abigail (RoA)	redemption/roa/Redemption-RoA-AbigailRoA.jpg	default	Hero	Hero	RoA	Rock of Ages	Purple	4	12		Israelite Royalty, X = # of your O.T. Warrior class Heroes	Fixed	I Samuel 25:32	Good		You may draw X (limit 3). Protect characters in your territory and Lost Souls in opponent's territory from evil cards. May band to David.	playerNDeck
Wom__Abigail_(Wo)	Abigail (Wo)	redemption/wom/Redemption-Wom-AbigailWo.jpg	default	Hero	Hero	Wom	Women	Red	4	7			Common	I Samuel 25:32	Good		All Heroes gain 0/6 when Abigail is in the Field of Battle including this one.	playerNDeck
K__K29-Abigail	Abigail [K]	redemption/k/Redemption-K-AbigailK.jpg	default	Hero	Hero	K	K Starter	Purple	9	7		Queen of Israel and Judah	Starter	I Samuel 25:42	Good	Rotation	You may take a good I Samuel Enhancement from deck.	playerNDeck
2E__Abihu_(C)	Abihu ( C)	redemption/2e/Redemption-2E-AbihuC.jpg	default	Evil Character	Evil Character	2E	2nd Edition	Gray	6	6			Deck	Numbers 3:4	Evil			playerNDeck
Main__Abihu_(UL)	Abihu (L)	redemption/main/Redemption-Main-AbihuL.jpg	default	Evil Character	Evil Character	Main	Main	Gray	6	6			Uncommon	Numbers 3:4	Evil			playerNDeck
Pri__Abihu_(Pi)	Abihu (Pi)	redemption/pri/Redemption-Pri-AbihuPi.jpg	default	Evil Character	Evil Character	Pri	Priests	Gray	6	6		Priest	Uncommon	Numbers 3:4	Evil		If Nadab is in battle, you may remove all cards in battle from the game.	playerNDeck
Main UL__Abihu_(UL)	Abihu (UL)	redemption/main-ul/Redemption-MainUL-AbihuUL.jpg	default	Evil Character	Evil Character	Main UL	Main Unlimited	Gray	6	6			Uncommon	Numbers 3:4	Evil			playerNDeck
IR__107-Abihu-the-Disobedient	Abihu, the Disobedient	redemption/ir/Redemption-IR-AbihuTheDisobedient.jpg	default	Evil Character	Evil Character	IR	Israel's Rebellion	Gray	9	10		Tabernacle Priest, Wilderness	Common	Leviticus 10:1	Evil	Rotation	Protect evil priests from the next good Enhancement played. If 2 or more good brigades are in battle, you may reserve a good card in a territory.	playerNDeck
LoC__LoC_100-Abihud	Abihud, the Progeny / Abihud, the Exilarch (LoC)	redemption/loc/Redemption-LoC-AbihudTheProgenyAbihudTheExilarchLoC.jpg	default	Hero	Hero	LoC	Lineage of Christ	Gold (Gold/Red)	3(10)	2(10)	Star	O.T., Postexilic	Common	Matthew 1:13	Good	Rotation	STAR: Topdeck a gold card from Reserve. TOP: You may banish an evil card from a discard pile to discard an evil card from a Reserve. May band to a meek gold Hero. BOTTOM: Meek	playerNDeck
Pri__Abijah_son_of_Samuel_(Pi)	Abijah, son of Samuel	redemption/pri/Redemption-Pri-AbijahSonOfSamuel.jpg	default	Evil Character	Evil Character	Pri	Priests	Crimson	4	7		Israelite Judge	Uncommon	Exodus 4:14	Evil		Each time opponent plays an Enhancement in battle, you may draw a card.	playerNDeck
LoC__LoC_041-Abijam	Abijah, the Conqueror / Abijam, the Half-Hearted (LoC)	redemption/loc/Redemption-LoC-AbijahTheConquerorAbijamTheHalfHeartedLoC.jpg	default	Hero/Evil Character	Hero	LoC	Lineage of Christ	Purple/Red/Brown	4(3)	3(4)	Warrior	King of Judah (King of Judah, X = # of your meek Lost Souls)	Common	II Chronicles 12:16/II Kings 14:31	Neutral	Rotation	HERO: Take a City. Good weapons cannot be negated while an evil warrior is blocking. EC: If blocking, you may take an idol or evil female from deck or draw X (limit 3).	playerNDeck
Pat__Abimelech_(Pa)	Abimelech (Pa)	redemption/pat/Redemption-Pat-AbimelechPa.jpg	default	Evil Character	Evil Character	Pat	Patriarchs	Gray	5	6			Common	Judges 9:3	Evil		Evil Character repels all Heroes with a Judges reference.	playerNDeck
RoA__Abimelech_(RA2)	Abimelech (RoA)	redemption/roa/Redemption-RoA-AbimelechRoA.jpg	default	Evil Character	Evil Character	RoA	Rock of Ages	Black/Brown	5	3	Warrior	Canaanite King, Israelite Judge	Fixed	Judges 9:3	Evil		If Gideon is in your discard pile, negate and discard an Artifact or single color Site. If you win this battle, you may discard an evil card.	playerNDeck
LoC__LoC_174-Abimelech	Abimelech, King of Gerar (LoC)	redemption/loc/Redemption-LoC-AbimelechKingOfGerarLoC.jpg	default	Evil Character	Evil Character	LoC	Lineage of Christ	Black	2	2	Warrior, Star	Philistine King	Common	Genesis 20:14	Evil	Rotation	STAR: Bounce an Artifact or Site. EC: You may play a Genesis Philistine from deck (or Reserve if a patriarch is in play). May band to a Philistine.	playerNDeck
10A__Abiram_(H)	Abiram	redemption/10a/Redemption-10A-Abiram.jpg	default	Evil Character	Evil Character	10A	10th Anniversary	Brown	5	7			Deck	Numbers 16:12	Evil			playerNDeck
IR__094-Abiram-the-Stubborn	Abiram, the Stubborn	redemption/ir/Redemption-IR-AbiramTheStubborn.jpg	default	Evil Character	Evil Character	IR	Israel's Rebellion	Brown	7	9		Wilderness	Common	Numbers 16:12	Evil	Rotation	You may reserve an O.T. Curse from hand or deck to protect this card from Heroes. May band to an evil wilderness human.	playerNDeck
K1P__K28-1P-Abishai	Abishai (1st Print - K)	redemption/k1p/Redemption-K1P-Abishai1stPrintK.jpg	default	Hero	Hero	K1P	K Starter (1st Print)	Purple	8	11	Warrior		Starter	I Samuel 26:6	Good	Rotation	You may exchange this card with a I Samuel Hero from Reserve or discard pile.	playerNDeck
Ki__Abishai_(Ki)	Abishai (Ki)	redemption/ki/Redemption-Ki-AbishaiKi.jpg	default	Hero	Hero	Ki	Kings	Red	8	8	Warrior		Common	I Chronicles 11:20	Good		Discard Ishbibenob.  May band to any red-brigade warrior class Hero.	playerNDeck
War__Abishai_(Wa)	Abishai (Wa)	redemption/war/Redemption-War-AbishaiWa.jpg	default	Hero	Hero	War	Warriors	Red	8	8			Common	I Chronicles 11:20	Good		May band with Joab and/or Asahel.	playerNDeck
K__K28-Abishai	Abishai [K]	redemption/k/Redemption-K-AbishaiK.jpg	default	Hero	Hero	K	K Starter	Purple	8	11	Warrior	Giant Slayer	Starter	I Samuel 26:6	Good	Rotation	You may exchange this card with a I Samuel Hero from Reserve or discard pile.	playerNDeck
Ki__Abishai's_Spear_(Ki)	Abishai's Spear	redemption/ki/Redemption-Ki-AbishaisSpear.jpg	default	Good Enhancement	Good Enhancement	Ki	Kings	Red	3	2	Weapon		Common	II Samuel 23:18	Good		Protect all red brigade Heroes not in battle from harm.	playerNDeck
Ki__Abner_(Ki)	Abner (Ki)	redemption/ki/Redemption-Ki-AbnerKi.jpg	default	Evil Character	Evil Character	Ki	Kings	Brown	9	8	Warrior	Israelite Commander	Uncommon	I Samuel 14:50	Evil		Character has first strike ability.  Ability cannot be negated unless Joab is in battle.	playerNDeck
Pat__Abner_(Pa)	Abner (Pa)	redemption/pat/Redemption-Pat-AbnerPa.jpg	default	Evil Character	Evil Character	Pat	Patriarchs	Brown	6	4			Uncommon	I Samuel 14:50	Evil			playerNDeck
RR__158-Abner	Abner, the Commander (Roots)	redemption/rr/Redemption-RR-AbnerTheCommanderRoots.jpg	default	Evil Character	Evil Character	RR	Roots	Brown	9	8	Warrior			I Samuel 14:50	Evil	Rotation	Negate a good card. If alone, you may choose an O.T. Hero to attack. Cannot be prevented.	playerNDeck
Ki__Abner's_Spear_(Ki)	Abner's Spear (Ki)	redemption/ki/Redemption-Ki-AbnersSpearKi.jpg	default	Evil Enhancement	Evil Enhancement	Ki	Kings	Brown	3	2	Weapon		Common	II Samuel 2:23	Evil		Holder may discard Abner's Spear to discard a male Hero in battle with abilities of */4 or less.	playerNDeck
War__Abner's_Spear_(Wa)	Abner's Spear (Wa)	redemption/war/Redemption-War-AbnersSpearWa.jpg	default	Evil Enhancement	Evil Enhancement	War	Warriors	Brown	2	4			Common	II Samuel 2:23	Evil			playerNDeck
RoA__Abomination_of_Desolation_(RA)	Abomination of Desolation	redemption/roa/Redemption-RoA-AbominationOfDesolation.jpg	default	Evil Enhancement	Evil Enhancement	RoA	Rock of Ages	Black				False Religious Practice, Limit of one in Territory	Fixed	Daniel 11:31	Evil		If used by a Greek, place in opponent's territory. Each time opponent draws cards (except during draw phase), you may discard a card in that territory except a Lost Soul.	playerNDeck
CoW (AB)__CoW_AB_N66-Abraham-R	Abraham (CoW AB)	redemption/cow-ab/Redemption-CoWAB-AbrahamCoWAB.jpg	default	Hero	Hero	CoW (AB)	Cloud of Witnesses (Alternate Border)	Blue	12	12	Warrior, Cloud	Patriarch, Prophet	Rare	Genesis 17:5	Good	Rotation	Negate opponent’s neutral cards. Search deck for a Genesis 12-24 Hero. May band to a Genesis 12-24 Hero. Cannot be negated.	playerNDeck
CoW__Abraham_(CoW)	Abraham (CoW)	redemption/cow/Redemption-CoW-AbrahamCoW.jpg	default	Hero	Hero	CoW	Cloud of Witnesses	Blue	12	12	Warrior, Cloud	Patriarch, Prophet	Rare	Genesis 17:5	Good	Rotation	Negate opponent's neutral cards. Search deck for a Genesis 12-24 Hero. May band to a Genesis 12-24 Hero. Cannot be negated.	playerNDeck
LoC__LoC_225-Abrahams-Deceit	Abraham’s Deceit (LoC)	redemption/loc/Redemption-LoC-AbrahamsDeceitLoC.jpg	default	Evil Enhancement	Evil Enhancement	LoC	Lineage of Christ	Black	1	1			Common	Genesis 20:11	Evil	Rotation	You may negate and discard a Hero or a good Enhancement.	playerNDeck
Di__Abraham's_Descendant_(Di)	Abraham's Descendant	redemption/di/Redemption-Di-AbrahamsDescendant.jpg	default	Good Enhancement	Good Enhancement	Di	Disciples	Blue	3	3	Territory	Prophesy	Fixed	Genesis 12:3	Good		Interrupt a Curse or Evil Enhancement in play and add it to your hand.  Search each discard pile for a good Enhancement and place them beneath owners' decks.	playerNDeck
LoC__LoC_126-Abrahams-Descendant-R	Abraham's Descendant (LoC)	redemption/loc/Redemption-LoC-AbrahamsDescendantLoC.jpg	default	Good Enhancement	Good Enhancement	LoC	Lineage of Christ	Blue/Red	3	3	Territory, Star		Rare	Genesis 12:3	Good	Rotation	STAR: Reveal hand: If there is no Hero, take one from deck. GE: Negate an evil Enhancement or a Curse. Bounce it or take it. Hero may band to any number of Genesis Heroes.	playerNDeck
