databaseId	name	imageUrl	cardBack	type	packName	set	loadGroupId	corps	price	clash	msType	dockPilot	limited	unique	preemptive
set1_BF_015_The_yangtze_river	The Yangtze River	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TheYangtzeRiver.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	1						
set1_BF_016_The_old_alliance's_space_colony	The Old Alliance's Space Colony	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TheOldAlliancesSpaceColony.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	WG	1						
set1_BF_017_europe_air_force_base	Europe Air Force Base	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-EuropeAirForceBase.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_018_the_treize_fleet	The Treize Fleet	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TheTreizeFleet.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_019_Romefeller_foundation's_hq	Romefeller Foundation's HQ	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-RomefellerFoundationsHQ.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_020_the_lunar_base	The Lunar Base	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TheLunarBase.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_021_South_Pole_base	South Pole Base	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SouthPoleBase.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_022_Under_the_north_russian_sea	Under the North Russian Sea	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-UnderTheNorthRussianSea.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_023_old_space_colony	Old Space Colony	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-OldSpaceColony.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_024_urban_area	Urban Area	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-UrbanArea.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set1_BF_025_C421_space_colony	C421 Space Colony	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-C421SpaceColony.jpg	default	Battlefield	Set 1	set1	playerNSupplyBase	Oz	2						
set2_BF_026_x-18999	X-18999	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-X18999.jpg	default	Battlefield	Set 2	set2	playerNSupplyBase	Oz	3				Y		
set2_BF_027_L1_Colony	L1 Colony	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-L1Colony.jpg	default	Battlefield	Set 2	set2	playerNSupplyBase	WG	3						
set2_BF_028_satellite_mo_111	Satelite MO-III	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-SateliteMOIII.jpg	default	Battlefield	Set 2	set2	playerNSupplyBase	Oz	2						
set2_BF_029_the_gundam_scrap_heap	The Gundam Scrap Heap	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-TheGundamScrapHeap.jpg	default	Battlefield	Set 2	set2	playerNSupplyBase	WG	3						
set2_BF_030_In_the_atmosphere	In the Atmosphere	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-InTheAtmosphere.jpg	default	Battlefield	Set 2	set2	playerNSupplyBase	Oz	2						
set2_BF_031_In_the_satellite's_orbit	In the Satellite's Orbit	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-InTheSatellitesOrbit.jpg	default	Battlefield	Set 2	set2	playerNSupplyBase	WG	3						
set2_BF_032_mariemaia_army_headquarters	Mariemaia Army Headquarters	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-MariemaiaArmyHeadquarters.jpg	default	Battlefield	Set 2	set2	playerNSupplyBase	Oz	2						
set2_BF_033_the_government_general	The Government-General	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-TheGovernmentGeneral.jpg	default	Battlefield	Set 2	set2	playerNSupplyBase	Oz	4						
set3_BF_034_Side_7	Side 7	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-Side7.jpg	default	Battlefield	Set 3	set3	playerNSupplyBase	EF	3						
set3_BF_035_Luna_II	Luna II	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-LunaII.jpg	default	Battlefield	Set 3	set3	playerNSupplyBase	EF	3						
set3_BF_036_jabrow	Jaburo	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-Jaburo.jpg	default	Battlefield	Set 3	set3	playerNSupplyBase	EF	4						
set3_BF_037_North_America	North America	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-NorthAmerica.jpg	default	Battlefield	Set 3	set3	playerNSupplyBase	PZ	3						
set3_BF_038_the_zeon_mining_region	The Zeon Mining Region	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-TheZeonMiningRegion.jpg	default	Battlefield	Set 3	set3	playerNSupplyBase	PZ	3						
set3_BF_039_Odessa	Odessa	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-Odessa.jpg	default	Battlefield	Set 3	set3	playerNSupplyBase	PZ	4						
set1_EV_001_operation_meteor	Operation Meteor	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-OperationMeteor.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	3						
set1_EV_002_shocking_reply	Shocking Reply	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-ShockingReply.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_003_rebel_factor	Rebel Factor	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-RebelFactor.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_004_Support_of_maganac_corps	Support of Maganac Corps	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SupportOfMaganacCorps.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_005_highly_trained_pilot	Highly Trained Pilot	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-HighlyTrainedPilot.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_006_nation_of_total_pacifism	Nation of Total Pacifism	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-NationOfTotalPacifism.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	1						
set1_EV_007_specials	Specials	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Specials.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	3				Y		
set1_EV_008_Romefeller_foundation	Romefeller Foundation	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-RomefellerFoundation.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2				Y		
set1_EV_009_assassination	Assassination	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Assassination.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	3						
set1_EV_010_emergency_escape	Emergency Escape	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-EmergencyEscape.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	1						
set1_EV_011_operation_daybreak	Operation Daybreak	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-OperationDaybreak.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	3						
set1_EV_012_mobile_doll	Mobile Doll	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-MobileDoll.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_013_confinment	Confinement	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Confinement.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_014_space_fortress_barge	Space Fortress Barge	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SpaceFortressBarge.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	3				Y		
set1_EV_015_surrender	Surrender	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Surrender.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_016_covering_fire	Covering Fire	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-CoveringFire.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_017_the_peacecrafts	The Peacecrafts	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-ThePeacecrafts.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_018_High_powered_combat	High Powered Combat	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-HighPoweredCombat.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_019_circus	Circus	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Circus.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_020_part_thieves	Parts Thieves	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-PartsThieves.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	1						
set1_EV_021_time_to_rest	Time to Rest	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TimeToRest.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_022_oz_corps_infiltration	Oz Corps Infiltration	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-OzCorpsInfiltration.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	2						
set1_EV_023_zero_system	Zero System	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-ZeroSystem.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	5				Y		
set1_EV_024_birthday_party	Birthday Party	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-BirthdayParty.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	1						
set1_EV_025_memory_loss	Memory Loss	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-MemoryLoss.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	1						
set1_EV_026_Mercenary	Mercenary	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Mercenary.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	1						
set1_EV_027_Experience_counts	Experience Counts	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-ExperienceCounts.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	3						
set1_EV_028_Training	Training	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Training.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	3						
set1_EV_029_Triumphant_return	Triumphant Return	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TriumphantReturn.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	1						
set1_EV_030_Aftermath	Aftermath	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Aftermath.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	3				Y		
set1_EV_031_Mission_failure	Mission Failure	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-MissionFailure.jpg	default	Event	Set 1	set1	playerNSupplyBase	WG	0						
set1_EV_032_White_fang	White Fang	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-WhiteFang.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	5						
set1_EV_033_the_world_nation_forces	The World Nation Forces	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TheWorldNationForces.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_034_Vanquished	Vanquished	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Vanquished.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	3				Y		
set1_EV_035_message_from_treize_khushrenada	Message From Treize Khushrenada	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-MessageFromTreizeKhushrenada.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_036_Commander	Commander	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Commander.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_037_assassin's_bullet	Assassin's Bullet	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-AssassinsBullet.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_038_Encouragement	Encouragement	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Encouragement.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	1						
set1_EV_039_military_action	Military Action	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-MilitaryAction.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_040_Research_group	Research Group	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-ResearchGroup.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	1						
set1_EV_041_Camouflage	Camouflage	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Camouflage.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_042_loner	Loner	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Loner.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_043_Rose_Essence	Rose Essence	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-RoseEssence.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	1				Y		
set1_EV_044_Decoy	Decoy	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Decoy.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	3						
set1_EV_045_the_alliance_summit	The Alliance Summit	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-TheAllianceSummit.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	4				Y		
set1_EV_046_MD_control_device	MD Control Device	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-MDControlDevice.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	4				Y		
set1_EV_047_single_combat	Single Combat	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SingleCombat.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_048_self-sacrifice	Self-Sacrifice	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SelfSacrifice.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	3				Y		
set1_EV_049_Special_attack_corps	Special Attack Corps	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-SpecialAttackCorps.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_050_M.S._transport	M.S. Transport	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-MSTransport.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	2						
set1_EV_051_Pinned_down	Pinned Down	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-PinnedDown.jpg	default	Event	Set 1	set1	playerNSupplyBase	Oz	0						
set2_EV_052_Preventer	Preventer	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-Preventer.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	1						
set2_EV_053_neo_titanium	Neo Titanium	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-NeoTitanium.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	0				Y		
set2_EV_054_the_anniversary_of_war's_end	The Anniversary of War's End	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-TheAnniversaryOfWarsEnd.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	2						
set2_EV_055_Snatch	Snatch	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-Snatch.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	2						
set2_EV_056_rally_of_mariemaia_army	Rally of Mariemaia Army	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-RallyOfMariemaiaArmy.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	2						
set2_EV_057_Colony_infiltration	Colony Infiltration	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-ColonyInfiltration.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	1						
set2_EV_058_Single_Flower	Single Flower	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-SingleFlower.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	2						
set2_EV_059_Power_Transfer	Power Transfer	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-PowerTransfer.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	2						
set2_EV_060_Heat_Detectors	Heat Detector	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-HeatDetector.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	2						
set2_EV_061_13th_constellation	13th Constellation	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-13thConstellation.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	1						
set2_EV_062_Escape_from_satellite_mo-111	Escape From Satellite MO-III	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-EscapeFromSatelliteMOIII.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	1						
set2_EV_063_Jailbreak	Jailbreak	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-Jailbreak.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	3						
set2_EV_064_Gundam_Recovery	Gundam Recovery	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-GundamRecovery.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	0						
set2_EV_065_Barton_Foundation	Barton Foundation	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-BartonFoundation.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	2						
set2_EV_066_Descending_operation	Descending Operation	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-DescendingOperation.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	3						
set2_EV_067_The_real_operation_meteor	The Real Operation Meteor	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-TheRealOperationMeteor.jpg	default	Event	Set 2	set2	playerNSupplyBase	Oz	3						
set2_EV_068_Blocking	Blocking	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-Blocking.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	3						
set2_EV_069_State_of_emergency	State of Emergency	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-StateOfEmergency.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	3						
set2_EV_070_People's_Action	People's Action	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-PeoplesAction.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	3						
set2_EV_071_The_Pinch	The Pinch	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-ThePinch.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	1						
set2_EV_072_Reformed	Reformed	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-Reformed.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	1						
set2_EV_073_End_of_waltz	End of Waltz	gundam-ms-war-ccg/set-2/GundamMsWarCcg-Set2-EndOfWaltz.jpg	default	Event	Set 2	set2	playerNSupplyBase	WG	6				Y		
set3_EV_074_Operation_V	Operation V	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-OperationV.jpg	default	Event	Set 3	set3	playerNSupplyBase	EF	2						
set3_EV_075_into_the_atmosphere	Into the Atmosphere	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-IntoTheAtmosphere.jpg	default	Event	Set 3	set3	playerNSupplyBase	EF	4						
set3_EV_076_minovsky_particles	Minovsky Particles	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-MinovskyParticles.jpg	default	Event	Set 3	set3	playerNSupplyBase	EF	2						
set3_EV_077_Supply_corps	Supply Corps	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-SupplyCorps.jpg	default	Event	Set 3	set3	playerNSupplyBase	EF	1						
set3_EV_078_Antiaircraft_fire	Antiaircraft Fire	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-AntiaircraftFire.jpg	default	Event	Set 3	set3	playerNSupplyBase	EF	3						
set3_EV_079_mass_production	Mass Production	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-MassProduction.jpg	default	Event	Set 3	set3	playerNSupplyBase	EF	0						
set3_EV_080_the_solar_system	The Solar System	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-TheSolarSystem.jpg	default	Event	Set 3	set3	playerNSupplyBase	EF	5						
set3_EV_081_the_red_comet	The Red Comet	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-TheRedComet.jpg	default	Event	Set 3	set3	playerNSupplyBase	PZ	2						
set3_EV_082_Speech	Speech	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-Speech.jpg	default	Event	Set 3	set3	playerNSupplyBase	PZ	3						
set3_EV_083_Guerrilla_band	Guerrilla Band	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-GuerrillaBand.jpg	default	Event	Set 3	set3	playerNSupplyBase	PZ	3						
set3_EV_084_jet-stream_attack	Jet-Stream Attack	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-JetStreamAttack.jpg	default	Event	Set 3	set3	playerNSupplyBase	PZ	2						
set3_EV_085_Spy	Spy	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-Spy.jpg	default	Event	Set 3	set3	playerNSupplyBase	PZ	2						
set3_EV_086_ma_kube's_tactics	MA Kube's Tactics	gundam-ms-war-ccg/set-3/GundamMsWarCcg-Set3-MAKubesTactics.jpg	default	Event	Set 3	set3	playerNSupplyBase	PZ	3						
set1_MS_001_Wing_Gundam	Wing Gundam-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-WingGundam1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	4	4				Y	
set1_MS_002_Wing_Gundam_Bird_Mode	Wing Gundam (Bird Mode)-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-WingGundamBirdMode1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	3	3				Y	
set1_MS_003_Gundam_Deathscythe	Gundam Deathscythe-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-GundamDeathscythe1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	3	3				Y	
set1_MS_004_Gundam_Heavyarms	Gundam Heavyarms-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-GundamHeavyarms1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	3	3				Y	
set1_MS_005_Gundam_Sandrock	Gundam Sandrock-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-GundamSandrock1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	3	3	Sand			Y	
set1_MS_006_Shenlong_Gundam	Shenlong Gundam-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-ShenlongGundam1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	3	3				Y	
set1_MS_007_Maganac	Maganac-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Maganac1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	3	3	Sand				
set1_MS_008_Maganac	Maganac-2	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Maganac2.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	2	2	Sand				
set1_MS_009_Oliphant	Oliphant	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Oliphant.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	2	3	Sand				
set1_MS_010_Taurus	Taurus-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Taurus1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	3	4					
set1_MS_011_Leo	Leo-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Leo1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	2	2					
set1_MS_012_Peacemillion	Peacemillion	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-Peacemillion.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	WG	2	2				Y	
set1_MS_013_Gundam_Epyon	Gundam Epyon-1	gundam-ms-war-ccg/set-1/GundamMsWarCcg-Set1-GundamEpyon1.jpg	default	Mobile Suits	Set 1	set1	playerNSupplyBase	Oz	6	5				Y	
