databaseId	name	imageUrl	cardBack	type	missionType	affiliation	classification	integrity	cunning	strength	points	span	quadrant	region	icons	uniqueness	keywords	text	lore	rarity	property	packName	set	printing	loadGroupId
voy_haron	Haron	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-Haron.jpg	default	Personnel		Kazon	OFFICER	6	6	8					[Cmd][DQ]		Kazon; Kazon-Relora; Maje; Male;	OFFICER Leadership Exobiology MEDICAL Greed Stellar Cartography	First maje of the powerful Kazon-Relora, blood enemies of the Nistrim. Commands countless soldiers and a vast fleet of ships - including his own Kazon Raider.	146 R	VOY	Voyager	voy	Physical	playerNDeck
voy_harrykim	Harry Kim	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-HarryKim.jpg	default	Personnel		Federation	OFFICER	7	7	6					[DQ][Stf]		Human; Male;	OFFICER Stellar Cartography ENGINEER Music Youth May volunteer for random selections (if applicable).	U.S.S. Voyager operations officer, his first posting out of the Academy. Until then, had never missed calling home every week. Plays reed instruments. Unlucky at love.	120 R	VOY	Voyager	voy	Physical	playerNDeck
ds9_harvestervirus	Harvester Virus	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-HarvesterVirus.jpg	default	Dilemma	[P]												MEDICAL-related dilemma; Virus-related dilemma;	Place on planet. End of every player's turn, one personnel on planet killed (random selection). Cure with 2 MEDICAL, Exobiology and Computer Skill.	Nanobiogenic weapon used by both sides in the T'Lani-Kellerun war. Julian Bashir and Miles O'Brien developed a method for neutralizing the virus using muon frequencies.	R	DS9	Deep Space Nine	ds9	Physical	playerNSeed
ds9_hatecrime	Hate Crime	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-HateCrime.jpg	default	Dilemma	[S/P]										[3]		murder-related dilemma;	Place on a non-Borg personnel who is the only member of its species present (opponent's choice). That personnel may not use any of its skills.	Outraged by a crime on Deep Space 9, Bajorans defaced Odo's security office. The xenophobic vandals were quick to judge the "shifter" simply because he was different.	U	DS9	Deep Space Nine	ds9	Physical	playerNSeed
fc_hawk	Hawk	star-trek-ccg-1e/first-contact/StarTrekCcg1e-FirstContact-Hawk.jpg	default	Personnel		Federation	OFFICER	7	6	7					[Stf]		Human; Male;	OFFICER When aboard, your ship may treat each nebula as if its span were reduced by 1. Navigation x 2	Helm officer of the U.S.S Enterprise-E. Lieutenant Hawk piloted the ship through a temporal vortex. Member of Picard's zero-G assault team.	U	FC	First Contact	fc	Physical	playerNDeck
bog_hazardousduty	Hazardous Duty	star-trek-ccg-1e/blaze-of-glory/StarTrekCcg1e-BlazeOfGlory-HazardousDuty.jpg	default	Dilemma	[S/P]						-5							To get past requires 2 OFFICER; then place on mission until solved. If any non- OFFICER dies here, its owner loses points (discard dilemma).	Jake Sisko was exposed to the horrors of war when caught in the Klingon attack on Ajilon Prime. Not a soldier, he was unprepared for the hazards he faced with the colonists.	C	DS9	Blaze of Glory	bog	Physical	playerNSeed
voy_hazardousdutyvoy	Hazardous Duty (Voyager)	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-HazardousDutyVoyager.jpg	default	Dilemma	[S/P]						-5							To get past requires 2 OFFICER; then place on mission until solved. If any non-OFFICER dies here, its owner loses points (discard dilemma).	Losing a crewman under one's command is one of the most difficult realities an officer must face. The tragic loss of life is significant even to a Vulcan.	12 S	VOY	Voyager	voy	Physical	playerNSeed
borg_twooftwelve	Two of Twelve	star-trek-ccg-1e/the-borg/StarTrekCcg1e-TheBorg-TwoOfTwelve.jpg	default	Personnel		Borg		7	5	5					[Com][DQ]	univ	Borg/Humanoid; Drone;	Archaeology Anthropology Exobiology If present where probing for {Assimilate Planet}, once each turn, you may discard probe card to probe again.	Identification: XENOLOGY DRONE Task: Assess suitability of alien cultures for assimilation. Biological Distinctiveness: Humanoid.	67 C	VOY	The Borg	borg	Physical	playerNDeck
ds9_tykajada	Ty Kajada	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-TyKajada.jpg	default	Personnel		Non-Aligned	OFFICER	7	7	7					[Cmd]	univ	Kobliad; Female; Support Personnel;	OFFICER SECURITY Leadership	Female Kobliad security officer. Representative of law enforcement agents found on non-aligned worlds. Pursued the criminal Rao Vantika for 20 years.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
mm_Type18Shuttlepoda	Type 18 Shuttlepod	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-Type18Shuttlepod.jpg	default	Ship		Federation	Shuttlepod	5	2	4						univ	Federation ship; No staffing requirement; Shuttlecraft;	May report with up to 2 Navigation personnel to your Defiant-class ship.	Small shuttlecraft. One commanded by Benjamin Sisko guided a silithium comet through the Bajoran wormhole.	122 U	DS9	Mirror, Mirror	mm	Physical	playerNDeck
voy_type9shuttlecraft	Type 9 Shuttlecraft	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-Type9Shuttlecraft.jpg	default	Ship		Federation	Shuttlecraft	6	5	5						univ	Federation ship; No staffing requirement;	May report aboard your Intrepid- and Nova-class ships.	Typical shuttlecraft carried aboard Intrepid-class starships. U.S.S. Voyager carries an unusually large compliment.	191 C	VOY	Voyager	voy	Physical	playerNDeck
ds9_USS-Danube	U.S.S. Danube	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-USSDanube.jpg	default	Ship		Federation	Danube Class	7	4	5						univ	Federation ship; No staffing requirement;	Reports for free to {Docking Pads}.	Class of runabout often named for Terran rivers. First commissioned in 2368. The following year, the U.S.S. Enterprise delivered three Danube-class vessels to DS9.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
voy_ussintrepid	U.S.S. Intrepid	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-USSIntrepid.jpg	default	Ship		Federation	Intrepid Class	8	7	8						univ	Federation ship; Holodeck; Prototype; Tractor Beam;	Holodeck, Tractor Beam	Prototype introduced in the early 2370s. Its bio-neural circuits respond faster than optical relays. Average crew complement of 140. Capable of a sustained warp 9.975.	193 C	VOY	Voyager	voy	Physical	playerNDeck
ds9_ulanibelor	Ulani Belor	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-UlaniBelor.jpg	default	Personnel		Cardassian	SCIENCE	6	7	4						univ	Cardassian; Female; Support Personnel;	SCIENCE Physics Stellar Cartography	Representative of Cardassian scientists. Member of Ministry of Science. Worked on subspace radio relay project in 2371 with her associate, Gilora Rejal.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
agt_ST1E-ENAGT025	Uri'lash	star-trek-ccg-1e/agt/StarTrekCcg1e-Agt-Urilash.jpg	default	Personnel		Ferengi	SECURITY	7	6	9					[Stf]	univ	Hupyrian; Bodyguard; Male; Support Personnel;	SECURITY Honor Biology	Typical Hupyrian. Hired by Brunt as a bodyguard during his brief stint as Grand Nagus in 2374.	25 P	DS9	Agt	agt	Physical	playerNDeck
twt_varatidan	Varat'idan	star-trek-ccg-1e/the-trouble-with-tribbles/StarTrekCcg1e-TheTroubleWithTribbles-Varatidan.jpg	default	Personnel		Dominion	SECURITY	6	8	8					[GQ][KW][Stf]	univ	Jem'Hadar; Male; Support Personnel; Terok Nor-related personnel;	SECURITY Astrophysics Geology	Typical Jem'Hadar soldier. Fifth. Assigned to Terok Nor while station was occupied by the Dominion. Drilled in station defense tactics.	53 C	DS9	The Trouble With Tribbles	twt	Physical	playerNDeck
mm_vartoq	Vartoq	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-Vartoq.jpg	default	Personnel		Klingon	OFFICER	5	5	8					[Cmd][KCA][MU]	univ	Klingon; Male; Support Personnel;	OFFICER Biology Transporter Skill	First officer of the Alliance battle cruiser that intercepted Kira and Bashir's runabout when they first crossed over to the mirror universe.	99 C	DS9	Mirror, Mirror	mm	Physical	playerNDeck
ds9_vedeksorad	Vedek Sorad	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-VedekSorad.jpg	default	Personnel		Bajoran	V.I.P.	6	6	5						univ	Bajoran; Deep Space 9-related personnel; Male; Support Personnel; Vedek;	V.I.P. Diplomacy MEDICAL	Bajoran Vedek. Typical member of Vedek Assembly. Accompanied Minister Rozahn to Deep Space 9 in 2370 to deny Skrreean request to settle on Bajor.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
fc_borgqueen	Borg Queen	star-trek-ccg-1e/first-contact/StarTrekCcg1e-FirstContact-BorgQueen.jpg	default	Personnel		Borg		6	12	6					[Com][Def][DQ][Nav]	enig	Borg; Female; Queen;	When reported, selects any skill; may change skill at start of each turn. May download {A Change of Plans} or a Borg drone in place of one card draw.	"I am the beginning; the end; the one who is many. I am the Borg.... I am the collective."	R	FC	First Contact	fc	Physical	playerNDeck
borg_borgqueenborg	Borg Queen (The Borg)	star-trek-ccg-1e/the-borg/StarTrekCcg1e-TheBorg-BorgQueenTheBorg.jpg	default	Personnel		Borg		6	12	6					[Com][Def][DQ][Nav]	enig	Species 125/Borg; Female; Queen;	When reported, selects any skill; may change skill at start of each turn. May download any [BO] Event or Interrupt card in place of your normal card play.	"We all originated from lesser species. I myself came from Species 125. But that's irrelevant now. We are Borg... Our thoughts are one... One order, one voice."	50 R+	VOY	The Borg	borg	Physical	playerNDeck
mm_fontaine	Fontaine	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-Fontaine.jpg	default	Personnel		Non-Aligned	CIVILIAN	3	6	5					[MU][Stf]	enig	Male;	CIVILIAN Navigation Astrophysics MEDICAL Music DL/ Two {disruptors (each must add STRENGTH +2)}.	Enigmatic Terran rebel. In the mirror universe, Vic Fontaine inexplicably fights other Terran rebels. Even more inexplicably, he is not a hologram.	103 R+	DS9	Mirror, Mirror	mm	Physical	playerNDeck
borg_unicomplex	Unicomplex	star-trek-ccg-1e/the-borg/StarTrekCcg1e-TheBorg-Unicomplex.jpg	default	Facility		Borg	Outpost			74					[DQ]	enig		Seeds or plays at any [S] mission with no affiliation icons. Once each turn, {Borg Queen} OR one unique drone OR one unique ship may report for free here.	Identification: BORG UNICOMPLEX Task: Centralize all collective operations. Coordinate.	24 R+	VOY	The Borg	borg	Physical	playerNSeed
mm_alliancegalor	Alliance Galor	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-AllianceGalor.jpg	default	Ship		Cardassian	Galor Class	8	8	8					[KCA][MU]	univ	Cardassian ship; Tractor Beam; Warship;	Tractor Beam	Typical Cardassian warship in the mirror universe. Type 3 designation. Part of the Klingon/Cardassian Alliance fleet. Stationed at Terok Nor.	116 C	DS9	Mirror, Mirror	mm	Physical	playerNDeck
mm_allianceinterceptor	Alliance Interceptor	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-AllianceInterceptor.jpg	default	Ship		Bajoran	Interceptor Class	5+X	8	6					[KCA][MU]	univ	Bajoran ship; Interceptor;	May take off or land once each turn. X=4 if moving within a region.	Bajoran short-range interceptor used in the mirror universe. One of the few military contributions Bajor offers the Klingon/Cardassian Alliance.	114 C	DS9	Mirror, Mirror	mm	Physical	playerNDeck
mm_alliancekvort	Alliance K'Vort	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-AllianceKVort.jpg	default	Ship		Klingon	K'vort Class	8	7	7					[KCA][MU]	univ	Bird-of-Prey; Klingon ship; Tractor Beam;	Tractor Beam	Klingon Bird-of-Prey. Standard patrol and pursuit craft of the Klingon/Cardassian Alliance. One of the most expendable elements of the Regent's fleet.	124 C	DS9	Mirror, Mirror	mm	Physical	playerNDeck
mm_alliancenor	Alliance Nor	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-AllianceNor.jpg	default	Facility		Cardassian	Station		6	30					[KCA][MU]	univ		Seeds or plays at any mission in Mirror Quadrant (except in the Badlands Region). [eDS9] {Ops} may not seed or play on this Nor.	Ore mining and processing station representative of facilities used by the Klingon/Cardassian Alliance.	26 C	DS9	Mirror, Mirror	mm	Physical	playerNSeed
mm_alliancevorcha	Alliance Vor'Cha	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-AllianceVorCha.jpg	default	Ship		Klingon	Vor'cha Class	9	9	8					[KCA][MU]	univ	Klingon ship; Tractor Beam;	Tractor Beam	Fast and powerful battle cruiser. Backbone of the Alliance fleet. Their only weakness is in their targeting systems; they've been known to chase warp shadows.	125 C	DS9	Mirror, Mirror	mm	Physical	playerNDeck
bog_alphaattackship	Alpha Attack Ship	star-trek-ccg-1e/blaze-of-glory/StarTrekCcg1e-BlazeOfGlory-AlphaAttackShip.jpg	default	Ship		Dominion	Attack Ship Class	6	8	9						univ	Dominion ship; Invasive Transporters; Jem'hadar Attack Ship; Jem'Hadar Ship;	May avoid being targeted by {Establish Tractor Lock}. Invasive Transporters	Jem'Hadar attack ship produced at Chin'toka shipyard in Alpha Quadrant. Constructed after enemy forces restricted Dominion access to the Bajoran Wormhole.	U	DS9	Blaze of Glory	bog	Physical	playerNDeck
ds9_amaros	Amaros	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-Amaros.jpg	default	Personnel		Non-Aligned	ENGINEER	6	6	7					[Maq][Stf]	univ	Human; Male; Support Personnel;	ENGINEER Navigation Physics	Maquis terrorist. Cal Hudson's co-pilot. Helped abduct Gul Dukat, blaming him for supplying illegal weapons to Cardassians in the Demilitarized Zone.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
twt_ametalox	Amet'alox	star-trek-ccg-1e/the-trouble-with-tribbles/StarTrekCcg1e-TheTroubleWithTribbles-Ametalox.jpg	default	Personnel		Dominion	SECURITY	7	7	9					[GQ][KW][Stf]	univ	Jem'Hadar; Male; Support Personnel; Terok Nor-related personnel;	SECURITY Transporter Skill Stellar Cartography	Jem'Hadar Fourth. Representative of Dominion troops deployed to hold Terok Nor after its capture near the end of 2373.	49 C	DS9	The Trouble With Tribbles	twt	Physical	playerNDeck
tmp_028analyzeradiation	Analyze Radiation	star-trek-ccg-1e/the-motion-pictures/StarTrekCcg1e-TheMotionPictures-AnalyzeRadiation.jpg	default	Mission	[S]	Federation					25	5	Alpha	Briar Patch Region		univ	Briar Patch Region; Nebula;	Astrophysics + Biology + Navigation Span -2 for all Son'a ships.	Conduct analysis of the metaphasic particles in this nebula.	28 C		The Motion Pictures	tmp	Physical	playerNMissions
ds9_anara	Anara	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-Anara.jpg	default	Personnel		Bajoran	ENGINEER	6	7	4					[Stf]	univ	Bajoran; Deep Space 9-related personnel; Female; Support Personnel;	ENGINEER Physics Transporter Skill	Representative of Bajoran engineering apprentices serving on Deep Space 9. Assisted Miles O'Brien with computer "pup" in 2369.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
borg_angelotassonifed	Angelo Tassoni	star-trek-ccg-1e/the-borg/StarTrekCcg1e-TheBorg-AngeloTassoni.jpg	default	Personnel		Federation/Non-Aligned	SECURITY	5	6	7					[DQ][Stf]	univ	Human; Male; Mission Specialist; U.S.S. Equinox-related personnel;	SECURITY Navigation	One of the U.S.S. Equinox crewmen stripped of rank by Kathryn Janeway upon joining U.S.S. Voyager. Fit in with his new crew without major incident.	68 C	VOY	The Borg	borg	Physical	playerNDeck
borg_angelotassonina	Angelo Tassoni*	star-trek-ccg-1e/the-borg/StarTrekCcg1e-TheBorg-AngeloTassoni-2.jpg	default	Personnel		Non-Aligned/Federation	SECURITY	5	6	7					[DQ][Stf]	univ	Human; Male; Mission Specialist; U.S.S. Equinox-related personnel;	SECURITY Navigation	One of the U.S.S. Equinox crewmen stripped of rank by Kathryn Janeway upon joining U.S.S. Voyager. Fit in with his new crew without major incident.	68 C	VOY	The Borg	borg	Physical	playerNDeck
mm_aramax	Aramax	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-Aramax.jpg	default	Personnel		Cardassian	MEDICAL	4	8	6					[KCA][MU][Stf]	univ	Cardassian; Male; Support Personnel;	MEDICAL SCIENCE Greed	Representative of Cardassians in the mirror universe. Strives to be noticed - without raising the ire of Security Chief Garak. Has done neither thus far.	58 C	DS9	Mirror, Mirror	mm	Physical	playerNDeck
ds9_ari	Ari	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-Ari.jpg	default	Personnel		Cardassian	OFFICER	8	6	6					[Stf]	univ	Cardassian; Dissident; Male;	OFFICER Honor Transporter Skill Computer Skill	Dissident. Typical member of Cardassian underground. Loyal to Ghemor. Helped Kira Nerys escape Obsidian Order in 2371. Has hopes for a better Cardassia.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
ds9_assaultvessel	Assault Vessel	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-AssaultVessel.jpg	default	Ship		Bajoran	Assault Class	8	7	6						univ	Bajoran ship; Tractor Beam;	Tractor Beam	Mainstay of the Bajoran Militia. During the 2370 coup attempt by the Circle, assault vessels commanded by General Krim and Colonel Day invaded Deep Space 9.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
dom_atul	Atul	star-trek-ccg-1e/the-dominion/StarTrekCcg1e-TheDominion-Atul.jpg	default	Personnel		Klingon	SECURITY	4	7	7					[Stf]	univ	Klingon; Deep Space 9-related personnel; Male; Mission Specialist;	SECURITY Klingon Intelligence	Typical Klingon Intelligence specialist. Dispatched to Deep Space 9 with Morka and Bo'rak to investigate Romulan activity.	U	DS9	The Dominion	dom	Physical	playerNDeck
voy_ayalafed	Ayala	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-Ayala.jpg	default	Personnel		Federation/Non-Aligned	SECURITY	7	7	7					[DQ][Maq][Stf]	univ	Human; Male; Mission Specialist;	SECURITY Astrophysics	Versatile Maquis who has served exceptionally aboard U.S.S. Voyager. His many assignments have included tactical, ops, and guarding the brig.	114 C	VOY	Voyager	voy	Physical	playerNDeck
voy_ayalana	Ayala*	star-trek-ccg-1e/voyager/StarTrekCcg1e-Voyager-Ayala-2.jpg	default	Personnel		Non-Aligned/Federation	SECURITY	7	7	7					[DQ][Maq][Stf]	univ	Human; Male; Mission Specialist;	SECURITY Astrophysics	Versatile Maquis who has served exceptionally aboard U.S.S. Voyager. His many assignments have included tactical, ops, and guarding the brig.	114 C	VOY	Voyager	voy	Physical	playerNDeck
dom_azetizan	Azet'izan	star-trek-ccg-1e/the-dominion/StarTrekCcg1e-TheDominion-Azetizan.jpg	default	Personnel		Dominion	OFFICER	7	8	9					[GQ][KW][Stf]	univ	Jem'Hadar; Male; Support Personnel;	OFFICER Leadership Computer Skill	Third serving under Omet'iklan. Representative of Jem'Hadar officers. Participated in eradication of dishonorable Jem'Hadar renegades on Vandros IV.	C	DS9	The Dominion	dom	Physical	playerNDeck
ds9_bajoranfreighter	Bajoran Freighter	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-BajoranFreighter.jpg	default	Ship		Bajoran	Freighter	7	3	6						univ	Bajoran ship;		Typical freighter used by merchants and military. Based on a standard Bajoran hull design. Frequently hauls goods and passengers to Bajoran settlements.	C	DS9	Deep Space Nine	ds9	Physical	playerNDeck
ds9_bajoraninterceptor	Bajoran Interceptor	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-BajoranInterceptor.jpg	default	Ship		Bajoran	Interceptor Class	5+X	7	6						univ	Bajoran ship; Interceptor; No staffing requirement;	May take off or land once each turn. X=4 if moving within a region.	Patrols high orbit of Bajor and surrounding region. Used by the Circle to shoot down a subimpulse raider during the attempted coup of 2370.	U	DS9	Deep Space Nine	ds9	Physical	playerNDeck
twt_BajoranRaidera	Bajoran Raider	star-trek-ccg-1e/the-trouble-with-tribbles/StarTrekCcg1e-TheTroubleWithTribbles-BajoranRaider.jpg	default	Ship		Bajoran	Raider Class	4+X	5	4						univ	Bajoran ship; No staffing requirement;	Once each turn, may report with 2 personnel, take off, or land. X=4 if moving within a region.	Nimble fighter used by the Bajoran resistance during the occupation. Kira Nerys commanded one in 2370.	100 U	DS9	The Trouble With Tribbles	twt	Physical	playerNDeck
ds9_bajoranscoutvessel	Bajoran Scout Vessel	star-trek-ccg-1e/deep-space-nine/StarTrekCcg1e-DeepSpaceNine-BajoranScoutVessel.jpg	default	Ship		Bajoran	Scout Class	8	4	4						univ	Bajoran ship; No staffing requirement; Scout;		Used for scouting and scientific tasks. Bears a resemblance to other Bajoran vessels, although much smaller in size. Tahna Los stole and commanded one.	U	DS9	Deep Space Nine	ds9	Physical	playerNDeck
mm_bajoranwarship	Bajoran Warship	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-BajoranWarship.jpg	default	Ship		Bajoran	Warship Class	10	9	8					[AU]	univ	Bajoran ship; Cloaking Device; Holodeck; Tractor Beam; Warship;	Cloaking Device, Holodeck, Tractor Beam	In a parallel universe, the Bajorans grew increasingly hostile after overthrowing the Cardassian Empire. This massive ship attacked the U.S.S. Enterprise in 2370.	115 R	TNG	Mirror, Mirror	mm	Physical	playerNDeck
bog_batlethtournament	Bat'leth Tournament	star-trek-ccg-1e/blaze-of-glory/StarTrekCcg1e-BlazeOfGlory-BatlethTournament.jpg	default	Mission	[P]	Klingon					25*	3	Alpha			univ		Honor + {any bat'leth} *+10 if bat'leth is {Sword of Kahless}.	Participate in bat'leth competition held at this Klingon settlement.	U		Blaze of Glory	bog	Physical	playerNMissions
mm_battlecruiser	Battle Cruiser	star-trek-ccg-1e/mirror-mirror/StarTrekCcg1e-MirrorMirror-BattleCruiser.jpg	default	Ship		Romulan/Klingon	D-7 Class	6	5	5					[AU][OS]	univ	Cloaking Device; Klingon ship; Romulan ship; Tractor Beam;	Cloaking Device, Tractor Beam DL/ Any [Univ] [OS] Klingon or Romulan	Klingon battle cruiser, circa 2267. Some were provided to the Romulan Star Empire in exchange for cloaking technology. Commander Charvanek captained one.	129 C	TOS	Mirror, Mirror	mm	Physical	playerNDeck
