databaseId	name	subtitle	imageUrl	zoomImageUrl	cardBack	type	packName	set	loadGroupId	faction	rarity	cost	threshold	attack	defense	health	artist	flavour	text
hex-lady-elizabeth-human-cleric	Lady Elizabeth	Human Cleric	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-LadyElizabeth.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-LadyElizabeth.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	4	Diamond	4	4		Steven Stahlberg		Steadfast When Lady Elizabeth deals damage to an opposing champion, summon an Adamanthian Elite.
hex-lionel-flynn-human-rogue	Lionel Flynn	Human Rogue	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-LionelFlynn.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-LionelFlynn.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	2	Ruby	3	1		Justin Gerrard		Inspire - As another troop with cost equal to or greater than #SELF#'s cost enters play under your control, that troop gets +3ATK/+0DEF.
hex-bertram-cragraven-dwarf-warrior	Bertram Cragraven	Dwarf Warrior	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-BertramCragraven.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-BertramCragraven.jpg	default	Troop	AI Only	AI Only	playerNDeck	Underworld	Epic	3	Sapphire	2	4		Jakub Kasper		Deploy - Summon a Worker Bot. Robots you control have +1ATK/+1DEF.
hex-wyatt-the-sapper-dwarf-rogue	Wyatt the Sapper	Dwarf Rogue	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WyattTheSapper.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WyattTheSapper.jpg	default	Troop	AI Only	AI Only	playerNDeck	Underworld	Epic	1	Sapphire	1	1		Zhang Rui		When you play an artifact, draw a card and Wyatt gets +1ATK/+1DEF.
hex-zared-venomscorn-vennen-rogue	Zared Venomscorn	Vennen Rogue	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ZaredVenomscorn.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ZaredVenomscorn.jpg	default	Troop	AI Only	AI Only	playerNDeck	Underworld	Epic	3	Blood	3	3		Concept Art House		When Zared attacks, target opposing troop gets -1ATK/-1DEF. When an opposing troop dies, bury the top three cards of each opposing champion's deck.
hex-monika-shin-shin-hare-ranger	Monika'shin	Shin'hare Ranger	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Monikashin.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Monikashin.jpg	default	Troop	AI Only	AI Only	playerNDeck	Underworld	Epic	3	Wild 2	3	2		Red Hot CG		Swiftstrike, Crush When Monika'shin deals damage to an opposing champion, summon three Battle Hoppers.
hex-kishimoto-shin-hare-cleric	Kishimoto	Shin'hare Cleric	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Kishimoto.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Kishimoto.jpg	default	Troop	AI Only	AI Only	playerNDeck	Underworld	Epic	2	Wild	2	2		Kieran Yanner		Spellshield At the start of your turn, another target troop you control gets +2ATK/+2DEF this turn.
hex-bun-jitsu-shin-hare-warlock	Bun'jitsu	Shin'hare Warlock	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Bunjitsu.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Bunjitsu.jpg	default	Troop	AI Only	AI Only	playerNDeck	Underworld	Epic	4	Blood 2	1	1		Kieran Yanner		Deploy - Void target opposing troop. Summon an Abomination. It gets +ATK/+DEF each equal to the voided troop's ATK and DEF.
hex-poca-the-conflagrater-orc-mage	Poca, The Conflagrater	Orc Mage	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-PocaTheConflagrater.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-PocaTheConflagrater.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	3	Ruby	3	3		Jakub Kasper		Speed At the start of your combat phase, summon a Blaze Elemental.
hex-tetzot-son-of-omoc-orc-warlock	Tetzot, Son of Omoc	Orc Warlock	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-TetzotSonOfOmoc.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-TetzotSonOfOmoc.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	5	Ruby	3	7		Jose Quintella		At the start of your turn, reveal the top ten cards of your deck. Summon a Rock Elemental. It gets +1ATK/+1DEF for each resource revealed this way. Put the revealed cards into your deck.
hex-kranok-orc-warrior	Kranok	Orc Warrior	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Kranok.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Kranok.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	4	Blood 2	4	4		Jakub Kasper		At the start of your turn, Kranok deals 2 damage to you. When Kranok deals damage to a champion, draw a card.
hex-winged-terror-beast	Winged Terror	Beast	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WingedTerror.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WingedTerror.jpg	default	Troop	AI Only	AI Only	playerNDeck		Epic	2	Blood 2	2	1		Space Goat		Flight When this deals damage to an opposing champion, that champion discards a card. Deathcry - Bury the top four cards of each opposing champion's deck.
hex-twisted-conversion	Twisted Conversion		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-TwistedConversion.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-TwistedConversion.jpg	default	Quick Action	AI Only	AI Only	playerNDeck		Epic	3	Blood 3				Space Goat		Target opposing troop gets -1ATK/-1DEF for each card in opposing crypts. Target troop you control gets +1ATK/+1DEF for each card in your crypt.
hex-dread-fiend-horror	Dread Fiend	Horror	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-DreadFiend.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-DreadFiend.jpg	default	Troop	AI Only	AI Only	playerNDeck		Epic	3	Blood 2	0	4		Space Goat		Lifedrain, Rage 4 When an opposing champion plays an action, this deals damage to that champion equal to this troop's ATK.
hex-rite-of-thrygg	Rite of Thrygg		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-RiteOfThrygg.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-RiteOfThrygg.jpg	default	Constant	AI Only	AI Only	playerNDeck		Epic	3	Blood 3				Jake Murray	"Primal of Blood Dragons, Sovereign of the Chasm of Blood, Keeper of the Corelands ... I serve as a vessel of thy will."	At the start of your turn, draw a card. When you play a non-resource card, each opposing champion loses 1 health and gain 1 health.
hex-implode	Implode		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Implode.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Implode.jpg	default	Quick Action	AI Only	AI Only	playerNDeck		Epic	0	Blood				Space Goat		Destroy target non-troop card.
hex-volcanic-behemoth-elemental	Volcanic Behemoth	Elemental	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-VolcanicBehemoth.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-VolcanicBehemoth.jpg	default	Troop	AI Only	AI Only	playerNDeck		Epic	5	Blood 3	6	5				Crush At the start of your turn, bury the top card of each opposing champion's deck. This deals damage to each opposing champion and troop equal to the buried card's cost.
hex-acolyte-of-pain-undead	Acolyte of Pain	Undead	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-AcolyteOfPain.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-AcolyteOfPain.jpg	default	Troop	AI Only	AI Only	playerNDeck		Epic	1	Blood	2	1		Space Goat		Unblockable When this deals damage to an opposing champion, gain a charge.
hex-fahrny-dwarf-mage	Fahrny	Dwarf Mage	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Fahrny.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Fahrny.jpg	default	Troop	AI Only	AI Only	playerNDeck	Underworld	Epic	4	Ruby	5	5		Zoltan Boros		Deploy - This deals damage to target opposing champion or troop equal to the highest cost artifact you control.
hex-inquisitor-thist-vennen-warlock	Inquisitor Thist	Vennen Warlock	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-InquisitorThist.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-InquisitorThist.jpg	default	Troop	AI Only	AI Only	playerNDeck	Underworld	Epic	2	Blood 2	2	2		Santi Casas		Lifedrain When Inquisitor Thist attacks, bury the top five cards of each opposing champion's deck.
hex-web-of-death	Web of Death		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WebOfDeath.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WebOfDeath.jpg	default	Quick Action	AI Only	AI Only	playerNDeck		Epic	3	Blood 2				Santi Casas		Destroy target non-Vennen troop. Then, bury the top five cards of each opposing champion's deck.
hex-lady-valerie-faerie	Lady Valerie	Faerie	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-LadyValerie.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-LadyValerie.jpg	default	Troop	AI Only	AI Only	playerNDeck		Epic	4	Wild 2	2	4		Robb Mommaerts	Born to fey royalty, Lady Valerie's kindness is only exceeded by her ferocity when protecting the ones she loves.	Flight Deploy - Summon two Battle Faeries.
hex-dreamer-s-vision	Dreamer's Vision		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-DreamersVision.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-DreamersVision.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Epic	2	Sapphire				Robb Mommaerts	For those willing to dream, nothing is out of reach.	Create ESC:2 random cards and put them into your hand. Escalation.
hex-battle-faerie-faerie	Battle Faerie	Faerie	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-BattleFaerie.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-BattleFaerie.jpg	default	Troop	AI Only	AI Only	playerNDeck		Land	1	Wild	2	1		Robb Mommaerts	Small in stature, but possessed of enormous savagery.	Flight, Defensive
hex-winter-moon-coyotle-mage	Winter Moon	Coyotle Mage	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WinterMoon.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WinterMoon.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	4	Wild, Sapphire	3	4		Xavier Ribeiro		Deploy - Put each card in your crypt into your deck. Those cards get cost -(2) and "When you play this, draw a card."
hex-dreaming-fox-coyotle-mage	Dreaming Fox	Coyotle Mage	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-DreamingFox.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-DreamingFox.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	3	Sapphire	2	3		Xavier Ribeiro		Flight Deploy - Draw a card for each exhausted opposing troop.
hex-grandfather-elk-coyotle-warlock	Grandfather Elk	Coyotle Warlock	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-GrandfatherElk.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-GrandfatherElk.jpg	default	Troop	AI Only	AI Only	playerNDeck	Aria	Epic	2	Wild	2	2		Xavier Ribeiro		When you play a prophesied card, troops you control get +1ATK/+1DEF.
hex-to-the-king	To The King!		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ToTheKing.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ToTheKing.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Epic	2	Diamond, Sapphire				Michael Komarck		Summon a random troop with Inspire. Draw two cards.
hex-strength-in-numbers	Strength in Numbers		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-StrengthInNumbers.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-StrengthInNumbers.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Epic	2	Wild, Blood				Zoltan Boros		Shin'hare you control get +1ATK/+1DEF. Draw two cards.
hex-relentless-assault	Relentless Assault		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-RelentlessAssault.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-RelentlessAssault.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Epic	2	Ruby, Blood				Filip Acovic		Your Orcs in all zones get Rage 1. Draw two cards.
hex-word-of-xentoth	Word of Xentoth		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WordOfXentoth.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WordOfXentoth.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Epic	2	Sapphire, Blood				Jakub Kasper		Create ten Spiderling Eggs for each opposing champion and put them into their decks. Draw two cards.
hex-ingenuity	Ingenuity		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Ingenuity.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Ingenuity.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Epic	2	Ruby, Sapphire				Pablo Fernandez		Summon a random Plans and summon two Worker Bots. Draw two cards.
hex-boundless-imagination	Boundless Imagination		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-BoundlessImagination.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-BoundlessImagination.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Epic	2	Diamond, Wild, Ruby, Sapphire, Blood				Robb Mommaerts		Draw two cards. Each card transforms into a random other card with the same type.
hex-broodlord-egg-egg	Broodlord Egg	Egg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-BroodlordEgg.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-BroodlordEgg.jpg	default	Artifact	AI Only	AI Only	playerNDeck		Land	0					Hugo Richard		When this enters your hand, put the top card of your deck into your hand. Transform this into a Terrorantula. Put it into play under the arena champion's control. When this enters your crypt, put the top card of your deck into your crypt. Transform this into a Terrorantula. Put it into play under the arena champion's control.
hex-wrath-of-kha	Wrath of Kha		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WrathOfKha.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WrathOfKha.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Epic	2	Diamond, Ruby, Sapphire						Choose one: [bullet] Void target opposing card. [bullet] Deal 5 damage to each opposing champion. [bullet] Draw 3 cards. Then put this into your deck.
hex-annihilix-ode-ender	Annihilix Ode	Ender	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-AnnihilixOde.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-AnnihilixOde.jpg	default	Troop	AI Only	AI Only	playerNDeck		Epic	3	Diamond, Ruby	4	1				Steadfast, Swiftstrike Deploy - Void target opposing non-prismatic card. A random prismatic troop in your hand gets +2ATK/+2DEF.
hex-obliteron-solis-ender	Obliteron Solis	Ender	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ObliteronSolis.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ObliteronSolis.jpg	default	Troop	AI Only	AI Only	playerNDeck		Epic	4	Diamond, Sapphire	3	3				Flight, Shell, Spellshield When this deals combat damage, draw a card. If the drawn card is prismatic, it gets cost -(2).
hex-arena-challenge-banners	Arena Challenge - Banners		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ArenaChallengeBanners.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ArenaChallengeBanners.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Land	0							#IGNORE_CHAIN#Choose one at random: Summon an Arcane Banner; Summon a Burning Banner; Summon a Dread Banner; Summon a Mending Banner; or Summon a Sacred Banner.
hex-arena-challenge-runic	Arena Challenge - Runic		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ArenaChallengeRunic.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ArenaChallengeRunic.jpg	default	Basic Action	AI Only	AI Only	playerNDeck		Land	0							#IGNORE_CHAIN#Actions in all zones get Runic.
hex-candlekin3-elemental	Candlekin3	Elemental	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Candlekin3.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Candlekin3.jpg	default	Troop	AI Only	AI Only	playerNDeck		Land	1	Diamond	5	5		Tatiana Vetrova	With each drop of wax, a candlekin's strength inceases threefold.	
hex-candlekin2-elemental	Candlekin2	Elemental	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Candlekin2.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Candlekin2.jpg	default	Troop	AI Only	AI Only	playerNDeck		Land	1	Diamond	3	3		Tatiana Vetrova	In the heat of battle, candlekin have been known to take on many forms.	
hex-candlekin4-elemental	Candlekin4	Elemental	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Candlekin4.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Candlekin4.jpg	default	Troop	AI Only	AI Only	playerNDeck		Land	1	Diamond	7	7		Tatiana Vetrova		
hex-sigil-of-light	Sigil of Light		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfLight.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfLight.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets "At the start of your turn, put a random artifact, constant, or troop with cost (3) or less from your crypt into play."
hex-sigil-of-darkness	Sigil of Darkness		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfDarkness.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfDarkness.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets "At the start of your turn, each opposing champion sacrifices a card with cost (3) or less."
hex-sigil-of-air	Sigil of Air		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfAir.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfAir.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets "At the start of your turn, a random troop you control gets +2ATK/+2DEF and Flight this turn."
hex-sigil-of-earth	Sigil of Earth		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfEarth.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfEarth.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets "At the start of your turn, troops you control get +1ATK/+1DEF."
hex-sigil-of-water	Sigil of Water		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfWater.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfWater.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets "At the start of your turn, draw a card. Then, choose and discard a card."
hex-sigil-of-fire	Sigil of Fire		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfFire.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SigilOfFire.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets "At the start of your turn, summon a Blaze Elemental."
hex-seek-fortune	Seek Fortune		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SeekFortune.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SeekFortune.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0					Perfect World		Put a random resource from your deck on top of your deck.
hex-seek-adventure	Seek Adventure		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SeekAdventure.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SeekAdventure.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0					Perfect World		Put a random non-resource from your deck on top of your deck.
hex-feralroot-ambusher-beast	Feralroot Ambusher	Beast	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-FeralrootAmbusher.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-FeralrootAmbusher.jpg	default	Troop	AI Only	AI Only	playerNDeck		Epic	2	Wild	2	1		Kirsi Salonen		Speed Must Attack.
hex-venom	Venom		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Venom.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-Venom.jpg	default	Bane	AI Only	AI Only	playerNDeck		Land	0					Ganna Lakisova		When this enters your hand or crypt, put the top card of your deck into that zone. void this. This deals 1 damage to you.
hex-electrifying-death	Electrifying Death		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ElectrifyingDeath.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ElectrifyingDeath.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This deals damage equal to its ATK to each opposing troop.
hex-thunderous-rebirth	Thunderous Rebirth		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ThunderousRebirth.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-ThunderousRebirth.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets +1ATK/+1DEF and cost +(1). Put it into your hand.
hex-smokeclaw-s-grip	Smokeclaw's Grip		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SmokeclawsGrip.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-SmokeclawsGrip.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							Each opposing champion discards two cards.
hex-raker-s-ferocity	Raker's Ferocity		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-RakersFerocity.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-RakersFerocity.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets Speed.
hex-cleanse-the-tombs	Cleanse the Tombs		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-CleanseTheTombs.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-CleanseTheTombs.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							Void each troop in opposing crypts.
hex-take-flight	Take Flight		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-TakeFlight.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-TakeFlight.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets Flight.
hex-witch-s-protection	Witch's Protection		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WitchsProtection.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-WitchsProtection.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							Target troop gets Spellshield this turn.
hex-coralcove-gift	Coralcove Gift		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-CoralcoveGift.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-CoralcoveGift.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							Target card in your hand gets cost -(2).
hex-murmurs-of-xinlurgash	Murmurs of Xinlurgash		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-MurmursOfXinlurgash.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-MurmursOfXinlurgash.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							Bury the top three cards of your deck.
hex-fangs-of-xinlurgash	Fangs of Xinlurgash		hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-FangsOfXinlurgash.jpg	hex-shards-of-fate/ai-only/HexShardsOfFate-AIOnly-FangsOfXinlurgash.jpg	default	Choice	AI Only	AI Only	playerNDeck		Land	0							This gets +3ATK and Unblockable.
