databaseId	name	imageUrl	cardBack	type	subtitle	side	culture	race	twilight	strength	vitality	site	packName	rarity	collInfo	lore	text
19_19	Reaching Tentacle	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-ReachingTentacle.jpg	normal	MINION		Shadow	Moria	Creature	2	4	2	4	Ages End	P	19P19	Frodo felt something seize him by the ankle....	<b>Tentacle</b>. This minion cannot bear possessions. Discard this minion from play if not at a marsh. This minion is strength +1 for each tentacle you can spot.
19_2	Gimli, Opinionated Guide	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-GimliOpinionatedGuide.jpg	normal	COMPANION	Opinionated Guide	Free Peoples	Dwarven	Dwarf	2	6	3		Ages End	P	19P2	If anyone was to ask for my opinion, which I note they're not, I'd say we were taking the long way round.	<b>Fellowship</b>. <b>Damage +1</b>. Each time you play a [dwarven] possession, you may draw a card.
19_20	Strong Tentacle	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-StrongTentacle.jpg	normal	MINION		Shadow	Moria	Creature	3	7	2	4	Ages End	P	19P20	One came wriggling over the threshold....	<b>Tentacle</b>. This minion cannot bear possessions. Discard this minion from play if not at a marsh. This minion is strength +1 for each tentacle you can spot.
19_21	Watcher in the Water, Many-tentacled Creature	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-WatcherInTheWaterManyTentacledCreature.jpg	normal	MINION	Many-tentacled Creature	Shadow	Moria	Creature	4	11	4	4	Ages End	P	19P21	...as if a host of snakes were swimming up....	Discard all other minions (except tentacles). Watcher in the Water cannot bear possessions. The fellowship's current site gains <b>marsh</b>. <b>Shadow:</b> Play a tentacle from your discard pile.
19_22	Pit Troll	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-PitTroll.jpg	normal	MINION		Shadow	Orc	Troll	7	13	4	4	Ages End	P	19P22	Black blood. Flat feet. Scaly skin.	<b>Hunter 2</b>. <helper>(While skirmishing a non-hunter character, this character is strength +2.)</helper> To play, spot an [orc] Orc. When you play this minion, add 2 threats. The Free Peoples player may exert the Ring-bearer to prevent this.
19_23	Troll of the Deep, Cave Troll	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-TrollOfTheDeepCaveTroll.jpg	normal	MINION	Cave Troll	Shadow	Orc	Troll	6	13	3	4	Ages End	P	19P23	Stones to move. Bridges to be rebuilt.	To play, spot an [orc] Orc. <b>Skirmish:</b> Remove a threat to make an [orc] minion strength +2.
19_24	Brought Down from Inside	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-BroughtDownFromInside.jpg	normal	CONDITION		Free Peoples	Rohan		2	1			Ages End	P	19P24	Bring it down! Bring it down! Bring it down!	Bearer must be a [rohan] Man. At the start of each skirmish you may transfer this condition to a [rohan] Man. At the end of each turn, if bearer did not win a skirmish this turn, return this condition to hand.
19_25	Éomer, Éored Captain	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-OmerOredCaptain.jpg	normal	COMPANION	Éored Captain	Free Peoples	Rohan	Man	3	7	3		Ages End	P	19P25	Now is the hour, Riders of Rohan, oaths you have taken! Now, fulfill them all! To Lord and Land!	<b>Valiant</b>. Éomer is strength +2 for each wound on each minion he is skirmishing.
19_26	Éowyn, Lady of the Mark	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-OwynLadyOfTheMark.jpg	normal	COMPANION	Lady of the Mark	Free Peoples	Rohan	Man	2	6	3		Ages End	P	19P26	It's tradition for the women of the court to farewell the men.	<b>Valiant</b>. <b>Fellowship:</b> Play a [rohan] companion with a twilight cost of 3 or more; his or her twilight cost is -1.
19_27	Sauron's Might	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-SauronsMight.jpg	normal	EVENT		Shadow	Sauron		0				Ages End	P	19P27	One by one, the free lands of Middle-earth fell to the power of the Ring.	Remove a Free Peoples culture token to add a threat. When you play this event, you may remove (1) to place this on the bottom of your draw deck instead of in your discard pile.
19_28	Frodo, Little Master	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-FrodoLittleMaster.jpg	normal	COMPANION	Little Master	Free Peoples	Shire	Hobbit	0	3	4		Ages End	P	19P28	We're friends of Gandalf the Grey.	<b>Ring-bearer.</b> <b>Ring-bound</b>. <b>Fellowship</b>. While you cannot spot 4 threats, Shadow cards cannot discard cards from your hand or from the top of your draw deck.
19_29	Merry, Resolute Friend	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-MerryResoluteFriend.jpg	normal	COMPANION	Resolute Friend	Free Peoples	Shire	Hobbit	1	3	4		Ages End	P	19P29	'You can trust us to stick to you through thick and thin – to the bitter end.'	<b>Fellowship</b>. <b>Skirmish:</b> If Merry is not assigned to a skirmish, take 2 [shire] cards from your discard pile and remove them from the game to make a companion strength +2.
19_3	Still Twitching	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-StillTwitching.jpg	normal	CONDITION		Free Peoples	Dwarven		1				Ages End	P	19P3		Bearer must be a [dwarven] companion. Bearer gains <b>hunter 2</b>. Each time bearer wins a skirmish, you may transfer this condition to another [dwarven] companion. At the end of each turn, if bearer did not win a skirmish this turn, discard this condition from play.
19_30	Pippin, Steadfast Friend	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-PippinSteadfastFriend.jpg	normal	COMPANION	Steadfast Friend	Free Peoples	Shire	Hobbit	1	3	4		Ages End	P	19P30	'You must go – and therefore we must, too. Merry and I are coming with you.'	<b>Fellowship</b>. Pippin is strength +1 for each tale you can spot.
19_31	Rabbit Stew	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-RabbitStew.jpg	normal	CONDITION		Free Peoples	Shire		1				Ages End	P	19P31		Bearer must be a [shire] companion. Each time bearer wins a skirmish, you may transfer this condition to a fellowship companion. Each time this condition is transferred to a companion, heal that companion.
19_32	Sam, Loyal Friend	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-SamLoyalFriend.jpg	normal	COMPANION	Loyal Friend	Free Peoples	Shire	Hobbit	2	3	4		Ages End	P	19P32		<b>Ring-bound</b>. <b>Fellowship</b>. While Sam bears The One Ring, he is resistance -4. While you can spot 3 [shire] companions, Sam is strength +2. <b>Response:</b> If Frodo dies, make Sam the <b>Ring-bearer</b>.
19_33	Lurtz, Resilient Captain	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-LurtzResilientCaptain.jpg	normal	MINION	Resilient Captain	Shadow	Uruk-hai	Uruk-hai	7	13	3	5	Ages End	P	19P33	The Uruk-hai leader walked into view on the misty hilltop beneath the dark trees. Hungry for blood.	<b>Archer</b>. <b>Damage +1</b>. <b>Response:</b> If Lurtz is about to take a wound or be exerted, remove (2) (or exert another Uruk-hai) to prevent that wound or exertion.
19_34	In Twilight	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-InTwilight.jpg	normal	CONDITION		Shadow	Wraith		2	2			Ages End	P	19P34	The Nazgûl's true forms were revealed to him, shining like ghostly Kings.	Bearer must be a [wraith] minion. When you play this, you may draw a card. Each time bearer wins a skirmish, you may transfer this condition to another [wraith] minion.
19_35	Úlairë Attëa, Dark Predator	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-LairAttADarkPredator.jpg	normal	MINION	Dark Predator	Shadow	Wraith	Nazgul	6	12	3	3	Ages End	P	19P35	Those that knew the most power as kings were placed in particular ways for the will of Sauron.	<b>Fierce</b>. While you can spot 5 twilight tokens in the twilight pool and another [wraith] card, Úlairë Attëa is strength +3.
19_36	Úlairë Enquëa, Dark Threat	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-LairEnquADarkThreat.jpg	normal	MINION	Dark Threat	Shadow	Wraith	Nazgul	6	11	4	3	Ages End	P	19P36	The Nine Riders were embodiments of Sauron's will, searching all of Middle-earth for his prize.	<b>Fierce</b>. <b>Maneuver:</b> Spot 6 companions and discard a Nazgûl from hand to wound an unbound companion.
19_37	Úlairë Lemenya, Dark Enemy	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-LairLemenyaDarkEnemy.jpg	normal	MINION	Dark Enemy	Shadow	Wraith	Nazgul	4	9	2	3	Ages End	P	19P37	'Do you wish them to find you? They are terrible!'	<b>Fierce</b>. Úlairë Lemenya is strength +1 for each [wraith] possession in your discard pile.
19_38	Úlairë Nertëa, Dark Horseman	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-LairNertADarkHorseman.jpg	normal	MINION	Dark Horseman	Shadow	Wraith	Nazgul	4	9	2	3	Ages End	P	19P38	Some accepted Sauron's gift for glory and a notion of great deeds.	<b>Fierce</b>. When you play Úlairë Nertëa, name a race. The Free Peoples player cannot assign Úlairë Nertëa to skirmish a companion of the named race.
19_39	Úlairë Toldëa, Dark Shadow	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-LairToldADarkShadow.jpg	normal	MINION	Dark Shadow	Shadow	Wraith	Nazgul	6	12	3	3	Ages End	P	19P39	Open, in the name of Mordor!' said a voice thin and menacing.	<b>Fierce</b>. Úlairë Toldëa cannot be assigned to skirmish the same companion in a fierce skirmish that he has already been assigned to this turn.
19_4	That's Two!	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-ThatsTwo.jpg	normal	EVENT		Free Peoples	Dwarven		2				Ages End	P	19P4	Legolas, two already!	Spot Gimli and exert a fellowship companion to have each Shadow player discard one of his or her Shadow cards from play.
19_40	The Witch-king, Dark Lord	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-TheWitchKingDarkLord.jpg	normal	MINION	Dark Lord	Shadow	Wraith	Nazgul	8	14	4	3	Ages End	P	19P40	'A great king and sorcerer he was of old, and now he wields a deadly fear.'	<b>Fierce</b>. <b>Skirmish:</b> Discard a Nazgûl from hand to make The Witch-king strength +1 (or strength +2 if you can spot that discarded Nazgûl).
19_5	Army Long Trained	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-ArmyLongTrained.jpg	normal	CONDITION		Free Peoples	Elven		0	1			Ages End	P	19P5		Bearer must be an [elven] companion. Each time bearer wins a skirmish, you may transfer this condition to another [elven] companion. At the start of the archery phase, you must exert bearer or return this condition to hand.
19_6	Arwen, Royal Maiden	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-ArwenRoyalMaiden.jpg	normal	COMPANION	Royal Maiden	Free Peoples	Elven	Elf	2	6	3		Ages End	P	19P6	I would rather share one lifetime with you than face all the ages of this world alone.	<b>Ranger</b>. While you can spot 2 [elven] followers, each minion skirmishing Arwen is strength -2. <b>Maneuver:</b> Add 3 threats to reconcile your hand.
19_7	Legolas, Skeptical Guide	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-LegolasSkepticalGuide.jpg	normal	COMPANION	Skeptical Guide	Free Peoples	Elven	Elf	2	6	3		Ages End	P	19P7	Have you heard nothing Lord Elrond has said? The Ring must be destroyed!	<b>Fellowship</b>. <b>Archer</b>. <b>Archery:</b> Add two threats to wound a minion; Legolas does not add to the fellowship archery total.
19_8	Gandalf, Wise Guide	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-GandalfWiseGuide.jpg	normal	COMPANION	Wise Guide	Free Peoples	Gandalf	Wizard	4	8	4		Ages End	P	19P8	The Ring yearns above all else to return to the hand of its master. They are one, the Ring and the Dark Lord. Frodo, he must never find it.	<b>Fellowship</b>. <b>Response:</b> If an event is played, exert Gandalf twice to cancel that event.
19_9	Stern Words	lord-of-the-rings-ccg/ages-end/LordOfTheRingsTcg-AgesEnd-SternWords.jpg	normal	CONDITION		Free Peoples	Gandalf		2	2			Ages End	P	19P9		To play, spot a [gandalf] Wizard. Bearer must be a companion. Each time bearer wins a skirmish, you may transfer this condition to another companion. At the end of each turn, return this condition to hand.
5_1	Dunlending Rampager	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-DunlendingRampager.jpg	normal	MINION		Shadow	Dunland	Man	1	9	1	3	Battle of Helm's Deep	U	5U1	To kill and destroy was the mission of the wild hillmen.	When you play this minion, the Free Peoples player may discard 2 cards from hand to discard him.
5_10	Balglin, Elven Warrior	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-BalglinElvenWarrior.jpg	normal	COMPANION	Elven Warrior	Free Peoples	Elven	Elf	2	5	3		Battle of Helm's Deep	U	5U10	He is a strong fighter. He asks for no quarter and gives none.	To play, spot an Elf. While skirmishing a wounded minion, Balglin takes no more than 1 wound during each skirmish phase.
5_100	Grishnákh, Orc Captain	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-GrishnKhOrcCaptain.jpg	normal	MINION	Orc Captain	Shadow	Sauron	Orc	4	11	3	6	Battle of Helm's Deep	R	5R100	'They might agree with me, with Grishnákh....'	<b>Tracker</b>. The site number of each [sauron] Orc is -3. <b>Shadow:</b> Exert Grishnákh twice and spot another [sauron] Orc to draw 3 cards. The Free Peoples player may add 2 burdens to prevent this.
5_101	I'd Make You Squeak	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-IdMakeYouSqueak.jpg	normal	CONDITION		Shadow	Sauron		0				Battle of Helm's Deep	U	5U101	'If I had my way, you'd wish you were dead now.'	To play, exert 2 [sauron] Orcs. Plays to your support area. The Shadow number of each site is +1 for each wound on a Hobbit (limit +3).
5_102	Morannon	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-Morannon.jpg	normal	CONDITION		Shadow	Sauron		0				Battle of Helm's Deep	R	5R102	The black gate of Mordor were called the Morannon.	Plays to your support area. The twilight cost of the first [sauron] Orc played at site 4[T] is -3. <b>Shadow:</b> Spot 2 [sauron] Orcs and discard 4 cards from hand to draw 3 cards. Discard this condition.
5_103	Orc Captain	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-OrcCaptain.jpg	normal	MINION		Shadow	Sauron	Orc	3	9	3	6	Battle of Helm's Deep	R	5R103	...far away from hidden holds and outposts in the hills came answering calls....	When you play this minion, you may spot a [sauron] condition to draw a card for each site you control (limit 3).
5_104	Orc Cutthroat	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-OrcCutthroat.jpg	normal	MINION		Shadow	Sauron	Orc	3	9	3	6	Battle of Helm's Deep	U	5U104	A few Orc casualties were of no concern to him.	<b>Tracker</b>. The site number of each [sauron] Orc is -3. <b>Skirmish:</b> Discard another [sauron] Orc and exert Orc Cutthroat to wound a companion he is skirmishing.
5_105	Orc Fighter	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-OrcFighter.jpg	normal	MINION		Shadow	Sauron	Orc	3	9	3	6	Battle of Helm's Deep	U	5U105	The Orcs of Mordor extended the will of Sauron to control the weak Men of the East.	<b>Regroup:</b> Spot a [sauron] condition and exert this minion to take control of a site.
5_106	Orc Infantry	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-OrcInfantry.jpg	normal	MINION		Shadow	Sauron	Orc	1	5	2	6	Battle of Helm's Deep	C	5C106	Barad-dûr sent Orcs to all corners of Middle-earth.	<b>Regroup:</b> Spot a [sauron] condition and discard this minion to take control of a site.
5_107	Orc Patrol	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-OrcPatrol.jpg	normal	MINION		Shadow	Sauron	Orc	4	11	3	6	Battle of Helm's Deep	U	5U107	Sauron's Orcs ranged far and wide, searching for Baggins and the Ring.	<b>Tracker</b>. The site number of each [sauron] Orc is -3. <b>Maneuver:</b> Exert Orc Patrol twice and spot another [sauron] Orc to discard a condition.
5_108	Orc Pursuer	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-OrcPursuer.jpg	normal	MINION		Shadow	Sauron	Orc	2	6	2	6	Battle of Helm's Deep	C	5C108	'...why not kill them now? They're a cursed nuisance, and we're in a hurry.'	<b>Tracker</b>. The site number of each [sauron] Orc is -1. When you play this minion, you may exert him and remove (2) to draw a card.
5_109	Orc Runner	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-OrcRunner.jpg	normal	MINION		Shadow	Sauron	Orc	2	6	2	6	Battle of Helm's Deep	C	5C109	'There's no time to kill them properly.... No time for play on this trip.'	<b>Tracker</b>. The site number of each [sauron] Orc is -1. When you play this minion, you may exert him and discard 2 cards from hand to draw a card.
5_11	Break the Charge	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-BreakTheCharge.jpg	normal	EVENT		Free Peoples	Elven		2				Battle of Helm's Deep	R	5R11	A storm of white arrows answered the attacking hand of Isengard.	<b>Archery:</b> Exert 3 Elf companions to make the fellowship archery total +2.
5_110	Teeth of Mordor	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-TeethOfMordor.jpg	normal	CONDITION		Shadow	Sauron		1				Battle of Helm's Deep	U	5U110	None could pass the Teeth of Mordor and not feel their bite....	Plays to your support area. <b>Regroup:</b> Spot a [sauron] Orc and remove (3) to stack that minion here. <b>Shadow:</b> Play a [sauron] Orc stacked here as if played from hand.
5_111	Frodo, Master of the Precious	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-FrodoMasterOfThePrecious.jpg	normal	COMPANION	Master of the Precious	Free Peoples	Shire	Hobbit	0	3	4		Battle of Helm's Deep	U	5U111	'We promises, yes I promise!... Good master, good Sméagol, gollum, gollum!'	<b>Ring-bearer (resistance 10).</b> <b>Fellowship:</b> Add a burden to play Sméagol from your discard pile.
5_112	No Help for It	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-NoHelpForIt.jpg	normal	EVENT		Free Peoples	Shire		0				Battle of Helm's Deep	R	5R112	'...he'll come back, you'll see. The promise will hold yet a while. And he won't leave his Precious, anyway.'	<b>Regroup:</b> Spot Sam and discard Sméagol or Gollum to remove 3 burdens.
5_113	No Use That Way	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-NoUseThatWay.jpg	normal	EVENT		Free Peoples	Shire		0				Battle of Helm's Deep	R	5R113	'Don't take the Precious to Him!... Keep it, nice master, and be kind to Sméagol.'	<b>Skirmish:</b> Add 3 burdens to wound a minion skirmishing a companion who has the Frodo signet twice.
5_114	Rare Good Ballast	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-RareGoodBallast.jpg	normal	CONDITION		Free Peoples	Shire		1		1		Battle of Helm's Deep	U	5U114	'What a hobbit needs with coney... is some herbs and roots, especially taters – not to mention bread.'	Plays on Sam. <b>Response:</b> If a regroup special ability is used, discard Sméagol or Gollum to cancel that action.
5_115	Sam, Nice Sensible Hobbit	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-SamNiceSensibleHobbit.jpg	normal	COMPANION	Nice Sensible Hobbit	Free Peoples	Shire	Hobbit	2	3	4		Battle of Helm's Deep	U	5U115	'Trust Sméagol now? Very, very good.'	<b>Ring-bound</b>. While you can spot Frodo and Sméagol, Sam may not be overwhelmed unless his strength is tripled. <b>Response:</b> If Frodo is killed, make Sam the <b>Ring-bearer (resistance 5)</b>.
5_116	Sting, Baggins Heirloom	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-StingBagginsHeirloom.jpg	normal	POSSESSION	Baggins Heirloom	Free Peoples	Shire		1	2			Battle of Helm's Deep	R	5R116	'This is Sting. You have seen it before once upon a time.'	Bearer must be Frodo. <b>Skirmish:</b> Exert Frodo to make Sméagol strength +2 or Gollum strength -2.
5_117	You Must Help Us	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-YouMustHelpUs.jpg	normal	EVENT		Free Peoples	Shire		0				Battle of Helm's Deep	C	5C117	'You will have to come with us, that's all, while we keep an eye on you.'	<b>Fellowship:</b> Play Sméagol from your discard pile to heal each Ring-bound Hobbit twice.
5_118	Hornburg Wall	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-HornburgWall.jpg	normal	SITE					6			7	Battle of Helm's Deep	U	5U118		<b>Regroup:</b> Spot your minion and remove (9) to make the fellowship move again this turn (if the move limit allows).
5_119	Nan Curunír	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-NanCurunR.jpg	normal	SITE					8			8	Battle of Helm's Deep	U	5U119		<b>Plains</b>. <b>Response:</b> If your mounted minion is about to take a wound, remove (2) to prevent that wound.
5_12	Legolas' Sword	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-LegolasSword.jpg	normal	POSSESSION		Free Peoples	Elven		1	1			Battle of Helm's Deep	U	5U12	Legolas wielded a longsword to strike from horseback.	Bearer must be Legolas. Each time the fellowship moves, you may spot a wounded minion to heal Legolas.
5_120	Caverns of Isengard	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-CavernsOfIsengard.jpg	normal	SITE					9			9	Battle of Helm's Deep	U	5U120		<b>Underground</b>. The Free Peoples player wins the game only if the Ring-bearer survives until Shadow players reconcile.
5_121	Legolas, Archer of Mirkwood	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-LegolasArcherOfMirkwood.jpg	normal	COMPANION	Archer of Mirkwood	Free Peoples	Elven	Elf	2	6	3		Battle of Helm's Deep	P	5P121	'...even more would I give for a hundred good archers of Mirkwood. We shall need them.'	<b>Archer</b>. Each time Legolas wins a skirmish, you may heal a Dwarf companion or another Elf companion.
5_122	Éowyn, Daughter of Éomund	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-OwynDaughterOfOmund.jpg	normal	COMPANION	Daughter of Éomund	Free Peoples	Rohan	Man	2	6	3		Battle of Helm's Deep	P	5P122	'Let the heralds announce to the folk that Lady Éowyn will lead them!'	<b>Valiant</b>. <b>Maneuver:</b> Play a [rohan] possession on Éowyn to heal her.
5_13	Taurnil, Sharp-eyed Bowman	lord-of-the-rings-ccg/battle-of-helms-deep/LordOfTheRingsTcg-BattleOfHelmsDeep-TaurnilSharpEyedBowman.jpg	normal	COMPANION	Sharp-eyed Bowman	Free Peoples	Elven	Elf	2	6	3		Battle of Helm's Deep	U	5U13	Taurnil's careful aim can disarm his enemies at long range.	To play, spot an Elf. While Taurnil bears a ranged weapon, the twilight cost of each Shadow possession is +2, and he does not add to the fellowship archery total.
