databaseId	name	imageUrl	cardBack	type	category	clan	group	capacity	discipline	poolCost	bloodCost	set	rarity	text	loadGroupId
abebeg4	Abebe	vampire-the-eternal-struggle/httb/Vtes-HttB-Abebe.jpg	crypt	Vampire	Vampire	Samedi	4	4	nec obf thn			HttB	LoB:U, HttB:PSam	Independent.	playerNCrypt
abidbinhajischolarofmirrorsg6	Abid bin Haji, Scholar of Mirrors	vampire-the-eternal-struggle/tu/Vtes-TU-AbidBinHajiScholarOfMirrors.jpg	crypt	Vampire	Vampire	Banu Haqim	6	7	AUS CEL OBF QUI			TU	TU:C/A2	Camarilla: Blood cursed.	playerNCrypt
abikug4	Abiku	vampire-the-eternal-struggle/ek/Vtes-EK-Abiku.jpg	crypt	Vampire	Vampire	Osebo	4	6	cel obt AUS POT			EK	EK:U	Laibon: Abiku gets +1 stealth when hunting.	playerNCrypt
abrahamdusableg6	Abraham DuSable	vampire-the-eternal-struggle/nb/Vtes-NB-AbrahamDuSable.jpg	crypt	Vampire	Vampire	Tremere	6	8	AUS DOM FOR THA			NB	NB:PTr1	Camarilla: During an action, Abraham can discard a card requiring Blood Sorcery [tha] to get +1 intercept or +1 stealth.	playerNCrypt
abrahammellong6	Abraham Mellon	vampire-the-eternal-struggle/fol/Vtes-FoL-AbrahamMellon.jpg	crypt	Vampire	Vampire	Malkavian	6	8	for tha AUS DOM OBF			FoL	FoL:2	Camarilla: Abraham can play cards requiring a Tremere as if he were a Tremere. While he is ready, you get +1 hand size.	playerNCrypt
abunuwasig4	Abu Nuwasi	vampire-the-eternal-struggle/ek/Vtes-EK-AbuNuwasi.jpg	crypt	Vampire	Vampire	Ishtarri	4	3	cel for			EK	EK:U	Laibon.	playerNCrypt
accorrigiovannig5	Accorri Giovanni	vampire-the-eternal-struggle/lotn/Vtes-LotN-AccorriGiovanni.jpg	crypt	Vampire	Vampire	Giovanni	5	6	ani nec DOM POT			LotN	LotN:U, POD:DTC	Independent.	playerNCrypt
adanadesforzag4	Adana de Sforza	vampire-the-eternal-struggle/kotr/Vtes-KoTR-AdanaDeSforza.jpg	crypt	Vampire	Vampire	Brujah	4	11	aus CEL OBF POT PRE PRO			KoTR	KoT:PB2/A2	Camarilla Brujah Inner Circle: Combat cards cost Adana 1 fewer blood. +2 bleed.	playerNCrypt
adelaidedavisg3	Adelaide Davis	vampire-the-eternal-struggle/bsc/Vtes-BSC-AdelaideDavis.jpg	crypt	Vampire	Vampire	Malkavian	3	4	aus dem obf			BSC	CE:V, BSC:X	Camarilla.	playerNCrypt
adelinodasilvag6	Adelino Da Silva	vampire-the-eternal-struggle/fol/Vtes-FoL-AdelinoDaSilva.jpg	crypt	Vampire	Vampire	Brujah	6	5	cel pot pre tha			FoL	FoL:2	Camarilla: Rescuing an older vampire from torpor costs Adelino -2 blood.	playerNCrypt
adhiambog4	Adhiambo	vampire-the-eternal-struggle/lob/Vtes-LoB-Adhiambo.jpg	crypt	Vampire	Vampire	Tzimisce	4	6	pot ANI VIC			LoB	LoB:U, POD:DTC	Laibon: Adhiambo gets +1 stealth during actions to equip with a weapon card from your hand and actions to enter combat with a minion.	playerNCrypt
adisag6	Adisa	vampire-the-eternal-struggle/fol/Vtes-FoL-Adisa.jpg	crypt	Vampire	Vampire	Banu Haqim	6	3	cel obf			FoL	FoL:2	Camarilla: Adisa can enter combat with an ally or younger vampire as a (D) action. If she successfully hunts, she does not unlock as normal during her next unlock phase.	playerNCrypt
adonaig2	Adonai	vampire-the-eternal-struggle/bl/Vtes-BL-Adonai.jpg	crypt	Vampire	Vampire	Salubri antitribu	2	7	for AUS VAL			BL	BL:U1	Sabbat: Adonai can enter combat with any ready Camarilla vampire controlled by another Methuselah as a (D) action. He gets +1 strength when in combat with a Tremere. +1 bleed.	playerNCrypt
adritheseekerg6	Adri, The Seeker	vampire-the-eternal-struggle/tu/Vtes-TU-AdriTheSeeker.jpg	crypt	Vampire	Vampire	Ravnos	6	2	for			TU	TU:C/A2	Independent: Adri gets +1 intercept against Followers of Set.	playerNCrypt
adrianneg1	Adrianne	vampire-the-eternal-struggle/tenth/Vtes-Tenth-Adrianne.jpg	crypt	Vampire	Vampire	Toreador	1	6	aus cel pot pre			Tenth	Jyhad:V, VTES:V, Tenth:B	Camarilla: +1 bleed.	playerNCrypt
adrinomanauarag6	Adrino Manauara	vampire-the-eternal-struggle/v5c/Vtes-V5C-AdrinoManauara.jpg	crypt	Vampire	Vampire	Tzimisce	6	8	pot ANI DOM PRO			V5C	V5C:PTz2	Anarch Baron of Manaus: Adrino gets 1 press (mandatory) each combat, only usable to continue combat.	playerNCrypt
aelswiththeirresistibleg6	Aelswith, The Irresistible	vampire-the-eternal-struggle/sv5/Vtes-SV5-AelswithTheIrresistible.jpg	crypt	Vampire	Vampire	Malkavian	6	9	pot AUS DOM FOR OBF			SV5	SV5:PCathari1	Sabbat cardinal: If Aelswith is blocked, the blocking minion's controller burns 1 pool before block resolution.	playerNCrypt
aerong3	Aeron	vampire-the-eternal-struggle/gehenna/Vtes-Gehenna-Aeron.jpg	crypt	Vampire	Vampire	Nosferatu antitribu	3	9	aus pro ANI OBF POT			Gehenna	Gehenna:U	Sabbat Archbishop of London: Minions opposing Aeron in combat take an additional point of damage during strike resolution if the range is close. Once each combat, Aeron may burn a blood for a press.	playerNCrypt
afifatheheraldg4	Afifa, The Herald	vampire-the-eternal-struggle/gehenna/Vtes-Gehenna-AfifaTheHerald.jpg	crypt	Vampire	Vampire	Caitiff	4	1	dom			Gehenna	Gehenna:U	Camarilla: When you put a Gehenna card in play, your prey burns 1 pool. If you do not put a Gehenna card in play during your discard phase, a ready vampire you control other than Afifa burns 1 blood, or you burn 1 pool.	playerNCrypt
agaitasthescholarofantiquitiesg2	Agaitas, The Scholar of Antiquities	vampire-the-eternal-struggle/bl/Vtes-BL-AgaitasTheScholarOfAntiquities.jpg	crypt	Vampire	Vampire	Harbinger of Skulls	2	6	for AUS NEC			BL	BL:U2	Sabbat: When you play a card, you may draw its replacement from your prey's library instead of your own. Put the card drawn face-up in front of you. It is still considered to be in your hand, to be played or discarded as normal.	playerNCrypt
agathag2	Agatha	vampire-the-eternal-struggle/sw/Vtes-SW-Agatha.jpg	crypt	Vampire	Vampire	Nosferatu antitribu	2	4	obf POT			SW	Sabbat:V, SW:U	Sabbat.	playerNCrypt
agig6	Agi	vampire-the-eternal-struggle/lk/Vtes-LK-Agi.jpg	crypt	Vampire	Vampire	Blood Brother	6	6	FOR SAN VIC			LK	LK:2	Sabbat: Cards requiring Sanguinus [san] cost Agi 1 fewer blood. Budapest circle. Sterile.	playerNCrypt
agnieszkatempteroflegionsg6	Agnieszka, Tempter of Legions	vampire-the-eternal-struggle/sv5/Vtes-SV5-AgnieszkaTempterOfLegions.jpg	crypt	Vampire	Vampire	Ministry	6	10	for pot AUS OBF PRE PRO			SV5	SV5:PCathari1	Sabbat Archbishop of Gdansk: Agnieszka can burn 1 blood to strike: combat ends. +1 bleed.	playerNCrypt
agrippinag1	Agrippina	vampire-the-eternal-struggle/tenth/Vtes-Tenth-Agrippina.jpg	crypt	Vampire	Vampire	Nosferatu	1	4	pot OBF			Tenth	Jyhad:V, VTES:V, Tenth:A	Camarilla.	playerNCrypt
agrukaberag4	Agru Kabera	vampire-the-eternal-struggle/lob/Vtes-LoB-AgruKabera.jpg	crypt	Vampire	Vampire	Ishtarri	4	6	cel nec pre FOR			LoB	LoB:U	Laibon: +1 bleed.	playerNCrypt
ahmosechambersg5	Ahmose Chambers	vampire-the-eternal-struggle/lotn/Vtes-LotN-AhmoseChambers.jpg	crypt	Vampire	Vampire	Ministry	5	3	obf ser			LotN	LotN:U, POD:DTC	Independent.	playerNCrypt
aidanlyleg5	Aidan Lyle	vampire-the-eternal-struggle/fb/Vtes-FB-AidanLyle.jpg	crypt	Vampire	Vampire	Tremere	5	7	dom AUS CHI THA			FB	KoT:V/B1, FB:PTr1	Camarilla: Aidan gets 1 optional press each combat.	playerNCrypt
aimeelarouxg4	Aimee Laroux	vampire-the-eternal-struggle/lob/Vtes-LoB-AimeeLaroux.jpg	crypt	Vampire	Vampire	Daughter of Cacophony	4	2	for pre			LoB	LoB:U, POD:DTC	Independent: You can burn 1 pool and use 4 transfers to give Aimee +1 level of Melpominee [mel]. She cannot play reaction cards.	playerNCrypt
aimerymethuing5	Aimery Methuin	vampire-the-eternal-struggle/dm/Vtes-DM-AimeryMethuin.jpg	crypt	Vampire	Vampire	Ventrue antitribu	5	7	ani pot AUS DOM FOR			DM	DM:C/2	Sabbat: Younger Camarilla vampires get -1 intercept against Aimery.	playerNCrypt
aintzanearriagag6	Aintzane Arriaga	vampire-the-eternal-struggle/v5/Vtes-V5-AintzaneArriaga.jpg	crypt	Vampire	Vampire	Lasombra	6	6	DOM OBL POT			V5	V5:PL1	Camarilla.	playerNCrypt
aisataswanoug5	Aisata Swanou	vampire-the-eternal-struggle/ek/Vtes-EK-AisataSwanou.jpg	crypt	Vampire	Vampire	Akunanse	5	7	abo ANI FOR VIC			EK	EK:U	Laibon: During your master phase, you may draw a card and move a card from your hand to either your ash heap or the top of your library.	playerNCrypt
aishag2	Aisha	vampire-the-eternal-struggle/fn/Vtes-FN-Aisha.jpg	crypt	Vampire	Vampire	Ministry	2	6	ani aus ser PRE			FN	AH:V3, FN:PS1, POD:DTC	Independent: Once each turn, Aisha can burn 1 blood to get +1 intercept for the current action.	playerNCrypt
aishaazzahrag5	Aisha az-Zahra	vampire-the-eternal-struggle/eog/Vtes-EoG-AishaAzZahra.jpg	crypt	Vampire	Vampire	Toreador	5	9	obf qui AUS CEL PRE			EoG	Anthology:LARP1, EoG:5	Anarch: During the polling step of any referendum, Aisha can burn 1 blood to get +1 vote for each ready Anarch you control. +1 bleed.	playerNCrypt
aislingsturbridgeg2	Aisling Sturbridge	vampire-the-eternal-struggle/ce/Vtes-CE-AislingSturbridge.jpg	crypt	Vampire	Vampire	Tremere	2	5	dom AUS THA			CE	FN:U, CE:PTr	Camarilla: Younger Tremere cannot block Aisling.	playerNCrypt
aitanatheunholyg6	Aitana, The Unholy	vampire-the-eternal-struggle/sv5/Vtes-SV5-AitanaTheUnholy.jpg	crypt	Vampire	Vampire	Hecata	6	6	for tha AUS OBL			SV5	SV5:PDeath1	Sabbat.	playerNCrypt
aiyanathewolfcatcherg4	Aiyana, The Wolfcatcher	vampire-the-eternal-struggle/lob/Vtes-LoB-AiyanaTheWolfcatcher.jpg	crypt	Vampire	Vampire	Ahrimane	4	3	pre spi			LoB	LoB:U	Sabbat: Aiyana gets an optional press each combat when opposing a werewolf, and she can burn a blood each round to prevent all damage a werewolf inflicts on her that round. Sterile.	playerNCrypt
akramg2	Akram	vampire-the-eternal-struggle/ce/Vtes-CE-Akram.jpg	crypt	Vampire	Vampire	Brujah	2	8	pot pre CEL QUI			CE	AH:V3, CE:PB	Camarilla primogen: Once each turn after completing combat, if Akram and the opposing minion are still ready, Akram may burn 1 blood to begin another combat with the opposing minion.	playerNCrypt
aksinyadaclaug4	Aksinya Daclau	vampire-the-eternal-struggle/third/Vtes-Third-AksinyaDaclau.jpg	crypt	Vampire	Vampire	Gangrel antitribu	4	9	cel tha ANI FOR PRE PRO			Third	Third:V	Sabbat: Once each turn during a bleed against you, if Aksinya is ready and unlocked, you may discard a master card from your hand to redirect the bleed to any other Methuselah.	playerNCrypt
alashradamrofalamutg2	Al-Ashrad, Amr of Alamut	vampire-the-eternal-struggle/fn/Vtes-FN-AlAshradAmrOfAlamut.jpg	crypt	Vampire	Vampire	Banu Haqim	2	9	aus obf CEL QUI THA			FN	AH:V3, FN:PA, POD:DTC	Independent: Al-Ashrad can burn a location requiring a clan as a (D) action that costs 2 blood. Blood cursed. +1 bleed.	playerNCrypt
alashradamrofalamutg2adv	Al-Ashrad, Amr of Alamut (ADV)	vampire-the-eternal-struggle/tu/Vtes-TU-AlAshradAmrOfAlamutADV.jpg	crypt	Vampire	Vampire	Banu Haqim	2	9	AUS CEL OBF QUI THA			TU	TU:C/A2	Camarilla: During the first round of combat, Al-Ashrad can use strikes requiring Blood Sorcery [tha] that are not usable during the first round. Blood cursed. [MERGED] Assamite Inner Circle: +1 bleed.	playerNCrypt
almuntaquimtheavengerg4	Al-Muntaquim, The Avenger	vampire-the-eternal-struggle/lob/Vtes-LoB-AlMuntaquimTheAvenger.jpg	crypt	Vampire	Vampire	True Brujah	4	8	obf pre FOR POT TEM			LoB	LoB:U, POD:DTC	Independent: During your unlock phase, you can burn a Caitiff you control to give Al-Muntaquim +1 bleed until the end of the game. After a Gehenna event is played, he can unlock. He cannot use cards requiring Celerity [cel]. Scarce.	playerNCrypt
almuntathirgodswitnessg5	Al-Muntathir, God's Witness	vampire-the-eternal-struggle/httbr/Vtes-HttBR-AlMuntathirGodsWitness.jpg	crypt	Vampire	Vampire	True Brujah	5	8	obf qui AUS FOR PRE TEM			HttBR	HttB:U/B2, POD:DTC	Sabbat: If you control 4 or more True Brujah, burn Al-Muntathir. He cannot use cards requiring Celerity [cel]. Black Hand. Scarce.	playerNCrypt
alabastromg6	Alabastrom	vampire-the-eternal-struggle/eog/Vtes-EoG-Alabastrom.jpg	crypt	Vampire	Vampire	Gargoyle	6	7	aus cel for POT VIS			EoG	Anthology:1, EoG:5	Anarch: If Alabastrom is ready during your turn, you can unlock another ready Gargoyle you control. Flight [FLIGHT].	playerNCrypt
alansovereigng3	Alan Sovereign	vampire-the-eternal-struggle/bsc/Vtes-BSC-AlanSovereign.jpg	crypt	Vampire	Vampire	Ventrue	3	6	for pre AUS DOM			BSC	CE:V, BSC:X	Camarilla: When you play an investment card, add an additional counter to it from the blood bank.	playerNCrypt
alansovereigng3adv	Alan Sovereign (ADV)	vampire-the-eternal-struggle/promo/Vtes-Promo-AlanSovereignADV.jpg	crypt	Vampire	Vampire	Ventrue	3	6	for pre AUS DOM			Promo	Promo-20051001	Advanced, Camarilla: While Alan is ready, you may pay some or all of the pool cost of equipping from any investment cards you control. [MERGED] During your master phase, if Alan is ready, you may move a counter from any investment card to your pool.	playerNCrypt
alcoang6	Alcoan	vampire-the-eternal-struggle/httbr/Vtes-HttBR-Alcoan.jpg	crypt	Vampire	Vampire	Harbinger of Skulls	6	7	for AUS CEL NEC			HttBR	HttB:U/A2	Sabbat: If Alcoan is in combat with an ally or younger vampire, you can look at the opposing minion's controller's hand before range is determined during the first round.	playerNCrypt
aleistercrowleyg5	Aleister Crowley	vampire-the-eternal-struggle/kotr/Vtes-KoTR-AleisterCrowley.jpg	crypt	Vampire	Vampire	Malkavian	5	7	aus obf DEM PRE THA			KoTR	KoT:PM2/A1	Camarilla: Frenzy cards cannot be played on Aleister.	playerNCrypt
alejandroaguirreg3	Alejandro Aguirre	vampire-the-eternal-struggle/bsc/Vtes-BSC-AlejandroAguirre.jpg	crypt	Vampire	Vampire	Tremere antitribu	3	5	ani aus dom tha			BSC	CE:V, Third:PTr, BSC:X	Sabbat: If Alejandro is ready, he may lock before range is determined in any combat that does not involve him to inflict 1 unpreventable damage on each combatant.	playerNCrypt
alekkonigg6	Alek Konig	vampire-the-eternal-struggle/v5/Vtes-V5-AlekKonig.jpg	crypt	Vampire	Vampire	Hecata	6	3	OBL			V5	V5:PH1	Independent.	playerNCrypt
alephg1	Aleph	vampire-the-eternal-struggle/tenth/Vtes-Tenth-Aleph.jpg	crypt	Vampire	Vampire	Malkavian	1	4	dom AUS			Tenth	Jyhad:V, VTES:V, Tenth:A	Camarilla.	playerNCrypt
alessandrogarciag4	Alessandro Garcia	vampire-the-eternal-struggle/third/Vtes-Third-AlessandroGarcia.jpg	crypt	Vampire	Vampire	Brujah antitribu	4	4	pot pre pro			Third	Third:PB/SKB1	Sabbat: Alessandro gets +1 strength in combat with a Lasombra.	playerNCrypt
alexcamilleg5	Alex Camille	vampire-the-eternal-struggle/anthology/Vtes-Anthology-AlexCamille.jpg	crypt	Vampire	Vampire	Gangrel antitribu	5	5	cel for obf PRO			Anthology	DM:C/2, Anthology:1	Sabbat: During an action, Alex can burn 1 blood to get +1 intercept.	playerNCrypt
alexwilkinsg5	Alex Wilkins	vampire-the-eternal-struggle/kotr/Vtes-KoTR-AlexWilkins.jpg	crypt	Vampire	Vampire	Caitiff	5	1	cel			KoTR	KoT:V/B1	Camarilla: If Alex successfully bleeds, the target Methuselah can burn 1 additional pool to steal him after resolution.	playerNCrypt
alexadraperg6	Alexa Draper	vampire-the-eternal-struggle/nb/Vtes-NB-AlexaDraper.jpg	crypt	Vampire	Vampire	Ventrue	6	8	for pot DOM PRE			NB	V5:PV1, NB:PV1	Camarilla Prince of Melbourne: During the polling step of any referendum, Alexa can discard a card requiring Dominate [dom] to get +1 vote.	playerNCrypt
alexandersilversong6	Alexander Silverson	vampire-the-eternal-struggle/nb/Vtes-NB-AlexanderSilverson.jpg	crypt	Vampire	Vampire	Malkavian	6	8	pre AUS DOM OBF			NB	V5:PM2, NB:PM1	Camarilla Prince of Birmingham: Vampires must burn 1 blood to cast votes and ballots against referendums called by Alexander.	playerNCrypt
alexandrag2	Alexandra	vampire-the-eternal-struggle/ce/Vtes-CE-Alexandra.jpg	crypt	Vampire	Vampire	Toreador	2	11	dom ANI AUS CEL PRE			CE	DS:V, CE:PTo	Camarilla Toreador Inner Circle: Once during your turn, you may lock or unlock another ready Toreador. +2 bleed.	playerNCrypt
alexissoroking4	Alexis Sorokin	vampire-the-eternal-struggle/kmw/Vtes-KMW-AlexisSorokin.jpg	crypt	Vampire	Vampire	Ravnos	4	8	for CEL CHI OBF PRO			KMW	KMW:U/PAn, POD:DTC	Independent: Once each combat, Alexis can strike: dodge. She can steal an equipment as a (D) action. She gets +1 bleed against a Methuselah who controls a ready Toreador. Red List.	playerNCrypt
alfredbenezrig3	Alfred Benezri	vampire-the-eternal-struggle/bsc/Vtes-BSC-AlfredBenezri.jpg	crypt	Vampire	Vampire	Pander	3	6	aus dom PRE THA			BSC	CE:V, BSC:X, POD:DTC	Sabbat bishop: Alfred gets -1 strength in combat with an ally.	playerNCrypt
alfredbenezrig3adv	Alfred Benezri (ADV)	vampire-the-eternal-struggle/anarchs/Vtes-Anarchs-AlfredBenezriADV.jpg	crypt	Vampire	Vampire	Pander	3	7	aus dom PRE THA			Anarchs	Anarchs:U2, POD:DTC	Sabbat bishop: If Alfred is ready, he can lock before range is determined to end combat involving two other Sabbat vampires. [MERGED] Archbishop of Montreal: During the polling step of any referendum, he can burn 1 blood to get +1 vote.	playerNCrypt
algirdasthesolarprophetg6	Algirdas, The Solar Prophet	vampire-the-eternal-struggle/sv5/Vtes-SV5-AlgirdasTheSolarProphet.jpg	crypt	Vampire	Vampire	Banu Haqim	6	7	pot ANI CEL THA			SV5	SV5:PCaine1	Sabbat bishop: Strike cards cost opposing younger vampires +1 blood.	playerNCrypt
alikarg3	Ali Kar	vampire-the-eternal-struggle/anarchs/Vtes-Anarchs-AliKar.jpg	crypt	Vampire	Vampire	Banu Haqim	3	3	obf qui			Anarchs	Anarchs:U2, POD:DTC	Independent: Blood cursed.	playerNCrypt
alicecheng6	Alice Chen	vampire-the-eternal-struggle/nb/Vtes-NB-AliceChen.jpg	crypt	Vampire	Vampire	Ventrue	6	7	dom obf FOR PRE			NB	V5:PV2, NB:PV1	Camarilla Prince of Nairobi.	playerNCrypt
aliciabarrowsg4	Alicia Barrows	vampire-the-eternal-struggle/gehenna/Vtes-Gehenna-AliciaBarrows.jpg	crypt	Vampire	Vampire	Malkavian antitribu	4	9	AUS DEM OBF POT PRE			Gehenna	Gehenna:U, POD:DTC	Sabbat Archbishop of Mexico City: During your unlock phase, if you have the Edge, you can look at another Methuselah's hand and discard up to 2 Gehenna event cards from it.	playerNCrypt
aliciacortezg4	Alicia Cortez	vampire-the-eternal-struggle/eog/Vtes-EoG-AliciaCortez.jpg	crypt	Vampire	Vampire	Lasombra	4	8	CEL DOM OBT			EoG	Promo-20210331, EoG:5	Camarilla Prince of Tampa: After Alicia performs a successful directed action, you can discard a political action card [POLITICAL ACTION] to lock a younger vampire controlled by (one of) the target Methuselah(s).	playerNCrypt
alinegadekeg6	Aline Gadeke	vampire-the-eternal-struggle/nb2/Vtes-NB2-AlineGadeke.jpg	crypt	Vampire	Vampire	Brujah	6	7	cel POT PRE			NB2	V5A:PB2, NB2:PB1	Anarch Baron of Mannheim: Once each turn, Aline can burn 1 blood to unlock after another Anarch you control performs a successful action.	playerNCrypt
allanyanseratag5	Allanyan Serata	vampire-the-eternal-struggle/kotr/Vtes-KoTR-AllanyanSerata.jpg	crypt	Vampire	Vampire	Toreador	5	9	ani AUS CEL OBT PRE			KoTR	KoT:V/B2	Camarilla primogen: +1 strength.	playerNCrypt
allisonmallerg3	Allison Maller	vampire-the-eternal-struggle/bsc/Vtes-BSC-AllisonMaller.jpg	crypt	Vampire	Vampire	Brujah	3	4	cel pot pre			BSC	CE:V/PB, BSC:X	Camarilla.	playerNCrypt
allonzomontoyag3	Allonzo Montoya	vampire-the-eternal-struggle/kmw/Vtes-KMW-AllonzoMontoya.jpg	crypt	Vampire	Vampire	Abomination	3	6	ani aus OBF SER			KMW	KMW:U	Independent: Allonzo gets +1 stealth on actions that require Serpentis [ser]. Allonzo cannot block undirected actions. Scarce. Sterile.	playerNCrypt
almirosuarezg3	Almiro Suarez	vampire-the-eternal-struggle/bsc/Vtes-BSC-AlmiroSuarez.jpg	crypt	Vampire	Vampire	Tremere	3	2	aus			BSC	CE:V, BSC:X	Camarilla.	playerNCrypt
almodogiovannig4	Almodo Giovanni	vampire-the-eternal-struggle/kmw/Vtes-KMW-AlmodoGiovanni.jpg	crypt	Vampire	Vampire	Giovanni	4	3	dom pot			KMW	KMW:U, POD:DTC	Independent.	playerNCrypt
alonsopetrodong5	Alonso Petrodon	vampire-the-eternal-struggle/kotr/Vtes-KoTR-AlonsoPetrodon.jpg	crypt	Vampire	Vampire	Nosferatu	5	10	for tha ANI DOM OBF POT			KoTR	KoT:V/A2	Camarilla Nosferatu Justicar: Alonso inflicts 1 unpreventable damage on each anarch controlled by the target of the bleed after bleeding successfully. +1 bleed.	playerNCrypt
alonzoguilleng3	Alonzo Guillen	vampire-the-eternal-struggle/bsc/Vtes-BSC-AlonzoGuillen.jpg	crypt	Vampire	Vampire	Nosferatu	3	6	ani for pot OBF			BSC	CE:V, BSC:X	Camarilla: During your unlock phase and your discard phase, if Alonzo is ready, you may burn the Edge to look at another Methuselah's hand.	playerNCrypt
alug5	Alu	vampire-the-eternal-struggle/lotn/Vtes-LotN-Alu.jpg	crypt	Vampire	Vampire	Banu Haqim	5	2	obf			LotN	LotN:U, POD:DTC	Independent: Blood cursed.	playerNCrypt
alucromasdeleong6	Aluc Romas de Leon	vampire-the-eternal-struggle/v5a/Vtes-V5A-AlucRomasDeLeon.jpg	crypt	Vampire	Vampire	Ministry	6	5	aus obf pro PRE			V5A	V5A:PMin1	Anarch.	playerNCrypt
alvarothescionofangelicag2	Alvaro, The Scion of Angelica	vampire-the-eternal-struggle/sw/Vtes-SW-AlvaroTheScionOfAngelica.jpg	crypt	Vampire	Vampire	Lasombra	2	9	dom pre OBT POT			SW	Sabbat:V, SW:PL, POD:DTC	Sabbat Archbishop of Pittsburgh: After resolution of any political action, if Alvaro abstained (even in torpor), he can gain 2 blood. +1 bleed.	playerNCrypt
amadeog2	Amadeo	vampire-the-eternal-struggle/ce/Vtes-CE-Amadeo.jpg	crypt	Vampire	Vampire	Nosferatu	2	8	ani aus pre OBF POT			CE	DS:V, CE:PN	Camarilla primogen: +1 hunt.	playerNCrypt
amaravatig4	Amaravati	vampire-the-eternal-struggle/kmw/Vtes-KMW-Amaravati.jpg	crypt	Vampire	Vampire	Banu Haqim	4	8	ani chi DOM OBF QUI			KMW	KMW:U, POD:DTC	Independent: During the polling step of a political action, Amaravati can burn 2 blood to give each ready Assamite you control +1 vote. Blood cursed.	playerNCrypt
amavig4	Amavi	vampire-the-eternal-struggle/lob/Vtes-LoB-Amavi.jpg	crypt	Vampire	Vampire	Akunanse	4	8	pre pro ABO ANI FOR			LoB	LoB:PA2	Laibon: +1 bleed.	playerNCrypt
amberg5	Amber	vampire-the-eternal-struggle/dm/Vtes-DM-Amber.jpg	crypt	Vampire	Vampire	Toreador antitribu	5	5	cel AUS PRE			DM	DM:C/2	Sabbat.	playerNCrypt
