databaseId	name	imageUrl	cardBack	type	set	culture	element	traits	initiative	life	speed	experience	damage	setNumbers	text	loadGroupId
set1_01-046	Canute the Great	anachronism/set1/Anachronism-Set1-CanuteTheGreat.jpg	default	Warrior	set1	norse	wood aether earth fire metal water wind	warrior/male	0	9	3	6	1	46	En: This card counts as all elements.	playerNWarrior
set1_01-089	Cassis	anachronism/set1/Anachronism-Set1-Cassis.jpg	default	Armor	set1	roman		armor/head	5	0	0	0	0	89	Galeatus: Your defense rolls gain +1 if you are a metal or water warrior. You gain +1 experience if you are an earth or fire warrior.	playerNPool
set1_01-050	Crown of England	anachronism/set1/Anachronism-Set1-CrownOfEngland.jpg	default	Special	set1	norse		special/head	7	0	0	0	0	50	Konge: Your attack rolls gain +1 if you are a metal warrior. Your defense rolls get -1 and your attacks deal +1 damage if you are a fire warrior.	playerNPool
set1_01-066	Dane Axe	anachronism/set1/Anachronism-Set1-DaneAxe.jpg	default	Weapon	set1	norse		weapon/axe(2 hands)	3	0	0	0	0	66	Hogge: This weapon deals +1 damage for each of your other face-up support cards.	playerNPool
set1_01-075	De Bello Gallico	anachronism/set1/Anachronism-Set1-DeBelloGallico.jpg	default	Special	set1	roman		special/tome	5	0	0	0	0	75	Gallia est omnis divisa in partes tres: Your attack rolls gain +1 while the total initiative of all of your cards is greater than the total initiative of any other warrior's cards.	playerNPool
set1_01-085	Disciplina	anachronism/set1/Anachronism-Set1-Disciplina.jpg	default	Special	set1	roman		special/tome	6	0	0	0	0	85	Si vis pacem, para bellum: After you make an attack roll, you may increase the value of one of the dice by 1 if you won initiative this turn. If the dice are now doubles, the attack may result in a critical hit.	playerNPool
set1_01-024	Do	anachronism/set1/Anachronism-Set1-Do.jpg	default	Armor	set1	japanese		armor/torso	2	0	0	0	0	24	Yae: Once per turn, you may re-roll your defense roll.	playerNPool
set1_01-063	Elhaz Rune	anachronism/set1/Anachronism-Set1-ElhazRune.jpg	default	Special	set1	norse		special/mystic	5	0	0	0	0	63	Hellig - Action: Choose a warrior with more life than you. Move to any space in that warrior's attack grid.	playerNPool
set1_01-058	Freydis Eirksdottir	anachronism/set1/Anachronism-Set1-FreydisEirksdottir.jpg	default	Warrior	set1	norse	water	warrior/female	0	7	4	2	1	58		playerNWarrior
set1_01-071	Gladius	anachronism/set1/Anachronism-Set1-Gladius.jpg	default	Weapon	set1	roman		weapon/sword(1 hand)	6	0	0	0	1	71	Lamina Acuta: Attacks with this weapon deal +1 damage if you have a face-up shield card. Attacks with this weapon deal +1 damage if the defender has no face-up armor card.	playerNPool
set1_01-029	Gorin No Sho	anachronism/set1/Anachronism-Set1-GorinNoSho.jpg	default	Special	set1	japanese		special/item	6	0	0	0	0	29	Heiho: Once per turn, when you make an attack roll, you may reduce the value of one of your dice by 1. If the dice becomes doubles, this may result in a critical hit.	playerNPool
set1_01-014	Greaves	anachronism/set1/Anachronism-Set1-Greaves.jpg	default	Armor	set1	norse		armor/legs	5	0	0	0	0	14	Exostrakismos: Once per round, you may re-roll one die of one of your defense rolls.	playerNPool
set1_01-060	Grendel	anachronism/set1/Anachronism-Set1-Grendel.jpg	default	Inspiration	set1	greek		inspiration/quest	5	0	0	0	0	60	Intimidation - Reveal: Choose an opposing warrior and roll two dice. If the total is greater than that warrior's experience, that warrior must spend an additional action to attack this round.	playerNPool
set1_01-064	Gettir the Strong	anachronism/set1/Anachronism-Set1-GettirTheStrong.jpg	default	Warrior	set1	norse	metal	warrior/male	0	7	3	5	1	64	Sterk: Your attacks with axes deal +1 damage. Your attack rolls that are doubles do not count as critical hits.	playerNWarrior
set1_01-037	Haidate	anachronism/set1/Anachronism-Set1-Haidate.jpg	default	Armor	set1	japanese		armor/legs	1	0	0	0	0	37	Shinogeru: When you are attacked, your defense roll gains +1 if you have more experience than the attacker.	playerNPool
set1_01-051	Harald Hardrada	anachronism/set1/Anachronism-Set1-HaraldHardrada.jpg	default	Warrior	set1	norse	metal	warrior/male	0	7	3	8	1	51	Hardfor: Once per turn, when you take damage, you may roll two dice. If that total is less than 7, you take 1 less damage, to a minimum of 1.	playerNWarrior
set1_01-049	Healsbeorgs	anachronism/set1/Anachronism-Set1-Healsbeorgs.jpg	default	Armor	set1	norse		armor/head	3	0	0	0	0	49	Beskyttelse: After you are hit by a critical hit, reduce all damage from that attack to 0 and discard this card.	playerNPool
set1_01-011	Herakles	anachronism/set1/Anachronism-Set1-Herakles.jpg	default	Warrior	set1	greek	earth	warrior/male	0	6	3	4	1	11	Kairdoskopos: Once per round, after an enemy warrior moves into your basic attack grid, you may immediately make a basic attack against that warrior.	playerNWarrior
set1_01-056	Hjelm	anachronism/set1/Anachronism-Set1-Hjelm.jpg	default	Armor	set1	norse		armor/head	5	0	0	0	0	56	Beskyttelsebriller: When you roll two dice for anything other than attack or defense, you may choose to add or subtract 2 from the roll.	playerNPool
set1_01-010	Hoplon	anachronism/set1/Anachronism-Set1-Hoplon.jpg	default	Special	set1	greek		special/shield(1 hand)	2	0	0	0	0	10	I tan i epi tas: Your defense rolls gain +1 while you have a face-up weapon card.	playerNPool
set1_01-022	Izanagi	anachronism/set1/Anachronism-Set1-Izanagi.jpg	default	Inspiration	set1	japanese	earth	inspiration/deity	6	0	0	0	0	22	Zonrei - Reveal: Roll two dice. If that total is less than your experience, gain 2 life.	playerNPool
set1_01-042	Izanami	anachronism/set1/Anachronism-Set1-Izanami.jpg	default	Inspiration	set1	japanese	wind	inspiration/deity	4	0	0	0	0	42	Ma - Reveal: Roll 2 dice. If the total is greater than 7, (or greater than 5 if you are a wind warrior), then move to any empty space in the arena.	playerNPool
set1_01-069	Julius Caesar	anachronism/set1/Anachronism-Set1-JuliusCaesar.jpg	default	Warrior	set1	roman	earth	warrior/male	0	7	3	3	1	69	Alea Iacta Est: Once per turn, before you roll the dice, the roll is considered to be a 7.	playerNWarrior
set1_01-070	Jupiter	anachronism/set1/Anachronism-Set1-Jupiter.jpg	default	Inspiration	set1	roman	earth	inspiration/deity	5	0	0	0	0	70	Vis Iovis: Each round, if you win initiative, your attacks deal +1 damage that round.	playerNPool
set1_01-035	Katana	anachronism/set1/Anachronism-Set1-Katana.jpg	default	Weapon	set1	japanese		weapon/sword(2 hands)	2	0	0	0	2	35	Ki ken tai itchi: When you hit with this weapon, the attacker and defender each roll one die and add his or her warrior's experience. If your total is higher, you deal +1 damage this attack.	playerNPool
set1_01-032	Kemuri-Kona	anachronism/set1/Anachronism-Set1-KemuriKona.jpg	default	Special	set1	japanese		special/item	4	0	0	0	0	32	Enmaku - Reveal: You may move to any space in your starting row.	playerNPool
set1_01-036	Kimono	anachronism/set1/Anachronism-Set1-Kimono.jpg	default	Armor	set1	japanese		armor/torso	4	0	0	0	0	36	Unrestricted: Once per turn, after an opponent attacks you and misses, roll two dice. If that total is less than your experience, you may move one space.	playerNPool
set1_01-013	Kopis	anachronism/set1/Anachronism-Set1-Kopis.jpg	default	Weapon	set1	greek		weapon/sword(1 hand)	1	0	0	0	1	13	Epithesi!: Attacks with this weapon deal +1 damage if you have moved this turn.	playerNPool
set1_01-020	Kotynos	anachronism/set1/Anachronism-Set1-Kotynos.jpg	default	Special	set1	greek		special/item	0	0	0	0	0	20	O Draskelismos Tou Protathliti: Once per round, you may re-roll your attack roll.	playerNPool
set1_01-025	Kyudo	anachronism/set1/Anachronism-Set1-Kyudo.jpg	default	Special	set1	japanese		special/ability	9	0	0	0	0	25	Shuuchuu: Your attack rolls with ranged weapons gain +1.	playerNPool
set1_01-055	Langox	anachronism/set1/Anachronism-Set1-Langox.jpg	default	Weapon	set1	norse		weapon/axe(2 hands)	0	0	0	0	3	55	Tung: Your other cards get -2 initiative.	playerNPool
set1_01-048	Langseax	anachronism/set1/Anachronism-Set1-Langseax.jpg	default	Weapon	set1	norse		weapon/knife(1 hand)	3	0	0	0	2	48	Hurtig: Your attack rolls with this weapon get +1 for each of your other face-up support cards.	playerNPool
set1_01-062	Leiter	anachronism/set1/Anachronism-Set1-Leiter.jpg	default	Armor	set1	norse		armor/torso	3	0	0	0	0	62	Naturlig: Your defense rolls gain +1 if you are a water warrior.	playerNPool
set1_01-006	Leonidas	anachronism/set1/Anachronism-Set1-Leonidas.jpg	default	Warrior	set1	greek	wood	warrior/male	0	8	3	3	1	6	Molon Lave: Once per round, after you deal damage to an enemy warrior, gain 1 life.	playerNWarrior
set1_01-004	Linen Cuirass	anachronism/set1/Anachronism-Set1-LinenCuirass.jpg	default	Armor	set1	greek		armor/torso	2	0	0	0	0	4	Linothorax: Your defense rolls gain +1 while you have lower life than the attacking warrior.	playerNPool
set1_01-019	Liontari	anachronism/set1/Anachronism-Set1-Liontari.jpg	default	Armor	set1	greek		armor/torso	6	0	0	0	0	19	Apotropi: When you roll doubles on a defense roll, the attack misses.	playerNPool
set1_01-065	Loki	anachronism/set1/Anachronism-Set1-Loki.jpg	default	Inspiration	set1	norse	wind	inspiration/deity	6	0	0	0	0	65	Kneb - Reveal: Choose an opposing warrior's face-up weapon. If you have a face-up weapon, exchange that card for your opponent's weapon until the end of the round.	playerNPool
set1_01-084	Loricae Segmentata	anachronism/set1/Anachronism-Set1-LoricaeSegmentata.jpg	default	Armor	set1	roman		armor/torso	4	0	0	0	0	84	Mobilis: When you take more than 2 damage, reduce that damage to 2.	playerNPool
set1_01-081	Marcus Claudius Marcellus	anachronism/set1/Anachronism-Set1-MarcusClaudiusMarcellus.jpg	default	Warrior	set1	roman	earth	warrior/male	0	8	3	1	1	81	Gladius Romae - Action: If you are in another warrior's attack grid, make a basic attack on that warrior. Your attack roll gains +1 and this attack deals no more than 1 damage.	playerNWarrior
set1_01-086	Maximinus	anachronism/set1/Anachronism-Set1-Maximinus.jpg	default	Warrior	set1	roman	earth	warrior/male	0	8	3	3	1	86	Ardor Deorum: Your attack rolls gain +1 while you have an inspiration in play.	playerNWarrior
set1_01-031	Mempo	anachronism/set1/Anachronism-Set1-Mempo.jpg	default	Armor	set1	japanese		armor/head	7	0	0	0	0	31	Ojikedzuku - Action: Once per turn, choose an opposing warrior and roll two dice. If that total is greater than or equal to their experience, you may move that warrior up to 2 spaces and change their facing.	playerNPool
set1_01-077	Mercury	anachronism/set1/Anachronism-Set1-Mercury.jpg	default	Inspiration	set1	roman	fire	inspiration/deity	9	0	0	0	0	77	Nuntius - Reveal: All warriors gain +2 speed this round.	playerNPool
set1_01-016	Milo of Croton	anachronism/set1/Anachronism-Set1-MiloOfCroton.jpg	default	Warrior	set1	greek	wood	warrior/male	0	8	3	8	1	16	Xoris Fragmo: Your base attacks deal +1 damage while you have no face-up weapon cards.	playerNWarrior
set1_01-039	Miyamoto Musashi	anachronism/set1/Anachronism-Set1-MiyamotoMusashi.jpg	default	Warrior	set1	japanese		warrior/male	0	9	3	3	1	39	Niten Ichi Ryu - Action: Your next attack this turn deals +1 damage.	playerNWarrior
set1_01-057	Mjollnir	anachronism/set1/Anachronism-Set1-Mjollnir.jpg	default	Special	set1	norse		special/item	4	0	0	0	0	57	Slegge: After you are hit by a basic attack, roll two dice. If that total is greater than the attacker's experience, deal 1 damage to that warrior.	playerNPool
set1_01-009	Muscle Cuirass	anachronism/set1/Anachronism-Set1-MuscleCuirass.jpg	default	Armor	set1	greek		armor/torso	4	0	0	0	0	9	Tutlela: After you make a roll that is not an attack roll, the result is considered doubles. Discard this card after use.	playerNPool
set1_01-040	Musha-Shugyo	anachronism/set1/Anachronism-Set1-MushaShugyo.jpg	default	Inspiration	set1	japanese	aether	inspiration/quest	5	0	0	0	0	40	Sho Shin - Reveal: For this round, all hits for all players are critical hits.	playerNPool
set1_01-030	Naginata	anachronism/set1/Anachronism-Set1-Naginata.jpg	default	Weapon	set1	japanese		weapon/polearm(2 hands)	3	0	0	0	2	30	Sune-Uchi - Reveal: Choose an opposing warrior and roll two dice. If the total is more than your opponent's experience, the opposing warrior gets -2 initiative for the next round.	playerNPool
set1_01-026	Nakano Takeko	anachronism/set1/Anachronism-Set1-NakanoTakeko.jpg	default	Warrior	set1	japanese	fire	warrior/female	0	7	3	6	1	26	Roshui-gun: After you hit a warrior with a weapon attack, you may move one space.	playerNWarrior
set1_01-007	Nemesis	anachronism/set1/Anachronism-Set1-Nemesis.jpg	default	Inspiration	set1	greek	wind	inspiration/deity	1	0	0	0	0	7	Ekdikisi: The next card you reveal gains +10 initiative.	playerNPool
set1_01-041	Ninja	anachronism/set1/Anachronism-Set1-Ninja.jpg	default	Warrior	set1	japanese	wind	warrior/male	0	7	3	2	1	41	Ninjutsu: Your attacks deal +1 damage while you are not in the defending opponent's basic attack grid. Shinobi: This warrior may not use two-handed weapons.	playerNWarrior
set1_01-043	Ninja-to	anachronism/set1/Anachronism-Set1-NinjaTo.jpg	default	Weapon	set1	japanese		weapon/sword(1 hand)	5	0	0	0	1	43	Tamokuteki: When making attack rolls with this weapon, roll three dice and choose which two to use.	playerNPool
set1_01-099	Ocrea	anachronism/set1/Anachronism-Set1-Ocrea.jpg	default	Armor	set1	roman		armor/legs	1	0	0	0	0	99	Armatura: Your defense rolls gain +1 if you are a metal warrior.	playerNPool
set1_01-021	Oda Nobunaga	anachronism/set1/Anachronism-Set1-OdaNobunaga.jpg	default	Warrior	set1	japanese	fire	warrior/male	0	8	3	1	1	21	Roukou: You win ties with warriors that do not have the Roukou ability, regardless of experience.	playerNWarrior
set1_01-047	Odin	anachronism/set1/Anachronism-Set1-Odin.jpg	default	Inspiration	set1	norse	earth	inspiration/deity	3	0	0	0	0	47	Innsikt: When making attack or defense rolls, only roll one die. Your roll is equal to the die roll plus the attacking or defending opponent's initiative for this round.	playerNPool
set1_01-002	Oracle of Delphi	anachronism/set1/Anachronism-Set1-OracleOfDelphi.jpg	default	Inspiration	set1	greek	water	inspiration/deity	2	0	0	0	0	2	Propheteia - Reveal: Look at all face-down cards. You may trade the placement of two of your face-down cards.	playerNPool
set1_01-100	Parma	anachronism/set1/Anachronism-Set1-Parma.jpg	default	Special	set1	roman		special/shield(1 hand)	4	0	0	0	0	100	In Vicem Oppugnare: Your attack rolls gain +1 while you are not in an opponent's basic attack grid.	playerNPool
set1_01-083	Pilum	anachronism/set1/Anachronism-Set1-Pilum.jpg	default	Weapon	set1	roman		weapon/polearm(2 hands)	7	0	0	0	1	83	Perutilis - Action: Discard this card to deal 1 damage to another warrior and discard that warrior's face-up shield card, if any.	playerNPool
set1_01-087	Pluto	anachronism/set1/Anachronism-Set1-Pluto.jpg	default	Inspiration	set1	roman	metal	inspiration/deity	7	0	0	0	0	87	Mors Venit: At the end of each player's turn, that player's warrior takes 1 damage if they did not hit another warrior that turn.	playerNPool
set1_01-079	Pteryges	anachronism/set1/Anachronism-Set1-Pteryges.jpg	default	Armor	set1	roman		armor/legs	6	0	0	0	0	79	Servata Tergi: Your defense rolls gain +1 if the attacker is in any of your attack grids.	playerNPool
set1_01-078	Pugio	anachronism/set1/Anachronism-Set1-Pugio.jpg	default	Weapon	set1	roman		weapon/knife(1 hand)	6	0	0	0	1	78	Turbare - Action: Attack with this weapon.	playerNPool
set1_01-017	Pythagoras	anachronism/set1/Anachronism-Set1-Pythagoras.jpg	default	Inspiration	set1	greek	wind	inspiration/philosophy	6	0	0	0	0	17	Sintomotera Odos - Action: Move one space diagonally.	playerNPool
set1_01-018	Ropalo	anachronism/set1/Anachronism-Set1-Ropalo.jpg	default	Weapon	set1	greek		weapon/bludgeon(1 hand)	5	0	0	0	1	18	Dinato Xtipima - Reveal: Turn your warrior to face any direction. You may immediately make an attack with this weapon against each warrior in this weapon's attack grid.	playerNPool
set1_01-033	Saito Musashibo Benkei	anachronism/set1/Anachronism-Set1-SaitoMusashiboBenkei.jpg	default	Warrior	set1	japanese	fire	warrior/male	0	8	3	6	1	33	Toushimanman: After you hit an opponent with a basic attack, they cannot attack you with a weapon this round.	playerNWarrior
set1_01-093	Sarissa	anachronism/set1/Anachronism-Set1-Sarissa.jpg	default	Weapon	set1	greek		weapon/polearm(1 hand)	8	0	0	0	1	93	Katastrofi panoplias: Opponents' armor cards produce no effects during the round they are revealed.	playerNPool
set1_01-003	Sarissae	anachronism/set1/Anachronism-Set1-Sarissae.jpg	default	Weapon	set1	greek		weapon/polearm(2 hands)	7	0	0	0	2	3	Phalanx: When a warrior moves into a space on this weapon's attack grid, deal 1 damage to that warrior.	playerNPool
set1_01-080	Scutulum	anachronism/set1/Anachronism-Set1-Scutulum.jpg	default	Special	set1	roman		special/shield(1 hand)	3	0	0	0	0	80	Clipeus: Your attack and defense rolls gain +1 while you have another face-up support card that adds a bonus to your defense rolls.	playerNPool
set1_01-090	Scutum	anachronism/set1/Anachronism-Set1-Scutum.jpg	default	Special	set1	roman		special/shield(1 hand)	2	0	0	0	0	90	Scutatus: Once per round, after you make a successful attack, roll two dice. If that total is less than or equal to your experience, move the defending warrior one space.	playerNPool
set1_01-095	Shield of hephaestus	anachronism/set1/Anachronism-Set1-ShieldOfHephaestus.jpg	default	Special	set1	greek		special/shield(1 hand)	1	0	0	0	0	95	Dia Tis Pistis Aminomenos: Your defense rolls gain +1 while you have a face-up inspiration card.	playerNPool
set1_01-044	Shinobo Shozoku	anachronism/set1/Anachronism-Set1-ShinoboShozoku.jpg	default	Armor	set1	japanese		armor/torso	2	0	0	0	0	44	Kosokoso: Attack rolls against you that are doubles do not count as critical hits.	playerNPool
set1_01-045	Shuriken	anachronism/set1/Anachronism-Set1-Shuriken.jpg	default	Special	set1	japanese		special/item	8	0	0	0	0	45	Ningu - Action: Make a basic attack at +0 against any warrior that is not adjacent to your warrior.	playerNPool
set1_01-098	Sica	anachronism/set1/Anachronism-Set1-Sica.jpg	default	Weapon	set1	roman		weapon/sword(1 hand)	4	0	0	0	2	98	Lamina Incurvata: Attacks with this weapon deal +1 damage if the defending warrior has a face-up shield card.	playerNPool
set1_01-061	Skegox Francisca	anachronism/set1/Anachronism-Set1-SkegoxFrancisca.jpg	default	Weapon	set1	norse		weapon/axe/ranged(1 hand)	5	0	0	0	1	61	Kaste - Reveal: Deal 1 damage to all warriors not adjacent to your warrior. Liten: You may use another weapon in this game.	playerNPool
set1_01-072	Skjold	anachronism/set1/Anachronism-Set1-Skjold.jpg	default	Special	set1	norse		special/shield(1 hand)	6	0	0	0	0	72	Ward - Reveal: Once this round, before an opposing warrior attacks you, you may reduce all of their attack bonuses to zero.	playerNPool
set1_01-096	Spartacus	anachronism/set1/Anachronism-Set1-Spartacus.jpg	default	Warrior	set1	roman	metal	warrior/male	0	8	3	6	1	96	Ars Gladiatoria - 2 Actions: If you have an inspiration in play, make an extra attack with one of your weapons.	playerNWarrior
set1_01-008	Spartan Lakonian	anachronism/set1/Anachronism-Set1-SpartanLakonian.jpg	default	Weapon	set1	greek		weapon/sword(1 hand)	4	0	0	0	2	8	Epithetiko Pleonektima: Your attack rolls gain +1 and your attacks with this weapon deal +1 damage while your opponent has no weapon.	playerNPool
set1_01-088	Spatha	anachronism/set1/Anachronism-Set1-Spatha.jpg	default	Weapon	set1	roman		weapon/sword(1 hand)	5	0	0	0	1	88	Caedo: After you hit a warrior with this weapon, your basic attacks against that warrior deal +1 damage this round.	playerNPool
set1_01-073	Sverd	anachronism/set1/Anachronism-Set1-Sverd.jpg	default	Weapon	set1	norse		weapon/sword(1 hand)	8	0	0	0	2	73	Decisive Blow: Once per turn, after one of your attacks with this weapon is a critical hit, you may attack again with this weapon without spending an additional action.	playerNPool
set1_01-092	Thetis	anachronism/set1/Anachronism-Set1-Thetis.jpg	default	Inspiration	set1	greek	water	inspiration/deity	3	0	0	0	0	92	Mitriki Agapi: Once per game, re-roll any one die or make an opponent re-roll any one die.	playerNPool
set1_01-053	Thor	anachronism/set1/Anachronism-Set1-Thor.jpg	default	Inspiration	set1	norse	earth	inspiration/deity	4	0	0	0	0	58	Torden: After you roll doubles on a defense roll, deal 1 damage to the attacking warrior.	playerNPool
set1_01-059	Tyr	anachronism/set1/Anachronism-Set1-Tyr.jpg	default	Inspiration	set1	norse	metal	inspiration/deity	8	0	0	0	0	59	Mot: After you make a roll, if any of your dice is a 1, the roll is considered doubles, even if the dice are different.	playerNPool
set1_01-038	Uma	anachronism/set1/Anachronism-Set1-Uma.jpg	default	Special	set1	japanese		special/cavalry	7	0	0	0	0	38	Subayai - Action: Once per round, move two spaces.	playerNPool
set1_01-023	Yumi	anachronism/set1/Anachronism-Set1-Yumi.jpg	default	Weapon	set1	japanese		weapon/ranged(2 hands)	9	0	0	0	1	23	Zanshin - Reveal: Attacks with this weapon deal +1 damage this round.	playerNPool
set1_01-012	Zeus	anachronism/set1/Anachronism-Set1-Zeus.jpg	default	Inspiration	set1	greek	earth	inspiration/deity	4	0	0	0	0	12	Diatagma tou Olimpou: At the beginning of any round, you may name an ability. That ability has no effect that round. After you name an ability, discard this card.	playerNPool
set2_02-090	100 Aduu Bootsoo	anachronism/set2/Anachronism-Set2-100AduuBootsoo.jpg	default	Special	set2	mongol		special/item	6	0	0	0	0	90	Uridcilan medegsen teguskel:  If you are the first player to deal damage after this card is revealed, your basic attacks deal +1 damage for the rest of the game.	playerNPool
set2_02-001	Alfred the Great	anachronism/set2/Anachronism-Set2-AlfredTheGreat.jpg	default	Warrior	set2	briton	earth	warrior/male	0	8	3	4	1	1	Scelden Feohte:  At the start of each round, name an ability that gives you a bonus to an attack roll.  For that round, that ability gives all of  your defense rolls a +1 bonus instead of the attack roll bonus.	playerNWarrior
set2_02-083	Alman Sukh	anachronism/set2/Anachronism-Set2-AlmanSukh.jpg	default	Weapon	set2	mongol		weapon/axe(2 hands)	3	0	0	0	2	83	Cabciqu:  Attacks with this weapon deal +1 damage when attacking an opponent without a face-up cavalry card.	playerNPool
set2_02-052	Ast	anachronism/set2/Anachronism-Set2-Ast.jpg	default	Inspiration	set2	egyptian	aether	inspiration/deity	4	0	0	0	0	52	Nfr:  opposing cards cannot discard your support cards.  Xwi:  After you hit an opponent, you may discard this card to gain 1 life and deal 1 damage to the defending warrior.	playerNPool
set2_02-076	Atitila the Hun	anachronism/set2/Anachronism-Set2-AtitilaTheHun.jpg	default	Warrior	set2	mongol	metal	warrior/male	0	7	3	5	1	76	Noyarqal:  After any player attacks, your attack rolls this round gain +1, to a max of +6.	playerNWarrior
set2_02-053	B'gsw	anachronism/set2/Anachronism-Set2-Bgsw.jpg	default	Weapon	set2	egyptian		weapon/knife(1 hand)	3	0	0	0	1	53	Sft m s':  Tis weapon deals +2 damage while you are in a space directly or diagonally behind your opponent.  You may have another weapon.	playerNPool
set2_02-050	Ba Duan Jin	anachronism/set2/Anachronism-Set2-BaDuanJin.jpg	default	Special	set2	chinese		special/ability	0	0	0	0	0	50	Jun shi xun lian:  If your inspiration and warrior are the same element, you can attack with your weapon a second time during each round.	playerNPool
set2_02-025	Band of Merrie Men	anachronism/set2/Anachronism-Set2-BandOfMerrieMen.jpg	default	Special	set2	briton		special/ally	3	0	0	0	0	25	Freonden oder:  Before initiative is determined each round, roll one die.  If the result is less that 4, add that amount to your first attack roll of the round.  If the result is 4 or greater, add that amount to your initiative for the round.	playerNPool
set2_02-017	Berengaria	anachronism/set2/Anachronism-Set2-Berengaria.jpg	default	Inspiration	set2	briton	water	inspiration/female	9	0	0	0	0	17	Latost Freondlufu ~Reveal:  At the end of this round, gain an amount of life equal to the number of times you hit another warrior this round.	playerNPool
set2_02-045	Bing Fa	anachronism/set2/Anachronism-Set2-BingFa.jpg	default	Special	set2	chinese		special/tome	7	0	0	0	0	45	Gong qi suo bu shou ye:  Once per attack, before  your attack roll, you may choose to reduce that roll by 3.  If you do, that attack deals +1 damage.	playerNPool
set2_02-039	Bo Xiong Jia	anachronism/set2/Anachronism-Set2-BoXiongJia.jpg	default	Armor	set2	chinese		armor/torso	3	0	0	0	0	39	Zu dang:  If you are attacked and missed, the attacking opponent cannot attack you with there next action this turn.	playerNPool
