databaseId	name	imageUrl	cardBack	type	set	faction	cost	costType	cancel	cancelType	wealth	attack	parry	cannon	sailing	adventuring	influence	swashbuckling	crewMax	moveCost	rarity	text	loadGroupId
91cc6ddf-6bf6-4855-a7d8-9c99ece6117f	Death Stare	7th-sea/horizons-edge/7thSea-HorizonsEdge-DeathStare.jpg	default	Action	Horizon's Edge							S	d,p								R	Fear 1 Knack • Unique React: Target one of your Crew with Fear of 1 or more instead of performing a Boarding Attack. All of your Crew inflict extra Hits equal to the targeted Crew's Fear level during Boarding Attacks. In addition, your Crew with the Fear trait inflict an additional number of Hits during Boarding Attacks equal to their Fear level. These effects last until the end of the Boarding.	playerNDeck
1bab36d6-db83-4394-bd79-a040c72c6a41	Destiny and Loyalty	7th-sea/horizons-edge/7thSea-HorizonsEdge-DestinyAndLoyalty.jpg	default	Action	Horizon's Edge							D	p,t								C	You may not play this card if you have a Villainous Captain. React: Play when your Captain tacks to produce skill points. Your Captain produces extra skill points equal to the number of Loyal Crew you have on Board.	playerNDeck
c554ed96-fd5c-477e-8af4-5735b39bc0ed	The Discovery Attacks	7th-sea/horizons-edge/7thSea-HorizonsEdge-TheDiscoveryAttacks.jpg	default	Action	Horizon's Edge							S	d,p								C	React: Play when you are paying Swashbuckling. Tack one of your Ally cards in this Sea to produce 4 Swashbuckling	playerNDeck
043d56c3-b336-440d-ab07-2a528355f5ac	The Eternal Grave	7th-sea/horizons-edge/7thSea-HorizonsEdge-TheEternalGrave.jpg	default	Attachment	Horizon's Edge							C	d,s								R	CREW ATTACHMENT Unique • Fear 2 Knack React: Sink this card when another player inflicts Hits on your Ship. Reduce the Hits to zero.	playerNDeck
d40311d9-240b-4829-9992-05b91fce5792	First Mate's Duel	7th-sea/horizons-edge/7thSea-HorizonsEdge-FirstMatesDuel.jpg	default	Action	Horizon's Edge				4	Sw		D	p,t								U	Target another player's Ship in this Sea. That player must target one of his or her Crew. Target one of your Crew and play a card from your hand to begin a Duel between both of the targeted Crew. The Crew playing the final Boarding Attack in the Duel inflicts 4 extra Hits.	playerNDeck
d82c46b6-b46d-41be-9403-22b01bee8c36	Foul Weather Jack	7th-sea/horizons-edge/7thSea-HorizonsEdge-FoulWeatherJack.jpg	default	Crew	Horizon's Edge	Explorer's Society	5	In				P	c,t	4	0	2	2	2			R	Experienced • Unique Loyal • Gunner You must discard the top card of your deck when Jack tacks to produce Cannon. If the Boarding Attack on the discard is a Slash, Jack produces 2 less Cannon (minimum 0).	playerNDeck
8f6c03e7-7d31-4953-b10d-12b0debcefa8	Franco Vesefe	7th-sea/horizons-edge/7thSea-HorizonsEdge-FrancoVesefe.jpg	default	Crew	Horizon's Edge	Explorer's Society	5	In				P	c,t	0	4	1	1	2			R	Unique • Heroic Your Captain has +1 Adventuring and +1 Influence while Franco is on board your Ship.	playerNDeck
6510c0f8-e26f-44d8-a45f-0a4ff1c92eac	Get To It!	7th-sea/horizons-edge/7thSea-HorizonsEdge-GetToIt.jpg	default	Attachment	Horizon's Edge							C	d,s								R	CREW ATTACHMENT Fear 2 Knack Eye (A Crew may not have more than 1 Eye attachment) React: Tack this card when one of your other Crew tacks to produce skill points. That Crew produces extra skill points equal to this Crew's Fear level.	playerNDeck
59ecb61e-c996-4d27-8771-7117a8623431	Grandmother Ussura	7th-sea/horizons-edge/7thSea-HorizonsEdge-GrandmotherUssura.jpg	default	Adventure	Horizon's Edge							T	c,s								U	1 Sea Away To Complete: Tack one of your Sorcerers with Pyeryem of 1 or more. Crew Attachment Pyeryem 1 Knack: React: Tack this card when this Crew tacks to absorb Hits during a Boarding. The other player in the Boarding must sink 2 cards from their hand.	playerNDeck
6b868dc7-9fa8-4d10-9c91-729c7bc0084f	Grutch	7th-sea/horizons-edge/7thSea-HorizonsEdge-Grutch.jpg	default	Crew	Horizon's Edge	Crimson Rogers	3	In				P	c,t	0	3	0	0	2			R	Unique • Villainous • Loyal When hiring Grutch, you may pay an additional 3 Influence to give him +3 Cannon and the trait Gunner until the end of the game.	playerNDeck
e90f5b18-ac2c-4c05-8b3e-6a15602ad462	Gullbait Friedrich	7th-sea/horizons-edge/7thSea-HorizonsEdge-GullbaitFriedrich.jpg	default	Crew	Horizon's Edge	Black Freighter	3	In				P	c,t	2	2	0	0	1			R	Unique • Villainous • Loyal When hiring Friedrich, you may pay an additional 3 Influence to give him the trait: Fear 1 and +3 Swashbuckling until the end of the game.	playerNDeck
6e7f84a7-323b-472a-9050-829d9c59a540	Heinrich Logan	7th-sea/horizons-edge/7thSea-HorizonsEdge-HeinrichLogan.jpg	default	Crew	Horizon's Edge	Castille	3	In				P	c,t	2	0	0	0	2			U	Heroic • Gunner Heinrich has +3 Cannon if another Ship in this Sea has a Sorcerer on Board.	playerNDeck
81d0bdc6-6798-477a-9a51-5361aa5551b5	Hidden Fate Heritage	7th-sea/horizons-edge/7thSea-HorizonsEdge-HiddenFateHeritage.jpg	default	Adventure	Horizon's Edge							T	c,s								C	1 Sea Away To Complete: Pay 5 Adventuring (3 if completed in the Forbidden Sea or if you have a Fate Sorcerer on Board) Crew Attachment (You may not attach this card to a Crew with the Fate trait): This Crew has the trait Fate 1.	playerNDeck
a4993aa7-9398-441f-a40d-c686b9fcc34e	Hidden Glamour Heritage	7th-sea/horizons-edge/7thSea-HorizonsEdge-HiddenGlamourHeritage.jpg	default	Adventure	Horizon's Edge							T	c,s								C	1 Sea Away To Complete: Pay 5 Adventuring (3 if completed in Frothing Sea or if you have a Glamour Sorcerer on Board) Crew Attachment (You may not attach this card to a Crew with the Glamour trait): This Crew has the trait Glamour 1.	playerNDeck
699fd856-9eec-48e6-a26f-827fb04da48a	Hidden Laerdom Heritage	7th-sea/horizons-edge/7thSea-HorizonsEdge-HiddenLaerdomHeritage.jpg	default	Adventure	Horizon's Edge							T	c,s								C	1 Sea Away To Complete: Pay 5 Adventuring (3 if completed in the Trade Sea or if you have a Laerdom Sorcerer on Board) Crew Attachment (You may not attach this card to a Crew with the Laerdom trait): This Crew has the trait Laerdom 1.	playerNDeck
a061b905-b4a8-42db-a6f4-f8ad839941f1	Hidden Porte Heritage	7th-sea/horizons-edge/7thSea-HorizonsEdge-HiddenPorteHeritage.jpg	default	Adventure	Horizon's Edge							T	c,s								C	1 Sea Away To Complete: Pay 5 Adventuring (3 if completed in La Boca or if you have a Porte Sorcerer on Board) Crew Attachment (You may not attach this card to a Crew with the Porte trait): This Crew has the trait Porte 1.	playerNDeck
b969de0c-2c01-47a1-8703-47932d25030a	Hidden Pyeryem Heritage	7th-sea/horizons-edge/7thSea-HorizonsEdge-HiddenPyeryemHeritage.jpg	default	Adventure	Horizon's Edge							T	c,s								C	1 Sea Away To Complete: Pay 5 Adventuring (3 if completed in The Mirror or if you have a Pyeryem Sorcerer on Board) Crew Attachment (You may not attach this card to a Crew with the Pyeryem trait): This Crew has the trait Pyeryem 1.	playerNDeck
19297920-837a-4c1e-8e87-f91a67ddfb53	Hit to the Deck	7th-sea/horizons-edge/7thSea-HorizonsEdge-HitToTheDeck.jpg	default	Action	Horizon's Edge							D	p,t								U	React: Play this card when you are suffering Hits. Attach this card to your Ship as a Damage Attachment to absorb 4 Hits. While this card is attached you may not bring Crew cards into play. You may sink this Attachment by paying 4 Swashbuckling as an Action. You may not sink or discard this card with other card effects.	playerNDeck
c1935a5e-90c3-4649-89fd-e6660bf992a3	Ilya "Gadalka" Letinovich	7th-sea/horizons-edge/7thSea-HorizonsEdge-IlyaGadalkaLetinovich.jpg	default	Crew	Horizon's Edge	Vesten	4	In				P	c,t	4	0	0	0	2			C	Gunner • Pyeryem 0	playerNDeck
baab7c14-e8e6-44e9-a36f-a3a51db5e0eb	Inquisition Witch Hunt	7th-sea/horizons-edge/7thSea-HorizonsEdge-InquisitionWitchHunt.jpg	default	Action	Horizon's Edge		3	Ad				D	p,t								U	Target and tack all Sorcery Knacks and non-Captain Sorcerers in play.	playerNDeck
03fbdd8a-e00c-49ff-b442-456b8e02202c	Into the Tower	7th-sea/horizons-edge/7thSea-HorizonsEdge-IntoTheTower.jpg	default	Chantey	Horizon's Edge				2	In		D	p,t								U	All Captains are considered to have the following ability: Act: Once per turn, tack your Captain to search your deck for a card with the Oath trait. Show it to your opponent(s) and place it in your hand.	playerNDeck
798ae298-0078-4a3c-abb2-5478614ec190	Iron Mask	7th-sea/horizons-edge/7thSea-HorizonsEdge-IronMask.jpg	default	Action	Horizon's Edge		4	Sw				S	d,p								C	React: Play when you suffer Hits. Attach this card to one of your Villainous Crew without a Face attachment to absorb 2 Hits. This card has the Face trait, and gives the attached Crew the trait Fear 1. If the Crew already has the Fear trait, that Crew gains +1 to their Fear. A Crew may not have more than one Face attachment.	playerNDeck
2465b04f-af53-4867-8193-b29e4b9ad120	James Stiller	7th-sea/horizons-edge/7thSea-HorizonsEdge-JamesStiller.jpg	default	Crew	Horizon's Edge	Gosse's Gentlemen	3	In				P	c,t	1	2	0	0	2			R	Unique • Heroic • Loyal When hiring James, you may pay an additional 3 Influence to give him the trait: Swordsman +2 and +1 Swashbuckling until the end of the game.	playerNDeck
80b21468-8cdb-4d75-98c5-1b6d2ede192a	Josephina Culpepper	7th-sea/horizons-edge/7thSea-HorizonsEdge-JosephinaCulpepper.jpg	default	Crew	Horizon's Edge	Crimson Rogers	4	In				P	c,t	0	4	2	0	2			C	Villainous • Glamour 0	playerNDeck
aa44c697-1d77-48f0-bf57-523c9acfd5ab	J.P. Wardbraddon	7th-sea/horizons-edge/7thSea-HorizonsEdge-JPWardbraddon.jpg	default	Crew	Horizon's Edge	Sea Dogs	3	In				P	c,t	2	0	1	0	1			R	Unique • Heroic • Loyal When hiring J.P., you may pay an additional 3 Influence to give him the trait Glamour 1 and +3 Influence until the end of the game.	playerNDeck
8c78be11-4af3-4228-ae75-6a1629c73404	Korintine Nicolovich	7th-sea/horizons-edge/7thSea-HorizonsEdge-KorintineNicolovich.jpg	default	Crew	Horizon's Edge	Explorer's Society	8	In				P	c,t	1	4	3	3	3			F	Experienced • Unique • Loyal First Mate • Pyeryem 2 When Korintine is Experienced or Hired you may search your deck and discard pile for an Attachment card that is a Pyeryem Knack, attach it to Korintine and then shuffle your deck.	playerNDeck
043ff9cf-bb4d-435c-a667-f28ed0e3cde4	A Little On-Shore Help	7th-sea/horizons-edge/7thSea-HorizonsEdge-ALittleOnShoreHelp.jpg	default	Action	Horizon's Edge							D	p,t								U	React: Play when you are paying Adventuring. Tack one of your Ally cards in this Sea to produce 4 Adventuring	playerNDeck
46709c00-e219-4317-8d3c-961e6d3fb1a6	Local Assistance	7th-sea/horizons-edge/7thSea-HorizonsEdge-LocalAssistance.jpg	default	Attachment	Horizon's Edge							C	d,s								R	CAPTAIN ATTACHMENT Unique Act: Tack this card to target another Ship in this Sea. If you are in your Captain's Starting Sea, inflict 3 Hits on the target Ship.	playerNDeck
e3c51861-04bc-4111-9d49-446e1c74cf9c	Louis Fontaine	7th-sea/horizons-edge/7thSea-HorizonsEdge-LouisFontaine.jpg	default	Crew	Horizon's Edge	Corsairs	3	In				P	c,t	0	2	2	0	2			R	Unique • Captive • Loyal When hiring Louis, you may pay an additional 3 Influence to give him +2 Sailing, +1 Swashbuckling and the Rower trait until the end of the game.	playerNDeck
9d5ed756-16e9-4e89-9b50-e1cb60e44e0a	Lyin' John's Fate	7th-sea/horizons-edge/7thSea-HorizonsEdge-LyinJohnsFate.jpg	default	Action	Horizon's Edge							S	d,p								U	You may only play this card if you have an untacked Villainous Captain. Search an opponent's discard pile and target a Crew card in that discard pile. Place that Crew card in that player's sunk pile. Until the end of the turn, any player placing a Crew card in the discard pile must place that Crew in the sunk pile instead. Sink this card.	playerNDeck
cfbdfc50-2422-432d-b193-64aa43c7d587	Miguel Bascalle	7th-sea/horizons-edge/7thSea-HorizonsEdge-MiguelBascalle.jpg	default	Crew	Horizon's Edge	Castille	3	In				P	c,t	0	2	1	1	2			R	Unique • Heroic • Loyal When hiring Miguel, you may pay an additional 3 Influence to give him +2 Sailing, +2 Adventuring and the Holy trait until the end of the game.	playerNDeck
abaf2c4a-9e24-4787-81ba-f05b67e65421	Montaigne Musketeers	7th-sea/horizons-edge/7thSea-HorizonsEdge-MontaigneMusketeers.jpg	default	Crew	Horizon's Edge	Montaigne	3	In				P	c,t	0	0	1	2	2			C	Loyal • No Attachments Swordsman +1 (The Musketeers inflict 1 extra hit during Boarding Attacks) Montaigne Musketeers may attach Swordsman Knacks.	playerNDeck
9dcf838d-f23d-46ef-adea-c72087b760f8	Northern Trade Route	7th-sea/horizons-edge/7thSea-HorizonsEdge-NorthernTradeRoute.jpg	default	Action	Horizon's Edge		M+0	Sa				S	d,p								C	Move your Ship 2 Seas towards the Trade Sea (moving through each Sea, one at a time).	playerNDeck
e051a583-acdb-47c4-ab00-53b101385ee7	One Shot - Make it Count	7th-sea/horizons-edge/7thSea-HorizonsEdge-OneShotMakeItCount.jpg	default	Chantey	Horizon's Edge							D	p,t								C	Any player may sink this Chantey by paying 4 Influence as an action. Action cards are placed in the sunk pile instead of the discard pile after they have been canceled or resolved (except Action cards which become attachments).	playerNDeck
55590135-23e7-41b9-a758-a93f2cae9464	The Path to San Cristobal	7th-sea/horizons-edge/7thSea-HorizonsEdge-ThePathToSanCristobal.jpg	default	Action	Horizon's Edge		M+2	Sa				D	p,t								C	Move your Ship to any Sea with a Port card attached (moving through each Sea, one at a time).	playerNDeck
12511f02-42c0-47ea-94eb-b98b682e3471	Percival du Lac	7th-sea/horizons-edge/7thSea-HorizonsEdge-PercivalDuLac.jpg	default	Crew	Horizon's Edge	Montaigne	3	In				P	c,t	0	2	0	2	1			R	Unique • Heroic • Loyal When hiring Percival, you may pay an additional 3 Influence to give him the trait: Porte 1 and +2 Cannon until the end of the game.	playerNDeck
a43d040a-6da8-478b-864f-2b521bc17b9e	Peter Silver	7th-sea/horizons-edge/7thSea-HorizonsEdge-PeterSilver.jpg	default	Crew	Horizon's Edge	Gosse's Gentlemen	6	In				P	c,t	2	3	3	1	2			R	Experienced • Unique Heroic • Swordsman +1 (Peter inflicts 2 extra hits during Boarding Attacks) React: Once per turn, when Peter is tacking to produce skill points, you may tack one of your other Crew to have Peter produce an extra 2 points of that skill.	playerNDeck
826e30e7-7ca8-464e-94aa-fb357b7599b4	Predators of the Sea	7th-sea/horizons-edge/7thSea-HorizonsEdge-PredatorsOfTheSea.jpg	default	Action	Horizon's Edge		M+5	Sa	M+3	Sa		S	d,p								R	Target a Ship in an adjacent Sea. Move your Ship to that Sea and begin a Boarding with that Ship.	playerNDeck
00a70628-eb54-41e2-a9f2-44134757dfa4	Pushing the Limits	7th-sea/horizons-edge/7thSea-HorizonsEdge-PushingTheLimits.jpg	default	Action	Horizon's Edge							D	p,t								R	Sink a Sorcery Knack attached to one of your Crew to untack that Crew. Sink this card.	playerNDeck
cfbcc714-9ddc-46d3-b9c0-8f2b860ea6ce	Reis' Fury	7th-sea/horizons-edge/7thSea-HorizonsEdge-ReisFury.jpg	default	Attachment	Horizon's Edge							C	d,s								C	VILLAINOUS CREW ATTACHMENT Face (A Crew may not have more than 1 Face Attachment) React: Tack Reis' Fury when this Crew inflicts Hits with a Boarding Attack. Heroic Crew may not tack to absorb these Hits.	playerNDeck
00775eaf-65c6-4914-8ee0-ab0d19d9f6db	Rewrite the Rules	7th-sea/horizons-edge/7thSea-HorizonsEdge-RewriteTheRules.jpg	default	Chantey	Horizon's Edge				2	Sw		C	d,s								C	Instead of drawing three cards at the end of the turn, players must draw cards from their deck until they reach their maximum hand size. All Captains have the following ability: Act: Discard all cards in your hand.	playerNDeck
0349b08d-3208-482b-9cc7-0293497c9bd4	The Rise of Cabora	7th-sea/horizons-edge/7thSea-HorizonsEdge-TheRiseOfCabora.jpg	default	Adventure	Horizon's Edge							T	c,s								C	1 Sea Away To complete: Pay 4 Adventuring (3 if completed in The Mirror). Crew Attachment: This Crew absorbs 3 extra Hits when tacking to absorb Hits.	playerNDeck
26904b55-8b87-42ce-a109-25eb38f3856c	Roald Andreasson	7th-sea/horizons-edge/7thSea-HorizonsEdge-RoaldAndreasson.jpg	default	Crew	Horizon's Edge	Vesten	3	In				P	c,t	0	4	1	0	2			C	Villainous Roald may not be part of your starting Crew unless you have a Villainous Captain. You may not hire Roald unless you have more than one Villainous Crew in play. When Roald tacks to absorb Hits he absorbs 1 extra Hit.	playerNDeck
99568bf5-fbe8-4a6f-bc93-94c33c4dc8ab	Roberta Estrada	7th-sea/horizons-edge/7thSea-HorizonsEdge-RobertaEstrada.jpg	default	Crew	Horizon's Edge	Brotherhood	7	In				P	c,t	2	3	4	1	3			R	Experienced • Unique • Loyal Heroic Act: Tack Roberta to get an Adventure from your discard pile and put it into play, uncompleted. You may immediately move your Ship one Sea towards that Adventure.	playerNDeck
508c5618-4411-4a42-a868-2425c06f64f6	Robin Goodfellow	7th-sea/horizons-edge/7thSea-HorizonsEdge-RobinGoodfellow.jpg	default	Attachment	Horizon's Edge							C	d,s								U	CREW ATTACHMENT Glamour 1 Knack React: Tack this card when this Crew or a card attached to this Crew inflicts Hits on another player's Ship. The Ship suffers 3 additional Hits.	playerNDeck
92ec8908-3163-4dbe-a6f1-2138f9672f0f	Rosa Maria de Barcino	7th-sea/horizons-edge/7thSea-HorizonsEdge-RosaMariaDeBarcino.jpg	default	Crew	Horizon's Edge	Castille	7	In				P	c,t	0	0	3	3	4			R	Experienced • Unique Swordsman +1 (Rosa inflicts 1 extra hit during Boarding Attacks) React: After you have reversed a Boarding Attack with any one of your Crew, tack Rosa to tack the opposing Crew involved in the Boarding Attack.	playerNDeck
6ce2cf3a-71f2-4bce-9ebf-8018bb9b1381	San Cristobal Under Siege	7th-sea/horizons-edge/7thSea-HorizonsEdge-SanCristobalUnderSiege.jpg	default	Attachment	Horizon's Edge							C	d,s								R	THIS SEA ATTACHMENT Any player in this Sea may sink this Attachment by paying 3 Swashbuckling as an action. Players in this Sea during the untack phase must sink the top card of their deck and the top card of their discard pile.	playerNDeck
c0f573bf-ebb1-476f-88b1-20e593c078bb	Singing Sal	7th-sea/horizons-edge/7thSea-HorizonsEdge-SingingSal.jpg	default	Crew	Horizon's Edge	Corsairs	3	In				P	c,t	0	2	0	1	1			C	Captive • Rower Sal has +2 Sailing if there is a Chantey in play.	playerNDeck
06cb8b87-c7e0-4936-b994-f1644d79b17f	The Sixth Switch	7th-sea/horizons-edge/7thSea-HorizonsEdge-TheSixthSwitch.jpg	default	Adventure	Horizon's Edge							T	c,s								R	Unique • 2 Seas Away To Complete: Pay 8 Adventuring (5 if your Ship's printed crew maximum is less than 9). Artifact • Ship Attachment: React: Tack this card after you tack a Crew to produce Adventuring to complete an Adventure (not this one). Untack that Crew.	playerNDeck
7e11b06e-bcf5-42a6-a86c-4ce913fd3dcd	Sorcerer's Lament	7th-sea/horizons-edge/7thSea-HorizonsEdge-SorcerersLament.jpg	default	Chantey	Horizon's Edge							C	d,s								U	Any player may, as an action, sink two of their Sorcery Knacks to sink this Chantey. Sorcery Knacks may not be untacked.	playerNDeck
653b97af-dd96-4949-9a73-0e813f5a142c	Soren "Painless" Halstead	7th-sea/horizons-edge/7thSea-HorizonsEdge-SorenPainlessHalstead.jpg	default	Crew	Horizon's Edge	unaligned	6	In				P	c,t	1	1	1	1	3			C	Heroic When hiring Soren, you may pay 5 Swashbuckling to reduce his Influence cost to 0.	playerNDeck
b1a1230d-bf83-4d3e-bd61-4508de9e8cdc	Southern Trade Route	7th-sea/horizons-edge/7thSea-HorizonsEdge-SouthernTradeRoute.jpg	default	Action	Horizon's Edge		M+0	Sa				D	p,t								C	Move your Ship 2 Seas towards The Mirror (moving through each Sea, one at a time).	playerNDeck
4dbb45e1-6af6-4025-a9ef-905960e4a6e6	Sparrow Hawk	7th-sea/horizons-edge/7thSea-HorizonsEdge-SparrowHawk.jpg	default	Attachment	Horizon's Edge							C	d,s								U	CREW ATTACHMENT Pyeryem 1 Knack React: Tack this card when another player plays or performs an action that would create a Duel involving one of your Crew. That action is canceled.	playerNDeck
5a4312b1-a991-41cb-9395-a1f68240c3eb	Swelling Tides	7th-sea/horizons-edge/7thSea-HorizonsEdge-SwellingTides.jpg	default	Action	Horizon's Edge				2	Sa		S	d,p								C	Weather Target a Ship in this Sea. Tack the target.	playerNDeck
759a3e4f-7d23-4306-bbe3-a9e63b90c0fd	Sylvia Etalon du Toille	7th-sea/horizons-edge/7thSea-HorizonsEdge-SylviaEtalonDuToille.jpg	default	Crew	Horizon's Edge	Gosse's Gentlemen	5	In				P	c,t	0	0	2	2	3			U	Heroic • Swordsman +2 (Sylvia inflicts 2 extra hits during Boarding Attacks) Sylvia may attach cards as if she were Montaigne • When Sylvia comes into play, you may search your deck for a card with the title: “Montaigne Puzzle Sword" and attach it to Sylvia at no cost.	playerNDeck
2183eb63-1aff-49c9-9618-be49820a45b7	Syrneth Navigator	7th-sea/horizons-edge/7thSea-HorizonsEdge-SyrnethNavigator.jpg	default	Attachment	Horizon's Edge		2	Ad				C	d,s								U	HEROIC CREW ATTACHMENT Artifact • Hand (A Crew may not have more than 1 Hand Attachment) React: Tack this Crew when another player performs a React which cancels one of your Actions that will result in a Boarding. Cancel the React.	playerNDeck
779f0575-8689-4e11-bdf4-b7f586c39d8f	Talia del Emelia	7th-sea/horizons-edge/7thSea-HorizonsEdge-TaliaDelEmelia.jpg	default	Crew	Horizon's Edge	Brotherhood	3	In				P	c,t	2	1	0	0	2			R	Unique • Gunner • Loyal When hiring Talia, you may pay an additional 3 Influence to give her the trait: Fate 1 and +2 Sailing until the end of the game.	playerNDeck
e85b2570-cd9e-46f9-a4c6-87e9bdd7fea3	Through the 7th Sea	7th-sea/horizons-edge/7thSea-HorizonsEdge-ThroughThe7thSea.jpg	default	Chantey	Horizon's Edge							D	p,t								U	Any player may sink this Chantey by paying 6 Adventuring as an action. Players with a Ship in the Trade Sea may, as an action, pay their Ship's Move Cost to move their Ship to The Mirror, and viceversa.	playerNDeck
0fe60494-ac93-426f-ba22-39f7f6220e05	Tungsinn ("Gloom")	7th-sea/horizons-edge/7thSea-HorizonsEdge-TungsinnGloom.jpg	default	Attachment	Horizon's Edge							C	d,s								R	CREW ATTACHMENT Unique • Laerdom 1 Knack React: Tack instead of performing a Boarding Attack. Target and tack a Crew on the other Ship with an Influence cost less than double this Crew's Laerdom.	playerNDeck
da8e2432-e9fe-42e4-b9c9-bda05aaeceda	Two Dagger Dirk	7th-sea/horizons-edge/7thSea-HorizonsEdge-TwoDaggerDirk.jpg	default	Crew	Horizon's Edge	Gosse's Gentlemen	4	In				P	c,t	0	2	0	0	2			C	Topman • Swordsman +2 (Dirk inflicts 2 extra hits during Boarding Attacks) React: Discard a card from your hand after Dirk has played a Boarding Attack. Change that Boarding Attack to a Slash.	playerNDeck
dfeee40b-ddfb-43a0-b5c9-a092490655bb	Valgard Skaardalneir	7th-sea/horizons-edge/7thSea-HorizonsEdge-ValgardSkaardalneir.jpg	default	Crew	Horizon's Edge	Vesten	3	In				P	c,t	0	0	0	2	3			R	Unique • Heroic • Loyal When hiring Valgard, you may pay an additional 3 Influence to give him the trait: Laerdom 1 and +2 Influence until the end of the game.	playerNDeck
